policy_loss,explained_variance,serial_timesteps,ep_len_mean,clipfrac,ep_reward_mean,time_elapsed,true_reward,value_loss,policy_entropy,n_updates,total_timesteps,approxkl,fps
-0.0017875275,0.9648513346910477,250,99.28,0.08144,2.674983219211208,0.0005850791931152344,0.035403978,0.024271136,3.9576612,1,25000,0.0067380755,3375
-0.0012669748,0.9621291160583496,500,98.6,0.05283601,2.8724900575289065,8.26306939125061,0.035207245,0.022926712,3.9538732,2,50000,0.00470975,46410
-0.0017482709,0.9654964432120323,750,84.28,0.036688,2.377318848723953,9.275489807128906,0.035761837,0.023757497,3.949829,3,75000,0.0037076522,43682
-0.0018444976,0.9500226005911827,1000,90.61,0.028404001,2.6489661167203304,10.459789037704468,0.03530137,0.03048425,3.9437327,4,100000,0.003053911,55204
-0.0017167073,0.9689483046531677,1250,98.9,0.0222,2.9616592819615106,11.371852397918701,0.036777917,0.018719602,3.937378,5,125000,0.0028271996,54305
-0.002240504,0.9563738852739334,1500,85.07,0.040096,2.553085838428797,12.273648023605347,0.03573262,0.027004426,3.9351394,6,150000,0.003830023,55013
-0.0017327482,0.9674542844295502,1750,88.83,0.028011998,2.5906960013712523,13.161936521530151,0.03618205,0.020103158,3.9365249,7,175000,0.0028615748,54251
-0.0027067373,0.9653758853673935,2000,88.51,0.042783998,2.301111679622427,14.083160161972046,0.03486151,0.020640876,3.9322953,8,200000,0.0039758747,51892
-0.0018518588,0.9463586956262589,2250,93.19,0.034216,2.9847755358765333,15.021702289581299,0.036102835,0.035132788,3.925795,9,225000,0.0034559309,48164
-0.002022103,0.9657924585044384,2500,98.87,0.037968002,2.5727888637222533,16.077850818634033,0.03434464,0.020606117,3.9226413,10,250000,0.0037117414,43273
-0.002389724,0.9472044594585896,2750,84.65,0.039479997,2.4030966161175638,17.140442848205566,0.035250716,0.028169017,3.917432,11,275000,0.0038128507,51444
-0.0018228355,0.964441105723381,3000,94.36,0.030824,2.696025847129149,18.103197813034058,0.036125846,0.02274673,3.9151204,12,300000,0.00333795,54375
-0.0020945715,0.9592367894947529,3250,88.17,0.023863997,2.3390131156445206,19.013981103897095,0.03462449,0.02197667,3.9120502,13,325000,0.0028513873,52981
-0.0020604236,0.9602992199361324,3500,88.23,0.029008001,2.326742980326053,19.97624182701111,0.03494966,0.02363747,3.9039395,14,350000,0.0031994008,49607
-0.0014930733,0.9653989374637604,3750,92.98,0.027068,2.6047298243214754,20.933603525161743,0.03532283,0.019667793,3.8953834,15,375000,0.0031121555,52972
-0.0018443601,0.9725457802414894,4000,94.01,0.030172002,2.7907128719054892,21.887776613235474,0.035558015,0.01672641,3.8878257,16,400000,0.0032407288,43822
-0.0023040771,0.9654225818812847,4250,85.22,0.039016,2.5444733435229865,23.000336170196533,0.037715323,0.02042041,3.8838284,17,425000,0.0037294526,53508
-0.0018954317,0.9620584361255169,4500,86.6,0.06761201,2.3488485423080236,23.932111740112305,0.03522005,0.024378682,3.8817742,18,450000,0.005388691,51089
-0.0020748035,0.9520735293626785,4750,86.49,0.031584002,2.466943365692896,24.904807329177856,0.036352474,0.030218953,3.8795521,19,475000,0.0034304634,53228
-0.0015750639,0.9706539884209633,5000,103.69,0.038459998,2.7940068017839894,25.82392191886902,0.034941014,0.018752169,3.8785882,20,500000,0.0038000704,51070
-0.0019345129,0.964757427573204,5250,97.66,0.030868,2.6699921194236502,26.76386857032776,0.034923464,0.020311233,3.8793368,21,525000,0.0033584454,52915
-0.001830435,0.9580590017139912,5500,94.53,0.03132,2.557016779317382,27.692686557769775,0.034970157,0.025452223,3.880565,22,550000,0.0035396912,47881
-0.0010523165,0.9621237367391586,5750,99.93,0.033423997,2.923636422111449,28.668076753616333,0.036417972,0.022700166,3.8797715,23,575000,0.0035693129,48417
-0.0018100388,0.9678739942610264,6000,103.39,0.032024,3.239030797597843,29.60480284690857,0.03737426,0.017735248,3.8757377,24,600000,0.0034444532,46431
-0.0013120631,0.9569203406572342,6250,93.86,0.021047998,2.63992892487513,30.756412982940674,0.034930687,0.025293928,3.8715787,25,625000,0.002788413,49913
-0.0016668166,0.9484920017421246,6500,88.91,0.028519997,2.428536130859502,31.70520782470703,0.03530107,0.029839039,3.8675754,26,650000,0.0031734793,52898
-0.0017799571,0.9656262472271919,6750,100.37,0.038155995,2.950991853385294,32.66961908340454,0.03602272,0.018942986,3.8645167,27,675000,0.003887613,52915
-0.002085513,0.9789859913289547,7000,91.0,0.03758,2.7037756487119986,33.58129596710205,0.035881005,0.012160783,3.8592834,28,700000,0.0037511592,54804
-0.0020211055,0.9686978906393051,7250,107.65,0.037971996,2.954297093884156,34.4857861995697,0.034852363,0.017898465,3.856987,29,725000,0.0036447719,53838
-0.0017421044,0.9610145799815655,7500,86.32,0.03322,2.437982319154835,35.39496088027954,0.035626836,0.022826232,3.854629,30,750000,0.0035546706,47794
-0.0018235246,0.958804938942194,7750,98.77,0.034684002,2.7413460373804264,36.39661359786987,0.03575712,0.025036553,3.8532753,31,775000,0.0036740615,50795
-0.0014906009,0.9589139707386494,8000,88.53,0.063744,2.402153323253424,37.348854780197144,0.035305236,0.02350177,3.848391,32,800000,0.005359425,52203
-0.0016957193,0.96285505220294,8250,80.48,0.0237,2.1356741954411156,38.26144361495972,0.03536223,0.023559874,3.8453698,33,825000,0.0027874275,54208
-0.0018571792,0.9578445665538311,8500,93.11,0.041952003,2.5556120256177746,39.16177272796631,0.035996854,0.02457301,3.8428414,34,850000,0.0040324507,52072
