value_loss,true_reward,policy_loss,ep_len_mean,explained_variance,policy_entropy,n_updates,clipfrac,fps,serial_timesteps,total_timesteps,approxkl,time_elapsed,ep_reward_mean
0.06527526,-0.03709771,-0.0014645748,64.32,0.884628176689148,5.5495973,34,0.019204,61721,8500,850000,0.0024964071,33.44516396522522,-0.3536994021131568
0.05985388,-0.034848854,-0.0013864336,62.02,0.8927966356277466,5.5488024,35,0.009776,63330,8750,875000,0.0016265102,34.25399398803711,-0.1541618902488517
0.069036,-0.035754606,-0.0013941751,68.39,0.8753030523657799,5.546216,36,0.017212002,63982,9000,900000,0.0024676006,35.04924702644348,-0.18969947957198457
0.062619284,-0.033998452,-0.0021401783,60.19,0.8943613693118095,5.5367465,37,0.025659999,56194,9250,925000,0.002922715,35.888023376464844,-0.08433517608661419
0.06278823,-0.03309275,-0.0011697192,75.65,0.8953536674380302,5.5290136,38,0.005556,63250,9500,950000,0.0012100886,36.75265192985535,-0.2409341400038511
0.06056735,-0.036573634,-0.0014145251,64.75,0.899113692343235,5.5244584,39,0.008615999,61926,9750,975000,0.0015666021,37.55380892753601,-0.16672413977320844
0.051601578,-0.037631236,-0.001784934,65.11,0.9183818846940994,5.5253196,40,0.020027999,62455,10000,1000000,0.002634132,38.42173719406128,-0.3129884003817142
0.05829807,-0.036040597,-0.0013787246,68.15,0.9038987830281258,5.5253577,41,0.017928,63101,10250,1025000,0.0020819113,39.23940563201904,-0.38374570844853223
0.05312218,-0.035367094,-0.0015164486,65.25,0.9148580133914948,5.5233393,42,0.016628,63034,10500,1050000,0.0021489586,40.0599479675293,-0.30299147041479046
0.056411393,-0.03347191,-0.0016631398,68.06,0.9027127921581268,5.519941,43,0.025344,63294,10750,1075000,0.0027604024,40.85688352584839,-0.14896420106359018
0.05081139,-0.034716327,-0.001562221,71.11,0.9203368574380875,5.5149946,44,0.023896,62663,11000,1100000,0.0028802468,41.662593603134155,-0.24368460512157525
0.054360844,-0.033749036,-0.0013955832,66.34,0.913551427423954,5.5127296,45,0.015567998,63524,11250,1125000,0.0022939367,42.46735143661499,-0.15432177415514958
0.06295141,-0.033849426,-0.0016707135,60.43,0.9078125059604645,5.507441,46,0.019779999,63422,11500,1150000,0.002691516,43.272483348846436,-0.038141951665053284
0.06393517,-0.035018165,-0.0013957387,67.91,0.9005894213914871,5.5003614,47,0.017763998,61752,11750,1175000,0.0025025732,44.0761501789093,-0.28926491177525804
0.061721273,-0.033550527,-0.0012176341,71.5,0.9057685509324074,5.493407,48,0.009668,61451,12000,1200000,0.0016614294,44.88813543319702,-0.12811252384047236
0.057400256,-0.032586876,-0.0014334187,66.23,0.9108146131038666,5.4890585,49,0.015648,62341,12250,1225000,0.0021834066,45.70889472961426,-0.1895692950193778
0.06574854,-0.03468342,-0.0019865662,59.29,0.9000197350978851,5.4849873,50,0.031244,60512,12500,1250000,0.003260595,46.53209042549133,-0.27868815301647826
0.059551638,-0.030618962,-0.0012240699,69.83,0.9094246998429298,5.4779406,51,0.011275999,62382,12750,1275000,0.0018518362,47.34847068786621,-0.07423388075812454
0.052357793,-0.0325864,-0.00093989633,69.17,0.9241078794002533,5.4709477,52,0.01496,63189,13000,1300000,0.0021567484,48.15974807739258,-0.16573958604770497
0.055316277,-0.030027717,-0.0016774742,76.8,0.9135042056441307,5.468492,53,0.023911998,62101,13250,1325000,0.0027622955,48.96466660499573,-0.1437718103447969
0.06600895,-0.03381722,-0.0015516416,68.78,0.910877175629139,5.466623,54,0.019916,58988,13500,1350000,0.002433937,49.77331733703613,-0.2224115885808382
0.054464597,-0.034717992,-0.0015234692,67.66,0.9240311682224274,5.4620657,55,0.017180001,62962,13750,1375000,0.0022569192,50.61874842643738,-0.28049636937758804
0.06429172,-0.030107453,-0.0015238917,64.24,0.9117761999368668,5.453881,56,0.026023999,63197,14000,1400000,0.002991353,51.443204164505005,-0.05136140857579221
0.061113507,-0.0326184,-0.0018400822,67.01,0.9153981953859329,5.444995,57,0.021528,62423,14250,1425000,0.0027399743,52.25680589675903,-0.1186031459277865
0.0690641,-0.034132335,-0.0016620914,68.71,0.9032286629080772,5.440551,58,0.018648,60885,14500,1450000,0.0024088013,53.06433081626892,-0.19476501653005016
0.0638351,-0.033578437,-0.0014101914,65.38,0.9140966832637787,5.4360414,59,0.01324,59318,14750,1475000,0.0017517019,53.875906229019165,-0.11983932308472049
0.059754603,-0.03388974,-0.0011755091,64.54,0.9144004806876183,5.43478,60,0.017336,60608,15000,1500000,0.0023418115,54.721566915512085,-0.1551389042891168
0.06013439,-0.03377828,-0.0019534572,70.03,0.922263890504837,5.433928,61,0.027719999,59737,15250,1525000,0.0029659953,55.547930002212524,-0.28383986729376376
0.06743415,-0.033602003,-0.0016124562,66.28,0.9112955331802368,5.433689,62,0.022932,58711,15500,1550000,0.0028213332,56.37231993675232,-0.1531664511351869
0.06613641,-0.031960815,-0.0009936767,66.4,0.9059415757656097,5.431667,63,0.003028,62646,15750,1575000,0.00093662506,57.22613453865051,-0.17915978897976856
0.06135825,-0.031037923,-0.0013995623,76.02,0.9133679270744324,5.427352,64,0.020528,62203,16000,1600000,0.0024865817,58.041497230529785,-0.2234332150911723
0.059536226,-0.031057967,-0.0015029032,59.61,0.9186353161931038,5.421225,65,0.016096,63341,16250,1625000,0.0020554813,58.854989528656006,-0.09598741781658873
0.059478514,-0.033910185,-0.0019236952,62.58,0.9170332029461861,5.41603,66,0.026108,63328,16500,1650000,0.0030488723,59.656004905700684,-0.12214995607743276
0.06823789,-0.030633863,-0.0012959514,71.21,0.9109342619776726,5.413808,67,0.019095998,60217,16750,1675000,0.0025062335,60.45425271987915,-0.04927107253462509
0.062072974,-0.03133818,-0.001716445,70.66,0.9145001918077469,5.4078894,68,0.0234,62679,17000,1700000,0.0028790678,61.287498235702515,-0.28141501090208065
0.054769635,-0.031016579,-0.0016096265,66.58,0.9288849905133247,5.4004927,69,0.017572,63481,17250,1725000,0.0023211937,62.09666061401367,-0.23906736352397956
0.05903697,-0.031517122,-0.0015800853,75.49,0.9240113720297813,5.394604,70,0.015596,63594,17500,1750000,0.0021460063,62.9029746055603,-0.17190171112684993
0.05639397,-0.028837962,-0.001621207,72.07,0.9300182908773422,5.3853807,71,0.016595999,62954,17750,1775000,0.0022247564,63.70261025428772,-0.09876637591705276
0.05884407,-0.028985547,-0.0024840203,66.29,0.9230350852012634,5.381697,72,0.032032,62819,18000,1800000,0.0031887367,64.50124168395996,0.016894214953122173
