true_reward,total_timesteps,ep_len_mean,approxkl,n_updates,fps,time_elapsed,clipfrac,value_loss,serial_timesteps,explained_variance,ep_reward_mean,policy_loss,policy_entropy
-0.0048466413,8750,0.99,0.059024584,35,2181,8.146820068359375,0.3536,0.0072622276,8750,-481336.75,-0.004808041946962476,-0.013132097,5.66775
-0.0032449611,9000,0.99,1.0714581,36,2116,8.29780387878418,0.47679996,0.01759475,9000,-44.97861862182617,-0.0047916877688840035,-0.009604538,5.668887
-0.004026604,9250,0.99,0.08336236,37,2197,8.450650691986084,0.5132,0.015167925,9250,-8.335158348083496,-0.00478746977634728,-0.007894881,5.672019
-0.0048176832,9500,0.99,0.05687645,38,2194,8.598930597305298,0.42239994,0.0025870935,9500,-77250.4296875,-0.004777101879008114,0.028058972,5.6728277
-0.004817666,9750,0.99,0.12425351,39,2199,8.74762225151062,0.51000005,0.00078310387,9750,-44614.7265625,-0.004772552191279828,0.020223565,5.6703386
-0.0032256024,10000,0.99,0.6997431,40,2171,8.896484613418579,0.45279998,0.0041819294,10000,-10.751155853271484,-0.004771635574288666,-0.009208908,5.669065
-0.004824346,10250,0.99,0.09246479,41,2121,9.048202276229858,0.42080003,0.0027416751,10250,-50999.53515625,-0.004776072576642036,-0.010934472,5.6693892
-0.0048265965,10500,0.99,0.15562402,42,2214,9.201554536819458,0.4684,0.0022441302,10500,-37346.3203125,-0.004778759302571416,-0.018085718,5.668503
-0.004825119,10750,0.99,0.8506144,43,2137,9.34997272491455,0.51960003,0.02800726,10750,-1062008.125,-0.004768658736720681,-0.008921578,5.667601
-0.004042249,11000,0.99,0.060809363,44,2163,9.503124713897705,0.43039998,0.013991338,11000,-56.684234619140625,-0.004788813227787614,-0.0039021256,5.6661377
-0.004846653,11250,0.99,0.12948671,45,2106,9.653548955917358,0.56359994,0.0023672883,11250,-66418.984375,-0.004788536112755537,-0.0075318157,5.662598
-0.004040576,11500,0.99,1.4243987,46,2129,9.808263540267944,0.29360002,0.0029826455,11500,-24.433778762817383,-0.004788583014160395,-0.0138903605,5.6599827
-0.0048578037,11750,0.99,0.18948545,47,2046,9.964013576507568,0.3308,0.006966704,11750,-526912.6875,-0.004803707366809249,-0.013139209,5.6546373
-0.004048265,12000,0.99,0.042617705,48,2202,10.12175703048706,0.41039997,0.013529482,12000,-139.13873291015625,-0.0048029114631935954,-0.010458784,5.650735
-0.004861612,12250,0.99,0.3395222,49,2162,10.270298480987549,0.37440002,0.018889932,12250,-1965829.625,-0.00480242304969579,-0.0128766075,5.6457887
-0.00405266,12500,0.99,0.69649994,50,2147,10.421068668365479,0.3512,0.045770746,12500,-56.02744674682617,-0.004809716222807765,-0.019420713,5.6433396
-0.004855875,12750,0.99,0.030233324,51,2016,10.572556972503662,0.34840003,0.023393113,12750,-363457.65625,-0.00479639639146626,-0.0048784195,5.643364
-0.0040243748,13000,0.99,0.16596663,52,2242,10.731324195861816,0.5928,0.01592105,13000,-79.30844116210938,-0.004776022909209132,-0.011473012,5.642728
-0.0048134117,13250,0.99,0.075846195,53,2255,10.877056360244751,0.5015999,0.006740743,13250,-30241.71875,-0.004766137842088938,0.012712946,5.6401052
