policy_entropy,ep_reward_mean,true_reward,policy_loss,clipfrac,fps,value_loss,approxkl,time_elapsed,serial_timesteps,n_updates,explained_variance,total_timesteps,ep_len_mean
5.676777,-0.09864079053896603,-0.015959488,-0.0039873607,0.05496,3552,0.030877847,0.0047836346,0.0019121170043945312,250,1,-0.029196739196777344,25000,24.86
5.6780953,-0.09832556697396398,-0.015345329,-0.0014503547,0.010728,50238,0.013742139,0.0015322196,7.628140211105347,500,2,0.10230100154876709,50000,26.95
5.679283,-0.13832535284836808,-0.013156617,-0.0014772185,0.008284,54620,0.010190734,0.0014785251,8.579377889633179,750,3,0.04474687576293945,75000,35.0
5.678237,-0.1232216588614665,-0.013240747,-0.0014364739,0.013104001,56249,0.007732296,0.001854745,9.483618974685669,1000,4,0.25450581312179565,100000,31.81
5.6787686,-0.15881044725526067,-0.0133561,-0.001574602,0.022516001,53429,0.008227702,0.0024492962,10.377339363098145,1250,5,0.2837415337562561,125000,33.9
5.6770096,-0.1630387379707281,-0.012607106,-0.0011639682,0.013832,56370,0.008797517,0.0018811583,11.30387282371521,1500,6,0.23824691772460938,150000,36.03
5.6765847,-0.16799491415921466,-0.013064612,-0.00077582477,0.0031319999,56087,0.00771332,0.00090480444,12.173402309417725,1750,7,0.2624095678329468,175000,32.03
5.6756144,-0.16096764697182153,-0.0145501,-0.0011505557,0.007772,56483,0.0068786577,0.0012603005,13.038995027542114,2000,8,0.3390369415283203,200000,28.62
5.6734343,-0.10226044848129731,-0.0138744125,-0.001013946,0.016104,55407,0.0071412185,0.0020428584,13.906436443328857,2250,9,0.28329604864120483,225000,28.91
5.6722546,-0.1049690793933405,-0.013875171,-0.000789213,0.002788,56333,0.006023003,0.0009738953,14.797287940979004,2500,10,0.304110586643219,250000,31.64
5.670869,-0.1533956082102395,-0.013388262,-0.0009437632,0.010548,52568,0.0055388673,0.0017885683,15.662596940994263,2750,11,0.39910584688186646,275000,33.8
5.6688304,-0.11467883004001124,-0.014140734,-0.0011206792,0.004532,55783,0.0060807685,0.000986945,16.56268811225891,3000,12,0.4292837381362915,300000,30.77
5.6680923,-0.051264144867459435,-0.012501013,-0.0018434577,0.020332,54350,0.0068864883,0.0022811443,17.436351537704468,3250,13,0.46407103538513184,325000,32.68
5.6637454,-0.0817240284856507,-0.012186299,-0.0014529368,0.007804,55389,0.009421408,0.0014667851,18.31955885887146,3500,14,0.519598126411438,350000,26.87
5.654931,-0.10266658019898386,-0.01060648,-0.0016869458,0.017475998,54918,0.0093131205,0.0021037478,19.176445722579956,3750,15,0.5587679147720337,375000,41.69
5.6509295,-0.12674924790784645,-0.010650231,-0.0013158809,0.011060001,53869,0.009531174,0.0016666085,20.06016254425049,4000,16,0.6245538890361786,400000,37.31
5.6463785,-0.10280147939970334,-0.011011373,-0.0017954335,0.018824,55398,0.010313057,0.0024708505,20.95267629623413,4250,17,0.6280616521835327,425000,37.86
5.637891,-0.13483577304164554,-0.010619808,-0.0016091414,0.012424001,54907,0.012300216,0.0016996888,21.833943843841553,4500,18,0.6387832462787628,450000,41.02
5.633846,-0.0804304368720571,-0.009276282,-0.0011384258,0.006112,55126,0.0134981545,0.0014572256,22.711612701416016,4750,19,0.6570945680141449,475000,47.31
