ep_len_mean,time_elapsed,explained_variance,fps,policy_entropy,approxkl,total_timesteps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,value_loss,true_reward,policy_loss
68.59,21.87878966331482,0.6345870196819305,57610,5.6234202,0.002011077,425000,0.0149679985,1.4548853213840993,17,4250,0.6988562,-0.046155956,-0.0019818533
78.69,22.73885202407837,0.7169294059276581,56447,5.620448,0.0016510971,450000,0.012272,1.5923656631692484,18,4500,0.52813566,-0.03775424,-0.0018060763
81.25,23.614099740982056,0.7789367139339447,54606,5.6178427,0.0038345377,475000,0.041608002,1.5079972932916825,19,4750,0.4549171,-0.03632685,-0.0026280615
73.62,24.502649545669556,0.7431280314922333,54568,5.6156054,0.0035080307,500000,0.038984,1.5391673511834414,20,5000,0.52867645,-0.039703995,-0.0024491805
84.99,25.371708869934082,0.8317167609930038,54686,5.6101184,0.00428956,525000,0.049719997,1.7941630041087775,21,5250,0.37626302,-0.03326837,-0.002505647
80.8,26.29154396057129,0.8450498133897781,50934,5.601303,0.0026574358,550000,0.023576,1.6151134916149386,22,5500,0.3779084,-0.03048864,-0.0019602352
82.17,27.26059913635254,0.8530723303556442,54297,5.594191,0.0037584875,575000,0.040028,1.471502416489627,23,5750,0.39238006,-0.02842381,-0.0025440839
87.03,28.17252779006958,0.9121264740824699,54423,5.588912,0.0021522539,600000,0.02026,1.5994872873833128,24,6000,0.24201044,-0.026748031,-0.0022865194
83.24,29.082995176315308,0.8886051326990128,50421,5.581383,0.0038607419,625000,0.043171998,1.7555799035516158,25,6250,0.30389094,-0.02689873,-0.0024399306
90.48,30.044847011566162,0.9024311825633049,45567,5.5722885,0.0027420507,650000,0.022272002,1.6702245022349234,26,6500,0.30377743,-0.02770037,-0.001758175
91.88,31.06387686729431,0.9168310388922691,53588,5.5603957,0.002580881,675000,0.026047999,1.8617924243386914,27,6750,0.24704978,-0.02189951,-0.0019877623
83.29,31.937817335128784,0.9282953515648842,55909,5.554512,0.0026794742,700000,0.021275999,1.7176944224141426,28,7000,0.24271357,-0.025405308,-0.0019712218
88.51,32.823935985565186,0.9114788919687271,56177,5.5481353,0.0031963163,725000,0.030328,1.6914023086957672,29,7250,0.28675765,-0.026020892,-0.0018993983
98.23,33.685709714889526,0.9302527979016304,58611,5.54513,0.002603103,750000,0.025711998,2.172643964006868,30,7500,0.21445413,-0.021163266,-0.0019972196
92.97,34.54092359542847,0.93534716963768,56865,5.541976,0.0017581556,775000,0.0098399995,1.745747282037441,31,7750,0.20075199,-0.023424301,-0.0016777834
91.0,35.38876438140869,0.9428868070244789,56987,5.539681,0.002846248,800000,0.024536,1.6157595156405204,32,8000,0.20136447,-0.023585286,-0.002061551
86.55,36.27759790420532,0.9295879453420639,52135,5.533973,0.0032410044,825000,0.031196002,1.773319788327774,33,8250,0.2380527,-0.023184959,-0.002032909
103.04,37.20256018638611,0.9457196891307831,51279,5.529886,0.0023262105,850000,0.016776,2.1947417986572693,34,8500,0.17388369,-0.019514749,-0.0020273686
83.92,38.127485275268555,0.9333120808005333,54187,5.5304756,0.0020056893,875000,0.013436,1.8900526027694604,35,8750,0.2136533,-0.021743445,-0.0015212441
92.4,39.02295160293579,0.9428458884358406,53494,5.530837,0.0021973061,900000,0.01736,2.0154703939570164,36,9000,0.18627843,-0.020797972,-0.002134777
94.49,39.93578004837036,0.9370919913053513,44811,5.527192,0.0021956582,925000,0.016784,2.050732199985027,37,9250,0.21510625,-0.02032865,-0.00207025
88.41,40.93106031417847,0.9486976489424706,54989,5.5191507,0.0025563578,950000,0.024332,1.8317272799232887,38,9500,0.18246403,-0.020396346,-0.002236959
106.45,41.79437565803528,0.9501914903521538,55025,5.515382,0.0027862291,975000,0.024459999,2.331794156281748,39,9750,0.17118177,-0.015427811,-0.0016446911
94.32,42.661659955978394,0.945093609392643,56013,5.509013,0.0028314728,1000000,0.025371999,1.9066948432004005,40,10000,0.20455173,-0.02066543,-0.0017830381
96.03,43.521578550338745,0.9468478932976723,54777,5.5046983,0.0022742122,1025000,0.0150999995,2.1567994642885058,41,10250,0.18813445,-0.016563911,-0.0019473943
108.15,44.43320393562317,0.9474001079797745,55711,5.4980607,0.002210276,1050000,0.016015999,2.0338066703063826,42,10500,0.1783416,-0.014553349,-0.0014881159
99.27,45.29799437522888,0.9578563496470451,56953,5.49327,0.0027215134,1075000,0.021871999,2.295527736560134,43,10750,0.1511573,-0.01743122,-0.0020196442
94.67,46.16584014892578,0.9508102312684059,53016,5.4901185,0.0023886708,1100000,0.018663999,1.9177779836465196,44,11000,0.17003211,-0.01849781,-0.0020959126
92.78,47.07613253593445,0.9539518468081951,54770,5.4855194,0.0014682385,1125000,0.010564,2.1919458653379253,45,11250,0.16564204,-0.015976869,-0.0015924305
107.73,47.95437145233154,0.9360783696174622,52559,5.4843554,0.0018911362,1150000,0.014104001,2.2123344098222084,46,11500,0.20529369,-0.013929372,-0.0014495836
93.75,48.86137294769287,0.953848622739315,55291,5.4820848,0.002413401,1175000,0.01852,2.004411339089807,47,11750,0.15932068,-0.014362488,-0.0018135027
99.7,49.72396779060364,0.9445986822247505,55473,5.4759455,0.0017359821,1200000,0.009588,2.081990240193305,48,12000,0.19210556,-0.017807083,-0.0015348371
91.54,50.62161612510681,0.9488347768783569,55433,5.470807,0.0025691171,1225000,0.024176,1.9958658170527679,49,12250,0.17716703,-0.017984286,-0.0018246693
92.24,51.50026059150696,0.9511656723916531,55275,5.4682856,0.0021059122,1250000,0.014992001,2.0196089458717235,50,12500,0.17960207,-0.018882874,-0.001880561
106.96,52.39136791229248,0.948868852108717,51582,5.464218,0.0019498148,1275000,0.014227999,2.256407603635507,51,12750,0.17666696,-0.012176672,-0.0018647987
92.16,53.319512128829956,0.9520209059119225,57331,5.4588614,0.0025006123,1300000,0.019732002,1.8610617487024548,52,13000,0.18373157,-0.019816631,-0.0020019393
90.49,54.160598278045654,0.9508178159594536,55258,5.4542327,0.002113667,1325000,0.016628,2.1017522894951073,53,13250,0.18171522,-0.016379325,-0.0020868354
93.51,55.04939246177673,0.9457033686339855,52439,5.4475546,0.0029351008,1350000,0.027860004,2.0107371742043414,54,13500,0.18137799,-0.016209915,-0.002289372
84.68,55.971126556396484,0.9434183202683926,54425,5.440517,0.0031226028,1375000,0.025964001,1.993759819300576,55,13750,0.2062097,-0.015240604,-0.0025291878
94.27,56.859076738357544,0.9458449557423592,55930,5.4363365,0.0033933606,1400000,0.032768,2.1670606378449704,56,14000,0.19354309,-0.015941206,-0.0023264964
100.1,57.76216197013855,0.9538089297711849,56149,5.4339294,0.0026867222,1425000,0.022392001,2.311546809743929,57,14250,0.16842654,-0.014438357,-0.0017846227
100.54,58.66047787666321,0.9542935825884342,58011,5.42964,0.0019170936,1450000,0.013532001,2.2925671385961413,58,14500,0.16421951,-0.011670357,-0.0017313531
98.28,59.523404121398926,0.9536765031516552,56645,5.4253,0.002169664,1475000,0.015759999,2.312887694481385,59,14750,0.17928788,-0.013660047,-0.0016113637
96.99,60.388739824295044,0.9613513499498367,54879,5.418623,0.0016682178,1500000,0.010836001,2.299113317268493,60,15000,0.1568707,-0.012250017,-0.001808396
103.16,61.26536297798157,0.96077586337924,53567,5.4132857,0.0024967971,1525000,0.018172,2.5951840504083425,61,15250,0.1533965,-0.009188463,-0.0023538475
100.24,62.17874455451965,0.9594093672931194,55150,5.4116397,0.0022107419,1550000,0.016024001,2.1824098154196943,62,15500,0.16252905,-0.012818098,-0.0018579407
120.8,63.056907415390015,0.9547834396362305,55494,5.4092655,0.0021562758,1575000,0.016959999,2.8856741401677937,63,15750,0.17951545,-0.0063037206,-0.001889609
100.43,63.92015814781189,0.9627229869365692,54256,5.4075766,0.0019318396,1600000,0.010688,2.2634087348569483,64,16000,0.1591381,-0.013122179,-0.0015210595
95.31,64.83804035186768,0.9494412802159786,47355,5.402357,0.0029861664,1625000,0.025268,1.8301580672382625,65,16250,0.22176632,-0.01612987,-0.0021338896
102.44,65.93475985527039,0.968133844435215,36224,5.3963966,0.001973061,1650000,0.015444001,2.350418207958419,66,16500,0.12911567,-0.009656922,-0.0015381959
91.18,67.08612585067749,0.9625408202409744,55668,5.3921413,0.0021413486,1675000,0.014403999,2.058956086567014,67,16750,0.16913277,-0.011500983,-0.00210602
103.47,68.04179120063782,0.9627333618700504,56026,5.3872128,0.0017237386,1700000,0.010672,2.4379747493567505,68,17000,0.15084434,-0.009724495,-0.0018460598
92.42,69.05810761451721,0.9680337011814117,44765,5.380326,0.0023719836,1725000,0.016991999,2.261888989018887,69,17250,0.13238741,-0.009702366,-0.001968278
102.62,70.06563448905945,0.9681234247982502,57059,5.373076,0.0026166183,1750000,0.021524,2.2269568470621106,70,17500,0.13839404,-0.009501672,-0.0017568013
95.9,70.91174983978271,0.957656268030405,56054,5.3641176,0.00261399,1775000,0.0201,2.1475870641053736,71,17750,0.17603742,-0.012953443,-0.0019284075
107.18,71.7813081741333,0.9639826193451881,57107,5.3596935,0.0026149494,1800000,0.022240002,2.4702671429296243,72,18000,0.15957445,-0.007848854,-0.0021761446
97.72,72.64256143569946,0.9659675806760788,55746,5.3571405,0.002660929,1825000,0.02402,2.3438483080833157,73,18250,0.1515795,-0.012367528,-0.0020950027
107.3,73.53875732421875,0.9667786993086338,56707,5.353801,0.002629154,1850000,0.01904,2.210730758537902,74,18500,0.13504897,-0.009280812,-0.0021525528
93.23,74.38784909248352,0.9635941088199615,55184,5.3479295,0.0022915057,1875000,0.019776,2.4392665078396023,75,18750,0.15491685,-0.011614822,-0.0021427658
82.45,75.28086352348328,0.9658828228712082,49838,5.340436,0.0024848063,1900000,0.018068,2.0074154384002396,76,19000,0.14892253,-0.012145088,-0.0016647603
85.91,76.21573734283447,0.9699554815888405,56338,5.332891,0.0018589456,1925000,0.014416,2.0092683591284914,77,19250,0.1234649,-0.010737559,-0.0017706736
93.24,77.0750949382782,0.9670435786247253,57691,5.327282,0.0032634053,1950000,0.03066,2.320788895591013,78,19500,0.13540573,-0.010571203,-0.0024239111
98.15,77.92651414871216,0.9575781300663948,54296,5.322047,0.0023479084,1975000,0.020047998,2.326100146370463,79,19750,0.16453376,-0.008555482,-0.0020839574
97.89,78.79651069641113,0.970521803945303,55776,5.316026,0.0028062616,2000000,0.025948,2.305975987935126,80,20000,0.12816788,-0.0070342706,-0.0019451119
93.85,79.66691946983337,0.9692729990929365,57255,5.3165064,0.0026619486,2025000,0.019803999,2.10771561010245,81,20250,0.13443634,-0.009596451,-0.0017914627
88.57,80.5420229434967,0.9768664706498384,54909,5.3155217,0.0024901736,2050000,0.019468,1.8493279567959506,82,20500,0.11290952,-0.013448419,-0.00216601
99.69,81.4214539527893,0.9662565737962723,54762,5.313752,0.0021659257,2075000,0.017604,2.246679253764571,83,20750,0.14410715,-0.009665339,-0.0015241413
94.43,82.29700922966003,0.9647149778902531,53824,5.3122396,0.003012137,2100000,0.029315999,2.338681820888919,84,21000,0.14490366,-0.008576333,-0.00243402
97.28,83.15838527679443,0.9619079232215881,51991,5.3098173,0.0026498572,2125000,0.023008,2.3875576117797572,85,21250,0.16324942,-0.0103433365,-0.0021370586
96.25,84.06104397773743,0.9718665163964033,55384,5.3049364,0.0025988263,2150000,0.021464001,2.4412691690693875,86,21500,0.12413646,-0.007452547,-0.0019399831
90.47,84.968923330307,0.9661144241690636,56094,5.295735,0.0028769153,2175000,0.025028002,2.1720451628746016,87,21750,0.14450839,-0.008535951,-0.0022469044
82.44,85.86936092376709,0.9737442694604397,48864,5.285335,0.0037746355,2200000,0.035048,1.8597453398675543,88,22000,0.11146542,-0.009184435,-0.0025123302
89.72,86.7945864200592,0.9723576735705137,55582,5.278228,0.0023170158,2225000,0.015311999,2.242542188694331,89,22250,0.12015833,-0.0066063525,-0.001957681
94.04,87.67002701759338,0.9677842445671558,57331,5.271588,0.0014570919,2250000,0.009652,2.2709343535769766,90,22500,0.13837442,-0.0069731567,-0.0020080712
96.91,88.50281929969788,0.964858278632164,57684,5.264537,0.0025283261,2275000,0.019248001,2.057969544432218,91,22750,0.16166982,-0.010323824,-0.0020129657
86.32,89.34503507614136,0.9798283893615007,55127,5.257888,0.0021149933,2300000,0.016183998,2.1704689431095905,92,23000,0.09245677,-0.010001587,-0.0021291615
88.06,90.21682524681091,0.9759929776191711,54429,5.2514744,0.001900227,2325000,0.015832,2.240376714700151,93,23250,0.11895184,-0.010924009,-0.0018640641
77.84,91.10544610023499,0.9760027788579464,53614,5.2482786,0.002090244,2350000,0.015292001,1.935724955602527,94,23500,0.11022307,-0.012554926,-0.0021508222
89.37,91.99369597434998,0.9729848653078079,56212,5.247306,0.0021529885,2375000,0.017036,2.280566345441075,95,23750,0.1306114,-0.00919205,-0.0018239788
88.93,92.8533616065979,0.9627996347844601,54556,5.2474165,0.0043496788,2400000,0.048172,1.9999532978268098,96,24000,0.16324165,-0.010463447,-0.0028528261
90.18,93.75320219993591,0.9746763296425343,57647,5.244735,0.0032575,2425000,0.026716,2.0899446556531984,97,24250,0.11270791,-0.0091649825,-0.0020269202
84.85,94.61616253852844,0.9812653195112944,56214,5.2404757,0.0018340253,2450000,0.010888,1.8539356519128705,98,24500,0.08600155,-0.012029096,-0.001857841
93.09,95.48871612548828,0.9757160898298025,57492,5.2322707,0.002761628,2475000,0.024864,2.3637900659720437,99,24750,0.10815523,-0.006322874,-0.0019952443
100.29,96.37555837631226,0.9759063851088285,53528,5.226301,0.00300842,2500000,0.027003998,2.522209753415591,100,25000,0.107913695,-0.005565126,-0.002235379
