policy_entropy,value_loss,policy_loss,total_timesteps,ep_len_mean,approxkl,n_updates,true_reward,ep_reward_mean,time_elapsed,fps,explained_variance,serial_timesteps,clipfrac
5.6755624,0.02528658,-0.0027728842,25000,17.85,0.0032885093,1,0.0061199153,0.35633853720501063,0.0014798641204833984,3962,-0.42424511909484863,250,0.032183997
5.672652,0.01848109,-0.002177679,50000,17.35,0.0027062355,2,0.005977407,0.3465239917859435,6.915417432785034,66699,0.009594380855560303,500,0.025779998
5.6654406,0.013972558,-0.0018186044,75000,18.32,0.0022008922,3,0.0059796674,0.3669345219805837,7.7545928955078125,66334,0.2960885167121887,750,0.018259998
5.6597495,0.008005541,-0.0022892237,100000,18.06,0.0032577824,4,0.0059791156,0.35837162934243677,8.60259222984314,65982,0.5892395377159119,1000,0.033588
5.653377,0.0053266566,-0.0027095864,125000,18.31,0.0022250125,5,0.006261572,0.36542592165991666,9.444084882736206,67385,0.749726265668869,1250,0.020544
5.648503,0.0039284686,-0.0034504596,150000,17.19,0.0047872057,6,0.006304977,0.34371405851095915,10.249760150909424,65058,0.8313265740871429,1500,0.059635997
5.642568,0.0033933837,-0.0020584334,175000,18.1,0.0019055316,7,0.006765973,0.35541586570441724,11.087138891220093,68146,0.8544346392154694,1750,0.017188001
5.6383724,0.0033587925,-0.0028525542,200000,20.19,0.0043529035,8,0.0069585303,0.40022904677316545,11.87346863746643,64164,0.8596317023038864,2000,0.051656
5.6325455,0.0034296487,-0.0024609447,225000,19.04,0.0029223177,9,0.007110942,0.38146963097155095,12.69369912147522,66989,0.8583431839942932,2250,0.029843997
5.6256547,0.0031866464,-0.0035299198,250000,19.35,0.0056465147,10,0.0075371736,0.3856415222771466,13.518574953079224,68734,0.8721741884946823,2500,0.074576005
5.619085,0.0032124047,-0.0024359997,275000,19.25,0.0033294763,11,0.007841121,0.382328328108415,14.310782670974731,67461,0.8752184361219406,2750,0.036372
5.612901,0.0036164082,-0.0029396343,300000,20.07,0.0051186564,12,0.008283954,0.40351507652550933,15.137403726577759,67436,0.8664394021034241,3000,0.065464005
5.6047983,0.0033690087,-0.0025836215,325000,21.35,0.0038681426,13,0.008706957,0.42979780692607167,15.9306001663208,59190,0.8818545863032341,3250,0.045016002
5.5954185,0.003508864,-0.0043947366,350000,21.14,0.0068084137,14,0.009218609,0.42441837666556237,16.777181386947632,65609,0.8822089284658432,3500,0.094027996
5.5816736,0.0036864225,-0.0024121837,375000,21.94,0.0030801557,15,0.009563514,0.4435333550348878,17.607182025909424,68047,0.8811340630054474,3750,0.029176
5.567167,0.003919824,-0.004122448,400000,21.28,0.006950973,16,0.009872515,0.4283899352606386,18.39052700996399,65740,0.882957436144352,4000,0.096528
5.552623,0.0038265628,-0.0025581361,425000,21.63,0.004146385,17,0.010324178,0.436416526613757,19.21471881866455,67556,0.8913999497890472,4250,0.048387997
5.539429,0.0039664367,-0.004512839,450000,24.07,0.007597643,18,0.010919067,0.48707602349109946,20.019964933395386,67338,0.8961331248283386,4500,0.107516006
5.525047,0.004071875,-0.0029284682,475000,24.76,0.004825741,19,0.011425111,0.49918127662036565,20.817036867141724,67970,0.899774432182312,4750,0.060140003
5.5103617,0.0044172728,-0.004091642,500000,27.07,0.0068866475,20,0.0120755285,0.552826674617827,21.616581678390503,65827,0.901695005595684,5000,0.095132
5.495717,0.004928791,-0.0022155861,525000,27.65,0.0035284646,21,0.0126107335,0.5845132143888623,22.432596683502197,67965,0.8995321691036224,5250,0.03618
5.480586,0.004978857,-0.0043199123,550000,29.86,0.007405983,22,0.013304691,0.6134804474841803,23.228609323501587,65459,0.9038029536604881,5500,0.10660801
5.4643226,0.0055703586,-0.0027889628,575000,28.08,0.0047776946,23,0.013366338,0.5734170136228204,24.039710521697998,69037,0.9021473899483681,5750,0.058555998
5.448883,0.006092109,-0.0038556573,600000,33.73,0.0068586627,24,0.014531613,0.7105231838393956,24.834125995635986,60211,0.9000682309269905,6000,0.096248
5.4324703,0.006428674,-0.0037439205,625000,34.62,0.00568633,25,0.015157229,0.7317400979436934,25.65503692626953,55144,0.9101767614483833,6250,0.078412004
5.4135976,0.007343708,-0.0037690536,650000,37.96,0.0066525443,26,0.01562671,0.8151260580634698,26.51914644241333,70114,0.9055395424365997,6500,0.091235995
5.3944907,0.0069835884,-0.003925034,675000,39.91,0.006241073,27,0.016474688,0.8449912334000692,27.28282070159912,57730,0.9218604788184166,6750,0.086568
5.3755975,0.008327606,-0.0029477186,700000,42.92,0.005696841,28,0.016431188,0.9048091326390568,28.141937017440796,67324,0.9078921601176262,7000,0.0751
5.357914,0.009562837,-0.0038683254,725000,44.01,0.0057537425,29,0.01737702,0.9184704828169197,28.93334722518921,69066,0.9138632193207741,7250,0.076056
5.342311,0.012062831,-0.0025406391,750000,51.22,0.0056990804,30,0.017850276,1.0655796556972108,29.726003408432007,68979,0.9062467664480209,7500,0.074656
5.327193,0.0120296385,-0.0031808596,775000,56.09,0.005785361,31,0.018376898,1.1823672196894768,30.493525505065918,69491,0.9149331301450729,7750,0.078072
5.3135633,0.021543194,-0.0017151355,800000,59.29,0.003963614,32,0.019061564,1.2564956447412259,31.253718614578247,70896,0.8513022661209106,8000,0.043496
5.2999854,0.018891612,-0.0031501472,825000,67.43,0.0050986498,33,0.019741258,1.4704519768850879,32.01014041900635,68127,0.8771289363503456,8250,0.063248
5.285579,0.02542961,-0.0021300304,850000,59.77,0.0043593263,34,0.020220209,1.3278393271405367,32.76442313194275,71666,0.8471836447715759,8500,0.052012004
