ep_reward_mean,clipfrac,ep_len_mean,policy_entropy,approxkl,time_elapsed,true_reward,policy_loss,serial_timesteps,value_loss,total_timesteps,explained_variance,n_updates,fps
5.585012508270626,0.01048,236.29,5.612962,0.0017300555,105.45790386199951,0.011845803,-0.0012096541,25000,0.6207951,2500000,0.9735185448080301,100,52497
5.4753692910517975,0.042536,240.3,5.6026945,0.0040518986,106.36879920959473,0.0130922375,-0.0017474208,25250,1.585477,2525000,0.9183697327971458,101,53226
6.068914824163314,0.035348,242.29,5.6003914,0.0033838474,107.31850051879883,0.016890554,-0.0019058477,25500,1.287782,2550000,0.931889608502388,102,52972
5.9535523191098685,0.039720003,230.71,5.598523,0.0038429978,108.23784875869751,0.008263695,-0.00082622544,25750,1.3474557,2575000,0.94217748939991,103,51810
5.650741497641297,0.054811995,231.99,5.598566,0.0049632685,109.1705207824707,0.008299777,-0.0017607932,26000,1.3592267,2600000,0.9295239821076393,104,51989
5.922055342098702,0.043948,247.56,5.603296,0.0041603483,110.10287094116211,0.021692213,-0.0005997612,26250,0.27887934,2625000,0.9872320322319865,105,53947
5.548520280861608,0.062268,233.91,5.603665,0.005526715,111.01307129859924,0.009973366,0.0013657223,26500,0.77948266,2650000,0.9686331003904343,106,53248
5.605261450154367,0.067708,242.81,5.602255,0.0056541013,111.93366384506226,0.017375814,0.0012297428,26750,0.46295696,2675000,0.981920437887311,107,40302
6.504514614498881,0.056632,238.57,5.599119,0.0049839537,112.98454904556274,0.017397245,0.00071188435,27000,0.42138284,2700000,0.9829343166202307,108,53513
6.471926268441457,0.040868,244.3,5.593278,0.004025482,113.89134883880615,0.020132316,-0.00085731194,27250,0.61559564,2725000,0.9789256118237972,109,51584
6.4300347468267525,0.046279997,242.61,5.591596,0.0042521697,114.82429146766663,0.020203695,-0.0001706116,27500,0.35069373,2750000,0.9865568904206157,110,52873
5.9444846483886975,0.06189599,241.56,5.594208,0.0054398784,115.74584579467773,0.016989127,7.710217e-05,27750,1.059082,2775000,0.9565990306437016,111,48414
5.726330439547737,0.047348,240.53,5.5929937,0.0039929803,116.71632504463196,0.013665888,-0.0013964286,28000,1.5003836,2800000,0.9365401566028595,112,51618
5.788773086685206,0.02102,240.7,5.591101,0.0025342926,117.64626908302307,0.016338648,-0.0014372829,28250,0.75808495,2825000,0.9667079485952854,113,51852
5.951377964367125,0.008364,243.11,5.5900903,0.0013461292,118.58740568161011,0.018177014,-0.0011306573,28500,0.40508008,2850000,0.9817564394325018,114,41744
6.389261933013563,0.025080001,246.81,5.58847,0.002674559,119.64722394943237,0.021923803,-0.0013163139,28750,0.62425935,2875000,0.9741203971207142,115,44139
6.487454260345885,0.035264,248.05,5.584329,0.0035459616,120.64491987228394,0.024205066,-0.0018725533,29000,0.33558443,2900000,0.9870297880843282,116,54424
6.27674073186221,0.032619998,250.0,5.577285,0.003460855,121.56492805480957,0.025106963,-0.0010487702,29250,0.10509716,2925000,0.9958199327811599,117,49779
6.069635155559424,0.032672,250.0,5.5694323,0.003278553,122.50469207763672,0.02427854,0.0005757967,29500,0.16103303,2950000,0.9937454415485263,118,51319
5.9395388459297696,0.058212005,233.85,5.570797,0.0050515244,123.42203187942505,0.007542444,0.0011799684,29750,2.6433737,2975000,0.891630008816719,119,51490
5.533232194680036,0.024887998,229.08,5.571686,0.0027169837,124.36324620246887,0.005931164,-0.00039840367,30000,1.2717259,3000000,0.958863090723753,120,52431
6.02467068040467,0.011523999,240.77,5.5727625,0.0015453734,125.29522800445557,0.017155584,-0.0013978557,30250,0.3453341,3025000,0.9866386111825705,121,52575
6.236563377050545,0.013543999,240.36,5.5700274,0.002033652,126.23243308067322,0.017471371,-0.0017287867,30500,0.38131917,3050000,0.9872502498328686,122,52623
5.81177201946274,0.012652,245.38,5.566047,0.0017489588,127.16708064079285,0.019559791,-0.0011017784,30750,0.56010604,3075000,0.9744791854172945,123,49161
6.058630189228756,0.02306,239.31,5.562449,0.0024195553,128.123379945755,0.013002037,-0.0011721093,31000,1.9921644,3100000,0.9125790670514107,124,52729
5.973333220065724,0.023976002,248.17,5.5561385,0.002719011,129.03303146362305,0.02199423,-0.0017722711,31250,0.39251333,3125000,0.9802810437977314,125,53453
6.346381856237222,0.031324,244.57,5.5455313,0.0031417038,129.95878052711487,0.019958653,-0.001568685,31500,0.9238189,3150000,0.952614177018404,126,51679
5.776481826078084,0.070244,238.22,5.5399885,0.0057060774,130.9149088859558,0.013875857,-0.0013025474,31750,1.0236537,3175000,0.95296261459589,127,46857
4.580664384899246,0.029388001,243.38,5.539047,0.0030773948,131.86763668060303,0.012848333,-0.00044296458,32000,0.7566745,3200000,0.9672361239790916,128,53815
5.1083911141613205,0.025532002,240.45,5.538274,0.0025644265,132.78293681144714,0.01113648,-0.0011514432,32250,1.2413477,3225000,0.9439106024801731,129,50955
5.312968492364871,0.072432,239.67,5.5309258,0.0056702187,133.7675712108612,0.011960274,-0.0020953806,32500,1.3272303,3250000,0.9294518828392029,130,41185
5.128641634382718,0.016316,245.46,5.5246387,0.0023236845,134.91946697235107,0.016635323,-0.0014192065,32750,0.27921256,3275000,0.9872978804633021,131,39938
5.655959081815854,0.034696,247.7,5.519315,0.003624815,136.05389380455017,0.020734932,-0.002687024,33000,0.24525964,3300000,0.9841305669397116,132,49662
6.587552451366091,0.036927998,250.0,5.5147653,0.0038505022,137.00396394729614,0.026350213,-0.002308417,33250,0.13289586,3325000,0.9900420997291803,133,52416
5.649462491842271,0.037464,243.27,5.5057015,0.0035044611,137.95686888694763,0.015314877,-0.0015997341,33500,1.6239849,3350000,0.8896123990416527,134,49786
6.253506022865099,0.004584,247.56,5.5005493,0.0013223086,138.92490816116333,0.023002354,-0.0016932432,33750,0.16722211,3375000,0.9860787913203239,135,46762
5.858671237830954,0.023183998,248.16,5.4945226,0.0027635652,139.98124146461487,0.02160493,-0.0015080366,34000,0.4954695,3400000,0.957055576145649,136,46040
5.640911640548234,0.024216,250.0,5.4894323,0.002611394,140.9969470500946,0.022563647,-0.0009052722,34250,0.15616907,3425000,0.9816165622323751,137,51683
5.710312475428359,0.014676,247.54,5.4879217,0.0020569009,141.94698429107666,0.021062095,-0.00030310574,34500,0.39831418,3450000,0.9408644512295723,138,49552
5.3545733477959585,0.0054239994,248.43,5.4836464,0.0013936555,142.90032982826233,0.019567298,-0.0005134415,34750,0.51142037,3475000,0.9334987178444862,139,52456
5.404979869685222,0.126044,240.31,5.4752526,0.010110816,143.81767678260803,0.010442894,-0.0013397892,35000,2.684717,3500000,0.6237369477748871,140,51520
5.9330410303774626,0.010631999,250.0,5.46958,0.0019713454,144.75233244895935,0.023732165,-0.0009833276,35250,0.13060448,3525000,0.9809279311448336,141,50969
5.653791713913855,0.030895999,250.0,5.459489,0.0030706753,145.70906448364258,0.022615168,-0.0011738505,35500,0.101400174,3550000,0.9738396946340799,142,50368
5.2389373901327625,0.025576001,250.0,5.4489126,0.002830035,146.65991401672363,0.020955753,-0.001497075,35750,0.13552454,3575000,0.953094482421875,143,52393
5.00765618609756,0.013764,250.0,5.4437323,0.0022367144,147.60037851333618,0.020030625,-0.0010515971,36000,0.13377269,3600000,0.9436963833868504,144,46664
5.036290434884786,0.02704,250.0,5.4399066,0.0031461162,148.59897184371948,0.020145161,-0.0018086147,36250,0.10983237,3625000,0.9567024633288383,145,47700
5.109053192932937,0.017304,250.0,5.436206,0.0025446608,149.61116886138916,0.020436212,-0.0009147293,36500,0.12090651,3650000,0.9251836463809013,146,44029
5.123423675082757,0.085664004,239.56,5.429928,0.0063738106,150.63886499404907,0.0111427335,-0.0021376857,36750,2.1880717,3675000,0.3984590768814087,147,51558
5.442493020684433,0.038048003,250.0,5.4249525,0.0039637825,151.58240032196045,0.021769973,-0.0013872513,37000,0.091004275,3700000,0.9472382888197899,148,50807
