ep_reward_mean,ep_len_mean,true_reward,clipfrac,explained_variance,time_elapsed,policy_loss,serial_timesteps,n_updates,total_timesteps,policy_entropy,approxkl,value_loss,fps
8.56742067888379,44.27,0.18982252,0.76337594,-4.387277603149414,0.0013947486877441406,0.24734898,250,1,25000,5.6757803,134514.28,4124.3184,7623
8.36619238808751,43.21,0.18982328,0.66687995,-5.219180107116699,3.8777594566345215,0.22494216,500,2,50000,5.675886,124.62315,1479.6549,56467
8.3358789357543,43.05,0.18982261,0.66356397,-5.433103084564209,4.725207567214966,0.22210547,750,3,75000,5.6762667,369.9087,1820.0781,56642
8.337737271785736,43.06,0.18982294,0.6996881,-5.648229598999023,5.596075057983398,0.22948837,1000,4,100000,5.676785,525.5222,1511.2123,57683
8.476395124793052,43.79,0.18982373,0.757284,-4.812219619750977,6.443760871887207,0.25283292,1250,5,125000,5.6775246,21461.848,911.297,56897
8.592232366800308,44.4,0.18982522,0.780396,-3.2226791381835938,7.306859493255615,0.25219345,1500,6,150000,5.678777,18200.713,543.2086,57372
8.476350712776185,43.79,0.18982303,0.743456,-5.139349460601807,8.173907279968262,0.21865341,1750,7,175000,5.679963,287270.56,4002.3875,57785
8.683269092291594,44.88,0.18982564,0.602996,-3.592695713043213,9.03263807296753,0.20650196,2000,8,200000,5.6805468,518929.1,8384.709,56809
8.73446609184146,45.15,0.18982598,0.44173604,-3.397250175476074,9.876179695129395,0.16378169,2250,9,225000,5.680812,4470.315,9629.021,56164
8.749572934359312,45.23,0.18982537,0.47974396,-3.6436634063720703,10.751704216003418,0.18977359,2500,10,250000,5.680971,778.3827,6350.2007,57943
8.757200150340795,45.27,0.18982556,0.67621994,-2.6118388175964355,11.59795331954956,0.20807824,2750,11,275000,5.6811285,126261.5,6159.9194,56660
8.851851366758346,45.77,0.1898218,0.569584,-3.930990219116211,12.456910848617554,0.19867961,3000,12,300000,5.6811795,16543.021,19195.77,58564
8.865105985105037,45.84,0.18982235,0.602912,-3.769465446472168,13.282807111740112,0.19948402,3250,13,325000,5.68129,52569.95,17359.475,56062
8.853788005709648,45.78,0.18982336,0.49341998,-4.311648845672607,14.149296045303345,0.18551853,3500,14,350000,5.6813498,39388.117,19310.69,57580
8.874605755209922,45.89,0.18982273,0.47414404,-3.053964138031006,14.993177652359009,0.20281747,3750,15,375000,5.6813784,24813.01,15652.534,57133
8.848139828890561,45.75,0.18982337,0.612936,-4.284008979797363,15.848474264144897,0.2060074,4000,16,400000,5.6814203,289523.84,13254.466,57471
8.87823369398713,45.91,0.18981972,0.538364,-3.5638790130615234,16.688405513763428,0.17580354,4250,17,425000,5.681443,10675314.0,9570.841,58088
8.885912521332502,45.95,0.18981986,0.57644796,-3.56552791595459,17.52584934234619,0.18666846,4500,18,450000,5.6815033,271919.44,5123.387,57263
8.855698901563883,45.79,0.18982284,0.635104,-3.681318759918213,18.38091492652893,0.19950289,4750,19,475000,5.6816235,260718.67,4183.292,58225
8.851841778159141,45.77,0.18982278,0.569232,-2.739783763885498,19.22991371154785,0.2023037,5000,20,500000,5.681716,92397.23,3156.4185,58269
8.868959542661905,45.86,0.18982348,0.63768804,-2.859997510910034,20.08109998703003,0.19727787,5250,21,525000,5.681897,35905.816,3289.5735,58407
8.867018760740757,45.85,0.18982199,0.658064,-3.8727831840515137,20.92784333229065,0.21106453,5500,22,550000,5.6820736,278069.4,2817.3047,59151
8.870705462992191,45.87,0.18982033,0.624164,-1.902068853378296,21.758849620819092,0.20458789,5750,23,575000,5.6822343,72142.16,6645.0103,56103
8.878300784230232,45.91,0.1898197,0.719964,-3.361874580383301,22.612232208251953,0.21110134,6000,24,600000,5.682366,17944356.0,6791.643,56947
8.87830632120371,45.91,0.18981765,0.49160004,-2.4863595962524414,23.450247287750244,0.18032028,6250,25,625000,5.6824265,5278.8345,3058.0254,58166
8.891512289196253,45.98,0.18981777,0.6410121,-2.652547597885132,24.298277854919434,0.19187856,6500,26,650000,5.68258,360634.3,2985.1995,56644
8.863222232311964,45.83,0.18982045,0.726868,-2.8799188137054443,25.16824197769165,0.19496055,6750,27,675000,5.682637,3762952.8,1920.6342,57026
8.87846279606223,45.91,0.18982048,0.663636,-3.8363943099975586,26.055803775787354,0.18704283,7000,28,700000,5.6829114,123898.79,247.45459,47130
8.887715522050858,45.96,0.18981603,0.713972,-4.895735263824463,27.00372290611267,0.19888525,7250,29,725000,5.68354,48222188.0,515.84314,58466
8.89132203578949,45.98,0.18981247,0.717816,-4.009266376495361,27.856337785720825,0.1924525,7500,30,750000,5.6842394,2239839.8,180.52048,58097
8.893067369908094,45.99,0.18981066,0.68866396,-2.5877292156219482,28.71419334411621,0.19569539,7750,31,775000,5.6853228,12424056.0,135.22041,58406
8.895023697167636,46.0,0.18981028,0.727792,-8.204301834106445,29.557249069213867,0.18324643,8000,32,800000,5.6862326,101786456.0,120.05857,55891
8.891397086679936,45.98,0.18981542,0.788996,-5.148400783538818,30.412323236465454,0.19415203,8250,33,825000,5.6870594,191426030.0,89.94591,56164
8.893275725990534,45.99,0.18981506,0.846912,-8.765847206115723,31.271425008773804,0.12139727,8500,34,850000,5.687495,719635740000.0,408.50864,58480
8.889477941244841,45.97,0.18981552,0.8489679,-12.977352142333984,32.11871862411499,0.16603126,8750,35,875000,5.687698,18211926000.0,100.474434,57996
8.891287618279456,45.98,0.18981518,0.86557597,-2.0590476989746094,32.958216428756714,0.19649483,9000,36,900000,5.6877775,571095250000.0,98.06314,57664
