total_timesteps,value_loss,fps,policy_loss,ep_reward_mean,approxkl,serial_timesteps,time_elapsed,clipfrac,policy_entropy,explained_variance,n_updates,ep_len_mean,true_reward
900000,1.695555,57562,0.04587363,-2.2819919552486136,0.24453564,9000,34.483126640319824,0.275784,5.775868,0.17652541399002075,36,18.02,-0.30876657
925000,1.6303447,57872,0.02413921,-1.9799883079756546,0.05597516,9250,35.34012293815613,0.157968,5.778378,0.17539942264556885,37,17.97,-0.31119674
950000,1.5599439,59659,0.043136984,-1.6864787242545571,0.17955153,9500,36.19192576408386,0.24287203,5.778672,0.1788230538368225,38,17.26,-0.30836478
975000,1.5098305,57107,0.015464708,-2.3324087649372816,0.040650733,9750,37.01933765411377,0.1445,5.776133,0.22144067287445068,39,19.14,-0.3074355
1000000,1.5207899,59840,0.01922001,-2.1285030267330693,0.045143478,10000,37.88148498535156,0.140352,5.774807,0.23170334100723267,40,18.18,-0.30886254
1025000,1.4114878,59343,0.010032562,-2.2158004983657498,0.016615536,10250,38.71364974975586,0.09741599,5.777733,0.24736624956130981,41,18.58,-0.3112282
1050000,1.3417846,58533,0.02594707,-1.7028492451393686,0.07151619,10500,39.556321144104004,0.194244,5.7816153,0.2623944878578186,42,17.96,-0.31116512
1075000,1.438629,57195,0.03364284,-2.3100754664564738,0.07531364,10750,40.400936126708984,0.19898799,5.787614,0.23275655508041382,43,18.39,-0.31366447
1100000,1.4389036,57578,0.011309952,-2.216089193314765,0.018456113,11000,41.280020236968994,0.098248,5.7919874,0.2727569341659546,44,18.67,-0.3122068
1125000,1.3306801,56225,0.008253684,-1.3016556489702635,0.018276837,11250,42.18287444114685,0.09054,5.790748,0.29529380798339844,45,14.74,-0.31103042
1150000,1.3185774,55174,0.010754107,-1.9841792068581163,0.0203628,11500,43.13103985786438,0.106612004,5.7820225,0.3067932724952698,46,18.45,-0.3124521
1175000,1.2245524,56591,0.015742654,-1.7507507023033395,0.037676364,11750,44.0678596496582,0.12098,5.778599,0.3502628803253174,47,18.67,-0.30979264
1200000,1.2225837,58612,0.007006911,-1.8660197115897064,0.01543845,12000,44.98645639419556,0.087012,5.779768,0.3487640619277954,48,16.71,-0.31152603
1225000,1.2151977,54399,0.016788524,-2.4080710256954627,0.07099371,12250,45.8796112537384,0.15102799,5.7810035,0.3480972647666931,49,19.27,-0.31073195
1250000,1.2176832,57792,0.010114743,-1.5883655087077997,0.020551685,12500,46.810829162597656,0.100292005,5.777669,0.35589349269866943,50,17.08,-0.3115539
1275000,1.1637272,59312,0.01983306,-2.0230935692614,0.10537702,12750,47.72446298599243,0.152636,5.773637,0.39235812425613403,51,17.19,-0.31145352
1300000,1.3089708,58598,0.019126842,-2.45049299595943,0.0432016,13000,48.67370676994324,0.155024,5.7720094,0.3797125816345215,52,19.73,-0.3132318
1325000,1.1918421,57936,0.021289628,-1.9033298393052973,0.14186737,13250,49.57218813896179,0.16384001,5.7727,0.3663797378540039,53,17.4,-0.31004134
1350000,1.1672245,56143,0.030017808,-1.9481289380195266,0.08887814,13500,50.473154067993164,0.19682,5.7752056,0.395735502243042,54,17.23,-0.31251466
1375000,1.1572753,52548,0.014933748,-1.7233672202498018,0.033284254,13750,51.40634202957153,0.129168,5.7804737,0.38892102241516113,55,17.75,-0.31110597
1400000,1.2359083,49902,0.00809114,-2.200457159792345,0.013241564,14000,52.40993094444275,0.0827,5.7856116,0.36780232191085815,56,19.03,-0.31360295
1425000,1.1113797,51163,0.018263862,-2.4181734133972714,0.046480693,14250,53.55847525596619,0.13742399,5.7892494,0.41288793087005615,57,21.36,-0.31125882
1450000,1.1863495,54626,0.029400345,-1.9139465909590399,0.08714136,14500,54.53417205810547,0.19180398,5.7883444,0.4316968321800232,58,16.73,-0.31759882
1475000,1.1070049,49218,0.02332632,-2.4239208200804567,0.07775619,14750,55.51461672782898,0.177448,5.7879066,0.4570302963256836,59,20.21,-0.31416124
1500000,1.178565,48206,0.04023008,-2.206499566676939,0.15167259,15000,56.63122582435608,0.250552,5.7913713,0.45225971937179565,60,18.5,-0.31562912
1525000,1.0482106,55909,0.009328367,-2.824429082419374,0.06326707,15250,57.72885298728943,0.09854801,5.7941957,0.43416285514831543,61,20.6,-0.3138555
1550000,1.0385234,59111,0.00012518503,-2.320392564488793,0.010382952,15500,58.69247484207153,0.046168,5.79751,0.4332916736602783,62,19.23,-0.31414884
1575000,0.9895363,55338,0.009298451,-2.396435925830356,0.025682565,15750,59.624253273010254,0.09798,5.7990103,0.45545172691345215,63,19.2,-0.3144047
1600000,1.0015277,55037,0.016801072,-1.847937579400459,0.037517156,16000,60.542001724243164,0.143648,5.7972755,0.49545377492904663,64,15.66,-0.31661192
1625000,1.0181406,55774,0.0060161306,-2.173716363389103,0.023783797,16250,61.501293897628784,0.09566401,5.7974114,0.455707848072052,65,19.05,-0.31313416
1650000,0.96471584,60322,0.011492245,-1.9721941462882386,0.02247023,16500,62.435941219329834,0.11693599,5.803436,0.47640323638916016,66,16.06,-0.31536242
1675000,0.9975327,56582,0.005277338,-2.278251843139296,0.01835887,16750,63.29225993156433,0.086904,5.810262,0.48566997051239014,67,18.25,-0.3138763
1700000,0.91430634,54929,0.016613007,-2.2586381780439115,0.047393538,17000,64.22963762283325,0.146768,5.8189874,0.49593645334243774,68,17.91,-0.31536937
1725000,1.00713,56991,0.021071594,-1.854358014956033,0.048468497,17250,65.15644216537476,0.159268,5.8249273,0.48565709590911865,69,16.28,-0.31467205
1750000,0.92354745,54683,0.011249642,-2.494585576772697,0.053924996,17500,66.04634118080139,0.1264,5.829476,0.4651849865913391,70,20.58,-0.3125746
1775000,0.94454396,51721,0.00136435,-1.8958360342679226,0.010420853,17750,66.981760263443,0.052248,5.834352,0.4526439905166626,71,17.91,-0.31631866
1800000,0.8986763,57763,0.0024698447,-2.4285678958615606,0.01706589,18000,68.01404237747192,0.052171998,5.8380156,0.5125016272068024,72,19.01,-0.3185795
1825000,0.919326,58026,0.006109093,-1.9819376164631104,0.014871898,18250,68.94792675971985,0.079183996,5.8381944,0.5041103363037109,73,16.31,-0.31591636
