policy_loss,clipfrac,approxkl,fps,n_updates,explained_variance,value_loss,total_timesteps,true_reward,ep_len_mean,ep_reward_mean,policy_entropy,time_elapsed,serial_timesteps
-0.0010832702,0.164116,0.012618792,3133,1,0.7271948754787445,0.4233728,25000,0.010779611,247.64,3.2038369739083628,2.5768838,0.0006282329559326172,250
0.00052820105,0.090583995,0.0073833214,46025,2,0.759496733546257,0.348779,50000,0.011754472,247.69,3.403944928767286,2.5774932,8.48033595085144,500
-0.0014909958,0.052875996,0.004803845,55638,3,0.7357925176620483,0.34734118,75000,0.010164419,248.0,3.1044399644509735,2.5737064,9.402706146240234,750
-0.0013455196,0.082432,0.006549366,56037,4,0.6084331572055817,0.37684205,100000,0.011444308,249.52,3.3685741526086694,2.5700116,10.217708110809326,1000
-0.0017422534,0.082596004,0.0067461603,54557,5,0.577748715877533,0.97480166,125000,0.007196194,247.2,3.264415656467769,2.5697103,11.034481525421143,1250
-0.0008799633,0.053068,0.004624227,46244,6,0.489002525806427,0.7621473,150000,0.008746589,247.14,3.21463194132127,2.5694196,11.856353521347046,1500
-0.0021160452,0.064224005,0.005394211,45021,7,0.962738960981369,0.019206036,175000,0.012948588,250.0,3.237146995985388,2.5742185,12.769748210906982,1750
-0.00096100324,0.081732005,0.006378743,53779,8,0.45730382204055786,0.827769,200000,0.006990808,247.43,2.7682735788135915,2.573132,13.688251256942749,2000
-0.002122116,0.063567996,0.0053867376,55493,9,0.753249779343605,0.5325145,225000,0.008922344,247.09,3.16229100760611,2.5693898,14.523911952972412,2250
-0.0010684978,0.081964,0.006555012,49922,10,0.4299136996269226,1.4687172,250000,0.005423078,244.99,2.8939240233890358,2.565143,15.348263025283813,2500
-0.0010730941,0.080932,0.0069128736,54485,11,0.5543422698974609,0.9259294,275000,0.008098047,246.46,3.0141058873115356,2.5642676,16.21235752105713,2750
-0.0021777772,0.039672,0.0039113127,53890,12,0.9441551491618156,0.018316442,300000,0.013483285,250.0,3.370821036733264,2.564266,17.049560546875,3000
-0.0011148688,0.053587995,0.00466617,48264,13,0.7191484570503235,1.0316904,325000,0.00775237,244.34,3.369276615183653,2.5558054,17.8965847492218,3250
-0.001936563,0.044475995,0.004265436,50767,14,0.945437915623188,0.023173934,350000,0.014009667,250.0,3.5024166195329145,2.5484998,18.78070592880249,3500
-0.0021585643,0.046228,0.004339088,53376,15,0.958352766931057,0.021396557,375000,0.012647328,250.0,3.1618320575855257,2.5374837,19.642382621765137,3750
-0.0020469096,0.061564,0.005236468,53153,16,0.9643432721495628,0.017974738,400000,0.0120513,250.0,3.0128250919728163,2.523612,20.480979442596436,4000
0.00017345067,0.070144,0.0057387627,44835,17,0.3703995943069458,2.4108627,425000,-0.00025614968,239.89,2.8268591876789992,2.5155637,21.328163146972656,4250
-0.0010841696,0.035096,0.0032726682,51157,18,0.2576078772544861,1.362157,450000,0.0068304604,245.87,3.2058158464426776,2.5124607,22.288717031478882,4500
-0.0019737375,0.030316,0.0031730675,55447,19,0.8662928491830826,0.21393862,475000,0.010386592,247.82,3.0561283861172526,2.5121691,23.15279197692871,4750
-0.0010513657,0.052380003,0.0046790293,41147,20,0.9539456330239773,0.016609734,500000,0.0123895705,250.0,3.097392630302204,2.5127184,23.958821296691895,5000
-0.0010206273,0.08081201,0.006393577,55497,21,0.5380984544754028,0.44294223,525000,0.011743635,249.53,3.440441162381868,2.5142224,24.914896488189697,5250
-0.001388728,0.061087996,0.005222111,55938,22,0.8106403797864914,0.6742289,550000,0.005235177,244.37,2.7461689477203506,2.5178819,25.71408772468567,5500
-0.0022145933,0.041144,0.003930074,55176,23,0.9508758522570133,0.018577294,575000,0.011920636,250.0,2.9801588605213603,2.5165355,26.516942739486694,5750
-0.0015273271,0.13134,0.010597029,54532,24,0.44162696599960327,1.2104104,600000,0.0074123424,246.35,3.322217882471007,2.5074568,27.335655689239502,6000
-0.0021634721,0.03724,0.0036972514,54716,25,0.9363314509391785,0.12638465,625000,0.011420649,247.54,3.2992752664047043,2.504603,28.149482011795044,6250
-0.00082813547,0.085715994,0.0068660975,54966,26,0.40442389249801636,0.48550957,650000,0.010714044,247.73,3.1293765602669463,2.5075233,28.96533727645874,6500
-0.0016136203,0.028663998,0.003226791,54100,27,0.9413763098418713,0.027161935,675000,0.012449071,250.0,3.1122679446572845,2.5072284,29.7838077545166,6750
-0.00080588396,0.033436,0.0035692106,54404,28,0.9350345060229301,0.027617369,700000,0.014918799,250.0,3.729699975705539,2.501826,30.609127521514893,7000
-0.0013603147,0.040124003,0.0037440278,54926,29,0.5555627048015594,0.41392893,725000,0.011077233,249.32,3.2780668398819692,2.4962025,31.422380685806274,7250
-0.0018620504,0.08226,0.0063540908,55000,30,0.5541586875915527,1.0012167,750000,0.007997358,245.64,3.4102294595924856,2.4933271,32.227073431015015,7500
-0.0025821286,0.033635996,0.0035365268,55472,31,0.9674254767596722,0.02047734,775000,0.012911028,250.0,3.2277570921833183,2.4916463,33.043333292007446,7750
-0.001966646,0.036079995,0.0037415554,55330,32,0.9575478136539459,0.02182844,800000,0.01175547,250.0,2.938867711257112,2.4859183,33.8567111492157,8000
-0.0018241495,0.034688,0.0036031567,54571,33,0.9719919711351395,0.025869101,825000,0.014668822,250.0,3.6672052360044938,2.476274,34.65174412727356,8250
-0.0019514005,0.041904002,0.0041843764,55228,34,0.972859550267458,0.014356544,850000,0.011419313,250.0,2.854828387327241,2.4645848,35.46586894989014,8500
