clipfrac,policy_loss,explained_variance,ep_reward_mean,true_reward,n_updates,fps,time_elapsed,policy_entropy,value_loss,serial_timesteps,ep_len_mean,total_timesteps,approxkl
0.06334,-0.00053464156,0.863083690404892,17.574239034301865,0.06927439,35,55882,36.50805926322937,1.6661313,2.2679665,8750,244.09,875000,0.0053032204
0.03828,-0.0013954006,0.8635429590940475,15.94943496921318,0.06241327,36,56054,37.3261444568634,1.660739,1.9577385,9000,247.73,900000,0.0038657188
0.037856,-0.0023863998,0.8652130365371704,16.591253133494885,0.06383637,37,49047,38.134074211120605,1.6536884,2.098836,9250,241.74,925000,0.0038898413
0.043188,-0.0016680339,0.8596800118684769,17.880346006715158,0.07091249,38,53282,39.01459240913391,1.6484658,2.0964096,9500,247.89,950000,0.004088999
0.021536,-0.0016221482,0.8798661157488823,15.949246934741705,0.06379699,39,53747,39.846895933151245,1.6429641,1.722629,9750,250.0,975000,0.0026434432
0.04234,-0.0013495845,0.8807155787944794,13.432904283383964,0.052947037,40,54972,40.68559288978577,1.6361878,1.628113,10000,239.24,1000000,0.003957144
0.061111994,-0.0012506305,0.8788548111915588,17.022207382031308,0.066882886,41,51645,41.50712776184082,1.6295023,1.9587234,10250,246.26,1025000,0.005374282
0.043015998,-0.0014111185,0.8791752234101295,17.296300025841557,0.06693293,42,54984,42.351844787597656,1.6228578,2.162619,10500,242.06,1050000,0.0040009166
0.038259998,-0.001407265,0.8773165792226791,15.51552642494969,0.062062103,43,53910,43.175466775894165,1.6207336,1.4458715,10750,250.0,1075000,0.0039043375
0.046055995,-0.0026544859,0.863216906785965,14.92702041987054,0.058457375,44,53996,43.994537591934204,1.6214771,1.6005166,11000,246.64,1100000,0.004206597
0.079172,-0.0008885755,0.8655301183462143,16.271012741886008,0.06556734,45,53148,44.81231331825256,1.6218426,1.9167004,11250,247.72,1125000,0.006286445
0.034376003,-0.0015517058,0.8934387788176537,14.668153789918415,0.057673614,46,55480,45.65466547012329,1.6215761,1.4017067,11500,245.81,1150000,0.0035781532
0.071972,-0.001857593,0.8875772431492805,13.599777874949888,0.052654464,47,55306,46.46947765350342,1.6181479,1.4859922,11750,241.85,1175000,0.0057575973
0.036923997,-0.0016955128,0.8620595932006836,15.910140158133412,0.062272705,48,55639,47.3049099445343,1.6131697,1.7165382,12000,247.03,1200000,0.0038391226
0.056812007,-0.0022286272,0.8785306289792061,15.387001154126814,0.05998375,49,54113,48.132941246032715,1.6061045,1.9043916,12250,238.09,1225000,0.0049791634
0.031963997,-0.0018023889,0.8615574240684509,15.446789695169116,0.060897533,50,54447,48.96174240112305,1.5999403,1.9778124,12500,241.44,1250000,0.0035241626
0.044944,-0.001864735,0.8726324737071991,15.670503277435987,0.06299001,51,52831,49.80183672904968,1.5977104,1.8169949,12750,247.55,1275000,0.004164598
0.044820003,-0.002115845,0.8698455095291138,16.690688862661556,0.06558758,52,47748,50.658835649490356,1.5962799,1.8821943,13000,246.86,1300000,0.004184219
0.052104004,-0.001590314,0.9000172689557076,16.094643600583527,0.062351894,53,52989,51.5520179271698,1.595636,1.7699897,13250,241.53,1325000,0.0047177295
0.046832003,-0.0009507057,0.8774825260043144,15.891132151320857,0.0632623,54,45128,52.40777635574341,1.5966265,1.776198,13500,247.53,1350000,0.0043083047
0.043572,-0.002040422,0.8647297769784927,15.015733723118101,0.055929556,55,53534,53.33038568496704,1.5973017,1.8911959,13750,235.89,1375000,0.004095384
0.047444,-0.00082891237,0.8667084127664566,17.019433404913087,0.06816699,56,53052,54.18140935897827,1.5952595,1.9958324,14000,245.35,1400000,0.004373145
0.04448,-0.0019782672,0.8747759759426117,14.389425059031662,0.056608703,57,53020,55.03578424453735,1.5956904,1.609416,14250,246.95,1425000,0.0043526855
0.051735997,-0.0024989727,0.9071645736694336,13.48148559015659,0.054049816,58,52730,55.90506386756897,1.5934868,1.2344211,14500,245.17,1450000,0.0046591703
0.044108,-0.0015810275,0.8683522343635559,16.735169154641373,0.06642428,59,47287,56.750391244888306,1.5879288,1.7207069,14750,247.65,1475000,0.004147778
0.020668,-0.0016445974,0.8678576350212097,16.02373098055932,0.06409492,60,54048,57.63371801376343,1.5828865,1.6573662,15000,250.0,1500000,0.0025127656
0.057315998,-0.0018214738,0.9018383249640465,15.240357930690202,0.05862139,61,54930,58.46772885322571,1.579209,1.5978005,15250,240.28,1525000,0.004930954
0.03398,-0.0011572386,0.891819141805172,14.532117240625555,0.057416763,62,54327,59.29704236984253,1.5760069,1.4292958,15500,247.81,1550000,0.003502968
0.045256,-0.0008154052,0.8868847489356995,15.942012199865577,0.062254786,63,51471,60.12383985519409,1.569376,1.7346613,15750,243.52,1575000,0.004155924
