policy_loss,ep_len_mean,fps,policy_entropy,n_updates,serial_timesteps,true_reward,approxkl,time_elapsed,clipfrac,ep_reward_mean,value_loss,explained_variance,total_timesteps
-0.0025147777,73.99,50741,5.524776,35,8750,-0.021517806,0.0026527971,38.41330170631409,0.026044,1.7524634985393641,0.23837793,0.9352090209722519,875000
-0.001847441,86.44,48021,5.5198298,36,9000,-0.019482838,0.0016282102,39.2787344455719,0.011940001,2.0898532634942604,0.20220585,0.9430441595613956,900000
-0.0017429817,79.63,54075,5.5144315,37,9250,-0.021760046,0.002250655,40.16741180419922,0.015732002,1.6763335984032528,0.17853941,0.9503118768334389,925000
-0.0019447729,87.42,48338,5.507185,38,9500,-0.01820994,0.0021940593,41.03447413444519,0.015064001,1.853049890566972,0.1960307,0.9470794349908829,950000
-0.0020818082,97.36,46396,5.502497,39,9750,-0.018615823,0.0029399772,42.0210862159729,0.028676,2.048287146232351,0.16603793,0.9535822570323944,975000
-0.0022419612,91.83,51706,5.4988136,40,10000,-0.016671022,0.0030827485,42.956406116485596,0.030288002,2.1541540518824878,0.185028,0.9496985375881195,1000000
-0.0020345591,88.38,50857,5.494713,41,10250,-0.017887056,0.0023165864,43.86036968231201,0.01628,1.7756675190691191,0.14055094,0.963245764374733,1025000
-0.0019791352,100.09,42880,5.490569,42,10500,-0.014097069,0.002956748,44.786176443099976,0.025883999,2.1620448763434386,0.2237575,0.9325165897607803,1050000
-0.0019500038,101.28,49555,5.4871817,43,10750,-0.01413822,0.0028010015,45.775205850601196,0.026544,2.2396486039654757,0.18166757,0.9501872360706329,1075000
-0.002229079,95.67,52877,5.4882975,44,11000,-0.013910854,0.00286732,46.677480697631836,0.027331997,2.3037153287639103,0.14599533,0.9594638980925083,1100000
-0.0021173432,105.17,46677,5.4905133,45,11250,-0.013361102,0.003102982,47.574323415756226,0.029608,2.2390983553862576,0.1790404,0.9462600909173489,1125000
-0.0014337449,106.98,52368,5.4894733,46,11500,-0.014330424,0.002302501,48.584542751312256,0.015428001,2.4375375974964437,0.182323,0.9479421079158783,1150000
-0.0020930623,100.21,48836,5.48962,47,11750,-0.015665336,0.003178744,49.506696462631226,0.033127997,2.0624169189854547,0.22524555,0.9384453594684601,1175000
-0.0017830208,93.8,48360,5.4894433,48,12000,-0.014721036,0.00226945,50.44511151313782,0.018692,2.1005036917181132,0.19748722,0.9429845251142979,1200000
-0.0018972956,100.75,52893,5.485088,49,12250,-0.0143183265,0.0023372553,51.36821699142456,0.020515997,2.1573373321302416,0.15425657,0.9552123434841633,1225000
-0.0014496088,100.65,49169,5.4823236,50,12500,-0.015577989,0.0022882042,52.238083600997925,0.017288001,2.0820227350937546,0.20523247,0.9405900277197361,1250000
-0.0023264359,99.86,48831,5.478364,51,12750,-0.012240041,0.0028882872,53.28146815299988,0.025016,2.2198181369400665,0.1732012,0.9515774250030518,1275000
-0.001803058,105.99,52806,5.4741173,52,13000,-0.010841975,0.0021510657,54.16530919075012,0.014544001,2.394696802647195,0.156034,0.9569653458893299,1300000
-0.0022802507,95.31,55061,5.4706073,53,13250,-0.01424823,0.002944653,55.00069046020508,0.028611999,1.7925104151868079,0.14038709,0.9625440873205662,1325000
-0.002706998,101.59,52713,5.4682293,54,13500,-0.012401227,0.003174486,55.807955741882324,0.031352002,2.3125701786649033,0.1793138,0.9515265934169292,1350000
-0.0017010424,102.27,45292,5.4652123,55,13750,-0.012407635,0.0023419238,56.64166569709778,0.014664,2.193886260625601,0.17524467,0.954529445618391,1375000
-0.0026058708,107.88,47716,5.4564695,56,14000,-0.01008323,0.002940774,57.57839846611023,0.02492,2.2251803885090795,0.16452588,0.9571442492306232,1400000
-0.0017933041,100.28,53374,5.4444113,57,14250,-0.0123612,0.0023593549,58.49417757987976,0.016555998,2.2298562026713387,0.15536043,0.9550350606441498,1425000
