total_timesteps,clipfrac,policy_entropy,policy_loss,n_updates,fps,true_reward,value_loss,approxkl,explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed
1675000,0.057832003,3.0679097,-0.00049046817,67,55003,0.034995124,0.041499224,0.004907257,0.9472975805401802,16750,8.755420779187434,248.12,62.996928691864014
1700000,0.06784,3.064383,-0.0013314907,68,53870,0.033599835,0.090156056,0.005490609,0.8852462768554688,17000,8.429509968585553,244.27,63.7988121509552
1725000,0.09104,3.0647979,-0.0013047747,69,53974,0.033266585,0.0782385,0.007186994,0.9057282954454422,17250,8.383570189160055,244.73,64.6271665096283
1750000,0.121224,3.0632796,-0.00077453593,70,47589,0.03462658,0.06394582,0.009123519,0.9106632322072983,17500,8.69696056427707,247.9,65.45587873458862
1775000,0.060092002,3.0601072,-0.00091325946,71,46045,0.033107042,0.06738742,0.0052462243,0.9174376875162125,17750,8.319652737968553,244.69,66.32939720153809
1800000,0.036664,3.0560412,-0.0011070668,72,49720,0.033139423,0.093795806,0.0036146499,0.8995954170823097,18000,8.390593676381677,243.03,67.23065686225891
1825000,0.0573,3.0538344,-0.0017217506,73,54888,0.034451105,0.10746509,0.0048835166,0.8858540430665016,18250,8.731490647309784,242.63,68.07845854759216
1850000,0.068552,3.0501933,-0.00031391252,74,53927,0.033587415,0.116548315,0.00560571,0.8773826658725739,18500,8.439122982324115,240.69,68.88821959495544
1875000,0.040060002,3.0469465,-0.0006559609,75,53630,0.03162954,0.15558411,0.003948824,0.8454885184764862,18750,8.074916483186097,239.51,69.69354438781738
1900000,0.031124,3.0468373,-0.0005991656,76,51784,0.032343257,0.08013095,0.0033997553,0.9034410491585732,19000,8.163187070960866,244.35,70.50944495201111
1925000,0.064656004,3.0485764,-0.0010558675,77,52615,0.034380037,0.17288284,0.0052341614,0.816767230629921,19250,8.683598680395862,236.1,71.3351731300354
1950000,0.03938,3.0487874,-0.001372764,78,47182,0.034024555,0.091882624,0.0038828354,0.8929150253534317,19500,8.59141917713905,242.82,72.1554274559021
1975000,0.06108,3.0464425,-0.0010947195,79,52422,0.035215057,0.10945834,0.00513761,0.8694001734256744,19750,8.854488223497388,242.39,73.04817605018616
2000000,0.031248,3.0444598,-0.00079174835,80,54141,0.034197297,0.11815022,0.0035757597,0.8779101297259331,20000,8.648115906310268,240.75,73.87479758262634
2025000,0.04402,3.0418053,-0.0015041892,81,52081,0.03436623,0.057634227,0.0040392564,0.9216374605894089,20250,8.608009439937204,246.16,74.69397687911987
2050000,0.060204,3.0374107,-0.0014269312,82,54295,0.033566665,0.103739776,0.0050500473,0.8949455618858337,20500,8.461204314016067,240.43,75.52294278144836
2075000,0.078044,3.034402,-0.0010981993,83,53008,0.030682363,0.16679573,0.0061040004,0.8373860269784927,20750,7.855622042129178,237.09,76.33434319496155
2100000,0.040919997,3.0329938,-0.0012729466,84,53542,0.030657941,0.23007488,0.003964598,0.8031110018491745,21000,7.82760703416437,230.9,77.1651382446289
2125000,0.071996,3.0328794,-0.0020221388,85,49087,0.033044945,0.090777636,0.005760798,0.9108389094471931,21250,8.36687447610189,243.36,77.98917388916016
2150000,0.035655998,3.0331044,-0.0014836022,86,54416,0.035724774,0.028921178,0.0034748155,0.9634863995015621,21500,8.931193695205266,250.0,78.84705114364624
2175000,0.047848,3.028,-0.0011836415,87,53566,0.032472752,0.12112296,0.0045151813,0.8683391809463501,21750,8.242756306462674,242.87,79.65283513069153
2200000,0.078732,3.021788,-0.0011496341,88,50942,0.033200536,0.037272364,0.006232803,0.9545254819095135,22000,8.310871310423044,248.16,80.47681498527527
2225000,0.034335997,3.016558,-0.000834716,89,54714,0.03547858,0.058985792,0.003702329,0.9230364039540291,22250,8.90296525236199,247.91,81.31436204910278
2250000,0.054088004,3.0117917,-0.0016502042,90,53191,0.03225911,0.1332655,0.004759618,0.8432172536849976,22500,8.184788505507324,243.15,82.12815284729004
2275000,0.049060006,3.0092702,-0.0018672838,91,52423,0.03396598,0.09043232,0.00442452,0.9019999951124191,22750,8.506201241582986,243.89,82.94131469726562
