true_reward,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean,time_elapsed,approxkl,policy_loss,total_timesteps,value_loss,policy_entropy,explained_variance,clipfrac,fps
-0.0173009,8750,35,7.708838225815785,83.17,38.042579889297485,0.0022550877,-0.0008307526,875000,27.732193,5.5635104,0.2526143789291382,0.019056,50559
-0.046218164,9000,36,4.802918645215723,88.79,38.91685438156128,0.0028755001,-0.0014683306,900000,17.348476,5.5630784,0.32216328382492065,0.025396,54629
-0.040896855,9250,37,4.872592737601263,91.01,39.74585819244385,0.0039517903,-0.0018470541,925000,17.590303,5.5575776,0.3316609859466553,0.044807997,54523
-0.03766707,9500,38,3.679221219777137,78.13,40.59897780418396,0.00333202,-0.0015558437,950000,17.339338,5.5498433,0.35056841373443604,0.033487998,54521
-0.041826945,9750,39,3.4651117243164347,72.83,41.43103241920471,0.00310058,-0.0010370093,975000,19.068645,5.53901,0.35950911045074463,0.028299998,54132
-0.016138611,10000,40,8.086794990594207,82.28,42.261759757995605,0.0035330988,-0.00091611466,1000000,25.415401,5.528589,0.29951053857803345,0.034840003,57118
-0.020250509,10250,41,10.191633819314866,95.16,43.05950903892517,0.0021343527,-0.0007976871,1025000,20.205582,5.5246477,0.3610513210296631,0.015435999,46325
-0.01438538,10500,42,7.685031764410215,86.22,43.9753360748291,0.004127026,-0.0016420595,1050000,25.237103,5.524843,0.34060829877853394,0.047208,57067
-0.01631192,10750,43,5.602018087612805,85.24,44.77298045158386,0.0035730172,-0.0011478056,1075000,25.301847,5.525276,0.3143182396888733,0.037012,54959
-0.03150312,11000,44,5.7389931132093075,90.47,45.59883260726929,0.0023299635,-0.001097442,1100000,19.828808,5.524478,0.36540764570236206,0.022596002,55067
-0.041089278,11250,45,4.747409170824694,85.78,46.431129455566406,0.002282166,-0.0011374771,1125000,17.307564,5.5214586,0.4225867986679077,0.020272002,56064
-0.023937229,11500,46,5.776804940104403,88.04,47.25282335281372,0.0030745561,-0.0011140766,1150000,21.529737,5.519214,0.38860857486724854,0.027624,50260
-0.033081397,11750,47,4.551987184166328,75.87,48.12290811538696,0.004598303,-0.00090460695,1175000,21.25648,5.5143633,0.4074980616569519,0.053816,56092
-0.03143867,12000,48,3.6585364969013425,95.97,48.93042325973511,0.00417379,-0.0016407842,1200000,16.96232,5.5122976,0.45626747608184814,0.045996003,55800
-0.018563999,12250,49,3.802669418275891,85.44,49.742233753204346,0.0017342462,-0.00033165934,1225000,23.27779,5.514245,0.368125319480896,0.01162,49622
-0.048278105,12500,50,4.714218025653008,90.67,50.61612367630005,0.005297671,-0.0012290254,1250000,10.034637,5.5133147,0.5692140758037567,0.065492,55049
-0.02622605,12750,51,2.6934114456435374,92.04,51.4344265460968,0.004646347,-0.0008874759,1275000,19.638515,5.512612,0.4116584062576294,0.052368004,56805
-0.021657046,13000,52,3.5213850685522083,82.36,52.24194073677063,0.004607214,-0.0012860929,1300000,21.29349,5.509228,0.39953911304473877,0.050616004,54411
-0.018516492,13250,53,4.585343357433776,85.31,53.07311654090881,0.0043203873,-0.0009003496,1325000,23.210234,5.504461,0.37491410970687866,0.051648,55760
-0.039092015,13500,54,3.557209123744169,77.85,53.89798355102539,0.0020401124,-0.00095571595,1350000,16.431183,5.5003643,0.4989648461341858,0.015231999,56081
-0.024365034,13750,55,2.8834521523365995,93.34,54.71404790878296,0.0041405866,-0.0014286032,1375000,20.111584,5.4928293,0.4317978024482727,0.04512,55352
-0.026021706,14000,56,5.776156689449708,86.17,55.53386998176575,0.0039671743,-0.00083542644,1400000,19.32973,5.484969,0.4362754821777344,0.043240003,55346
-0.031237263,14250,57,4.5524029400418335,83.83,56.358970165252686,0.0044976114,-0.0013139362,1425000,17.952494,5.4785175,0.45673590898513794,0.050488003,54482
-0.010496574,14500,58,6.965105645028434,97.66,57.1956000328064,0.004369723,-0.00094839156,1450000,24.68787,5.473915,0.3801223635673523,0.051796,54146
-0.018193232,14750,59,4.708034064588755,91.96,58.02989482879639,0.004760244,-0.0016094086,1475000,21.524052,5.470216,0.4254746437072754,0.054123998,55449
-0.029637657,15000,60,5.527931554790261,79.19,58.85441708564758,0.0013553201,-0.0003872763,1500000,19.293001,5.467604,0.45714789628982544,0.0075479997,41280
-0.03576984,15250,61,2.724561895652329,91.65,59.83209729194641,0.003635591,-0.0014258928,1525000,13.078974,5.4634905,0.5402040183544159,0.039728,56693
-0.026306083,15500,62,2.7676373666121883,86.53,60.65160846710205,0.003201075,-0.0010100515,1550000,17.69523,5.4596095,0.5005940794944763,0.034972,56467
-0.020965943,15750,63,5.681433184633297,90.82,61.45823097229004,0.0030625698,-0.0013633674,1575000,21.145588,5.457131,0.4413801431655884,0.033476003,53728
-0.016586797,16000,64,4.471252928469021,84.39,62.29824423789978,0.0032616057,-0.00092156965,1600000,23.212492,5.456515,0.43174755573272705,0.033372,54794
-0.04165037,16250,65,3.580701508002057,85.58,63.12420916557312,0.0017609723,-0.0008758375,1625000,11.01896,5.4547505,0.5991477072238922,0.015031999,46183
-0.037511088,16500,66,6.65604391593135,85.55,64.04445004463196,0.003691861,-0.0013370004,1650000,14.900412,5.4517083,0.5563182830810547,0.043412,44758
-0.01914486,16750,67,5.731232422635048,97.04,64.9768648147583,0.0033171985,-0.0009980228,1675000,21.379528,5.446696,0.4570486545562744,0.036728002,57181
-0.008308433,17000,68,6.903474039933717,93.59,65.7903745174408,0.001546283,-0.0007817029,1700000,22.091253,5.443832,0.4586159586906433,0.0113,43606
-0.018243339,17250,69,2.869462823036629,88.95,66.73756647109985,0.0015533384,-0.0010270405,1725000,20.9012,5.441114,0.4450482726097107,0.0129040005,56153
-0.02621801,17500,70,4.5797744639410745,86.7,67.55239915847778,0.0018399473,-0.0013270753,1750000,17.490192,5.437094,0.49571532011032104,0.014040001,54776
-0.033708278,17750,71,2.67723325763518,89.92,68.37208342552185,0.003269752,-0.0007644886,1775000,16.256283,5.430711,0.4984111189842224,0.032196,53258
-0.038548995,18000,72,3.756972276162451,94.38,69.2278139591217,0.002366177,-0.0011604924,1800000,13.161511,5.4264097,0.5536448657512665,0.017827999,53673
-0.023330947,18250,73,2.688597103846641,79.98,70.06547570228577,0.0026858111,-0.0008910146,1825000,19.279188,5.428166,0.4496196508407593,0.028600002,56013
-0.0125278635,18500,74,6.821611110835765,90.59,70.89472126960754,0.0023262873,-0.0008244786,1850000,20.929111,5.4270163,0.44634538888931274,0.01854,47817
