policy_loss,ep_len_mean,clipfrac,explained_variance,n_updates,true_reward,total_timesteps,approxkl,ep_reward_mean,time_elapsed,policy_entropy,value_loss,fps,serial_timesteps
-0.0006278797,50.26,0.015288,0.8728554397821426,36,0.16456611,900000,0.0019037928,9.403562606573105,34.759456396102905,5.6985807,3.7137036,52287,9000
0.010548977,44.93,0.140036,0.7128805220127106,37,0.16397971,925000,0.018905703,8.458673943877221,35.640217542648315,5.6982,5.8703227,51678,9250
0.016842272,45.97,0.147024,0.7990265637636185,38,0.16354927,950000,0.01737732,8.593055790364742,36.54287028312683,5.6982846,9.854583,51561,9500
0.000756058,46.29,0.014308,0.7368689179420471,39,0.16441418,975000,0.0017768505,8.69223134636879,37.43896532058716,5.698588,8.012745,53211,9750
0.0017734502,46.36,0.033432,0.7952732741832733,40,0.16406839,1000000,0.004543545,8.67701566874981,38.322439432144165,5.698799,8.124443,52190,10000
0.0028777104,48.36,0.085332,0.7841844260692596,41,0.16413607,1025000,0.007913378,9.061075265705586,39.20938515663147,5.6989765,5.208472,52472,10250
0.014261499,50.95,0.163552,0.8749229460954666,42,0.16443387,1050000,0.022763548,9.508539008796214,40.086353063583374,5.6989126,3.5091984,52437,10500
-0.00078372535,45.71,0.023468003,0.833023875951767,43,0.1646741,1075000,0.0026269157,8.594646235704422,40.95789194107056,5.6995363,2.910511,51924,10750
-0.0016067311,41.25,0.034811996,0.8368186205625534,44,0.16436046,1100000,0.003305629,7.780122814327479,41.850828409194946,5.6997566,2.75483,51739,11000
-0.0018440392,44.6,0.021664,0.8477893620729446,45,0.16451755,1125000,0.00261085,8.378619195818901,42.744635820388794,5.69866,2.8311868,46300,11250
-0.001749816,52.96,0.045628,0.8439227044582367,46,0.16459298,1150000,0.0040710093,9.924774920344353,43.69853687286377,5.6970835,3.5131276,52791,11500
-0.0012859851,41.92,0.015439999,0.8715177923440933,47,0.16368249,1175000,0.0021440801,7.865153851509095,44.575928688049316,5.695326,4.063753,51579,11750
-0.0010835135,47.97,0.027344,0.8333510011434555,48,0.16410205,1200000,0.0027883959,8.990823723971843,45.46175003051758,5.694195,5.343008,51108,12000
-0.0014410373,49.6,0.022928,0.8382371217012405,49,0.16454686,1225000,0.0027435739,9.282021326124669,46.36760449409485,5.693446,5.0161104,51221,12250
-0.0016838011,50.14,0.025819998,0.9121844321489334,50,0.16462544,1250000,0.0028869244,9.377971325963735,47.26452088356018,5.6933875,3.2187495,51281,12500
-0.0016905281,48.82,0.039304,0.8139225542545319,51,0.16430365,1275000,0.0037022594,9.15040334686637,48.162352085113525,5.693666,4.5491266,46811,12750
-0.00075028755,48.23,0.028788,0.8077966719865799,52,0.16423573,1300000,0.0033261273,9.032253931611777,49.09942412376404,5.693745,6.596349,52068,13000
-0.0018933775,46.19,0.023267997,0.8423393368721008,53,0.16403748,1325000,0.002520306,8.634009090065955,49.996591567993164,5.6932855,5.415036,53168,13250
0.0014284474,43.72,0.032835998,0.7799311429262161,54,0.16395664,1350000,0.0031982183,8.210157323479653,50.87563490867615,5.6931276,8.015195,53045,13500
-0.00032838667,48.65,0.029748002,0.8533423691987991,55,0.16405527,1375000,0.0032682128,9.077571554481983,51.75366950035095,5.6932454,6.093443,51356,13750
-0.0018837068,44.09,0.012948001,0.7925716787576675,56,0.16387737,1400000,0.0020311875,8.255461930930615,52.668536901474,5.6937733,9.873188,50597,14000
-0.0014620551,46.18,0.016940001,0.8054680079221725,57,0.16405371,1425000,0.0021959874,8.621857222169638,53.55401968955994,5.6938915,10.041941,51325,14250
-9.560399e-06,44.43,0.048088003,0.7738012969493866,58,0.16359738,1450000,0.004600386,8.303503131121397,54.462778091430664,5.6940293,11.529391,52107,14500
0.0008068932,45.24,0.033656,0.7806449085474014,59,0.16331594,1475000,0.0038282753,8.468021156340837,55.345157861709595,5.694472,12.218884,52798,14750
-0.00071655615,49.43,0.025940001,0.7937754541635513,60,0.1640705,1500000,0.0028031364,9.221232369840145,56.20223808288574,5.6944246,11.715174,50889,15000
-0.0007793758,46.51,0.024859998,0.8326831310987473,61,0.16376166,1525000,0.0027503213,8.681310877203941,57.08698797225952,5.694333,10.538805,46972,15250
-0.0013069788,47.93,0.016172001,0.7884860634803772,62,0.1635559,1550000,0.0020253411,8.947864158600568,58.02172803878784,5.694119,13.249417,50864,15500
-0.001003009,47.71,0.016376,0.7969380468130112,63,0.16357298,1575000,0.0019668168,8.930156807452441,58.92628717422485,5.6941366,12.130835,51613,15750
-0.000640632,49.82,0.026464,0.8005018532276154,64,0.16374204,1600000,0.0028802801,9.286946431547403,59.81326341629028,5.694253,11.403494,51237,16000
-0.0009889915,47.93,0.021780001,0.8073291033506393,65,0.16386098,1625000,0.002357949,8.955113203376532,60.705161333084106,5.694463,12.409279,51309,16250
-0.0015446462,43.56,0.0133960005,0.810576543211937,66,0.16344233,1650000,0.0019595441,8.145677911788225,61.603079319000244,5.6946454,12.863896,51869,16500
-0.00063996494,48.46,0.022548001,0.7900673747062683,67,0.16366576,1675000,0.0023571644,9.035686762183905,62.4892942905426,5.694609,13.880278,52640,16750
0.00019979718,47.15,0.047324,0.7770087420940399,68,0.1635028,1700000,0.004415441,8.815208006054164,63.367518186569214,5.6946197,12.593168,42689,17000
-0.0005508515,42.38,0.018364001,0.7804159224033356,69,0.16337574,1725000,0.0021830366,7.935978833138943,64.35745620727539,5.6949735,14.012752,51221,17250
-0.0003692209,45.86,0.047952,0.7831910103559494,70,0.16357069,1750000,0.004495808,8.553151472806931,65.2603063583374,5.695542,13.66096,51372,17500
-0.00073669397,43.42,0.025156,0.7792250216007233,71,0.1635578,1775000,0.0026583567,8.11372865125537,66.15246200561523,5.6962094,15.161649,52827,17750
0.00084969087,44.53,0.041656,0.7815191000699997,72,0.16403365,1800000,0.0041497224,8.352111275792122,67.0225932598114,5.6966066,13.772104,51834,18000
-0.000990662,50.4,0.02238,0.8148378878831863,73,0.1642351,1825000,0.0023615237,9.402100402712822,67.90422201156616,5.6969085,11.763392,46336,18250
0.0026219678,45.47,0.054527998,0.7767980694770813,74,0.16368252,1850000,0.0063877255,8.501782778799534,68.83817052841187,5.6971316,15.202452,48848,18500
-0.0011765882,46.39,0.018616,0.8054272532463074,75,0.16420539,1875000,0.0020147413,8.687015820741653,69.80398654937744,5.697149,13.115225,51185,18750
-0.001940577,45.53,0.021611998,0.8162688761949539,76,0.16402452,1900000,0.0024706002,8.517097458094359,70.69903802871704,5.6969333,12.583311,50938,19000
0.0019848603,48.68,0.067536004,0.8205605000257492,77,0.16423228,1925000,0.0060115107,9.083989211022853,71.58485412597656,5.6968584,11.816647,51881,19250
0.013380009,47.99,0.15639201,0.8441022336483002,78,0.16404659,1950000,0.022747714,8.948397510051727,72.45411920547485,5.697358,11.823939,52242,19500
0.00041362815,42.81,0.039784,0.7849181890487671,79,0.1639637,1975000,0.0040382296,8.04338690906763,73.31529116630554,5.697843,11.881401,51701,19750
0.008793592,45.51,0.160124,0.78907710313797,80,0.1639599,2000000,0.018893812,8.52414526551962,74.18157315254211,5.6986494,12.170333,51169,20000
0.0069306134,44.69,0.138268,0.8260485231876373,81,0.164015,2025000,0.0154531095,8.371016637980938,75.08441233634949,5.6996803,9.772629,50693,20250
0.026196709,45.62,0.24757202,0.7955005615949631,82,0.16416787,2050000,0.06789588,8.540309149473906,76.03615975379944,5.7007113,11.9046955,48123,20500
0.004084045,45.1,0.08840001,0.799267128109932,83,0.16390516,2075000,0.008688352,8.429175743311644,77.14060711860657,5.7017636,11.983126,51706,20750
0.006217018,47.51,0.067468,0.8202155977487564,84,0.1643246,2100000,0.008044107,8.889950202554465,78.02337574958801,5.7028956,10.90368,52096,21000
0.00645245,49.01,0.104692,0.8449914306402206,85,0.16419658,2125000,0.011822392,9.131335148066283,78.91601061820984,5.7034006,8.507954,51035,21250
0.009843375,51.8,0.16122401,0.8485963046550751,86,0.1643429,2150000,0.017732145,9.653030074685812,79.86568236351013,5.7033987,8.338904,52375,21500
0.034841318,48.67,0.365148,0.8174761384725571,87,0.16454475,2175000,0.07704955,9.09194013312459,80.76544117927551,5.7038493,8.331925,48023,21750
0.0148918405,45.31,0.19838402,0.8202266991138458,88,0.16415077,2200000,0.025716344,8.479087934046984,81.74862885475159,5.705018,8.13949,51540,22000
0.0011189708,51.18,0.08276401,0.8157138526439667,89,0.16451836,2225000,0.0072220094,9.569150645136833,82.67515540122986,5.7064643,8.520001,51532,22250
0.004415627,45.54,0.06435199,0.8287989646196365,90,0.16414766,2250000,0.00591584,8.50929939493537,83.55191564559937,5.707557,7.99858,52045,22500
0.0058112615,46.17,0.094016,0.8242945522069931,91,0.16402675,2275000,0.008726676,8.63292831018567,84.42825961112976,5.707757,7.7419853,51516,22750
0.013230644,46.99,0.151808,0.8057261258363724,92,0.16444802,2300000,0.019759346,8.77991445928812,85.30429291725159,5.70834,8.991166,50619,23000
-0.00120058,48.22,0.01892,0.834588810801506,93,0.16456763,2325000,0.0021883368,9.005205494612456,86.2010350227356,5.708874,6.454412,52156,23250
-0.0016500715,47.22,0.03192,0.8384731262922287,94,0.1645235,2350000,0.0031942322,8.818883488625287,87.07725715637207,5.70837,6.6499434,51601,23500
0.005259662,47.97,0.08363201,0.8514261990785599,95,0.16436811,2375000,0.00964308,8.943511731475592,87.95032930374146,5.7093782,6.8170424,52864,23750
-0.0013414362,44.42,0.016644001,0.8506806790828705,96,0.16419904,2400000,0.0021050032,8.304496350884438,88.84515833854675,5.709911,5.3531647,53067,24000
-0.00084474,48.43,0.038319997,0.8570017665624619,97,0.16439416,2425000,0.003647706,9.032127626240253,89.72115635871887,5.7090545,5.1396656,51621,24250
0.003039866,47.98,0.06308801,0.826086550951004,98,0.16444746,2450000,0.0060668644,8.93474320590496,90.60832262039185,5.708529,6.627715,52167,24500
0.0029401442,49.62,0.061824,0.8523761332035065,99,0.16478558,2475000,0.005445053,9.263684478998185,91.48439645767212,5.708861,4.9557242,52045,24750
0.0035162345,48.15,0.09751199,0.8303391188383102,100,0.1644566,2500000,0.010060486,8.985377235561609,92.36810636520386,5.7090178,5.4531193,52018,25000
0.005197222,47.86,0.11013601,0.8386164158582687,101,0.16451068,2525000,0.0110689895,8.93403082743287,93.2455050945282,5.70871,5.4553146,52594,25250
0.0028566201,47.23,0.08014001,0.851319819688797,102,0.1642344,2550000,0.0075051947,8.801646499484777,94.10939407348633,5.7082376,5.312571,51828,25500
0.0020214922,46.81,0.048596002,0.8343376964330673,103,0.16441041,2575000,0.00481945,8.73794963300228,94.9878282546997,5.708583,5.3587403,53038,25750
0.009570931,49.29,0.161812,0.8379766196012497,104,0.16440648,2600000,0.017305031,9.179912067502737,95.84183859825134,5.7094655,5.128721,52528,26000
0.0014713712,49.25,0.029027998,0.8186704069375992,105,0.16451521,2625000,0.003118314,9.192966257184743,96.71637296676636,5.709612,5.7406416,52304,26250
0.0014035183,47.09,0.046184,0.8469492644071579,106,0.1644802,2650000,0.0043151397,8.799630761444568,97.59317517280579,5.709732,4.9973927,52010,26500
0.0044972287,46.26,0.072884,0.848323792219162,107,0.16428931,2675000,0.007551475,8.634910577982664,98.47992253303528,5.710477,4.6788054,50815,26750
0.0005460454,48.68,0.039715998,0.8478379845619202,108,0.1645887,2700000,0.0041600913,9.079066020846367,99.34803223609924,5.710988,4.6441975,52706,27000
0.011384851,49.62,0.12466399,0.8128780275583267,109,0.1647555,2725000,0.016256772,9.254857213348151,100.20273971557617,5.710018,5.286837,40504,27250
8.9120076e-05,49.07,0.043132,0.8687465041875839,110,0.16470805,2750000,0.004202082,9.14571350350976,101.22947144508362,5.70984,2.9407277,51745,27500
-0.0011570321,46.07,0.020132,0.8420805782079697,111,0.16458638,2775000,0.0024252702,8.614742273539305,102.10775804519653,5.7103014,3.6961696,52244,27750
-5.0950457e-05,50.36,0.046548,0.8664741665124893,112,0.1648256,2800000,0.004470953,9.398925375342369,102.99850249290466,5.7099633,3.3866959,51829,28000
0.0007551274,43.91,0.06276,0.8587429523468018,113,0.16427484,2825000,0.0056585423,8.211697290986777,103.88332080841064,5.7098837,2.9753952,51891,28250
0.0041118274,49.36,0.11578399,0.8855146616697311,114,0.16468498,2850000,0.011852244,9.197224791049956,104.75135970115662,5.710882,2.5998418,53133,28500
0.0054604337,47.86,0.12786,0.86404088139534,115,0.16468354,2875000,0.015204211,8.944201557338237,105.62285304069519,5.711897,2.7835612,52133,28750
0.0032666575,49.52,0.08372801,0.8785090893507004,116,0.1645725,2900000,0.007896486,9.218153249323368,106.48925471305847,5.711441,2.4365516,52423,29000
0.0010759176,47.23,0.044536002,0.8725115805864334,117,0.16461647,2925000,0.0044849585,8.819194601774216,107.35905814170837,5.711001,2.655575,50921,29250
0.0014873474,50.61,0.058323998,0.8868578374385834,118,0.16490579,2950000,0.0054179654,9.463368288725615,108.2332329750061,5.711492,2.2812507,52898,29500
0.00030281083,52.22,0.049631998,0.8634489625692368,119,0.16478488,2975000,0.0045700064,9.718930394500495,109.09157180786133,5.7101817,2.9300928,52815,29750
0.0004824805,47.9,0.053528,0.8590169847011566,120,0.1644358,3000000,0.00486517,8.927789610177278,109.9686324596405,5.708598,2.8874242,51313,30000
-0.000118752956,44.5,0.020979999,0.8607024699449539,121,0.16435215,3025000,0.002277166,8.341507434546948,110.89033937454224,5.707686,2.6548018,51894,30250
0.0024232515,50.02,0.07975601,0.8768701255321503,122,0.16464767,3050000,0.007025792,9.299330885410308,111.76249098777771,5.706794,2.420707,52513,30500
0.0002949254,50.69,0.022292,0.8799999132752419,123,0.16474926,3075000,0.0025234693,9.457407744824886,112.63337922096252,5.7062497,2.346006,53319,30750
-0.0009788498,47.78,0.051815998,0.8715672492980957,124,0.16445054,3100000,0.0051776944,8.899300435632467,113.50031685829163,5.70647,2.3875947,51866,31000
0.0054651923,44.56,0.122768,0.8627743273973465,125,0.16439858,3125000,0.013198498,8.325467296540737,114.38466954231262,5.7073393,2.4758415,51470,31250
0.00033925235,46.93,0.03266,0.8543566316366196,126,0.16446836,3150000,0.003280177,8.76123630657792,115.26601815223694,5.7071676,2.6562505,50775,31500
-0.00014149761,45.22,0.016172001,0.8443494290113449,127,0.16425842,3175000,0.0020235623,8.438598365336656,116.14704728126526,5.7062263,2.7611113,52323,31750
0.016847495,49.5,0.23123601,0.8396555632352829,128,0.16488744,3200000,0.030752515,9.235455189347267,117.04798245429993,5.706039,2.7142293,53770,32000
0.013984742,47.42,0.24543998,0.8467364609241486,129,0.16460124,3225000,0.030942675,8.851581869870424,117.91677951812744,5.7065077,2.7724466,51920,32250
0.0099588465,49.01,0.149236,0.851397305727005,130,0.16472502,3250000,0.01657727,9.140635695904493,118.84208464622498,5.7076483,2.7424831,52187,32500
0.0037867192,46.8,0.090544,0.8682113587856293,131,0.16449654,3275000,0.008288702,8.724624338150024,119.72350287437439,5.708812,2.2893653,51786,32750
-9.822035e-05,50.42,0.035856,0.8589031994342804,132,0.16482247,3300000,0.003605752,9.403721800893544,120.60589981079102,5.709632,2.370625,51602,33000
0.0010857342,48.13,0.073592,0.8600565493106842,133,0.16457406,3325000,0.0072351075,8.972229176014661,121.47340536117554,5.7102704,2.2613914,52604,33250
0.0023082108,44.85,0.07224,0.845375195145607,134,0.16447976,3350000,0.0067175566,8.396696183234454,122.36348843574524,5.7116976,2.5885222,50986,33500
0.001181146,47.59,0.05348,0.8475505858659744,135,0.1646065,3375000,0.005307667,8.901307974010706,123.2529468536377,5.7130575,2.496443,53515,33750
0.00014642134,50.24,0.045316,0.8465060591697693,136,0.16472755,3400000,0.0045886277,9.356184137314559,124.11481046676636,5.7130327,2.6056798,51560,34000
0.00039886,48.04,0.041524,0.8621028065681458,137,0.1645528,3425000,0.0042637475,8.936611141711474,124.99923038482666,5.711199,2.182421,53412,34250
0.00051242794,50.61,0.044759996,0.868833601474762,138,0.1648658,3450000,0.00442429,9.427153053283691,125.86433696746826,5.709861,2.0856557,52597,34500
0.0009657697,50.23,0.044880003,0.8822719007730484,139,0.16476643,3475000,0.0042432025,9.34846515879035,126.74122333526611,5.710495,1.770818,52413,34750
