fps,serial_timesteps,ep_reward_mean,explained_variance,policy_entropy,n_updates,approxkl,value_loss,policy_loss,ep_len_mean,total_timesteps,time_elapsed,clipfrac,true_reward
7714,250,0.0,-225924079.0,5.6745996,1,92661.67,3515.3262,0.065775715,0.0,25000,0.0006852149963378906,0.79916793,-0.012227421
46480,500,0.0,-11375497.0,5.6706862,2,261397.4,436.4192,0.29466012,0.0,50000,4.857017755508423,0.89476395,-0.010002417
47546,750,0.0,-1495354.0,5.668358,3,244770.03,20.924442,0.19211404,0.0,75000,6.850133180618286,0.894156,-0.009620809
46941,1000,0.0,-927876.75,5.6673784,4,35941.133,6.547582,0.19886713,0.0,100000,8.90733003616333,0.8950761,-0.009654658
47181,1250,0.0,-359728.96875,5.667021,5,1311.152,2.4831495,0.10710363,0.0,125000,10.92666220664978,0.87420404,-0.009636157
48112,1500,0.0,-161831.1875,5.6669617,6,0.73858076,1.6718544,0.11401291,0.0,150000,12.957404375076294,0.73436,-0.009623193
46850,1750,0.0,-123955.8359375,5.6669717,7,0.80046195,1.5861652,0.018430276,0.0,175000,14.992870330810547,0.752908,-0.009621352
42812,2000,0.0,-62250.6484375,5.6670403,8,185819.34,2.4439404,0.032305468,0.0,200000,17.155142068862915,0.834576,-0.009580993
