n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
35,54546,8.70250994305814,875000,0.042860873,-2.4696412,206.4,0.227512,34.30836367607117,0.019065192,0.9761126171797514,0.018475935,8750,0.0024839817
36,54501,9.761143356061075,900000,0.044751212,-2.4675918,219.59,0.11682401,35.1303493976593,0.008865494,0.9781347084790468,0.014382755,9000,-0.0014091509
37,54598,9.085731978262915,925000,0.044330668,-2.4659877,207.28,0.15707599,35.94532895088196,0.011093534,0.9881919845938683,0.0099339355,9250,0.0005125435
38,54259,9.486957415652693,950000,0.04340146,-2.4662192,220.96,0.17407198,36.769447326660156,0.01331568,0.9829661939293146,0.010333876,9500,0.0014829084
39,55195,9.24739934198151,975000,0.04319336,-2.4662404,216.45,0.15258,37.6036810874939,0.011132865,0.9830179661512375,0.011670231,9750,-0.0006165381
40,55867,8.980685656176465,1000000,0.043298084,-2.465238,210.96,0.15540399,38.42152690887451,0.011206613,0.993826643563807,0.004430987,10000,0.00067774684
41,55025,8.285929503084736,1025000,0.041791163,-2.4643002,200.71,0.354476,39.23207139968872,0.034402754,0.975202240049839,0.021067958,10250,0.007502488
42,54450,8.365370263863223,1050000,0.043879937,-2.4625912,192.77,0.24378002,40.044384479522705,0.019801054,0.9836272727698088,0.013512646,10500,0.00455131
43,45380,8.759352810219234,1075000,0.04436948,-2.4607024,202.31,0.126252,40.85729122161865,0.009690581,0.9928396577015519,0.0051945164,10750,-0.0009363309
44,57447,8.787099708716742,1100000,0.041688666,-2.4613967,210.53,0.25014,41.777992486953735,0.021034334,0.9763918500393629,0.018055586,11000,0.004796729
45,56419,8.791747171801326,1125000,0.04220814,-2.4647226,209.22,0.093664005,42.579005002975464,0.007138905,0.9754213020205498,0.017230926,11250,-0.0034448418
46,56978,8.928934249292494,1150000,0.04222458,-2.4710534,212.72,0.13360399,43.39134335517883,0.009982133,0.9762832429260015,0.015553668,11500,-0.0020292886
