n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
527,53964,9.270598712351347,13175000,0.04339837,-2.7041237,213.79,0.173852,438.819442987442,0.012914106,0.9843342639505863,0.010572246,131750,0.0023037288
528,54897,8.239347207040991,13200000,0.04157732,-2.705394,198.1,0.162592,439.623263835907,0.011911208,0.9788932949304581,0.017628297,132000,-3.490597e-06
529,54334,8.174560383726105,13225000,0.04209896,-2.707312,196.77,0.116560005,440.4157452583313,0.008798322,0.9680581912398338,0.024156965,132250,-0.0022571734
530,52417,9.364904392764148,13250000,0.043059207,-2.7074778,213.5,0.23575199,441.2419345378876,0.020697847,0.9744952376931906,0.020878222,132500,0.0034466453
531,55183,8.732427655213396,13275000,0.042257875,-2.7072954,207.0,0.2582,442.0491449832916,0.022172472,0.9857481028884649,0.0108806295,132750,0.005136662
532,54621,8.773698125930315,13300000,0.041562617,-2.7062602,211.19,0.24970798,442.83223056793213,0.021578718,0.9862055266276002,0.011594439,133000,0.0056412434
533,54342,8.615393634948395,13325000,0.042236432,-2.7063966,205.28,0.204596,443.63324546813965,0.0161567,0.9737049676477909,0.01951689,133250,0.002152821
534,53808,9.119831866952882,13350000,0.042411137,-2.7091575,214.22,0.18870799,444.4215579032898,0.014506238,0.9820062667131424,0.013284864,133500,0.0016480582
535,54872,8.350171600790054,13375000,0.042275067,-2.7094295,199.51,0.163264,445.2151165008545,0.012763736,0.9839732516556978,0.012769684,133750,0.00015899334
536,55709,8.314705800828524,13400000,0.041906286,-2.709298,197.69,0.18865201,445.9953100681305,0.013970485,0.9698033314198256,0.026394412,134000,0.0006236108
537,54688,9.88598710394348,13425000,0.04437313,-2.7092643,224.22,0.107967995,446.7888596057892,0.0080628,0.9896090319380164,0.0069058863,134250,-0.0020749187
538,55141,8.796267578769038,13450000,0.042870097,-2.7149737,209.5,0.12648001,447.5889160633087,0.01015613,0.9838929623365402,0.012177134,134500,-0.0023770786
539,52843,8.77874916750705,13475000,0.042798173,-2.7193205,206.79,0.134608,448.3749816417694,0.010320678,0.9913611076772213,0.0073054424,134750,-0.00017324743
540,53651,10.208128224245739,13500000,0.043449894,-2.722785,231.76,0.22288,449.17030596733093,0.017981406,0.9865892082452774,0.008545427,135000,0.003076946
541,44154,9.174034140009134,13525000,0.043324087,-2.7269104,213.39,0.22796401,449.96902561187744,0.01834809,0.9722551889717579,0.019827267,135250,0.0033464157
542,55892,9.111636769658652,13550000,0.042676307,-2.731022,211.66,0.25576,450.86620831489563,0.022391757,0.9806670714169741,0.015024908,135500,0.004200343
543,54974,9.548327817154878,13575000,0.0434828,-2.7334247,218.68,0.181188,451.64438819885254,0.014253403,0.9806057326495647,0.015274954,135750,0.00033516035
544,53764,8.794605770551716,13600000,0.04241781,-2.7347703,206.0,0.176484,452.4518711566925,0.013828179,0.9781433641910553,0.01882999,136000,0.00087434053
545,54446,8.462684569306148,13625000,0.042490583,-2.7344956,200.34,0.14954,453.2696535587311,0.010858076,0.987912523560226,0.011149118,136250,-0.0014772251
546,55593,8.913433475277143,13650000,0.042099908,-2.7387536,213.78,0.12588,454.07231044769287,0.009594617,0.9859624411910772,0.011276009,136500,-0.0009904619
547,53980,8.722397139663444,13675000,0.042639468,-2.7462642,205.95,0.16984402,454.8575267791748,0.012790771,0.9918579356744885,0.0072251447,136750,0.0010712856
548,54228,8.946025213287793,13700000,0.042221427,-2.7515645,211.86,0.17173998,455.6511995792389,0.014481601,0.9785551857203245,0.016308138,137000,0.0016561464
549,55136,8.833149009564586,13725000,0.043623887,-2.7543736,204.16,0.21755202,456.44577193260193,0.018404901,0.9889927431941032,0.009489734,137250,0.0036420957
550,54773,8.83305358869431,13750000,0.043671694,-2.7563787,206.67,0.24006,457.2325713634491,0.020347472,0.9887691782787442,0.008082189,137500,0.003645112
551,52803,9.147694340445742,13775000,0.043639883,-2.758805,210.79,0.18922798,458.04084825515747,0.013881447,0.9846286429092288,0.011134141,137750,0.0014734156
552,53145,8.764653593325201,13800000,0.042804725,-2.7620902,206.68,0.252568,458.8399143218994,0.021566937,0.9899470545351505,0.0071988716,138000,0.006073391
553,54421,9.275995843665159,13825000,0.043045025,-2.7630048,212.36,0.14316,459.6435933113098,0.0103432955,0.9803914856165648,0.015252046,138250,-0.0008389411
554,42817,8.271105842200035,13850000,0.041463964,-2.7637703,202.19,0.16476399,460.4298141002655,0.012357781,0.9622132182121277,0.027875155,138500,-0.0015615064
555,55313,8.21150980415754,13875000,0.043569252,-2.765805,191.71,0.131724,461.34751081466675,0.009705237,0.9880010224878788,0.0105649205,138750,-0.0018744033
556,55694,8.97922719885002,13900000,0.042611524,-2.7697184,212.42,0.16890399,462.134464263916,0.013104143,0.9816341586410999,0.013120392,139000,0.00026809904
557,53907,9.113262633087565,13925000,0.04203474,-2.7707515,216.88,0.141672,462.91865158081055,0.010551738,0.9794429447501898,0.015817847,139250,0.0004450407
558,53006,8.73454224745299,13950000,0.041905127,-2.7732334,207.17,0.17068401,463.7036256790161,0.01201676,0.9717656951397657,0.023179224,139500,0.0003483364
559,54931,8.591202066545014,13975000,0.042820707,-2.7736237,198.96,0.20522001,464.50473952293396,0.015149338,0.98066839389503,0.016236322,139750,0.0005686687
560,54382,9.244785026309982,14000000,0.04401551,-2.7722344,209.55,0.193856,465.2986900806427,0.014204535,0.986339365132153,0.011354885,140000,0.00060207257
561,55013,8.514279458273085,14025000,0.042761903,-2.771803,202.82,0.24123201,466.0888478755951,0.01848906,0.9843410607427359,0.013330932,140250,0.003731992
562,54983,8.166910711173186,14050000,0.042963095,-2.775371,192.27,0.208776,466.88185358047485,0.016362384,0.9932461618445814,0.006328959,140500,0.004779721
563,54828,8.865364406640328,14075000,0.042193063,-2.780848,207.45,0.155028,467.6670937538147,0.011296379,0.9842371605336666,0.014433062,140750,-0.0016846952
564,55416,9.040974648466445,14100000,0.04295665,-2.7857592,209.25,0.232716,468.46589255332947,0.018373182,0.9845065549015999,0.013473814,141000,0.0025563168
565,53759,8.782661525410786,14125000,0.04281366,-2.7901618,204.06,0.19504,469.25230264663696,0.014636229,0.9879533015191555,0.010955198,141250,0.001687003
566,55286,8.387102771718855,14150000,0.04313699,-2.7928126,199.22,0.15049998,470.05167603492737,0.011566504,0.9903709786012769,0.0081398655,141500,-0.00045329434
567,56062,8.849565907812485,14175000,0.04334078,-2.7956576,208.42,0.198796,470.84591150283813,0.016026046,0.9886105377227068,0.008959789,141750,0.0018074799
568,54479,9.19428507572964,14200000,0.042955972,-2.7950907,214.3,0.21276,471.62807154655457,0.015969595,0.9874956188723445,0.010630476,142000,0.0012904495
569,52886,9.26322518439847,14225000,0.04332544,-2.7950065,215.75,0.18317202,472.4290654659271,0.013642186,0.9891460118815303,0.008907089,142250,0.0011867376
570,54906,9.649660475288329,14250000,0.04380302,-2.7972662,221.42,0.143944,473.22831177711487,0.012056412,0.9887225711718202,0.007929141,142500,0.000115729825
571,55097,8.806186517255918,14275000,0.043194126,-2.7998607,207.66,0.15385601,474.0123338699341,0.0111522535,0.991230801679194,0.0070984797,142750,-0.00034609847
572,54851,9.04615799056599,14300000,0.043036778,-2.8040574,212.45,0.11496,474.7972011566162,0.008632143,0.9851365815848112,0.011443891,143000,-0.001848701
573,54169,9.401992219286052,14325000,0.042268448,-2.8084736,223.26,0.24727598,475.5872185230255,0.019564245,0.9815828558057547,0.012313083,143250,0.0024208936
574,54380,9.540065940145245,14350000,0.042836085,-2.8101172,220.69,0.19177599,476.38283944129944,0.014094986,0.9860459733754396,0.0105329575,143500,0.001438224
575,53429,9.980302094294675,14375000,0.0443262,-2.8113456,223.94,0.20057201,477.18267369270325,0.014619741,0.9790619891136885,0.014332664,143750,-0.0003047697
576,53736,8.885190671178316,14400000,0.04259531,-2.8130548,208.11,0.114316,477.99496054649353,0.008548553,0.9751125425100327,0.020382283,144000,-0.003023459
577,55716,8.975614058321808,14425000,0.042308297,-2.8167205,208.92,0.12692001,478.7927622795105,0.009174836,0.9879314517602324,0.011077727,144250,-0.0004883546
578,56455,8.3419663376678,14450000,0.04421733,-2.8222053,191.16,0.206424,479.57976603507996,0.017702084,0.9849118888378143,0.013790844,144500,0.0016057733
579,50194,8.977999019242343,14475000,0.043936685,-2.8257866,207.25,0.416696,480.37029480934143,0.053063888,0.9841818530112505,0.0135866,144750,0.013503795
580,54753,9.26031363789225,14500000,0.043839645,-2.827523,209.28,0.24953201,481.1947009563446,0.021290809,0.9917412074282765,0.0072041526,145000,0.007446371
581,55149,8.704795572782604,14525000,0.042886436,-2.8278286,207.63,0.40409198,481.9838924407959,0.043571148,0.9900024235248566,0.008805761,145250,0.015292357
582,53878,9.174962495916825,14550000,0.042903382,-2.8287635,214.56,0.19783601,482.76925325393677,0.015494633,0.9819063171744347,0.0137555795,145500,-0.00022187259
583,53837,8.799325673809072,14575000,0.0421262,-2.8312445,209.91,0.195868,483.56937551498413,0.014495147,0.9887827914208174,0.008861316,145750,0.0014654105
584,55447,8.976603034579348,14600000,0.041445445,-2.8326907,219.93,0.101696,484.37028789520264,0.007738205,0.9882011665031314,0.008030631,146000,-0.002330371
585,52754,9.103587070268913,14625000,0.042435177,-2.8346584,214.88,0.21408,485.17544174194336,0.016155187,0.9922842709347606,0.006395802,146250,0.0033967444
586,56264,8.607960978465853,14650000,0.04283631,-2.8352678,201.93,0.127196,486.01236391067505,0.009658927,0.9876517159864306,0.010858251,146500,-0.0025086657
587,55397,8.188581653897199,14675000,0.04210394,-2.835,194.92,0.19384798,486.79224967956543,0.014002316,0.9819739572703838,0.016098928,146750,-0.0006494618
588,52255,7.580871784205519,14700000,0.04225514,-2.835256,181.05,0.18258,487.5774052143097,0.01402401,0.9802562426775694,0.019593783,147000,0.00037821784
589,55711,8.867547814291083,14725000,0.042656634,-2.836433,210.04,0.14085199,488.3808035850525,0.010433378,0.9928405960090458,0.006135485,147250,-0.00047313492
590,54397,9.434854484815151,14750000,0.044221867,-2.839041,211.91,0.205772,489.159681558609,0.015327426,0.9871334489434958,0.010171137,147500,0.002506122
591,39378,8.688764815184005,14775000,0.04053258,-2.842406,213.18,0.394572,489.94273114204407,0.047017653,0.9786687027662992,0.016762642,147750,0.01002239
592,55613,9.702748687472075,14800000,0.043942653,-2.844908,221.48,0.21505198,490.8929340839386,0.016368166,0.9927084683440626,0.0052385363,148000,0.003143308
593,56841,8.969704574298412,14825000,0.043443248,-2.8473554,209.14,0.34587198,491.6687250137329,0.034316193,0.993060078471899,0.005781948,148250,0.012636332
594,55032,8.96317923855342,14850000,0.042892843,-2.8490233,210.44,0.24533999,492.43347215652466,0.02018481,0.9917036816477776,0.006585157,148500,0.0032527621
595,55369,8.352984370354479,14875000,0.04142328,-2.8504896,204.95,0.177264,493.21756315231323,0.013954094,0.9865408157929778,0.011197187,148750,0.0011184153
596,53839,8.30162093950741,14900000,0.04143722,-2.8498693,200.78,0.18154798,494.0019178390503,0.01325099,0.9841803405433893,0.014323959,149000,0.0005775833
597,55185,8.944788805858137,14925000,0.04347399,-2.848954,204.43,0.18846801,494.7983167171478,0.014275501,0.9832791052758694,0.013770866,149250,0.0011680142
598,55498,8.278632356249673,14950000,0.04299857,-2.8495145,196.74,0.196168,495.5835328102112,0.014511898,0.9913429394364357,0.007818082,149500,0.0014935511
599,54672,8.91190613449995,14975000,0.042301428,-2.8507838,212.59,0.20821199,496.37687492370605,0.01771389,0.9873152049258351,0.0104151005,149750,0.001297587
600,54281,9.008783719551648,15000000,0.04344834,-2.8501563,207.45,0.215112,497.1758117675781,0.017615506,0.988195450976491,0.009387909,150000,0.0028955843
601,54772,8.425085926637985,15025000,0.04062198,-2.8505712,211.89,0.17431599,497.965637922287,0.01333479,0.9764463603496552,0.017981004,150250,0.000603613
602,53761,9.513321342485469,15050000,0.044736363,-2.8525574,213.65,0.2066,498.7534239292145,0.016137917,0.9930097153410316,0.006947829,150500,0.0026727314
603,55554,9.10361447415169,15075000,0.042805605,-2.8563273,215.08,0.17067601,499.54892230033875,0.012768598,0.9886471210047603,0.009172701,150750,0.00027043544
604,56487,9.020189525602326,15100000,0.042725068,-2.8597298,210.71,0.19406399,500.33085584640503,0.014543643,0.9732286855578423,0.021736348,151000,0.0006322018
605,55606,9.15299846513255,15125000,0.04321154,-2.8604236,212.35,0.183464,501.10514283180237,0.013457997,0.9840231537818909,0.013220595,151250,0.00073968
606,55726,9.425826404766413,15150000,0.043554936,-2.859407,214.02,0.20312801,501.87757992744446,0.015660418,0.9886404797434807,0.010108896,151500,-0.00017417732
607,53305,9.238346702303025,15175000,0.04366703,-2.8569412,211.53,0.37175196,502.6594796180725,0.03916763,0.9869350139051676,0.010003233,151750,0.012969169
608,54571,8.121716446589998,15200000,0.041302316,-2.8540816,197.36,0.150736,503.45877146720886,0.011171745,0.9806776363402605,0.018286487,152000,-0.00067689794
609,55411,8.833029628865624,15225000,0.04199285,-2.8532321,209.16,0.19032799,504.252055644989,0.015072649,0.9817324876785278,0.016444743,152250,0.00037123877
610,54254,9.041589451268374,15250000,0.04319523,-2.8524704,210.5,0.183448,505.041344165802,0.01449134,0.9837789945304394,0.012133428,152500,0.00035114866
611,53529,9.341312710717466,15275000,0.04393887,-2.8536868,213.31,0.12774399,505.8475112915039,0.009589804,0.990148926153779,0.008529639,152750,-0.0014952099
612,54142,9.09547795726146,15300000,0.043502115,-2.854678,209.54,0.20337999,506.64206051826477,0.01691279,0.9875748436897993,0.010149333,153000,0.0025278786
613,49965,8.747096175592423,15325000,0.04367309,-2.8536408,202.19,0.32577598,507.44522500038147,0.031757817,0.9837348870933056,0.014301864,153250,0.007106472
614,54482,8.939167751556525,15350000,0.04330212,-2.8490286,205.4,0.315912,508.2735035419464,0.02754731,0.9822407606989145,0.015093463,153500,0.0059670815
615,55074,9.363145029751976,15375000,0.042373076,-2.8439546,222.88,0.24463198,509.0655403137207,0.021254089,0.9792432449758053,0.0134878205,153750,0.0032652647
616,55704,9.044465159273678,15400000,0.044162847,-2.8432264,205.46,0.22094002,509.8497407436371,0.019409956,0.9841615278273821,0.011320094,154000,0.00458657
617,48075,8.326495610283727,15425000,0.04258247,-2.8443458,197.28,0.194528,510.6342658996582,0.014596367,0.9881395837292075,0.009987271,154250,0.0020841532
618,56309,9.400273355921819,15450000,0.043564584,-2.8458834,215.26,0.2833,511.4865572452545,0.024246406,0.9868890577927232,0.009936418,154500,0.006653103
619,55904,8.698234548720938,15475000,0.04203823,-2.8460543,208.16,0.27923203,512.2646477222443,0.026123572,0.9814857542514801,0.014176605,154750,0.005047289
620,55619,9.172817700801534,15500000,0.042583603,-2.846001,216.19,0.152652,513.0431907176971,0.011867137,0.9842709135264158,0.011158744,155000,-0.0003651805
621,52830,9.206878996824116,15525000,0.042356305,-2.8460085,217.75,0.161384,513.8252863883972,0.011926611,0.9844938786700368,0.010426672,155250,0.00024356991
622,54937,9.19949442822628,15550000,0.04261426,-2.846231,218.36,0.255772,514.6249713897705,0.023064153,0.9861710770055652,0.013209413,155500,0.006864448
623,53770,8.776738439436729,15575000,0.042365313,-2.8468645,207.29,0.26529202,515.4116015434265,0.022977954,0.9840850010514259,0.013740659,155750,0.003873004
624,53859,9.211708161990792,15600000,0.042019077,-2.8464482,218.31,0.21291201,516.206878900528,0.016805634,0.987677987664938,0.010294733,156000,0.0025463048
625,53454,9.01320280821965,15625000,0.042352457,-2.8457065,213.76,0.203524,517.0182106494904,0.015337938,0.9861219115555286,0.010368006,156250,0.0018166587
626,52488,8.873745567069346,15650000,0.044081185,-2.847118,200.59,0.12809199,517.8541777133942,0.009372409,0.989384762942791,0.008724054,156500,-0.0009587199
627,53318,8.49668670721967,15675000,0.041927863,-2.8502038,202.01,0.15028802,518.6627850532532,0.010912092,0.9882997469976544,0.0106678065,156750,-0.0016262954
628,48254,9.427310735878782,15700000,0.04321765,-2.8516078,217.84,0.19717601,519.469456911087,0.014664367,0.9874222325161099,0.009132481,157000,0.0007052891
629,55762,8.855319616808556,15725000,0.042138364,-2.852957,211.22,0.224468,520.313636302948,0.01766676,0.9798813480883837,0.014007421,157250,0.001624379
630,54147,9.32268756942729,15750000,0.042595375,-2.8546822,218.32,0.22692399,521.0844233036041,0.016781732,0.9832789227366447,0.013129672,157500,0.0023647926
631,55810,8.296589149737775,15775000,0.041678037,-2.8584886,205.05,0.29932,521.8735046386719,0.03099991,0.9849582491442561,0.01172108,157750,0.009858067
632,54915,8.829532144913573,15800000,0.04343915,-2.8596578,207.4,0.21364799,522.652147769928,0.016925659,0.9934125989675522,0.00480161,158000,0.005465355
633,54720,8.499602957354728,15825000,0.04351894,-2.8588116,197.69,0.18315598,523.4440088272095,0.013814789,0.9841275308281183,0.011292959,158250,0.0023624822
634,54575,8.722657207921147,15850000,0.043062765,-2.858409,204.88,0.18802801,524.2461609840393,0.014348879,0.9896278334781528,0.008285381,158500,0.0015416673
635,54427,9.19035999872438,15875000,0.04323099,-2.858273,214.72,0.26858002,525.0515606403351,0.023018137,0.9889667108654976,0.006985014,158750,0.0068514636
636,53405,8.970681261398603,15900000,0.04284321,-2.85973,210.92,0.143372,525.8499658107758,0.010279302,0.9876543954014778,0.00793478,159000,-0.0021831137
637,53611,8.223653393029855,15925000,0.042313643,-2.8605747,195.92,0.20358798,526.6567766666412,0.015116038,0.9816444311290979,0.017164502,159250,0.0019034676
638,55135,9.17283436070662,15950000,0.043055557,-2.8610775,213.19,0.34938,527.450820684433,0.036756262,0.9890133803710341,0.00992506,159500,0.015799623
639,55342,8.992991959706483,15975000,0.04355119,-2.8622205,209.87,0.474832,528.2308692932129,0.07542159,0.9885142100974917,0.0074055702,159750,0.03383548
640,55105,9.202337373641422,16000000,0.043658685,-2.861516,215.13,0.206008,529.0268230438232,0.016185097,0.9886385640129447,0.0070093586,160000,0.003230232
641,55219,8.73840926947757,16025000,0.0421735,-2.861339,208.29,0.14960799,529.8154389858246,0.01078779,0.990681198425591,0.0068092183,160250,0.0006013032
642,55180,8.944805467514088,16050000,0.043380506,-2.8629556,206.07,0.163244,530.6004967689514,0.012203453,0.9898534556850791,0.007829449,160500,0.00025621438
643,54523,9.04974183070779,16075000,0.042207103,-2.866513,214.02,0.228796,531.3899123668671,0.018008938,0.9882492609322071,0.009707142,160750,0.00393908
644,53397,9.756608685372411,16100000,0.04380786,-2.8692708,221.87,0.178944,532.1754403114319,0.0144896805,0.9859600020572543,0.009490793,161000,0.0032451316
645,55374,8.964520960159527,16125000,0.042122133,-2.8694837,214.83,0.2066,532.9831681251526,0.016072843,0.992729730438441,0.004759913,161250,0.0036316153
646,55593,8.991537504298613,16150000,0.04187137,-2.8680215,214.76,0.35669598,533.7707006931305,0.034064338,0.9891100926324725,0.0076257675,161500,0.011398965
647,55392,9.040959941740802,16175000,0.042151064,-2.864852,215.41,0.306032,534.5466105937958,0.027721558,0.9815195128321648,0.012397037,161750,0.0075766956
648,53373,8.428647873930167,16200000,0.041727494,-2.8610635,203.73,0.19963601,535.3269276618958,0.014494573,0.9837070032954216,0.012723608,162000,0.0008333658
649,54829,9.393132918891498,16225000,0.04300022,-2.8580208,218.8,0.31383198,536.1288638114929,0.028895166,0.9796227589249611,0.012586464,162250,0.009521809
650,55071,8.510238284150036,16250000,0.043679267,-2.855654,196.97,0.34044403,536.9229624271393,0.03264833,0.9876380106434226,0.011245189,162500,0.011968788
651,53827,9.278872304831857,16275000,0.04235302,-2.8532271,218.5,0.32586798,537.7128868103027,0.03258496,0.9845768827944994,0.012020111,162750,0.01205878
652,55311,8.877727929497706,16300000,0.041871928,-2.8523645,213.73,0.14088,538.502454996109,0.010485651,0.9846555944532156,0.009884236,163000,-0.0014567388
653,55422,8.065766269234592,16325000,0.0433783,-2.8531375,191.62,0.10170801,539.2898511886597,0.0078374315,0.9842678140848875,0.012290113,163250,-0.0025037099
654,54125,9.515845760782394,16350000,0.044250365,-2.856695,217.57,0.12376001,540.0735280513763,0.009120506,0.993125868961215,0.004271041,163500,-0.00084809883
655,54508,8.837989118467412,16375000,0.041670226,-2.8624463,210.91,0.16636398,540.8590619564056,0.012240207,0.9867674829438329,0.011452006,163750,0.00088471326
656,54701,8.7609437143166,16400000,0.041380893,-2.866132,211.43,0.11049601,541.6565067768097,0.008348303,0.9785114601254463,0.015678328,164000,-0.0029811081
657,53001,8.741182624259675,16425000,0.042740557,-2.8642821,208.22,0.185004,542.4478194713593,0.013660833,0.9938751389272511,0.004680938,164250,0.0018047529
658,53930,8.895122325877892,16450000,0.042737495,-2.8637755,206.75,0.16608801,543.2493119239807,0.012193805,0.978027880191803,0.017701417,164500,0.0006989532
659,49450,9.616263544043177,16475000,0.042768247,-2.864826,226.15,0.155872,544.0511395931244,0.01156741,0.9884647410362959,0.008046058,164750,-0.0012205762
660,55806,8.389554463530658,16500000,0.042469237,-2.862397,196.68,0.140892,544.8955385684967,0.01019392,0.9871125221252441,0.011801312,165000,-0.0005805883
661,56330,8.818139732511845,16525000,0.042696904,-2.8609061,211.58,0.18567601,545.6780695915222,0.014080268,0.9901043176651001,0.007225588,165250,0.0013268489
662,55378,8.49299937221258,16550000,0.043267787,-2.8597982,197.94,0.15327999,546.4519538879395,0.011407348,0.9903311086818576,0.0077386647,165500,-0.00012983658
663,55986,8.214121872661563,16575000,0.042991035,-2.8598733,191.31,0.152512,547.2388100624084,0.011137781,0.9887068709358573,0.010362131,165750,-5.6109855e-07
664,53904,8.325575069177939,16600000,0.04274683,-2.8626897,198.06,0.26736,548.0310046672821,0.022384321,0.9820261150598526,0.015101366,166000,0.004997106
665,54681,8.259762975721642,16625000,0.041051436,-2.8641474,201.38,0.27468804,548.8510899543762,0.023545884,0.9870851263403893,0.011555131,166250,0.006984516
666,54060,8.924625542282302,16650000,0.04283108,-2.863673,208.57,0.16905601,549.6596126556396,0.012490278,0.9904311504215002,0.007316352,166500,0.0014012805
667,54982,8.889297672968059,16675000,0.042244125,-2.864078,209.95,0.14872,550.4528605937958,0.010660002,0.9859726978465915,0.010988165,166750,-0.0014839853
668,54941,9.620677169712362,16700000,0.043639746,-2.8677692,219.74,0.19126001,551.2395944595337,0.013863231,0.9832155499607325,0.012636887,167000,-0.0004964618
669,49790,8.45816437999085,16725000,0.042320997,-2.8684053,204.7,0.171884,552.0362067222595,0.0126557965,0.9947210536338389,0.004477706,167250,0.0012090466
670,55209,8.716306234490403,16750000,0.042222086,-2.8685384,208.63,0.29836,552.8856976032257,0.024982095,0.9863621685653925,0.010547197,167500,0.008291422
671,54208,8.27505196837792,16775000,0.04183151,-2.8668435,202.92,0.43485197,553.6740703582764,0.07399383,0.9880123045295477,0.009173142,167750,0.021668857
672,53743,8.994801553086326,16800000,0.041820996,-2.8636477,217.22,0.152348,554.4698963165283,0.011379987,0.9909206610172987,0.0061709937,168000,-0.0005153925
673,53543,8.736244319881662,16825000,0.042488698,-2.8620467,208.77,0.188256,555.2638924121857,0.01387641,0.9853431358933449,0.0107325455,168250,0.0012622664
674,55495,8.968498728397499,16850000,0.04313652,-2.8614962,210.37,0.13606401,556.0695261955261,0.009954424,0.9922842648811638,0.0058343955,168500,-0.0011397997
675,55676,8.42625256388877,16875000,0.041831654,-2.8639355,203.86,0.17908801,556.8751151561737,0.013883477,0.9870091322809458,0.0101765,168750,0.0020733147
676,53095,8.446168086691896,16900000,0.041480936,-2.8650553,206.87,0.19900002,557.6610264778137,0.016830739,0.9887535590678453,0.008541312,169000,0.0043086777
677,55876,8.340289878973854,16925000,0.042698022,-2.8641107,200.49,0.14017199,558.470841884613,0.010233216,0.9898287551477551,0.00727052,169250,-0.001583501
678,53641,9.171838386261589,16950000,0.042952172,-2.867023,213.75,0.17475201,559.2624135017395,0.013713342,0.9859121004119515,0.0105937775,169500,-0.00059633155
679,56460,8.64862296644911,16975000,0.0434477,-2.8703072,199.96,0.204428,560.0592947006226,0.016185151,0.9924915297888219,0.0061520054,169750,0.0032087043
680,55275,8.626778760138896,17000000,0.042367987,-2.8724868,204.37,0.18642,560.8209438323975,0.014130974,0.9898796686902642,0.008097982,170000,0.0011554504
681,52923,8.640198248041925,17025000,0.041564472,-2.8714874,206.65,0.2057,561.6069049835205,0.015209285,0.9876879937946796,0.010911306,170250,0.0010468259
682,50287,7.779908691999335,17050000,0.041599266,-2.8685958,189.97,0.141212,562.413813829422,0.01047742,0.9883057167753577,0.010165893,170500,-0.0004829516
683,41912,8.788953989304009,17075000,0.04219536,-2.866939,209.97,0.16973598,563.242208480835,0.013103463,0.9752171337604523,0.018878195,170750,0.0007738628
684,54751,8.811489565324736,17100000,0.042694725,-2.868158,206.38,0.138524,564.1764888763428,0.010636108,0.9860751032829285,0.011507809,171000,-0.00032553516
685,52270,8.76728253346614,17125000,0.042825706,-2.870356,205.19,0.34100002,565.0104959011078,0.037506524,0.9883512835949659,0.011058868,171250,0.0132138105
686,54831,9.423382595977527,17150000,0.044829432,-2.8708405,213.11,0.28653598,565.8281006813049,0.027877638,0.9835925903171301,0.01074868,171500,0.008980581
687,53978,8.742977834148114,17175000,0.043561142,-2.870758,205.53,0.26967198,566.6390600204468,0.024244253,0.9840092789381742,0.0113662,171750,0.0045118923
688,51198,8.754749596864567,17200000,0.04244968,-2.8708093,205.69,0.201812,567.4908213615417,0.015452599,0.985365035943687,0.011221692,172000,0.0017534889
689,54091,8.699175065445816,17225000,0.042127714,-2.8728049,206.88,0.12016799,568.3544998168945,0.009093301,0.9857898345217109,0.011518013,172250,-0.0018761024
690,54547,8.973779663253445,17250000,0.044262953,-2.8731565,202.7,0.20442,569.1630675792694,0.015432033,0.9894923102110624,0.008281203,172500,0.002615451
691,53825,8.441142769961298,17275000,0.04233388,-2.8718274,202.31,0.151208,569.9821105003357,0.0113296015,0.9889678126201034,0.008837683,172750,-0.001349624
692,54023,8.466816858186885,17300000,0.04263485,-2.869492,203.81,0.12893201,570.7885715961456,0.009387126,0.9866534266620874,0.010488465,173000,-0.0011467171
693,53813,7.956514896461667,17325000,0.04120888,-2.867873,194.93,0.18459201,571.5941259860992,0.014480266,0.9893650691956282,0.010362451,173250,0.00059333246
694,53116,8.862154504474875,17350000,0.04270186,-2.8657823,207.35,0.314908,572.4191966056824,0.028890362,0.9911844162270427,0.0076232455,173500,0.009428619
695,49743,8.465577710103354,17375000,0.04313435,-2.8637505,197.39,0.44478402,573.2712938785553,0.07292084,0.971695264801383,0.023990072,173750,0.01630804
696,53712,8.716547962901714,17400000,0.04198128,-2.8595862,207.86,0.27435604,574.1417622566223,0.026543478,0.9928739843890071,0.0057037068,174000,0.008997716
697,53422,9.349254725536374,17425000,0.042742904,-2.8571332,216.41,0.13756001,574.9686625003815,0.009939358,0.9862836906686425,0.010785713,174250,-0.0003072252
698,53273,8.37791052396875,17450000,0.043537803,-2.855927,195.39,0.196216,575.8329133987427,0.016180562,0.983235165476799,0.013572669,174500,0.00021889759
699,53689,7.934762634151993,17475000,0.042593487,-2.8565428,189.87,0.19109601,576.6918203830719,0.015264583,0.9856103975325823,0.0143793505,174750,0.00036144475
700,52697,7.948224573821863,17500000,0.04195437,-2.8597662,191.96,0.204688,577.5215675830841,0.017256416,0.9804833307862282,0.01682108,175000,0.0011065009
701,53408,9.080154331050654,17525000,0.042976204,-2.8629174,214.34,0.19185999,578.3626189231873,0.014718806,0.9850889230147004,0.0099723535,175250,0.0023734223
702,54168,8.758613129118967,17550000,0.04234876,-2.865292,207.72,0.19215198,579.1949152946472,0.014281826,0.9877213193103671,0.011933097,175500,0.0015323922
703,53555,9.050478801282516,17575000,0.04305377,-2.8651443,212.29,0.135064,580.0208268165588,0.01048924,0.9786853063851595,0.01596751,175750,0.00010016563
