approxkl,n_updates,clipfrac,true_reward,value_loss,fps,serial_timesteps,ep_reward_mean,ep_len_mean,explained_variance,total_timesteps,time_elapsed,policy_loss,policy_entropy
0.002186286,35,0.015908,-0.20295256,0.44045314,60117,8750,0.2674562604913103,23.99,0.6198129057884216,875000,35.34229850769043,-0.001970723,5.393605
0.00269625,36,0.021796,-0.19861068,0.4500583,58347,9000,0.2279673852786982,23.71,0.6132643818855286,900000,36.16943907737732,-0.0024019454,5.3784075
0.0021546604,37,0.014472,-0.19684544,0.40987936,58262,9250,0.3282148096245874,24.57,0.648299902677536,925000,37.039830684661865,-0.0014858871,5.360406
0.0022008826,38,0.01384,-0.19391334,0.40367785,47357,9500,0.28351870178609717,23.16,0.647535502910614,950000,37.88210463523865,-0.0020651082,5.3436007
0.00195332,39,0.014172,-0.19154611,0.3515553,57551,9750,0.34369364029498684,23.41,0.6887000799179077,975000,38.82274389266968,-0.0019531313,5.32898
0.0029379693,40,0.025544003,-0.18959594,0.34277835,58342,10000,0.3057154015362437,23.35,0.6889539361000061,1000000,39.67138195037842,-0.0022544141,5.3116302
0.0025840367,41,0.019868,-0.18581516,0.32228884,51240,10250,0.2848420844243628,23.83,0.7040928304195404,1025000,40.5152530670166,-0.0025203277,5.2914386
0.0026782467,42,0.021172002,-0.1796664,0.2902632,59794,10500,0.42645218853348754,28.74,0.7332783937454224,1050000,41.4097113609314,-0.0022494127,5.274497
0.002321762,43,0.017552,-0.17804721,0.28281483,57452,10750,0.3919920545264586,26.49,0.7399576008319855,1075000,42.23540139198303,-0.001830362,5.258801
0.0025330533,44,0.02056,-0.17542826,0.26884016,58097,11000,0.36563235276734873,26.23,0.7514559328556061,1100000,43.1058406829834,-0.0020865577,5.243103
0.0030111957,45,0.027943999,-0.17712156,0.2678271,58519,11250,0.310354430345501,23.74,0.7609788626432419,1125000,43.953290939331055,-0.0024127446,5.225704
0.0030690348,46,0.028972,-0.16924469,0.24717537,58165,11500,0.36463704825949206,26.72,0.7681180238723755,1150000,44.80712080001831,-0.0022198127,5.2103276
0.0025797242,47,0.019431999,-0.16990177,0.259354,50375,11750,0.3967407375621883,24.95,0.7635440677404404,1175000,45.65537667274475,-0.0019624862,5.1964054
0.0030263744,48,0.026772002,-0.16909993,0.23089905,52096,12000,0.44852477944533803,27.96,0.7909364402294159,1200000,46.57233738899231,-0.0021793637,5.179761
0.00330272,49,0.031460002,-0.1592595,0.24113949,60245,12250,0.47910972459885215,26.58,0.7867941707372665,1225000,47.49487566947937,-0.002796716,5.164242
0.0029669194,50,0.025956,-0.1599155,0.23347883,51390,12500,0.47385598204185725,31.1,0.7949774414300919,1250000,48.45540189743042,-0.002201485,5.150669
0.0027561414,51,0.025864,-0.15789966,0.2131603,58076,12750,0.4137620879702081,29.62,0.8120153099298477,1275000,49.35007882118225,-0.0026790989,5.137475
0.0038582638,52,0.042244,-0.15625562,0.22311084,58551,13000,0.49950856389017984,28.32,0.7976990640163422,1300000,50.28344655036926,-0.0033238358,5.125617
0.0021389448,53,0.016516,-0.14834562,0.21706352,59014,13250,0.5328034577819198,29.18,0.8096299916505814,1325000,51.18866991996765,-0.002096512,5.1144514
0.0030771582,54,0.028136,-0.15241069,0.22448078,59029,13500,0.4006096189312575,27.28,0.8021875470876694,1350000,52.017820835113525,-0.0026415233,5.1010695
0.003064922,55,0.029740002,-0.14642408,0.23609662,58146,13750,0.45033109495559986,27.83,0.7952653616666794,1375000,52.84997296333313,-0.0021056107,5.0869527
0.0034156733,56,0.037764,-0.1446932,0.2280262,53155,14000,0.4821073866240658,26.37,0.8080595880746841,1400000,53.70358848571777,-0.0027570322,5.073434
0.0037774954,57,0.04022,-0.13901375,0.2099915,58624,14250,0.48896812742319523,30.66,0.8191941231489182,1425000,54.568681955337524,-0.0021103139,5.060327
