ep_len_mean,fps,time_elapsed,value_loss,ep_reward_mean,clipfrac,true_reward,policy_entropy,total_timesteps,n_updates,approxkl,policy_loss,serial_timesteps,explained_variance
250.0,59013,32.065205574035645,0.0022655544,17.740998001331462,0.048244,0.070963986,2.2498794,900000,36,0.004527324,-0.0020022287,9000,0.9786765202879906
250.0,61853,32.967487812042236,0.0015782726,17.63692236729723,0.084188,0.07054769,2.245843,925000,37,0.0065088524,-0.0012999668,9250,0.9870596155524254
246.94,63554,33.79799032211304,0.015059764,17.522341671246103,0.10518,0.07084566,2.240639,950000,38,0.007830283,-0.0026687135,9500,0.898762933909893
236.12,71974,34.62979745864868,0.07976763,16.618177471798845,0.085712,0.0702113,2.2353482,975000,39,0.006628913,-0.0009621203,9750,0.6504796743392944
238.74,68798,35.36763787269592,0.055371594,16.874464373789852,0.15886,0.070468456,2.231011,1000000,40,0.011760019,-0.002225174,10000,0.7413136661052704
235.03,69764,36.11025071144104,0.074724995,16.571059888642047,0.052664,0.070234574,2.2312126,1025000,41,0.0045164125,-0.0017794415,10250,0.7021051347255707
245.13,71867,36.89944386482239,0.027387649,17.280349767039006,0.072119996,0.07043105,2.2357087,1050000,42,0.0058930293,-0.0021489472,10500,0.8507707715034485
247.63,71467,37.603254556655884,0.012316479,17.5389525504777,0.071752,0.07079073,2.2383268,1075000,43,0.0057650474,-0.0014292743,10750,0.9158459529280663
245.03,70335,38.32460689544678,0.01966399,17.43539967851975,0.073836006,0.07117615,2.2349033,1100000,44,0.0058451067,-0.0015930042,11000,0.8604236990213394
246.33,68622,39.074389934539795,0.02712335,17.36614676916128,0.10249199,0.07038892,2.2305636,1125000,45,0.007869056,-0.001450428,11250,0.8487652391195297
245.54,68847,39.80649542808533,0.02011729,17.254837881359634,0.101523995,0.07029071,2.2289245,1150000,46,0.007753967,-0.0013695258,11500,0.8788077756762505
245.5,67183,40.547943115234375,0.022142388,17.310960041701037,0.10806,0.070501566,2.2263799,1175000,47,0.008109357,-0.002252688,11750,0.863150104880333
244.01,68109,41.29912710189819,0.038191088,17.187154458744917,0.094472,0.070343725,2.2230673,1200000,48,0.0072492673,-0.0017567299,12000,0.798875629901886
250.0,54005,42.125174045562744,0.0025230013,17.700661070519416,0.068996,0.070802644,2.2162557,1225000,49,0.005644775,-0.0023305246,12250,0.9797283820807934
250.0,69127,43.01683306694031,0.0020854832,17.60726433737567,0.060948003,0.07042906,2.2083054,1250000,50,0.0052502467,-0.002163637,12500,0.9811832457780838
244.52,66390,43.778985261917114,0.044468224,17.242046737180644,0.12601599,0.07038346,2.2042053,1275000,51,0.009796054,-0.0014998836,12750,0.7298967242240906
243.81,63504,44.57518029212952,0.03379786,17.208446225330118,0.046488,0.07041749,2.205187,1300000,52,0.0043247063,-0.0015735535,13000,0.7902383208274841
248.1,62122,45.41458439826965,0.015978571,17.615042779758223,0.09212399,0.07085007,2.2065666,1325000,53,0.0073822523,-0.002122224,13250,0.8880719617009163
242.11,69209,46.302608489990234,0.046612944,17.01050037372741,0.166416,0.06986017,2.2071404,1350000,54,0.012396611,-0.0022432774,13500,0.7835067212581635
246.78,61076,47.117905616760254,0.02290936,17.448389807922066,0.098444,0.070444725,2.2082686,1375000,55,0.0075440966,-0.0016041929,13750,0.8729861229658127
249.15,66068,47.94633889198303,0.006523016,17.787733004456385,0.0873,0.07131183,2.2085004,1400000,56,0.006638646,-0.0010615421,14000,0.9558630138635635
240.4,67567,48.75345039367676,0.05243342,17.008848883730824,0.108844,0.07054242,2.20752,1425000,57,0.008359593,-0.0013177603,14250,0.7576502710580826
244.28,62397,49.55784225463867,0.026194315,17.309590577653143,0.10173601,0.070782356,2.2085006,1450000,58,0.007630768,-0.0018539497,14500,0.8376283496618271
250.0,59001,50.361416816711426,0.004282288,17.63255630043459,0.086644,0.07053023,2.207107,1475000,59,0.0067312606,-0.0015210226,14750,0.967093575745821
241.19,59713,51.20024561882019,0.048232056,17.080349235186585,0.11200799,0.07053106,2.2056403,1500000,60,0.008787224,-0.002619492,15000,0.7733496278524399
239.67,62762,52.0539653301239,0.04815585,16.91867202398633,0.143168,0.07059091,2.2018633,1525000,61,0.010884377,-0.00078340777,15250,0.7415835559368134
246.82,68234,52.86172366142273,0.02106532,17.485008457739458,0.069915995,0.07079648,2.1993601,1550000,62,0.0057953773,-0.0017110428,15500,0.8626321703195572
247.58,65068,53.617005348205566,0.016332066,17.44594203977147,0.073851995,0.07044355,2.1992636,1575000,63,0.005914485,-0.0017949019,15750,0.8878425061702728
243.47,66991,54.4255633354187,0.04023717,17.12286497870452,0.13180801,0.07025065,2.2026272,1600000,64,0.009438535,-0.0017389726,16000,0.8103549927473068
234.29,70802,55.18748998641968,0.080848195,16.52235988762375,0.123031996,0.07039611,2.211389,1625000,65,0.008943486,-0.0017658435,16250,0.6956819295883179
236.28,67769,55.909666538238525,0.05371382,16.648242687479577,0.086808,0.070503786,2.2173357,1650000,66,0.0070995195,-0.0011424812,16500,0.7135735750198364
228.04,67030,56.69099259376526,0.10481435,15.924096858167905,0.079152,0.06958048,2.219073,1675000,67,0.0063080066,-0.0014078848,16750,0.5885747969150543
248.5,71965,57.44847655296326,0.0153684,17.503119101079648,0.091079995,0.07037782,2.2173595,1700000,68,0.006994809,-0.0020067357,17000,0.8755985870957375
246.7,70001,58.18004584312439,0.025425771,17.187233362427506,0.08270801,0.06962608,2.2129943,1725000,69,0.0064399736,-0.0022116278,17250,0.8405561745166779
245.55,53504,58.96994638442993,0.019492934,17.315923726863694,0.08518,0.07049885,2.2065358,1750000,70,0.006538662,-0.0010749669,17500,0.8492158204317093
246.56,56710,59.85265111923218,0.021881208,17.32047800662782,0.115032,0.070191965,2.2057166,1775000,71,0.008321154,-0.0009537085,17750,0.8481349945068359
238.99,57997,60.773903608322144,0.05821227,16.590085420315155,0.098051995,0.06918684,2.2060742,1800000,72,0.0075646453,-0.0025980775,18000,0.7377065122127533
243.6,59489,61.654879570007324,0.02736248,17.159735390072456,0.079912,0.07043381,2.2082682,1825000,73,0.00623376,-0.0011705884,18250,0.8327643871307373
247.63,63018,62.510578870773315,0.023069106,17.41406623383169,0.10409199,0.07020326,2.2110689,1850000,74,0.008064705,-0.0018918423,18500,0.8549106121063232
242.5,67455,63.309757232666016,0.04188804,17.271684378065693,0.087568,0.071050294,2.2134137,1875000,75,0.0066258637,-0.0017424657,18750,0.785943940281868
241.63,68044,64.09832906723022,0.041622337,17.13514143388427,0.127076,0.07071815,2.21273,1900000,76,0.009206748,-0.0012544764,19000,0.803407222032547
242.83,68931,64.86908197402954,0.042525794,17.16456974419256,0.104128,0.07070537,2.2109642,1925000,77,0.008682886,-0.0005049203,19250,0.75619937479496
247.52,59871,65.63379383087158,0.01049211,17.667835215984088,0.079488,0.0713808,2.2093556,1950000,78,0.0063327067,-0.0017218603,19500,0.9159165993332863
244.79,63813,66.50948929786682,0.027754491,17.386336081283808,0.134348,0.070983626,2.2071686,1975000,79,0.00990109,-0.0022907013,19750,0.8356997221708298
242.82,66709,67.32026028633118,0.025036305,17.11092491366202,0.09097201,0.07031969,2.2067716,2000000,80,0.0069806306,-0.0022291262,20000,0.8767805993556976
241.83,68278,68.11609888076782,0.038103096,17.033592437196276,0.123868,0.07034378,2.205301,2025000,81,0.009805597,-0.0009772091,20250,0.7994484901428223
239.3,70242,68.88215517997742,0.04072056,16.894811902319198,0.13152,0.070638426,2.2050252,2050000,82,0.009856841,-0.0008963455,20500,0.8075884133577347
246.44,66685,69.65157771110535,0.01748497,17.37407614542084,0.09376,0.07053003,2.2056353,2075000,83,0.007148055,-0.0013902644,20750,0.879227839410305
245.8,64555,70.4947156906128,0.024968434,17.348919287164318,0.066256,0.070438616,2.200754,2100000,84,0.0054796673,-0.0019416185,21000,0.8649231493473053
250.0,65304,71.3051815032959,0.0019992464,17.63863961077761,0.065732,0.07055456,2.1901822,2125000,85,0.005451116,-0.0021229354,21250,0.9832279365509748
247.86,62333,72.16394758224487,0.021478692,17.49044031041005,0.106556,0.07043254,2.1811633,2150000,86,0.0080439765,-0.0021588341,21500,0.8557320684194565
248.71,63258,72.97991752624512,0.012959553,17.594129255149017,0.071848,0.0707129,2.1752458,2175000,87,0.0060284557,-0.0021216269,21750,0.9080593511462212
