serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
8750,1.5809230047874372,32.538222312927246,0.0039842953,0.6856284141540527,0.04236,40.34,69927,35,0.05114605,0.13588841,5.4565234,-0.0029985406,875000
9000,1.4640670613032125,33.287646532058716,0.0025128191,0.7042778432369232,0.021688,37.82,69642,36,0.05215031,0.13273326,5.4490447,-0.0023364408,900000
9250,1.5599498206259887,34.070245027542114,0.003419721,0.7166593372821808,0.031764,37.4,69698,37,0.052973498,0.14020473,5.442932,-0.0029149703,925000
9500,1.7810157958379569,34.81826162338257,0.0028614257,0.7109706401824951,0.025236,40.41,68567,38,0.055354357,0.14372087,5.4352536,-0.0020733722,950000
9750,2.0141813465664744,35.556790590286255,0.0038823287,0.6839982271194458,0.042192,46.21,68364,39,0.055753708,0.1554164,5.4257045,-0.0032166739,975000
10000,2.0235841007120507,36.30240035057068,0.0024907493,0.7314691543579102,0.022155998,45.16,64555,40,0.0546078,0.13686956,5.418641,-0.0023994495,1000000
10250,1.8510505549465233,37.15370774269104,0.0033950775,0.7215360105037689,0.0331,45.98,63662,41,0.055653766,0.14800383,5.413284,-0.0029116643,1025000
10500,2.108028580758546,38.018128633499146,0.0026492577,0.7668789029121399,0.023508001,48.47,59919,42,0.056744415,0.11584892,5.405856,-0.002386816,1050000
10750,2.1205498549703043,38.86811947822571,0.0033304251,0.7863172441720963,0.032911997,46.5,70292,43,0.05896695,0.11420129,5.400654,-0.0027352998,1075000
11000,2.0078593578370056,39.6702036857605,0.0036159921,0.7375008165836334,0.037672002,41.21,68530,44,0.056059957,0.15821859,5.3962703,-0.0029610826,1100000
11250,1.8613102531760524,40.424505949020386,0.0044126776,0.7818650007247925,0.048844002,41.88,66288,45,0.057947095,0.13008991,5.392088,-0.0032439958,1125000
11500,2.119409485207498,41.29280376434326,0.0033529021,0.7762756049633026,0.031595998,43.96,62520,46,0.05748375,0.1301396,5.385989,-0.0021882872,1150000
11750,2.1017312798440524,42.10445499420166,0.0037417416,0.7998668402433395,0.037044,45.05,63446,47,0.058419418,0.11567465,5.3787885,-0.003135868,1175000
12000,1.8981623132004826,42.9686222076416,0.004029515,0.7751237154006958,0.043364,42.82,57000,48,0.058543954,0.119983636,5.368526,-0.003072787,1200000
12250,2.014873987288738,43.83374786376953,0.0035719096,0.7670431584119797,0.036084004,44.49,65691,49,0.058666427,0.14034793,5.361182,-0.0025485137,1225000
12500,1.7170756427073501,44.635295152664185,0.0037192013,0.7606161087751389,0.038,38.99,68337,50,0.058199916,0.14707145,5.358246,-0.002757981,1250000
12750,2.086785033286651,45.38442921638489,0.0035245023,0.7789225727319717,0.033471998,43.76,61918,51,0.062336795,0.13914002,5.3545356,-0.0025790962,1275000
13000,1.751676461923189,46.24891519546509,0.0028837023,0.825847938656807,0.028083999,41.16,68671,52,0.059527025,0.10383171,5.3453197,-0.0023547346,1300000
13250,2.1315253043343545,47.03569769859314,0.003464045,0.7968979924917221,0.034024,43.86,67850,53,0.05950293,0.11967645,5.336919,-0.002908681,1325000
13500,2.038055012252444,47.8478479385376,0.0030275371,0.845190241932869,0.030336002,45.92,70408,54,0.06132743,0.09772019,5.3301783,-0.0027917358,1350000
13750,2.3245467988763995,48.59572505950928,0.0038604024,0.8591923266649246,0.042315997,47.31,67229,55,0.061312113,0.08766102,5.324269,-0.0026037197,1375000
