serial_timesteps,true_reward,explained_variance,n_updates,ep_reward_mean,total_timesteps,time_elapsed,approxkl,policy_loss,policy_entropy,value_loss,ep_len_mean,clipfrac,fps
8750,-0.026914554,0.758325532078743,35,2.931569615851986,875000,41.005385637283325,0.0037534744,-0.0023943218,5.412072,0.93824375,41.34,0.038543995,53379
9000,-0.024317397,0.790666252374649,36,2.652320661618578,900000,41.922999143600464,0.0026355989,-0.0021042633,5.4033456,0.81474876,48.13,0.018256,53660
9250,-0.020388352,0.7963452190160751,37,2.889738911274408,925000,42.84464979171753,0.0024849165,-0.0021273233,5.3936543,0.8343191,50.0,0.023835998,52126
9500,-0.02173775,0.8418828696012497,38,2.2803565539582995,950000,43.790725231170654,0.0019018538,-0.0019283742,5.3876247,0.6595301,37.26,0.013247999,54030
9750,-0.01698905,0.8216395527124405,39,2.9464666965277866,975000,44.70335054397583,0.0034750707,-0.0024956379,5.3864326,0.72781336,45.42,0.033883996,52144
10000,-0.028377457,0.8151251673698425,40,2.2301785774291782,1000000,45.6188223361969,0.0029762704,-0.0018493502,5.3823433,0.8803226,39.19,0.023544002,53332
10250,-0.026218025,0.8473032116889954,41,2.2595504175406678,1025000,46.52961349487305,0.0025470671,-0.0014667613,5.373625,0.77621865,43.61,0.022163998,54843
10500,-0.017327465,0.8697397112846375,42,2.791776190137607,1050000,47.42248725891113,0.002852417,-0.0020943019,5.3651657,0.63972205,43.31,0.026076,54727
10750,-0.014953398,0.8566744029521942,43,2.543608704032813,1075000,48.319658517837524,0.0036921508,-0.0018390352,5.359014,0.65031534,43.38,0.033436004,52710
11000,-0.010485849,0.8498831689357758,44,3.3240540310781217,1100000,49.23912262916565,0.002105055,-0.0015017292,5.3535523,0.697379,54.51,0.015316,54193
11250,-0.010794929,0.873416930437088,45,3.1591952004385893,1125000,50.14228081703186,0.0028251589,-0.0017158722,5.3479137,0.6122317,50.01,0.024428,54466
11500,-0.017739143,0.844045877456665,46,2.6997494380758145,1150000,51.03815698623657,0.0025468278,-0.0015002695,5.3410273,0.8052825,47.4,0.023647998,54025
11750,-0.017918913,0.842050164937973,47,2.4897408255573192,1175000,51.93813991546631,0.0027475094,-0.002148394,5.331096,0.8122422,44.52,0.02748,53664
12000,-0.0073306346,0.8631557822227478,48,3.098558347647377,1200000,52.831594467163086,0.002791894,-0.001410272,5.3254123,0.68661755,48.43,0.02176,51098
12250,-0.009640782,0.8717210590839386,49,2.7618575201823843,1225000,53.767207860946655,0.0034773513,-0.0022970461,5.31935,0.6221577,44.12,0.035336,53423
12500,-0.006324391,0.8952001705765724,50,2.9840936407539993,1250000,54.66884136199951,0.0016362288,-0.0013237654,5.3127503,0.5200463,46.88,0.009219999,51935
12750,-0.002365725,0.8860731273889542,51,2.928221294758405,1275000,55.580838441848755,0.002643217,-0.0017909079,5.302089,0.5500996,46.32,0.024392,53040
13000,-0.0020948374,0.8769104778766632,52,2.752903554289951,1300000,56.485005378723145,0.0024709667,-0.0015456056,5.2924013,0.6671745,42.63,0.019652,53171
13250,0.00047224807,0.8820236176252365,53,3.5821151948823946,1325000,57.416680097579956,0.0019349962,-0.0013825424,5.282855,0.6372498,50.08,0.011784,50686
13500,0.0030714136,0.8895178809762001,54,2.559828765841976,1350000,58.340959787368774,0.002879972,-0.001584491,5.2702136,0.5762162,41.34,0.024936002,55302
13750,0.0002779441,0.8877987712621689,55,3.6202969032069086,1375000,59.2343692779541,0.0020608383,-0.0018363486,5.2612305,0.5977397,51.83,0.016756002,54000
14000,-0.0011412933,0.8632352203130722,56,3.048562036524527,1400000,60.14154267311096,0.0032235477,-0.0022642422,5.2509775,0.7034071,46.98,0.031904,53815
14250,0.0016612721,0.88384048640728,57,2.9592742294989876,1425000,61.06346654891968,0.0024094065,-0.0017685613,5.235668,0.628348,43.15,0.020884,51036
