value_loss,policy_entropy,policy_loss,ep_reward_mean,clipfrac,serial_timesteps,ep_len_mean,approxkl,explained_variance,total_timesteps,true_reward,time_elapsed,fps,n_updates
0.6097978,3.7233796,-0.00080038205,28.09543504957226,0.136372,9000,217.86,0.010594135,0.19754159450531006,900000,0.12857893,32.668487548828125,74782,36
0.23568065,3.7206388,-0.002533195,30.864767586891976,0.125372,9250,238.6,0.008878367,0.4750075936317444,925000,0.12901127,33.408815145492554,71352,37
0.09860252,3.7197044,-0.0023427026,32.090074429261584,0.133656,9500,247.64,0.00957678,0.6221977174282074,950000,0.12943622,34.14010405540466,75568,38
0.11535575,3.7158375,-0.0018407147,31.611146293253476,0.15531603,9750,244.75,0.012368964,0.5910184979438782,975000,0.1289519,34.84750843048096,73684,39
0.50080156,3.7113967,-0.0016858922,29.331813071417965,0.110208,10000,228.95,0.008074764,0.23778069019317627,1000000,0.12751086,35.57626819610596,75347,40
0.3167974,3.7092083,-0.0027440235,30.79934829711594,0.159208,10250,238.71,0.011666072,0.3708617687225342,1025000,0.12834686,36.32803750038147,75705,41
0.29113284,3.710472,-0.0035022174,31.038224912237855,0.14029601,10500,240.09,0.01060017,0.37485867738723755,1050000,0.1287754,37.0416042804718,74189,42
0.26249003,3.7142766,-0.0023994383,30.78862244589807,0.161384,10750,240.35,0.014519503,0.41597825288772583,1075000,0.12773345,37.74521255493164,74026,43
0.074628115,3.7168412,-0.0024326525,31.57869043278275,0.13209201,11000,246.85,0.009430194,0.6990537345409393,1100000,0.12776618,38.47623133659363,73369,44
0.20671558,3.7143257,-0.0032512005,31.28867315327703,0.16154799,11250,242.88,0.011755841,0.5333140790462494,1125000,0.12839769,39.20044231414795,73649,45
0.09545408,3.7102268,-0.0022633788,31.85432089453985,0.148644,11500,248.09,0.011083776,0.6764258146286011,1150000,0.12814695,39.93994688987732,70788,46
0.03554686,3.7026057,-0.0028131306,32.01598423805757,0.136996,11750,249.71,0.010052177,0.8301164507865906,1175000,0.12814103,40.677325963974,75640,47
0.16009265,3.6947408,-0.0025179393,31.340773370216485,0.114807986,12000,244.5,0.008737936,0.5769663453102112,1200000,0.12793061,41.39257025718689,75132,48
0.19271919,3.6884742,-0.0033594235,31.692780394664588,0.12309599,12250,244.09,0.009174424,0.5514121353626251,1225000,0.12947081,42.10806751251221,71067,49
0.30152747,3.6846893,-0.0027602662,31.08945678785647,0.209236,12500,240.25,0.018124718,0.3590943217277527,1250000,0.12888347,42.8583881855011,75502,50
0.19014955,3.6811814,-0.0030434157,31.81328402415238,0.097944,12750,246.24,0.007398513,0.5181699991226196,1275000,0.12865974,43.59256100654602,75580,51
0.24162042,3.680539,-0.002471859,31.734244533843523,0.12178401,13000,244.19,0.008982095,0.479472815990448,1300000,0.12940723,44.3011531829834,74897,52
0.4013524,3.6795776,-0.0030999286,31.06757283928973,0.126144,13250,239.94,0.009072994,0.5277850329875946,1325000,0.12829399,45.02726984024048,69083,53
0.3063153,3.6776757,-0.002767508,30.746088695968503,0.126416,13500,237.76,0.009436524,0.4748014807701111,1350000,0.12894255,45.76974129676819,76146,54
0.5706217,3.6742606,-0.0026665682,29.53847373086348,0.11534001,13750,226.55,0.008605847,0.40290963649749756,1375000,0.12913576,46.48022127151489,72870,55
0.29712763,3.6714756,-0.0022051758,30.626981633541362,0.11118801,14000,236.02,0.008554564,0.4322877526283264,1400000,0.12921713,47.20709013938904,75011,56
0.32464847,3.6709342,-0.0022588994,30.352604873630334,0.123959996,14250,235.74,0.008995632,0.43521320819854736,1425000,0.12816514,47.92122292518616,73458,57
0.17532322,3.6687157,-0.0029827622,31.713909410412818,0.11526799,14500,244.84,0.008841549,0.5768387317657471,1450000,0.12912516,48.62998604774475,71885,58
0.32155642,3.6651149,-0.0021949192,31.164598367881627,0.118544005,14750,240.12,0.008901851,0.38974595069885254,1475000,0.12904981,49.35913372039795,74623,59
