n_updates,time_elapsed,value_loss,policy_entropy,total_timesteps,policy_loss,approxkl,explained_variance,serial_timesteps,fps,clipfrac,ep_reward_mean,ep_len_mean,true_reward
15,19.911185264587402,0.04795337,4.993272,375000,-0.0015203397,0.004164094,0.9692415781319141,3750,49714,0.045344003,10.18276821282655,247.4,0.040450692
16,20.770966291427612,0.052472543,4.989792,400000,-0.0018365488,0.0033189817,0.9634255729615688,4000,50994,0.035348,9.953972439199916,245.11,0.039862327
17,21.637784004211426,0.09218293,4.9864035,425000,-0.0019641474,0.004606407,0.9279037714004517,4250,56115,0.050788004,9.508212335562748,246.2,0.037347145
18,22.445103883743286,0.14228374,4.9856834,450000,-0.0006397974,0.0049358415,0.9049695283174515,4500,55419,0.056724,9.260737283169965,235.61,0.036786105
19,23.257827520370483,0.1049336,4.988094,475000,-0.001326279,0.0025704524,0.9428268782794476,4750,55600,0.021992002,10.22138899440968,243.78,0.03998991
20,24.06790041923523,0.24127042,4.990413,500000,-0.0010126925,0.0066847103,0.8762813434004784,5000,56600,0.077604,9.424774125358235,227.87,0.036310215
21,24.87338948249817,0.104791105,4.99047,525000,-0.0015190477,0.0048454655,0.9296508058905602,5250,55229,0.057004012,9.810807337058138,246.39,0.03822608
22,25.692930459976196,0.061094336,4.989917,550000,-0.0017928677,0.0047965376,0.9643814563751221,5500,56653,0.057088,9.670757242988106,241.72,0.03878375
23,26.48445439338684,0.02856582,4.98988,575000,-0.0015544113,0.002706206,0.9850569749251008,5750,48374,0.023232002,9.78007031965472,243.26,0.03927211
24,27.347110748291016,0.11521493,4.989685,600000,-0.0018988338,0.0055167414,0.9455680772662163,6000,53886,0.068771996,10.024360868528639,240.71,0.03985017
25,28.165630102157593,0.03444334,4.9861646,625000,0.0017764531,0.008423247,0.9828866627067327,6250,54734,0.107420005,10.509030653423201,250.0,0.042036124
26,28.97260308265686,0.096025445,4.98491,650000,-0.0005647633,0.005293589,0.9513292238116264,6500,56144,0.065332,9.01787061125583,239.61,0.03633753
27,29.78670573234558,0.04573708,4.985248,675000,-0.0010662993,0.0031660325,0.9757705386728048,6750,52008,0.036760002,9.244146412808867,247.91,0.03680243
28,30.64322519302368,0.037403323,4.985217,700000,-0.001845815,0.0031730824,0.9831544999033213,7000,55483,0.0305,9.257941188128898,242.67,0.037610948
29,31.46058487892151,0.11441159,4.9826975,725000,-0.0017633295,0.0042926166,0.9332458153367043,7250,55298,0.048504002,9.29919529050603,240.04,0.03697345
30,32.2680389881134,0.08159624,4.9783444,750000,-0.0025493721,0.004533498,0.9520393311977386,7500,56085,0.052352,9.991237677280326,246.83,0.039199244
31,33.08846139907837,0.120788336,4.9718466,775000,-0.0015413504,0.0053906715,0.9420002214610577,7750,44145,0.063368,10.00390519936429,235.19,0.039688632
32,34.023359537124634,0.08713772,4.9659696,800000,-0.0014733772,0.004800919,0.9585168436169624,8000,55127,0.057504,9.719038971279334,234.39,0.03862979
33,34.84230065345764,0.077100165,4.9643316,825000,-0.0021186292,0.004985173,0.9635453522205353,8250,53492,0.0573,9.110530317706688,235.09,0.036470827
34,35.673011779785156,0.13570426,4.96265,850000,-0.00065058033,0.0036445665,0.936299741268158,8500,54022,0.036516,9.494697899708658,239.4,0.03791755
35,36.499892711639404,0.08645192,4.9631615,875000,-0.0012895594,0.0051696803,0.9580930955708027,8750,36826,0.061004,9.9861650964832,237.95,0.039642226
36,37.532798528671265,0.053910952,4.9649715,900000,-0.0020302585,0.004355228,0.9641975052654743,9000,56170,0.049243994,9.930259882345581,248.97,0.039458353
37,38.33590388298035,0.06114191,4.965041,925000,-0.001229153,0.004506148,0.9610259346663952,9250,55483,0.052208,9.83145985067531,245.03,0.03904852
38,39.14363503456116,0.11456953,4.9641175,950000,-0.0014850574,0.004155214,0.9440653957426548,9500,51210,0.044455998,8.627979730444299,221.49,0.034441
39,39.98623561859131,0.04619958,4.9624934,975000,-0.0011453725,0.0031433224,0.974830212071538,9750,56889,0.029127996,9.087620263276877,229.23,0.036896486
40,40.77876281738281,0.03406637,4.9641547,1000000,-0.0012570204,0.0041199704,0.9813678339123726,10000,56927,0.044184003,9.63819204693933,231.42,0.039029244
41,41.57034230232239,0.067016944,4.964929,1025000,-0.0011923522,0.003539379,0.9616882726550102,10250,57325,0.036444,9.241252678311284,235.18,0.037219256
42,42.37108588218689,0.10527253,4.961669,1050000,-0.0017253304,0.004428278,0.913842685520649,10500,54564,0.050128,9.286431858246942,239.72,0.03696899
43,43.187155961990356,0.09541471,4.959052,1075000,-0.0022169277,0.0042285137,0.944085132330656,10750,55085,0.04758,9.452675946886156,239.28,0.037282865
44,43.99713087081909,0.15971707,4.9575553,1100000,-0.0020566264,0.0028058786,0.9179807007312775,11000,37495,0.028951999,9.756287388681413,239.54,0.037947237
45,45.0353364944458,0.0542638,4.956383,1125000,-0.0013361727,0.004426972,0.968884190544486,11250,44814,0.048752,9.759732995283976,241.24,0.039091337
46,45.93769884109497,0.04953799,4.954422,1150000,-0.0016300693,0.005196797,0.9673422127962112,11500,55246,0.058892,9.700366389924021,246.05,0.03865094
47,46.74067807197571,0.0745418,4.9487925,1175000,-0.0018720835,0.0039341617,0.9669029787182808,11750,55821,0.042207994,10.077607932484826,242.62,0.039837465
48,47.54101777076721,0.060874242,4.9404783,1200000,-0.0017802058,0.0039221314,0.9656770899891853,12000,48114,0.042836,9.52612143283979,242.59,0.037717946
