approxkl,value_loss,n_updates,clipfrac,fps,policy_loss,ep_len_mean,true_reward,explained_variance,total_timesteps,serial_timesteps,policy_entropy,ep_reward_mean,time_elapsed
0.037218075,1.7067337,1,0.31018,3042,0.009903444,235.64,0.058983244,0.8400460779666901,25000,250,-0.9945525,15.105911809848694,0.0006184577941894531
0.007588624,1.2816124,2,0.098928005,50733,-0.00023430474,242.5,0.068184495,0.8605489283800125,50000,500,-0.9952356,17.069245983826953,8.734449625015259
0.006704739,1.0860429,3,0.086656,56389,-0.00081846956,240.84,0.062021304,0.8901839479804039,75000,750,-1.0004718,15.8500105007819,9.600990533828735
0.007086472,1.465176,4,0.087239996,56235,-0.0006020167,236.69,0.062550545,0.8650318384170532,100000,1000,-1.0046246,16.479305974919516,10.41487717628479
0.0036795973,1.0885903,5,0.038048003,55952,-0.0013228273,242.4,0.061799254,0.8723868280649185,125000,1250,-1.0049999,15.64735172145658,11.237910747528076
0.004219784,1.2081031,6,0.045892,57034,-0.0011953984,242.52,0.06508786,0.8766267448663712,150000,1500,-1.0090401,16.2873039543489,12.03778338432312
0.005224199,1.7192106,7,0.063052,55438,-0.0008822357,231.36,0.05906133,0.8568351119756699,175000,1750,-1.0146463,15.982298795704047,12.842053651809692
0.01238029,0.67838144,8,0.165252,55198,0.0023192773,247.03,0.058332775,0.91294876486063,200000,2000,-1.0178862,14.806854570726864,13.650773286819458
0.0049604354,0.7347847,9,0.056148,56039,-0.0020960362,248.04,0.068153225,0.9184232875704765,225000,2250,-1.0207901,17.0741433978028,14.469232320785522
0.004067232,1.4704686,10,0.040396,55831,-0.0016734948,236.97,0.06263321,0.8314889520406723,250000,2500,-1.0253744,15.76783600959112,15.28580355644226
0.005084937,1.8115168,11,0.058656,56460,-0.0011505368,229.01,0.05690342,0.7987357079982758,275000,2750,-1.0321466,14.700787838492746,16.09256386756897
0.009835074,1.0213304,12,0.13522,53335,0.0007019012,242.39,0.05875329,0.8873296529054642,300000,3000,-1.0366876,15.152271503130613,16.901633739471436
0.0067148013,2.3626015,13,0.08625199,56589,-0.00032732822,225.59,0.052574437,0.7576882392168045,325000,3250,-1.0404751,14.382708295727607,17.730546951293945
0.0054632095,1.7643468,14,0.062892005,54704,-0.00032728194,233.51,0.058715943,0.8060692995786667,350000,3500,-1.0400041,14.755304733514231,18.53537154197693
0.0061019273,1.9692795,15,0.073968,48940,-0.0007708527,229.51,0.05918161,0.7773101925849915,375000,3750,-1.0398738,15.137689982970187,19.346656560897827
0.005624917,1.7648847,16,0.066528,55068,-0.0009232616,229.09,0.05554727,0.8213100135326385,400000,4000,-1.0409205,15.037443714265246,20.213216066360474
0.0063385763,2.1187901,17,0.078343995,55367,-0.0011948096,226.67,0.04931293,0.7770165950059891,425000,4250,-1.0441984,13.286895136675467,21.03227734565735
0.0054810694,1.5807893,18,0.06473199,54949,-0.0009856758,237.75,0.061717752,0.8099881708621979,450000,4500,-1.0468786,15.917098279348393,21.837953329086304
