X,Y,Z,VX,VY,VZ,R,P,Ya,VR,VP,VYa
2.7646134,3.2024565,1.0000933,1.3765255212783813,-1.850775957107544,1.7640409469604492,-26.323660051803156,45.226387872279155,-173.82047331965734,-40.749127154349516,56.65949275038228,9.097768432001025
2.8132415,3.0944057,1.0833563,0.9725612998008728,-2.1610140800476074,1.665258526802063,-28.929894606992647,47.57251345594893,-174.01051650312377,-49.36463215075521,42.7915415463855,19.437352340022287
2.8430717,2.9709318,1.1591277,0.5966024994850159,-2.4694807529449463,1.5154274702072144,-30.919170127285938,49.1966777990646,-173.06648873717964,-53.89852879728261,21.898465865916517,27.07440883216157
2.8560653,2.8322775,1.2253329,0.25987255573272705,-2.7730820178985596,1.3241040706634521,-31.803908436139782,49.67984879604589,-170.71706758723533,-53.3909671947752,-7.651842144145068,31.120995387070643
2.8475926,2.671734,1.2871195,-0.16945220530033112,-3.2108688354492188,1.2357311248779297,-32.13009778033208,49.57580793951367,-166.97912362054078,-63.47817988183272,-27.403084365211754,39.981328514275454
2.8204145,2.4889655,1.343819,-0.5435592532157898,-3.6553714275360107,1.13399076461792,-31.833052853328226,48.7349433507934,-161.865552234249,-71.42841762289001,-49.68040204136866,47.83223481423325
2.778143,2.284309,1.3947818,-0.84543377161026,-4.093132019042969,1.0192564725875854,-30.916919579954417,46.94285880693297,-155.5061953244819,-75.97002896808493,-75.01073572934581,54.24356946358414
2.724628,2.0583892,1.4398944,-1.070300579071045,-4.518394470214844,0.9022517800331116,-29.533065197501887,43.995707312153336,-148.1625808345593,-77.0605779521042,-102.69958496414715,59.3670548694562
2.6637611,1.8120117,1.4798077,-1.2173335552215576,-4.927548885345459,0.7982655763626099,-27.9373298092591,39.74955629007483,-140.19770599811068,-74.48017346480839,-131.3608209103265,63.26035831901185
2.5994525,1.5460087,1.5162828,-1.2861729860305786,-5.320061683654785,0.729501485824585,-26.392455424670818,34.19140106051774,-131.9976267674035,-67.83019200585726,-158.55135320366205,65.94524421004132
2.5358405,1.2618574,1.5518836,-1.2722415924072266,-5.6830267906188965,0.7120174169540405,-25.02934603427491,27.51250058062077,-123.87620399517816,-56.14609816632368,-180.65884505629577,67.84793000713178
2.476775,0.9635252,1.5874302,-1.1813135147094727,-5.9666428565979,0.710932731628418,-23.844272354784554,19.96767725548605,-115.90968991332872,-40.55560398950096,-197.52110679619653,70.54937227670938
2.4248304,0.656303,1.6220167,-1.0388880968093872,-6.144443988800049,0.6917271018028259,-22.805388629194567,11.791904960487644,-108.01243394966322,-22.541546959293438,-210.10682317221222,74.9768238401167
2.3813105,0.34533352,1.6543027,-0.8703985810279846,-6.219388961791992,0.6457212567329407,-21.928262566170698,3.1574735098918345,-100.04950571712804,-3.25569739312873,-219.58171623036728,80.55437680691662
2.3465543,0.035314847,1.6830086,-0.6951266527175903,-6.200373649597168,0.5741183161735535,-21.28662605780324,-5.742117837114917,-91.90676592450312,16.46196484321382,-225.2225645602057,86.09072324245386
2.3201323,-0.26946053,1.7069935,-0.5284361243247986,-6.0955071449279785,0.4796963334083557,-21.00174740525847,-14.644408816391117,-83.48239694183106,35.52319232602185,-225.6391514580631,90.71214534810038
2.3017857,-0.5641769,1.727474,-0.3669317364692688,-5.8943281173706055,0.40961015224456787,-21.170193530569325,-23.112088028590236,-74.74034220048335,53.265752751815945,-217.277292366675,93.68825684496086
2.2903576,-0.8433472,1.7459426,-0.22856594622135162,-5.583404541015625,0.3693736493587494,-21.8822988081511,-30.79103236336191,-65.53580852024491,69.3026236965611,-202.8016353265601,96.52725229423334
2.2833116,-1.1014318,1.763317,-0.14091938734054565,-5.1616926193237305,0.34748783707618713,-23.216608705911646,-37.37599725160369,-55.73998536355848,83.2398091130797,-183.56282292533174,99.54222073728204
2.2767408,-1.3339683,1.7794591,-0.13141484558582306,-4.650728702545166,0.3228429853916168,-25.07606111310321,-42.64469247923023,-45.365969618157536,96.33804922403482,-160.87752438967163,102.04655057760223
2.2658162,-1.5379565,1.7937269,-0.2184898853302002,-4.079765319824219,0.28535541892051697,-27.216027681959908,-46.488931264883085,-34.57690035236784,108.7317143409681,-136.52035946973248,104.20820299707371
2.2450812,-1.7116102,1.8057511,-0.4147036671638489,-3.4730732440948486,0.240482896566391,-29.216123929445786,-48.918115363954804,-23.66262005871348,121.53073069457412,-112.09947571502629,106.51372652122235
2.208012,-1.8533033,1.8165652,-0.7413784265518188,-2.8338637351989746,0.2162817269563675,-30.666094543064037,-50.11749658220904,-12.904097106439378,134.7009063578678,-90.42273657258859,109.08280655487427
2.1476295,-1.963368,1.8276228,-1.20765221118927,-2.201294422149658,0.22115261852741241,-31.290537757743284,-50.33986363592256,-2.6143477527064105,145.69980586514947,-71.55733744347401,110.57741586981314
2.0583296,-2.0454655,1.839786,-1.7860008478164673,-1.641946792602539,0.24326550960540771,-30.892464087631186,-49.76296878315036,6.919075117437181,154.1248851874952,-53.369380381903376,110.79397384763756
1.9322487,-2.10267,1.857167,-2.521615505218506,-1.144088625907898,0.34761810302734375,-29.517236234100384,-48.74547208739897,15.506472604747813,157.60207985243534,-38.85336033888829,107.1278493200657
1.7759386,-2.146257,1.8740349,-3.126201629638672,-0.8717420697212219,0.3373594284057617,-27.030675130905976,-46.87096082063483,22.187413603659323,148.70409189233624,-9.534583788859083,96.81355333367277
1.5987796,-2.1840305,1.8842531,-3.543182611465454,-0.7554707527160645,0.20436525344848633,-24.05473438877474,-44.528557690062705,27.989085567694875,142.53540654343922,7.290812004996534,93.34710255629706
