Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.752931,2,0,0,0,38.8569,-99.8466,92.9323,-31.0457,0,0,0,0,25.1729,-59.9758,54.505,-18.2805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.698529,3,1.22999,-3.77561,-4.87639,24.6626,-55.8758,60.2468,-23.8196,1,2.42377,-0.516727,-4.51863,-3.59144,35.2881,-48.1178,20.6465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03373,2,-3.32765,-0.26952,3.59393,-6.25322,5.42554,-2.64585,0.57286,2,0.97405,0.0407914,1.66945,0.914176,-6.81324,5.69408,-1.46201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06226,-1,-2.86269,-0.40339,0.155408,3.12302,-3.68757,2.21077,-0.56045,3,-0.610216,-2.89285,0.0101039,5.51811,-6.99958,3.96625,-0.889104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.927947,-3,0.607946,3.33988,-0.162681,-10.197,18.394,-13.3767,3.60427,1,-1.58156,1.0968,-0.0660649,0.264393,-2.75287,2.68932,-0.747781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02404,-1,2.87372,0.481773,0.141613,-4.01183,7.18823,-4.86013,1.11904,0,-1.31729,-0.611642,0.782341,5.63154,-8.36937,5.16076,-1.32874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.734665,2,2.7919,-0.838662,-2.22348,6.97161,-28.2359,41.1903,-18.8825,0,2.20687,1.05449,-4.21845,12.2663,-45.2987,62.2444,-27.5564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
