X,Y,Z,VX,VY,VZ,R,P,Ya,VR,VP,VYa
-1.2404524,-4.0594115,2.3173547,-12.987289428710938,-6.487643241882324,0.6904776096343994,84.70191355775849,20.072008395057996,46.075834593691546,-125.22385495993504,363.4233554714364,48.71790202881422
-1.8198115,-4.4264264,2.3330615,-11.587181091308594,-7.340292453765869,0.3141334056854248,83.66472884172454,19.933022583184698,66.33543242675665,-159.1529699261351,378.58509135330075,41.332056479253424
-2.3060794,-4.8154125,2.3326874,-9.725357055664062,-7.779721260070801,-0.007480888161808252,81.69669862484457,20.39006639904339,86.95052794574258,-181.0929445591851,385.1928895639379,40.356121484601566
-2.6801224,-5.19417,2.321343,-7.480860233306885,-7.57515287399292,-0.22688837349414825,79.8630797006413,21.202549844214968,107.74073585466928,-183.95042250035164,386.41945493508877,46.43786535555349
-2.943113,-5.5227914,2.3037577,-5.259817123413086,-6.572426795959473,-0.351704478263855,78.17493014538094,22.036140281469173,129.22799871934166,-191.75540260833026,395.4891265301653,59.949588043388246
-3.1253994,-5.772126,2.2818067,-3.6457223892211914,-4.986694812774658,-0.43901804089546204,75.14156800289742,22.86643002980697,151.32950732626244,-228.83330308379792,401.59646311993725,78.37522544279156
-3.273188,-5.943642,2.2548327,-2.9557769298553467,-3.43031907081604,-0.5394803881645203,70.24434285856577,23.736331460236258,173.76309973062922,-274.3646008459102,399.0945921477183,106.34290349008033
-3.420165,-6.053036,2.223002,-2.93953800201416,-2.1878793239593506,-0.6366180181503296,63.22013533498964,25.218892321479224,-163.38323392820416,-328.3133417788762,394.64018865784607,137.77469639004863
-3.5801165,-6.1343775,2.1806507,-3.199031352996826,-1.6268268823623657,-0.8470243215560913,51.60959238753335,28.549507711736297,-143.8469804490001,-407.05064237975927,330.63041515291127,132.6987866668403
-3.7466984,-6.2099433,2.1202295,-3.331636667251587,-1.5113215446472168,-1.2084218263626099,38.608235094860284,33.96916378039845,-126.43447866956312,-439.13947215712614,288.3641937008752,134.66857224233698
-3.9234264,-6.2845426,2.0457182,-3.5345606803894043,-1.491985559463501,-1.490228533744812,25.165058477988477,40.941670187052175,-111.0533707719363,-454.7007741054362,248.12746733806006,134.99430396385486
-4.11685,-6.3706183,1.9687204,-3.8684706687927246,-1.7215102910995483,-1.539953351020813,12.507279337360915,48.46253491612578,-97.41664537700655,-444.1689229336,205.37055143567193,135.96207346735397
-4.321956,-6.4882197,1.898822,-4.102120876312256,-2.3520326614379883,-1.3979707956314087,2.0662346767664075,55.485721326421,-84.65889019617657,-409.3500665449791,159.34574518526955,138.8272558619043
-4.5236955,-6.6274853,1.8209395,-4.034789085388184,-2.785311698913574,-1.5576468706130981,-7.059136684104756,62.46785146961527,-72.470786452504,-391.1212478766989,133.9733682678564,132.108289492336
-4.714165,-6.7845817,1.7303587,-3.8093936443328857,-3.141923427581787,-1.8116172552108765,-13.217316775171469,68.4629475607564,-58.67576459337004,-374.0524138955402,97.52177564871138,134.15943628122588
-4.8838887,-6.9583035,1.6262568,-3.3944687843322754,-3.474440336227417,-2.0820364952087402,-12.396062513331952,72.499029284722,-39.30044744648439,-348.91067880602003,49.23830780205583,143.9469470976924
-5.0233574,-7.1439366,1.5085462,-2.7893784046173096,-3.71266508102417,-2.3542134761810303,-2.6132312302205247,73.40431621769383,-12.642313031025713,-314.3893454576448,-2.775681943543989,156.49143645187792
-5.121631,-7.3337603,1.3798436,-1.965470790863037,-3.7964632511138916,-2.574052095413208,8.786031768092473,71.17748330297292,13.483269827299779,-270.18886907417453,-34.94542662413047,160.18088607546537
-5.1552143,-7.5152493,1.2503071,-0.6716675162315369,-3.6297848224639893,-2.5907304286956787,17.529719778425452,68.11984666817916,35.17081603655172,-232.14171011396868,-24.405435574350925,160.08944350285722
-5.1056767,-7.668291,1.1319087,0.9907544255256653,-3.0608341693878174,-2.367969512939453,25.92283893809742,65.87879329960627,55.831526973909575,-212.82350359382812,18.52830880300695,165.88555569290838
-4.968188,-7.7701826,1.0320365,2.7497804164886475,-2.037830352783203,-1.9974406957626343,35.48955705945412,63.976599276136064,77.18593924413061,-195.94256811673654,59.877939358994816,174.19892044118941
-4.749016,-7.8003397,0.95256,4.38344144821167,-0.6031407713890076,-1.5895311832427979,44.59139543042683,61.96073041430933,98.78113275806751,-203.16730999434424,95.4602742930398,175.318046936696
-4.469827,-7.7491674,0.88775134,5.583770751953125,1.023437261581421,-1.2961732149124146,50.278504631513755,59.73880840560165,119.72295720619016,-252.38374070048852,120.27582003836768,169.9941330447245
-4.1624,-7.6232014,0.8283809,6.148550510406494,2.5193276405334473,-1.18740975856781,50.579299332371946,56.80180657192866,139.453324661606,-329.6671125931294,122.92333796444802,177.0255395876858
-3.8542047,-7.43218,0.77094835,6.163898468017578,3.820424795150757,-1.1486506462097168,46.75866226539606,53.742038918113856,158.96257157283185,-396.8714202143925,127.13117162528276,192.65664606931344
-3.5717185,-7.179212,0.72068805,5.649725437164307,5.05936336517334,-1.0052056312561035,40.45885777500231,51.425505129023165,178.9063961001889,-442.3329680847006,134.374013504191,207.7585631544268
