ep_len_mean,policy_loss,fps,n_updates,true_reward,serial_timesteps,total_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,time_elapsed,ep_reward_mean,value_loss
84.48,-0.0014375033,55248,35,-0.020361407,8750,875000,5.5983744,0.046332,0.9434280171990395,0.0040678103,39.16225576400757,1.6972421641072106,0.18789792
85.05,-0.0014588032,52925,36,-0.018226739,9000,900000,5.597259,0.029312,0.953338548541069,0.0033781964,39.99835515022278,1.7078002125213971,0.150789
103.85,-0.0015049794,54616,37,-0.014514643,9250,925000,5.5907087,0.029027998,0.9365144222974777,0.0028525149,40.85265898704529,2.0477324131221395,0.18679544
91.86,-0.0016548394,53425,38,-0.0176188,9500,950000,5.582912,0.026535999,0.9296877980232239,0.0029627052,41.681106090545654,1.7916114239314174,0.236101
93.96,-0.0014480292,53916,39,-0.01575414,9750,975000,5.579196,0.016416002,0.9101858362555504,0.002049551,42.524455308914185,1.89922710005907,0.2777903
83.43,-0.0013930049,54121,40,-0.018380357,10000,1000000,5.579868,0.025387999,0.8786081075668335,0.00232265,43.380462646484375,1.743651007640292,0.40484118
105.77,-0.0014779292,54657,41,-0.011562348,10250,1025000,5.5821915,0.035012,0.9231752380728722,0.0034031025,44.2205286026001,2.2340405075061063,0.25019908
94.62,-0.0008511568,46997,42,-0.014368437,10500,1050000,5.582074,0.012112,0.8774731382727623,0.0020659412,45.04004096984863,1.8834651183779283,0.4006958
86.33,-0.0010132291,54130,43,-0.015753083,10750,1075000,5.5797577,0.011252001,0.8784800991415977,0.002041669,45.938896894454956,1.8227259637114184,0.40112454
95.7,-0.0013989104,54781,44,-0.01503271,11000,1100000,5.57806,0.01712,0.8033019602298737,0.0022981868,46.77537441253662,1.8468023594488114,0.57507026
79.17,-0.001408345,41863,45,-0.015123718,11250,1125000,5.575859,0.013468,0.8303554356098175,0.0021492736,47.61390256881714,1.6561542428358371,0.5587064
86.29,-0.0014822667,55201,46,-0.013880857,11500,1150000,5.5740075,0.013316,0.7525898516178131,0.0017904782,48.59020161628723,1.8296566160877774,0.680561
104.59,-0.0013320576,54405,47,-0.011213114,11750,1175000,5.575363,0.033136003,0.841752290725708,0.0031752177,49.42136335372925,2.0601126092816138,0.46185988
93.9,-0.0015228132,53256,48,-0.013840162,12000,1200000,5.5777993,0.021511998,0.7984272837638855,0.0027710274,50.24230456352234,1.983356139916432,0.5666235
83.53,-0.00079285,53430,49,-0.013072466,12250,1225000,5.5798693,0.015424,0.8758893981575966,0.0022970862,51.08643817901611,1.7191387395450874,0.39136237
90.43,-0.0007701421,54803,50,-0.01242808,12500,1250000,5.582789,0.012428,0.8232603222131729,0.0019028394,51.921958684921265,1.9187396234236076,0.51808846
86.74,-0.0013986395,54988,51,-0.013930124,12750,1275000,5.582547,0.020639999,0.8320719599723816,0.002583724,52.74261116981506,1.759087437771468,0.5214137
87.56,-0.0010479934,50211,52,-0.013518153,13000,1300000,5.5819263,0.01842,0.8481124192476273,0.0023802104,53.566277503967285,1.7657725951539396,0.46245724
90.14,-0.0004310583,41292,53,-0.0141893495,13250,1325000,5.5796475,0.002956,0.859340026974678,0.0013255606,54.451475620269775,1.7707028165278098,0.4474093
75.43,-0.0020186366,40570,54,-0.01598846,13500,1350000,5.5752454,0.027064,0.8683886080980301,0.0030524898,55.42803978919983,1.5156872644871329,0.43754616
88.05,-0.0013081196,53818,55,-0.013426698,13750,1375000,5.5754647,0.025372002,0.9025860652327538,0.0029604384,56.41674017906189,1.7661129929275194,0.3146077
89.85,-0.00032979803,54597,56,-0.01485089,14000,1400000,5.5773096,0.00408,0.8788192644715309,0.0010476205,57.24744462966919,1.7973590409125244,0.41875428
87.74,-0.00079594954,55113,57,-0.013139908,14250,1425000,5.580075,0.011308001,0.890828900039196,0.0017932722,58.06921648979187,1.742417644825473,0.3727195
76.24,-0.00055808097,45078,58,-0.016472043,14500,1450000,5.5797777,0.00686,0.8669161647558212,0.0016157109,58.89491558074951,1.5052763415810477,0.45494977
