value_loss,ep_len_mean,true_reward,clipfrac,policy_entropy,n_updates,total_timesteps,policy_loss,explained_variance,serial_timesteps,time_elapsed,approxkl,fps,ep_reward_mean
0.5157322,29.23,0.06462713,0.052971996,5.387686,35,875000,-0.0030306384,0.7457210421562195,8750,34.50720572471619,0.0047170664,58500,3.33384592133807
0.5156607,27.26,0.064044245,0.056123994,5.379344,36,900000,-0.0012593532,0.7529890537261963,9000,35.33838248252869,0.004880935,58299,3.0913576596230268
0.46713933,26.16,0.063072264,0.024472002,5.3720665,37,925000,-0.0019546275,0.7586369961500168,9250,36.185585498809814,0.0029969965,58685,2.982545774448663
0.534148,31.91,0.06656003,0.034936003,5.3658648,38,950000,-0.0024114551,0.7365850806236267,9500,37.001319885253906,0.0035498992,59665,3.6586663986649364
0.5722424,27.62,0.06615958,0.023576,5.3599734,39,975000,-0.0019818763,0.7284412086009979,9750,37.824368715286255,0.002749519,59952,3.1750943563878535
0.54640377,31.85,0.06747416,0.021364,5.3541,40,1000000,-0.0021993401,0.7394720613956451,10000,38.656845569610596,0.0026253103,59346,3.673602039357647
0.52818084,29.15,0.06739557,0.03386,5.348281,41,1025000,-0.0033009883,0.7402547299861908,10250,39.478572368621826,0.0035369291,59341,3.3633465418219566
0.6159304,29.72,0.06846642,0.03278,5.3421597,42,1050000,-0.0020636388,0.7100714445114136,10500,40.32416534423828,0.0033596933,58944,3.3668221441097557
0.585514,25.56,0.068182975,0.028184,5.3366446,43,1075000,-0.0022602242,0.72698575258255,10750,41.166353702545166,0.0031100246,57010,2.9853206249326467
0.5753917,25.36,0.06767417,0.033272006,5.3322077,44,1100000,-0.0016561178,0.7137283384799957,11000,42.0109441280365,0.0033770804,59705,2.90179151205346
0.6186265,25.56,0.06888396,0.038879998,5.32861,45,1125000,-0.0015624084,0.6954315900802612,11250,42.83849000930786,0.003880402,59050,2.9427366376109423
0.48226064,28.11,0.0686477,0.029592002,5.3252835,46,1150000,-0.0021133025,0.748511552810669,11500,43.66916251182556,0.0032161418,57351,3.225063737910241
0.5730383,28.97,0.06881045,0.030308003,5.320222,47,1175000,-0.001415586,0.6967064142227173,11750,44.50953555107117,0.003141895,58105,3.2340283845644446
0.4944914,28.0,0.06976078,0.034479998,5.315797,48,1200000,-0.0033466122,0.7332721054553986,12000,45.34889459609985,0.003516091,58380,3.2205137311667205
0.44212276,29.54,0.071267985,0.048032,5.311371,49,1225000,-0.0037762735,0.7604387104511261,12250,46.18903374671936,0.004374666,58123,3.425783009058796
0.45098582,30.43,0.07232229,0.041284002,5.303415,50,1250000,-0.003651398,0.7675039172172546,12500,47.02416944503784,0.0038738109,58834,3.5548890228220262
0.49673492,31.82,0.07385669,0.035315998,5.291984,51,1275000,-0.0033161757,0.7569327503442764,12750,47.878395795822144,0.0035017866,58730,3.699324541129172
0.4617896,32.28,0.07303686,0.042783998,5.2799854,52,1300000,-0.0027547805,0.7680232375860214,13000,48.71654224395752,0.004090205,58043,3.749343261383474
0.46458346,33.23,0.0733986,0.039428003,5.271543,53,1325000,-0.0033586763,0.7706139385700226,13250,49.5591082572937,0.003852424,57274,3.856235927529633
0.43111667,28.42,0.074474335,0.055468,5.261701,54,1350000,-0.0025042796,0.7838164418935776,13500,50.41746711730957,0.004887935,57822,3.338301156386733
0.47619486,33.57,0.0755974,0.039324004,5.25011,55,1375000,-0.0028600246,0.7706826627254486,13750,51.27566146850586,0.0038457562,58965,3.8736677240021526
0.44433245,33.95,0.074789,0.030084003,5.2387857,56,1400000,-0.0036914211,0.7909644991159439,14000,52.116326332092285,0.0033275771,58726,3.9873190548270943
0.4872858,28.74,0.076228,0.055671997,5.22875,57,1425000,-0.0045565725,0.7825765162706375,14250,52.96395921707153,0.004753709,58347,3.324925546143204
0.44696856,36.3,0.07779618,0.041888,5.219917,58,1450000,-0.0033558016,0.7925500720739365,14500,53.79508352279663,0.0040230183,59746,4.251445221789181
0.5235845,30.95,0.0773998,0.038208,5.2119966,59,1475000,-0.0031036162,0.7721372842788696,14750,54.62573289871216,0.0037412397,59952,3.618113545179367
0.49193206,34.66,0.080544755,0.043971997,5.2076516,60,1500000,-0.0021693339,0.7913869321346283,15000,55.45508813858032,0.004093358,59113,4.08548774975352
0.5377647,33.66,0.07956617,0.044536002,5.2032747,61,1525000,-0.0026327956,0.7758577764034271,15250,56.29422354698181,0.0042314697,58133,3.9251165622472763
0.5259473,31.54,0.080110885,0.027407998,5.1960955,62,1550000,-0.0035250168,0.7793828099966049,15500,57.14466905593872,0.0030693007,58313,3.708038784461096
0.5512754,38.82,0.081704885,0.036456,5.1855135,63,1575000,-0.0035996016,0.7826155573129654,15750,57.97630476951599,0.0037081153,58368,4.574807277396321
0.5177093,37.86,0.08153602,0.052023996,5.1722016,64,1600000,-0.003097252,0.7992394864559174,16000,58.80927610397339,0.0047031324,58033,4.498370917215944
0.53878534,41.79,0.08336708,0.042468,5.160915,65,1625000,-0.0029314882,0.7894776165485382,16250,59.64310264587402,0.004261397,59999,4.847501251213252
0.56231964,35.57,0.08338835,0.037127998,5.1485686,66,1650000,-0.0033697803,0.7878840863704681,16500,60.47101926803589,0.0038177178,57427,4.206385910511017
0.5486638,40.18,0.08525832,0.043368,5.135684,67,1675000,-0.003058687,0.7923808246850967,16750,61.302247762680054,0.004249886,59930,4.730999876186251
0.55410707,37.72,0.08604254,0.040076,5.1225805,68,1700000,-0.0039680037,0.7974936962127686,17000,62.16252899169922,0.0038665603,57458,4.492892854306847
0.5883269,40.57,0.08588163,0.038468,5.112108,69,1725000,-0.0029710573,0.7861779779195786,17250,63.02282166481018,0.0038847935,55871,4.829162962697446
0.6376831,41.8,0.08680582,0.03872,5.102317,70,1750000,-0.003211952,0.769776001572609,17500,63.87424921989441,0.0038390453,54938,5.04709128100425
0.5700578,41.54,0.08744219,0.032771997,5.093089,71,1775000,-0.00350403,0.7989160418510437,17750,64.87499117851257,0.0034152302,56122,4.976139554828405
0.61061084,43.0,0.0885956,0.042576,5.084315,72,1800000,-0.002074924,0.7891242355108261,18000,65.76273798942566,0.004166358,58525,5.148442681543529
0.554909,43.96,0.08797432,0.033496,5.0725694,73,1825000,-0.0037473706,0.8049488216638565,18250,66.68296194076538,0.0036140606,48669,5.26130181632936
0.60576653,47.39,0.087674215,0.044632003,5.062707,74,1850000,-0.0028485092,0.7930449992418289,18500,67.76893758773804,0.004191266,44051,5.68658024892211
0.654697,40.92,0.08935277,0.033451997,5.05198,75,1875000,-0.0022404063,0.7828964442014694,18750,68.91156506538391,0.0034467601,60495,4.920800878573209
0.65272486,48.26,0.09031824,0.0333,5.0455866,76,1900000,-0.0024377662,0.7831462770700455,19000,69.75434589385986,0.0034582014,60234,5.873226963467896
0.65720546,41.88,0.08965094,0.025828,5.041975,77,1925000,-0.0022698664,0.7781647443771362,19250,70.6175549030304,0.0029185493,54137,5.029281032606959
0.65637916,45.57,0.091000974,0.039612003,5.039256,78,1950000,-0.003486779,0.7835311740636826,19500,71.51476907730103,0.0038302983,57733,5.48321401245892
0.62718385,48.44,0.09130625,0.04066,5.035002,79,1975000,-0.003400885,0.7936619371175766,19750,72.35463523864746,0.0038198687,56848,5.862469465956092
0.6379423,49.66,0.09069742,0.03808,5.0295935,80,2000000,-0.0028369562,0.7852264791727066,20000,73.21497106552124,0.003858629,60621,5.955365092232824
0.69215,50.66,0.09298484,0.03904,5.0243006,81,2025000,-0.0034398157,0.7764546722173691,20250,74.02975225448608,0.0039423583,58947,6.125972490250133
0.69778985,48.86,0.09331996,0.042028002,5.01376,82,2050000,-0.002865511,0.7741053253412247,20500,74.85863780975342,0.003930414,58178,5.841597258523106
0.70084155,45.38,0.0932907,0.043516003,5.0071898,83,2075000,-0.0023966287,0.7831624448299408,20750,75.7010145187378,0.0040812036,58867,5.474071538113058
0.6522373,50.68,0.09425296,0.050192,5.002879,84,2100000,-0.00255219,0.79032763838768,21000,76.52395486831665,0.0045992574,58494,6.180891593880951
