time_elapsed,n_updates,total_timesteps,policy_loss,policy_entropy,fps,explained_variance,value_loss,serial_timesteps,approxkl,clipfrac,ep_reward_mean,ep_len_mean,true_reward
690.1731886863708,813,20325000,-0.0056832605,0.99468327,58773,0.9183369874954224,0.25723264,203250,0.0071176477,0.090692,13.31253280684352,146.67,0.09030283
690.9850933551788,814,20350000,-0.0048919455,0.9847535,57968,0.9355662614107132,0.20611627,203500,0.0054729544,0.0656,14.402800706252457,158.77,0.09033095
691.8235120773315,815,20375000,-0.0049852277,0.9756238,56745,0.9171347394585609,0.23921736,203750,0.0062268623,0.076412,14.327940926551818,157.97,0.090366766
692.6599287986755,816,20400000,-0.004000692,0.9676522,59514,0.9313414022326469,0.2181495,204000,0.005947034,0.071559995,14.376988099366427,158.58,0.090349674
693.5030217170715,817,20425000,-0.004779823,0.96008843,58160,0.9295117855072021,0.21863666,204250,0.0064657144,0.08022,14.639650259539485,161.67,0.0903225
694.3305997848511,818,20450000,-0.0037026734,0.955064,58651,0.9111945182085037,0.27567938,204500,0.006675218,0.085676,14.613744858652353,161.27,0.090278424
695.1467351913452,819,20475000,-0.004856924,0.9515475,58361,0.9282967522740364,0.2168014,204750,0.004983194,0.056263994,14.877210146188736,164.08,0.09031243
695.9675014019012,820,20500000,-0.004615615,0.9486867,58307,0.930336557328701,0.20912066,205000,0.0073503344,0.090016,15.162192072272301,167.35,0.09034384
696.792242527008,821,20525000,-0.005255806,0.94500744,59650,0.9171812459826469,0.25320584,205250,0.0057638106,0.06991999,14.938130960166454,165.04,0.0903022
697.5903766155243,822,20550000,-0.004839664,0.9404022,59366,0.9348470270633698,0.2102499,205500,0.0059767934,0.07231599,14.696223919913173,162.42,0.09023853
698.3849432468414,823,20575000,-0.00493618,0.93400544,57672,0.925282247364521,0.22197643,205750,0.0061328434,0.074044004,15.268460669219493,168.6,0.090409406
699.1883382797241,824,20600000,-0.0047079204,0.9274303,58235,0.9234093204140663,0.22194652,206000,0.0062691546,0.077516,15.776222993806005,174.19,0.09031101
700.0094966888428,825,20625000,-0.004235043,0.92166805,58749,0.9232433289289474,0.21259382,206250,0.005820835,0.069592,16.4572176989913,181.8,0.09034098
700.8249363899231,826,20650000,-0.0051148855,0.9158538,58760,0.9273997396230698,0.20723276,206500,0.006289932,0.077796,16.166049962341784,178.65,0.09025257
701.6269960403442,827,20675000,-0.0052922512,0.9098908,57956,0.8985597565770149,0.29374033,206750,0.006484357,0.08031599,15.683324361890554,173.23,0.09035337
702.4356706142426,828,20700000,-0.0055333776,0.9044283,58316,0.9164018630981445,0.22762342,207000,0.0067789606,0.08511599,17.07283050097525,188.47,0.090381585
703.242743730545,829,20725000,-0.0028961515,0.899477,59969,0.9220246970653534,0.21883063,207250,0.009776529,0.130528,16.902239623218776,186.58,0.090407364
704.0389847755432,830,20750000,-0.0043485104,0.8942777,58592,0.9003922492265701,0.25353,207500,0.0077801896,0.10125599,17.015398857891558,188.22,0.09040614
704.831423997879,831,20775000,-0.0053397506,0.88844174,59303,0.8938617333769798,0.25833184,207750,0.00594394,0.071644,17.617736925780772,194.7,0.09035978
705.6267805099487,832,20800000,-0.0055850884,0.8814627,59545,0.8923674821853638,0.27760348,208000,0.0064362003,0.07743999,17.69950782611966,195.27,0.09047009
706.4249141216278,833,20825000,-0.004936058,0.87435305,58564,0.9175552204251289,0.2184802,208250,0.005778466,0.06928,17.59509501360357,194.13,0.09049811
707.2216637134552,834,20850000,-0.0021813586,0.8677084,58967,0.9146589636802673,0.24336493,208500,0.008540826,0.117000006,17.048788795471193,188.0,0.09043247
708.0198173522949,835,20875000,-0.0027088611,0.86357176,59565,0.9073484614491463,0.24219671,208750,0.008867319,0.11867599,17.14739109762013,189.32,0.09049021
708.8075549602509,836,20900000,-0.0025692736,0.8599304,58272,0.9165640398859978,0.22508988,209000,0.007929055,0.10650401,17.01746675312519,187.73,0.090458974
709.6125955581665,837,20925000,-0.004868648,0.85379,58999,0.8975058495998383,0.2852129,209250,0.0072496347,0.093655996,16.67487319678068,183.94,0.0904107
710.4010467529297,838,20950000,-0.00459245,0.8461423,59327,0.9209465384483337,0.1991795,209500,0.006111956,0.072632,18.25823981232941,201.41,0.09047155
711.1926341056824,839,20975000,-0.0028489435,0.8383211,57705,0.9008203148841858,0.22732873,209750,0.009226073,0.123055995,17.97003030732274,198.53,0.0904691
712.0007431507111,840,21000000,-0.0026888005,0.8323827,58271,0.9243483245372772,0.18694273,210000,0.008179651,0.10600801,18.55209588944912,204.57,0.09052374
712.7953701019287,841,21025000,-0.005732176,0.82897127,58862,0.8956353440880775,0.24114828,210250,0.00700103,0.088543996,17.971374863386153,198.37,0.09049797
713.5951242446899,842,21050000,-0.0042574718,0.82256746,59261,0.9134886264801025,0.19938739,210500,0.006105754,0.074035995,18.520095919072627,204.47,0.09046533
714.3841092586517,843,21075000,-0.0050273105,0.8130271,57146,0.9179438948631287,0.1812645,210750,0.006457231,0.079968,18.950161513462664,208.77,0.09055678
715.195877790451,844,21100000,-0.005096449,0.80484504,58142,0.8934269547462463,0.2767922,211000,0.007138201,0.090804,17.346092719957234,191.57,0.09042271
716.0280215740204,845,21125000,-0.005503803,0.7964884,59683,0.9153670147061348,0.20855765,211250,0.008151191,0.106324,18.623219201862813,205.45,0.0904548
716.8550741672516,846,21150000,-0.0043213097,0.78900343,56934,0.911085307598114,0.17941698,211500,0.007571227,0.09835599,19.149372183158995,211.19,0.09049451
717.7135634422302,847,21175000,-0.0051148473,0.78305376,57041,0.9274005070328712,0.16874273,211750,0.006269132,0.077704,18.425379300937056,203.33,0.09044742
718.6543362140656,848,21200000,-0.004162061,0.7774634,54139,0.9122737944126129,0.19981495,212000,0.0054296954,0.06372,18.22096444942057,200.87,0.09048876
719.535103559494,849,21225000,-0.0050762454,0.7709855,47438,0.9125144779682159,0.21280332,212250,0.0066570006,0.08354001,17.97846657052636,198.09,0.09054192
720.5074110031128,850,21250000,-0.0049945614,0.765023,54091,0.9167227894067764,0.14892752,212500,0.006156982,0.075812,19.52861655421555,215.29,0.090607785
721.4016327857971,851,21275000,-0.0048605623,0.7597929,49336,0.9025727733969688,0.20520163,212750,0.0053317402,0.062459998,19.02269265845418,210.03,0.090438835
722.3684153556824,852,21300000,-0.0039548567,0.755583,46139,0.9305382370948792,0.15128455,213000,0.0072601726,0.093204,18.67413014061749,205.97,0.09046828
723.3499019145966,853,21325000,-0.0030135317,0.74950975,49391,0.9119377955794334,0.18959999,213250,0.008243712,0.110972,19.432878041639924,214.42,0.09048512
724.3073742389679,854,21350000,-0.0048530493,0.74271107,46081,0.8908330947160721,0.21589427,213500,0.006732662,0.087728,19.515997099131347,215.22,0.0904295
725.3015236854553,855,21375000,-0.00349954,0.73545825,45885,0.8991090208292007,0.1835724,213750,0.009205137,0.12326,19.802346193790434,218.28,0.09058048
726.3176844120026,856,21400000,-0.0052275835,0.7289289,48555,0.9120668694376945,0.18947366,214000,0.0063445396,0.07874,19.319167472645642,212.92,0.090468615
727.2476809024811,857,21425000,-0.0044907304,0.7250268,58515,0.9130086675286293,0.18664415,214250,0.0069049783,0.086832,19.474661865606905,214.49,0.09057625
728.0865919589996,858,21450000,-0.005737583,0.7209234,57400,0.92580646276474,0.13872495,214500,0.007198798,0.089776,19.743062552288176,217.53,0.09061052
728.9307482242584,859,21475000,-0.0049760886,0.7184558,56642,0.936598427593708,0.11507471,214750,0.0060012247,0.072175995,20.06020527034998,220.54,0.090734415
729.7750747203827,860,21500000,-0.005755809,0.71754706,54389,0.9234935194253922,0.14554898,215000,0.0060744775,0.073028,19.16867307089269,211.12,0.09065098
730.6546204090118,861,21525000,-0.0045886384,0.71568555,57719,0.9152644947171211,0.16347149,215250,0.007837553,0.100912,19.53976650632918,215.19,0.09061249
731.4873468875885,862,21550000,-0.0047777584,0.7109507,56753,0.8887498006224632,0.17801335,215500,0.005967898,0.07176401,19.730397951751947,217.04,0.09075569
732.353348493576,863,21575000,-0.0033728152,0.70464575,54177,0.9059202298521996,0.14531276,215750,0.008047815,0.106860004,20.786270010247826,228.79,0.09069624
733.2621033191681,864,21600000,-0.0049979514,0.70105535,52378,0.8958573639392853,0.19060025,216000,0.0061434596,0.074528,20.243344099000097,222.91,0.09060333
734.158045053482,865,21625000,-0.0056729545,0.69877905,57509,0.9222173243761063,0.1258521,216250,0.0082087945,0.106752,20.018743560537697,220.28,0.090663694
734.995688199997,866,21650000,-0.005497207,0.6947485,57146,0.9177213162183762,0.1416426,216500,0.007249872,0.09115999,19.941176010891795,219.29,0.09073276
735.8504841327667,867,21675000,-0.004728172,0.68892753,53477,0.9030052646994591,0.16945958,216750,0.0064650117,0.082296,20.090952882021664,221.19,0.090691805
736.7271144390106,868,21700000,-0.0051600384,0.67840123,55463,0.9110724031925201,0.16566189,217000,0.007329057,0.093624,19.593573247268797,215.77,0.09065835
737.6106660366058,869,21725000,-0.004906119,0.66930395,53480,0.889757327735424,0.1600085,217250,0.006915707,0.08924399,20.392774899676443,224.28,0.09077273
738.4935214519501,870,21750000,-0.003532236,0.6639227,57819,0.9056547433137894,0.20016864,217500,0.007225015,0.09280399,19.393082215487958,213.16,0.090741746
739.3335464000702,871,21775000,-0.0046502925,0.6614553,57129,0.8920370116829872,0.14182875,217750,0.008060496,0.107032,20.761357694864273,228.15,0.09088029
740.1817326545715,872,21800000,-0.003945285,0.658867,57463,0.9077888801693916,0.16170482,218000,0.007258994,0.091740005,20.342892537862063,223.72,0.09073389
741.0246775150299,873,21825000,-0.005320381,0.6559822,58049,0.9092964008450508,0.16902241,218250,0.0071509867,0.08714,19.613352372646332,215.81,0.09070611
741.840402841568,874,21850000,-0.005137461,0.65375674,58575,0.901931993663311,0.14329103,218500,0.0071592466,0.090344,20.49900130689144,225.21,0.09086914
742.6623497009277,875,21875000,-0.0043857554,0.65008664,57101,0.879992350935936,0.18507439,218750,0.0070266305,0.090408005,20.110499886199833,220.92,0.09089493
743.5001795291901,876,21900000,-0.0037030266,0.6464341,58806,0.8946632817387581,0.10992261,219000,0.0065081813,0.08258,21.30298940859735,233.72,0.09104477
744.3211004734039,877,21925000,-0.005385751,0.6430791,58960,0.9102442935109138,0.1438158,219250,0.007641092,0.09752,20.16186394251883,221.26,0.09093654
745.135636806488,878,21950000,-0.0051127346,0.6384956,57364,0.8712432831525803,0.1464243,219500,0.0070265876,0.088644,20.908959831818937,229.46,0.09100386
745.9675886631012,879,21975000,-0.0042198426,0.63522255,58797,0.9303261265158653,0.10018341,219750,0.007710816,0.099648,21.092242405340077,231.5,0.09091868
746.7861840724945,880,22000000,-0.005919763,0.6330765,60062,0.9061667174100876,0.12260479,220000,0.0056615463,0.06722,20.353381884694098,223.43,0.09099836
747.590131521225,881,22025000,-0.0047641965,0.6343374,59760,0.9203027933835983,0.1005787,220250,0.007914161,0.104248,20.751925002560018,227.66,0.09101496
748.3913779258728,882,22050000,-0.005269914,0.6320637,59382,0.898346334695816,0.13480756,220500,0.007320281,0.094748005,20.889366703107953,229.03,0.091016844
749.2054643630981,883,22075000,-0.005252122,0.62539345,59236,0.9007361009716988,0.124603614,220750,0.007482049,0.093747996,21.138171040862797,231.43,0.09110926
750.0244755744934,884,22100000,-0.0049488107,0.61998785,59162,0.8438960760831833,0.14826629,221000,0.007305607,0.09202399,20.805193837061523,227.96,0.091198035
750.8303883075714,885,22125000,-0.0046968427,0.61738807,59631,0.8788256496191025,0.1380128,221250,0.007588736,0.097568,21.014198121055962,230.13,0.091151565
751.6505327224731,886,22150000,-0.0033854998,0.6151697,58768,0.9151801615953445,0.09745941,221500,0.0066930046,0.08526,21.230393864512443,232.39,0.09122208
752.4681990146637,887,22175000,-0.005393793,0.60928226,58537,0.9166229218244553,0.1151099,221750,0.00740529,0.093036,20.87554235316813,228.46,0.09119834
753.2942819595337,888,22200000,-0.0053824913,0.6030346,58135,0.8899786248803139,0.14359084,222000,0.006955472,0.084800005,20.676885168403388,226.39,0.09116694
754.1186532974243,889,22225000,-0.0046459762,0.5987705,59917,0.8547998666763306,0.15180762,222250,0.005267099,0.059235997,21.163917424604296,231.43,0.091290735
754.9244031906128,890,22250000,-0.0058285943,0.5924734,58668,0.8918824717402458,0.07739405,222500,0.0064196237,0.0777,21.48821762688458,235.21,0.09131992
755.7752997875214,891,22275000,-0.0039020586,0.5846755,59025,0.9010768383741379,0.13195035,222750,0.0070749046,0.08865599,20.716873955950142,226.69,0.09114259
756.5891718864441,892,22300000,-0.005592361,0.5773587,58610,0.8309303224086761,0.20674725,223000,0.0064562513,0.079768,20.870156620591878,228.19,0.09124209
757.4055788516998,893,22325000,-0.005024626,0.5699008,58643,0.8942325264215469,0.08572278,223250,0.007466218,0.097356,21.810920122489332,238.53,0.09135131
758.2335693836212,894,22350000,-0.004586714,0.5624627,55880,0.8747861087322235,0.10879612,223500,0.007211233,0.093807995,21.63683447882533,236.55,0.09134867
759.0909371376038,895,22375000,-0.0043082684,0.5554036,57809,0.815735250711441,0.1383147,223750,0.007850513,0.103388,21.817356154620647,238.37,0.091429695
759.9343974590302,896,22400000,-0.0048942226,0.5524646,59442,0.8519887626171112,0.12364714,224000,0.007299739,0.093995996,21.61860456213355,236.18,0.091400184
760.7603907585144,897,22425000,-0.0045055235,0.5491704,58793,0.855258584022522,0.12810795,224250,0.00876634,0.119208,21.769881528094412,237.98,0.091373265
761.5658917427063,898,22450000,-0.0027732726,0.5441384,58670,0.916481576859951,0.07322706,224500,0.0075589446,0.096576,21.857246643155815,238.73,0.091424905
762.3786113262177,899,22475000,0.0014689751,0.53788096,59379,0.8565912395715714,0.07931701,224750,0.013753663,0.17923601,22.08917246133089,241.43,0.09141938
763.2016098499298,900,22500000,-0.0041206577,0.5323679,56766,0.9305543079972267,0.049446058,225000,0.0070983334,0.093435995,22.057693553343416,241.01,0.09141202
764.0304329395294,901,22525000,-0.0038250065,0.52703995,59105,0.8669926226139069,0.09064636,225250,0.007951532,0.105024,22.095004099160434,241.29,0.091494344
764.860232591629,902,22550000,-0.002791706,0.52340394,57777,0.8480525612831116,0.08481204,225500,0.009244459,0.12370801,21.97892298974097,240.2,0.09143837
765.6845104694366,903,22575000,-0.0043206015,0.5192035,59410,0.8429936170578003,0.1181107,225750,0.009232732,0.12890801,21.659713892564177,236.78,0.09137577
766.5017695426941,904,22600000,-0.0042348793,0.5116235,58514,0.8549386709928513,0.09331407,226000,0.006473176,0.079844005,21.952269315347074,240.18,0.091311365
767.3146336078644,905,22625000,-0.0031751418,0.50498724,59679,0.8528088480234146,0.109233044,226250,0.011736912,0.162308,21.479252955392003,234.65,0.09142121
768.1273198127747,906,22650000,-0.004909591,0.50197196,59846,0.9029046818614006,0.0790987,226500,0.007854585,0.09926,21.674752417728303,236.67,0.09144513
768.9423477649689,907,22675000,-0.0045323595,0.49740323,57830,0.8983666822314262,0.0786627,226750,0.0064152507,0.080708,22.02006151340902,240.32,0.09151078
769.7780666351318,908,22700000,-0.0046696505,0.49171764,58906,0.7701488882303238,0.07559754,227000,0.00785896,0.10538401,22.393961110413073,244.39,0.0915906
770.5949895381927,909,22725000,-0.0049804407,0.487948,59013,0.8691767454147339,0.13601282,227250,0.0063531464,0.07664399,21.466106830686332,234.33,0.091446474
771.4109489917755,910,22750000,-0.00424515,0.4828288,59175,0.8616638779640198,0.10645797,227500,0.0073219896,0.09671201,21.95453991778195,239.65,0.09148462
772.2257132530212,911,22775000,-0.0045084143,0.47721976,59596,0.8629150837659836,0.10085471,227750,0.007928488,0.104876,21.79700177296996,237.62,0.091604814
773.0398814678192,912,22800000,-0.004979322,0.47305846,57982,0.8814479038119316,0.09737711,228000,0.0056179212,0.06764,21.564078438207506,235.01,0.091628544
773.8595943450928,913,22825000,-0.00495512,0.46992126,58209,0.8856767565011978,0.075285755,228250,0.008599928,0.115388,22.04817667283118,240.53,0.09156154
774.6852469444275,914,22850000,-0.0042176065,0.46860805,57476,0.9194487184286118,0.061463006,228500,0.0066489233,0.081048,22.007187087759377,240.26,0.091484465
775.5361754894257,915,22875000,-0.0040366533,0.46783853,55694,0.8754519447684288,0.091166355,228750,0.007509398,0.099796005,21.727684312388302,237.42,0.091400236
776.4273672103882,916,22900000,-0.004434581,0.46611553,58218,0.7782443165779114,0.08233549,229000,0.0062534264,0.075752005,22.34962163463235,243.94,0.09153692
777.2448937892914,917,22925000,-0.004946964,0.4657127,59368,0.8658305108547211,0.093296304,229250,0.008201806,0.11366401,21.81972009241581,237.99,0.09155653
778.0629277229309,918,22950000,-0.004702135,0.4646949,58677,0.8530565202236176,0.07204516,229500,0.0068473713,0.08902,22.3519127638638,243.71,0.091641605
778.9058187007904,919,22975000,-0.004282936,0.4625833,58709,0.8727509379386902,0.096494876,229750,0.007100968,0.09102,21.773241469338537,237.31,0.091614835
779.7095074653625,920,23000000,-0.005095101,0.45994228,59746,0.8071869164705276,0.10522071,230000,0.008561372,0.108184,22.01304739162326,239.96,0.09165162
780.5217425823212,921,23025000,-0.003872029,0.45583528,59628,0.8612054586410522,0.10598419,230250,0.007066211,0.091112,21.888499778434635,238.8,0.09153323
781.3281817436218,922,23050000,-0.004466071,0.45146188,56383,0.8193635791540146,0.096161865,230500,0.0061913626,0.07442801,22.139000560715793,241.4,0.09161755
782.171968460083,923,23075000,-0.0037353435,0.44725746,57544,0.7908807694911957,0.108340524,230750,0.008190829,0.109848,22.296897689700128,243.35,0.09157593
783.0140750408173,924,23100000,-0.0038695515,0.44163927,56251,0.8765071108937263,0.05612623,231000,0.008098613,0.10984,22.500356364324688,245.56,0.091584474
783.8517985343933,925,23125000,-0.004308168,0.43852895,58766,0.851431354880333,0.08604352,231250,0.006105624,0.076188006,22.248297768607735,242.56,0.09163033
784.7001388072968,926,23150000,-0.0041007977,0.43462414,59188,0.8710484057664871,0.060903817,231500,0.007701858,0.100368,22.296841008961202,243.04,0.09166035
785.5139615535736,927,23175000,-0.0042076237,0.43228334,58435,0.8079768270254135,0.13631603,231750,0.010057551,0.13718,21.919969402700662,238.92,0.09162293
786.3363265991211,928,23200000,-0.00457269,0.42997748,58298,0.7478628754615784,0.12190914,232000,0.0066234334,0.082588,22.133524835854768,241.21,0.091641866
787.1555650234222,929,23225000,-0.004427761,0.4277734,58548,0.7962681353092194,0.11425273,232250,0.008533633,0.115288,21.740344712659716,236.78,0.09171242
