value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.2989563,7.556996583938599,0.1235809326171875,0.20840001,2377,4.07,-0.2534527,-1.1678990651667118,8750,0.015380671,8750,5.4389925,35,-0.016556142
0.34020936,7.687748193740845,0.09170472621917725,0.1884,2330,4.89,-0.14961652,-1.0090378859639169,9000,0.015252541,9000,5.435052,36,-0.017146444
0.3410976,7.819869041442871,0.11599814891815186,0.2812,2454,5.1,-0.21361919,-0.9485386449098587,9250,0.03400119,9250,5.4301424,37,-0.026599988
0.30364627,7.947350978851318,0.09927207231521606,0.1744,2421,4.41,-0.26129207,-1.1019686180353165,9500,0.0130831925,9500,5.423999,38,-0.022518141
0.3357677,8.075834274291992,0.08870810270309448,0.21839997,1735,4.8,-0.16556412,-1.0261931191384792,9750,0.015828717,9750,5.4163513,39,-0.024515051
0.32384017,8.245357990264893,0.09009844064712524,0.0992,2363,4.91,-0.2534706,-1.005189112275839,10000,0.009994921,10000,5.409937,40,-0.015404043
0.33697876,8.37648320198059,0.11763942241668701,0.2204,2445,4.44,-0.21367837,-1.096520344465971,10250,0.019035688,10250,5.403056,41,-0.022264209
0.43554044,8.503747701644897,0.09635162353515625,0.1288,2467,5.47,-0.062330306,-0.8782778608798981,10500,0.010196581,10500,5.395969,42,-0.017114166
0.40065345,8.630724906921387,0.14396005868911743,0.19919999,2012,6.43,-0.10997107,-0.6931694103777408,10750,0.016550194,10750,5.3900566,43,-0.017560791
0.39492834,8.779319524765015,0.1447833776473999,0.1684,2349,6.31,-0.16585559,-0.7157841131091118,11000,0.014906195,11000,5.3837233,44,-0.015808085
0.32672793,8.911720752716064,0.22439849376678467,0.22040002,2396,5.42,-0.15782736,-0.887592735439539,11250,0.018376337,11250,5.3765883,45,-0.025506323
0.39487147,9.041584014892578,0.08658349514007568,0.1956,2388,6.55,-0.046224456,-0.6697410988807678,11500,0.015429239,11500,5.3689704,46,-0.013373819
0.4063031,9.170750141143799,0.11728554964065552,0.1352,2350,6.87,-0.10210289,-0.6079638528823853,11750,0.009397969,11750,5.3613405,47,-0.01692024
0.37143144,9.302484512329102,0.16163158416748047,0.248,2288,7.13,-0.09411787,-0.5578838132321835,12000,0.01832093,12000,5.3556848,48,-0.02213384
0.37738094,9.436684846878052,0.13660496473312378,0.2392,2468,6.93,-0.07007328,-0.5964966657757759,12250,0.019472245,12250,5.3493905,49,-0.016105147
0.37546864,9.562346935272217,0.21678364276885986,0.22440001,2495,7.9,0.009409383,-0.38969614878296854,12500,0.016958375,12500,5.342274,50,-0.015631862
0.44072405,9.686636924743652,0.0660477876663208,0.2184,2446,7.57,-0.11008543,-0.4531896395981312,12750,0.017637039,12750,5.3362226,51,-0.019621586
0.402351,9.814032077789307,0.1601002812385559,0.19600001,2286,8.19,-0.014251886,-0.3331968964636326,13000,0.014684832,13000,5.3300066,52,-0.019746639
0.38947716,9.947622060775757,0.11285573244094849,0.27959996,2449,7.54,-0.062158164,-0.45842399939894674,13250,0.031253558,13250,5.325293,53,-0.020664578
0.34968844,10.074126482009888,0.2525307536125183,0.2052,2460,8.2,-0.014624183,-0.331741876155138,13500,0.01332506,13500,5.3192115,54,-0.017500512
0.3387852,10.199812650680542,0.2488243579864502,0.2108,2489,9.11,0.033505023,-0.1560608233511448,13750,0.017387856,13750,5.3131323,55,-0.021696541
