clipfrac,true_reward,ep_reward_mean,value_loss,policy_entropy,n_updates,explained_variance,approxkl,total_timesteps,time_elapsed,serial_timesteps,policy_loss,ep_len_mean,fps
0.9472,-0.12357002,-0.12233375675976277,61783876000.0,5.6769667,1,-555226494926847.0,8.055133e+19,250,0.00012111663818359375,250,0.37218037,0.99,85
0.98239994,-0.06494911,-0.06407131478190423,8167390000.0,5.6780405,2,-5815961911295.0,1.7681957e+21,500,3.166762590408325,500,0.0075897733,0.99,1920
0.9639999,-0.06510008,-0.06407131478190423,1099683800.0,5.6741896,3,-354006958079.0,6.6251655e+21,750,3.3353490829467773,750,-0.016389826,0.99,2080
0.9492,-0.103888996,-0.10291294276714325,2743630300.0,5.670412,4,-5979095695359.0,2.6725157e+20,1000,3.4947452545166016,1000,0.3214169,0.99,2055
0.956,-0.15299788,-0.15141501888632775,111366460000.0,5.668975,5,-145126760382463.0,1.5016225e+18,1250,3.6552236080169678,1250,0.3609206,0.99,2194
0.9427999,-0.15285642,-0.15200851403176785,18367945000.0,5.6692915,6,-20449159282687.0,1.02281245e+18,1500,3.807323455810547,1500,0.35858676,0.99,2160
0.9144,-0.123644434,-0.12233375675976277,1737568000.0,5.669604,7,-58487136583679.0,498446730000000.0,1750,3.961177349090576,1750,0.30310863,0.99,2218
0.9424,-0.12353376,-0.12233375675976277,1513557200.0,5.6699486,8,-1982616228069375.0,2.9016992e+16,2000,4.112735271453857,2000,0.2824825,0.99,1861
0.932,-0.15335692,-0.15200851403176785,5375773000.0,5.6701546,9,-6446227914751.0,9.913422e+16,2250,4.285293102264404,2250,0.35831445,0.99,2213
