value_loss,ep_len_mean,true_reward,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,clipfrac,approxkl,n_updates,fps,explained_variance,time_elapsed,serial_timesteps
6.7380934,35.51,-0.13215229,0.571863757748265,-0.0021194187,5.6749105,25000,0.009212,0.0015630607,1,4191,-0.10249912738800049,0.0012176036834716797,250
5.403173,36.44,-0.11678036,0.7082959907748648,-0.0015038565,5.6741967,50000,0.008212,0.0012941242,2,58396,-0.0398939847946167,6.504398822784424,500
4.7926216,33.82,-0.11508057,0.5187578534375643,-0.0011007946,5.6721544,75000,0.009668,0.0017141935,3,58169,0.022184014320373535,7.334597826004028,750
4.0486,34.99,-0.10830852,0.6079013426212805,-0.0013219374,5.6721125,100000,0.0103360005,0.0014695291,4,58381,0.08601850271224976,8.155624151229858,1000
3.3739104,44.1,-0.099426195,0.5836476655256229,-0.00069138315,5.6741533,125000,0.014103999,0.002150334,5,58617,0.14135676622390747,8.969960689544678,1250
2.939178,41.52,-0.094685584,0.666508457332925,-0.00044879512,5.6751595,150000,0.015732002,0.0021197773,6,56599,0.18249177932739258,9.783735275268555,1500
2.42828,44.22,-0.08743531,0.7613186399774077,-0.0008386001,5.6740923,175000,0.023544,0.0028804827,7,53831,0.26303625106811523,10.639941692352295,1750
2.2628863,45.27,-0.089882806,0.7332953582964546,-0.00083809753,5.6711187,200000,0.032328002,0.003280073,8,54256,0.2901175022125244,11.665287256240845,2000
1.8774973,43.46,-0.08320168,0.6661239902074647,-0.00032063838,5.668154,225000,0.015676001,0.0024239875,9,58183,0.3371855616569519,12.56131887435913,2250
1.8189834,43.97,-0.08512233,0.7753915191038959,-0.00044427664,5.664453,250000,0.004772,0.0011901066,10,57954,0.36920785903930664,13.379035234451294,2500
1.6152508,43.41,-0.08553408,0.6472202060236714,-0.0007853563,5.6605744,275000,0.002908,0.001012879,11,53371,0.3981137275695801,14.199297428131104,2750
1.3446182,50.51,-0.08043773,0.8469337863915553,-0.00061482907,5.6555204,300000,0.000504,0.00051369565,12,58526,0.47976988554000854,15.04267692565918,3000
1.2465466,49.64,-0.07965543,0.92407901864721,-0.00072344096,5.649963,325000,0.002204,0.0006680606,13,59017,0.5041930675506592,15.849354267120361,3250
1.1125352,46.26,-0.0799814,0.7937527363201844,-0.0006219387,5.6463623,350000,0.0007999999,0.0005902564,14,58599,0.5635622441768646,16.659183740615845,3500
0.93013275,48.91,-0.07892801,0.9308854460078555,-0.0006572229,5.6435666,375000,0.0039000001,0.0011782243,15,60399,0.6265497207641602,17.48592185974121,3750
0.9120763,42.55,-0.08284338,0.8100743737736116,-0.0006765594,5.6412354,400000,0.0014599999,0.00073694525,16,59133,0.6343922317028046,18.283522605895996,4000
0.89890546,46.58,-0.08077745,0.9001129640167074,-0.0013173373,5.635459,425000,0.011372,0.0018000159,17,55321,0.6300851702690125,19.104188442230225,4250
0.68480694,45.92,-0.077661276,0.651675773957486,-0.0013053436,5.6312275,450000,0.0120439995,0.0017782062,18,58901,0.7083041369915009,19.942723989486694,4500
0.6066798,49.48,-0.07502061,0.8972020518052227,-0.00095767947,5.6248527,475000,0.0033479999,0.0007875439,19,58149,0.7399495542049408,20.75226330757141,4750
0.5923587,48.03,-0.0750875,0.9626146775104462,-0.001709329,5.617078,500000,0.022716,0.0025068498,20,58470,0.7661824226379395,21.560542106628418,5000
0.606321,44.33,-0.07690732,0.7242079586919147,-0.0011563782,5.605811,525000,0.0065399995,0.0013495375,21,60063,0.7569939196109772,22.363920211791992,5250
0.6078186,47.4,-0.07984225,0.8380920610090334,-0.0011370815,5.595197,550000,0.011604,0.0019890168,22,60520,0.7612428665161133,23.170745134353638,5500
0.5619567,45.93,-0.07795671,0.7473561681455795,-0.0012756579,5.5851293,575000,0.0071439994,0.0013046884,23,58422,0.7793635129928589,23.968401193618774,5750
0.50652546,48.35,-0.07484319,0.841306072264382,-0.0013730681,5.577644,600000,0.0087439995,0.0014245232,24,59021,0.7803766280412674,24.78532314300537,6000
0.43877688,52.76,-0.0729859,0.9014889396078707,-0.0016101229,5.5742316,625000,0.015556,0.0019044733,25,58957,0.8235716074705124,25.590484857559204,6250
0.4129301,48.76,-0.07328964,0.9224803350526417,-0.0011871125,5.5702095,650000,0.0075399997,0.0014972308,26,58657,0.844207838177681,26.395275831222534,6500
0.45301184,47.48,-0.0730671,0.8035390258460938,-0.0019806072,5.561306,675000,0.013908001,0.0017746177,27,60328,0.8337171226739883,27.196640491485596,6750
0.41266018,52.61,-0.07296588,0.9560241413995391,-0.0015095656,5.5486083,700000,0.010055999,0.0016138054,28,57072,0.8424076586961746,27.993980646133423,7000
0.4108066,57.25,-0.06707551,0.8384355425916203,-0.0018814557,5.5349298,725000,0.017288001,0.0020473113,29,52034,0.8285178691148758,28.807419776916504,7250
0.3814358,51.42,-0.069770806,0.931723621272065,-0.0012736742,5.518918,750000,0.010116001,0.001907041,30,59472,0.8559747040271759,29.651500940322876,7500
0.39393753,49.65,-0.06866922,0.8995360837519274,-0.0016020087,5.504331,775000,0.015583999,0.0023733196,31,58983,0.8494106382131577,30.463250398635864,7750
0.36865053,55.64,-0.06704534,0.8062644043900103,-0.0021892942,5.4919624,800000,0.028068,0.0029468688,32,58921,0.8584674745798111,31.281327724456787,8000
0.39672747,54.86,-0.067458846,0.9268560280334088,-0.001772075,5.48169,825000,0.016091999,0.002088727,33,60857,0.8539324849843979,32.08805584907532,8250
0.39514324,50.47,-0.0672229,0.8128869452294021,-0.001514419,5.4727926,850000,0.017956,0.0022611837,34,60249,0.8519912362098694,32.867056369781494,8500
0.349545,53.56,-0.06701207,0.7977667000656493,-0.0017472447,5.462022,875000,0.01142,0.0019052936,35,60171,0.8644135594367981,33.64935755729675,8750
0.35643977,47.79,-0.06761299,0.8275203005375351,-0.0020169765,5.4515386,900000,0.015288,0.0022471081,36,58812,0.8701209425926208,34.442413091659546,9000
0.3166384,51.3,-0.0642625,0.8450239011032545,-0.001330419,5.4416246,925000,0.011828,0.001854674,37,58415,0.8832892030477524,35.25581383705139,9250
0.3752029,55.03,-0.060622662,1.1292138932729654,-0.0018500555,5.4323645,950000,0.01348,0.0019375499,38,60479,0.8667509406805038,36.06725287437439,9500
0.34663767,49.68,-0.062124,0.8496878323194597,-0.0019468267,5.4210873,975000,0.019768,0.0024822797,39,59770,0.8743052333593369,36.86111855506897,9750
0.32812542,54.74,-0.05654785,1.0751679128430072,-0.0017887165,5.4135447,1000000,0.016632002,0.0023807802,40,59287,0.8831343129277229,37.662433385849,10000
