ep_len_mean,policy_entropy,ep_reward_mean,serial_timesteps,explained_variance,n_updates,time_elapsed,policy_loss,value_loss,true_reward,clipfrac,approxkl,fps,total_timesteps
38.71,5.421763,2.3121887480195435,8750,0.629819929599762,35,37.827598571777344,-0.001980508,1.51226,-0.027689738,0.022056002,0.0028633613,56152,875000
40.47,5.4130607,2.8191406930633094,9000,0.6523028612136841,36,38.63969397544861,-0.0011662988,1.4051648,-0.019016186,0.01418,0.0022183915,54860,900000
43.84,5.4069786,3.0431809392757714,9250,0.6823039352893829,37,39.473007678985596,-0.00214221,1.3436923,-0.02051897,0.025616001,0.0028418028,53919,925000
46.79,5.3961015,3.105830242963766,9500,0.6633357405662537,38,40.32171034812927,-0.0018664438,1.4529809,-0.014534058,0.021984002,0.002727997,56031,950000
53.76,5.3859725,3.4035686562044067,9750,0.7215092480182648,39,41.151018381118774,-0.0017974635,1.2507601,-0.011356235,0.022232,0.002273487,47928,975000
43.89,5.3828797,3.127248365181349,10000,0.7069774866104126,40,42.060014486312866,-0.00065324863,1.3561919,-0.0026212705,0.022092,0.0025436587,55314,1000000
45.31,5.3773212,3.2418465805996677,10250,0.7358030676841736,41,42.90312671661377,-0.0018771213,1.3123913,-0.0106666675,0.017856,0.002510392,40458,1025000
45.7,5.3680706,3.3666071757317697,10500,0.7257285118103027,42,43.90425896644592,-0.0019245725,1.3160388,-0.0071456986,0.019756,0.0023408546,50812,1050000
45.94,5.358266,2.9355922959878806,10750,0.7608140408992767,43,44.77139496803284,-0.0018333085,1.1484501,-0.0051561776,0.02004,0.0025557398,56544,1075000
43.87,5.3518944,3.160978073043807,11000,0.7922202050685883,44,45.578495025634766,-0.002108794,1.0706135,-0.0054697185,0.019852001,0.0024129772,56061,1100000
45.08,5.347746,3.4068587733677123,11250,0.7611103802919388,45,46.411381006240845,-0.0026115538,1.2119958,-0.0027431285,0.035128,0.003394795,54812,1125000
37.84,5.3438883,2.405998720072312,11500,0.7827491909265518,46,47.2420117855072,-0.0020136638,1.1413977,-0.009871345,0.026356,0.0030416423,56661,1150000
41.41,5.3370376,2.56737087541871,11750,0.7755728363990784,47,48.059895277023315,-0.0019349143,1.1614321,-0.0062380284,0.033252,0.0032896628,55237,1175000
51.67,5.328757,3.729884186606796,12000,0.8199495524168015,48,48.89351773262024,-0.0017900169,0.8864282,0.0027880352,0.018496001,0.00210348,56147,1200000
47.58,5.3176417,3.1019588391274646,12250,0.7728001922369003,49,49.71858787536621,-0.0025116974,1.1279402,-0.0009263918,0.031623997,0.0031958919,56158,1225000
43.6,5.3053865,3.209668904489663,12500,0.8044660091400146,50,50.54217338562012,-0.0019611265,1.0519956,-0.0045593907,0.023368001,0.00292497,57012,1250000
45.69,5.295938,3.1310326448932755,12750,0.7988768517971039,51,51.36799955368042,-0.0015469393,1.018872,-0.0009075014,0.020799998,0.0027892613,40386,1275000
49.54,5.2858305,3.5265703377890167,13000,0.828393280506134,52,52.35731220245361,-0.0020585153,0.8818021,0.00145022,0.024720002,0.0026887301,55908,1300000
45.36,5.2733183,3.1301447245420424,13250,0.7982992678880692,53,53.201336145401,-0.0019713673,1.1203507,-0.002866136,0.029692,0.0032224946,56014,1325000
49.6,5.2621107,3.0923357709197807,13500,0.8122252225875854,54,54.06426000595093,-0.002421091,1.0231401,-0.001047824,0.034443997,0.003550761,57210,1350000
46.97,5.2532973,3.1756952017001456,13750,0.8025835901498795,55,54.87724685668945,-0.0021869703,1.0411067,0.0030603185,0.02904,0.0030936883,38222,1375000
49.56,5.244046,4.080977372411008,14000,0.8075928092002869,56,55.907909870147705,-0.001768643,1.027075,0.009908431,0.038868,0.003738307,49300,1400000
50.57,5.2331877,3.538839927872323,14250,0.8276732414960861,57,56.78496718406677,-0.001801443,0.9560941,0.0016151192,0.047792,0.0042543868,56807,1425000
51.85,5.22702,3.52988073606487,14500,0.814161479473114,58,57.599544525146484,-0.0016369246,1.0549179,0.010000621,0.020443998,0.002658333,56479,1450000
49.72,5.225204,3.3358484140763904,14750,0.8317732363939285,59,58.42302632331848,-0.0015062739,1.0069774,-0.001956638,0.030403998,0.0030760004,56191,1475000
51.38,5.2232866,3.2903531754256985,15000,0.8427301049232483,60,59.260340452194214,-0.00080419035,0.90658635,-0.00081615784,0.028363999,0.0031129615,56500,1500000
52.61,5.2205157,3.9210563793304027,15250,0.8383822590112686,61,60.08048152923584,-0.0021937203,0.9528408,0.0035440435,0.024488,0.0026931516,54996,1525000
49.61,5.2171183,3.7344207669844036,15500,0.8496058136224747,62,60.93382382392883,-0.0013906227,0.8602988,0.005421762,0.01798,0.0023181138,55226,1550000
49.38,5.214101,3.33058263394385,15750,0.8311127126216888,63,61.773961544036865,-0.0016993887,0.89783937,0.009671999,0.01594,0.0022341602,54230,1575000
51.03,5.2099676,3.8512677612507833,16000,0.8215012699365616,64,62.614670276641846,-0.002026093,0.99970454,0.006807366,0.027064,0.0032293617,56462,1600000
49.21,5.2032046,3.45816672827048,16250,0.822846308350563,65,63.43238925933838,-0.0011006207,1.0249889,0.0014914311,0.019343998,0.002410688,55407,1625000
50.21,5.196973,3.7459609974414345,16500,0.802897721529007,66,64.27076172828674,-0.0021383944,1.1214881,0.005838639,0.024815999,0.0027014215,40311,1650000
57.1,5.1903815,4.00438973032753,16750,0.8438827097415924,67,65.26804232597351,-0.0020029044,0.904689,0.013293707,0.029443998,0.003187138,48584,1675000
51.14,5.1841955,4.157248678148317,17000,0.8280607312917709,68,66.15946936607361,-0.0015082032,1.016506,0.010226819,0.024264002,0.002856826,57163,1700000
52.94,5.177241,4.236224566063793,17250,0.8336481153964996,69,66.98382449150085,-0.00175972,1.0394837,0.010799479,0.021227999,0.0025841321,55246,1725000
44.54,5.1705055,3.58163293999678,17500,0.84840427339077,70,67.81911015510559,-0.0013854557,0.9628452,0.011296221,0.011328001,0.00209666,55418,1750000
52.38,5.162491,4.128589158264804,17750,0.8282196074724197,71,68.6491186618805,-0.0013201357,1.0868862,0.013340578,0.026544001,0.0031490647,56388,1775000
50.75,5.1611667,3.7595528547074353,18000,0.8276979476213455,72,69.46347141265869,-0.00156718,1.0745003,0.014700833,0.02214,0.0026313802,55968,1800000
48.11,5.161511,3.417167890147566,18250,0.8373230546712875,73,70.29980635643005,-0.001113645,1.0386627,0.014958995,0.004908,0.0012708495,56845,1825000
46.9,5.160017,3.6760454236276563,18500,0.8332406133413315,74,71.11779522895813,-0.0018027887,1.0460243,0.015021399,0.030960003,0.003077224,54983,1850000
53.66,5.16118,3.73496959905533,18750,0.8441719710826874,75,71.94746136665344,-0.0009851148,1.0410391,0.008004393,0.021248002,0.0027514857,50077,1875000
47.13,5.1621256,3.071913829898003,19000,0.8537312746047974,76,72.81799602508545,-0.0015118958,0.96733606,0.009021657,0.02338,0.0027445622,54728,1900000
47.82,5.1606584,3.5050224764509768,19250,0.8481357544660568,77,73.66447043418884,-0.0020441636,0.91511905,0.010883177,0.029344002,0.0030964778,55721,1925000
50.21,5.1580715,3.8743505968764658,19500,0.8434361815452576,78,74.49716854095459,-0.0015491828,0.95149404,0.014620683,0.027516002,0.003347131,55530,1950000
45.06,5.1501393,3.0411156410724653,19750,0.8725331127643585,79,75.32139444351196,-0.0009209972,0.79521066,0.0110650435,0.014116001,0.0021098081,55106,1975000
47.94,5.144071,3.9056912800590364,20000,0.8547675907611847,80,76.15198063850403,-0.0012980056,0.8708752,0.013889905,0.015264,0.0018647909,56210,2000000
49.43,5.138977,3.326504360627587,20250,0.8541376441717148,81,76.97151017189026,-0.0015435525,0.88117,0.013439888,0.03736,0.003494821,55872,2025000
48.81,5.135882,3.7726239115225324,20500,0.8390123844146729,82,77.80038666725159,-0.0021665716,1.0044358,0.0135550015,0.04062,0.00380422,56047,2050000
46.28,5.133796,3.311500539716071,20750,0.8661104738712311,83,78.62310218811035,-0.0008022605,0.81839,0.008777963,0.011452,0.002029014,55964,2075000
48.75,5.132573,3.6719702716119356,21000,0.8697199523448944,84,79.45635199546814,-0.0014701812,0.7669164,0.011479453,0.024339998,0.0028444994,44269,2100000
