value_loss,clipfrac,serial_timesteps,fps,total_timesteps,approxkl,true_reward,ep_len_mean,policy_entropy,policy_loss,time_elapsed,ep_reward_mean,n_updates,explained_variance
1.1760528,0.296352,250,3153,25000,0.030431207,0.014792214,245.99,0.28194112,0.0014380601,0.0006425380706787109,5.09646011305108,1,0.5313315093517303
1.1537584,0.127908,500,57811,50000,0.010539488,0.01466584,243.56,0.28212696,-0.0015041928,8.4253408908844,5.086605221632328,2,0.5723632276058197
2.1069617,0.102808,750,57583,75000,0.008217715,0.009173728,239.65,0.28311986,-0.0017068516,9.232377052307129,5.012106010490019,3,0.5376180708408356
2.5018604,0.088672,1000,41372,100000,0.00687495,0.008952941,237.96,0.28916007,-0.0011237815,10.051536083221436,4.979974491023753,4,0.403079628944397
2.9210362,0.102331996,1250,51277,125000,0.008048883,0.006334652,242.56,0.29448575,-0.001130324,11.02934741973877,4.974647627421462,5,0.3409843444824219
2.143017,0.13560401,1500,56092,150000,0.010121616,0.011244106,240.88,0.29826635,-0.0017345917,11.883920192718506,5.074100938420083,6,0.3843904137611389
3.6274674,0.167752,1750,55818,175000,0.01274396,0.004492846,237.43,0.301377,-5.3948537e-05,12.700006008148193,4.948969982759063,7,0.2964710593223572
1.4561702,0.16454801,2000,54329,200000,0.0126036955,0.014622406,244.28,0.3041969,-0.0003510999,13.523473739624023,5.018364765893272,8,0.3063168525695801
2.3574653,0.15288399,2250,53376,225000,0.011934167,0.008225962,241.26,0.30863243,-0.0008028129,14.371289014816284,4.8849997842280235,9,0.4218484163284302
2.3895931,0.12981601,2500,55858,250000,0.010154606,0.008764753,239.15,0.31272924,-0.0016737307,15.219736814498901,4.995959674781704,10,0.4230375289916992
3.2278543,0.07948001,2750,57594,275000,0.0064534857,0.004782343,238.28,0.31246215,-0.0011113178,16.03225612640381,4.997561749157413,11,0.3672640919685364
1.317295,0.09805201,3000,56705,300000,0.007408511,0.014914491,244.43,0.3098013,-0.0018969618,16.829557418823242,5.172098955979013,12,0.44238901138305664
0.8698605,0.11570001,3250,56890,325000,0.009273669,0.016211499,246.59,0.31161156,-0.0014807773,17.629642009735107,4.97007186830932,13,0.5070755481719971
1.9128809,0.103116,3500,56334,350000,0.008096914,0.011909128,242.86,0.31047982,-0.0011310034,18.452698707580566,5.339171387379144,14,0.45689326524734497
0.97820795,0.096184,3750,56422,375000,0.007595524,0.017610786,245.84,0.3095773,-0.0028246422,19.258000373840332,5.287734970024014,15,0.417896032333374
3.3771462,0.127116,4000,56513,400000,0.009807,0.0042485436,236.61,0.3141671,-0.0006795401,20.068334102630615,4.739427102542461,16,0.3129028081893921
0.6107052,0.071372,4250,56087,425000,0.0059212544,0.017760586,245.62,0.3187941,-0.0009786289,20.87374472618103,5.30123536129515,17,0.7119700312614441
0.7529498,0.067164,4500,55702,450000,0.005763444,0.016031705,247.47,0.3188885,-0.002690254,21.683677196502686,4.936292789416791,18,0.5853000283241272
0.5567489,0.07300399,4750,56724,475000,0.0058359923,0.017542234,247.47,0.32149863,-0.0022169102,22.493375778198242,5.39567792986244,19,0.7671888023614883
0.8849284,0.13374,5000,56856,500000,0.010345412,0.017512185,247.48,0.3213865,-0.0027139648,23.307112455368042,5.3595137476871635,20,0.5021010041236877
1.4006877,0.08536,5250,55945,525000,0.0066187745,0.01493857,245.56,0.3203157,-0.0013249919,24.114608764648438,5.156313887878919,21,0.3452463150024414
0.34624004,0.062804,5500,55954,550000,0.0053205946,0.02059511,248.66,0.31955674,-0.0017937518,24.927060842514038,5.625973162957308,22,0.7145710289478302
0.6962976,0.064279996,5750,57090,575000,0.005347436,0.0169544,247.29,0.3183531,-0.0018444259,25.732540607452393,5.2286608524163105,23,0.641815185546875
1.1112069,0.100552,6000,54922,600000,0.0077731675,0.014317109,246.1,0.31806472,-0.0025697015,26.53900170326233,4.9921660990195384,24,0.5437168478965759
1.3206637,0.083292,6250,55351,625000,0.006544606,0.014088635,243.62,0.31905764,-0.0032733462,27.34932041168213,5.381667940292598,25,0.6212439239025116
0.37839392,0.052032,6500,56544,650000,0.0046091485,0.018724395,247.75,0.32058764,-0.0018985547,28.166076183319092,5.158130970776417,26,0.7322870492935181
0.032753706,0.060924,6750,32218,675000,0.0052281935,0.019682512,250.0,0.32028508,-0.002856912,28.976797342300415,4.9206279202136205,27,0.963021095842123
0.3396082,0.067764,7000,51753,700000,0.0057908553,0.019147033,248.03,0.31797025,-0.0016387205,30.131897687911987,5.24999947409989,28,0.7668150514364243
0.42198315,0.087844,7250,57446,725000,0.0070209666,0.018806286,248.7,0.3148796,-0.0029208076,30.97346019744873,5.192162145140937,29,0.6720460951328278
0.8625394,0.084936,7500,56798,750000,0.0069358284,0.01747188,246.17,0.30977836,-0.00057295826,31.7782940864563,5.270197594321903,30,0.512032687664032
0.67698944,0.07808,7750,56195,775000,0.0062965406,0.0152946785,247.66,0.30481988,-0.0013783163,32.57629656791687,4.804720280666611,31,0.69661745429039
0.43121776,0.094735995,8000,41207,800000,0.007295513,0.02003544,247.61,0.30717155,-0.0009895093,33.384610176086426,5.428483532642872,32,0.6560882925987244
0.02077209,0.097268,8250,56902,825000,0.0075029633,0.022622492,250.0,0.3090478,6.974641e-05,34.348846673965454,5.655623055094615,33,0.9682597555220127
0.018728528,0.06946,8500,50728,850000,0.005730161,0.021254797,250.0,0.30531684,-0.0023308957,35.15497088432312,5.313698889071353,34,0.9725793600082397
1.255316,0.083956,8750,45205,875000,0.006681682,0.012910268,242.6,0.30073094,-0.0016616853,35.99430537223816,5.015640958417281,35,0.6629835665225983
