time_elapsed,ep_reward_mean,policy_loss,total_timesteps,true_reward,approxkl,fps,clipfrac,value_loss,policy_entropy,n_updates,explained_variance,ep_len_mean,serial_timesteps
0.0012011528015136719,1.6169746965169907,-0.0014103798,25000,0.016146421,0.002327025,7516,0.01324,0.26792955,5.6781197,1,-0.18500018119812012,11.33,250
4.000970125198364,1.6130861720442773,-0.000895132,50000,0.016140368,0.0019523671,51006,0.00906,0.2059083,5.675709,2,0.18369442224502563,11.3,500
4.992987632751465,1.6121795399487018,-0.0014913708,75000,0.016134856,0.0021977578,51278,0.012728,0.14407136,5.670677,3,0.4287142753601074,11.29,750
5.982576847076416,1.5937658271193504,-0.0011056054,100000,0.016059771,0.0019954888,51239,0.010568,0.12142923,5.6636934,4,0.5308301150798798,11.16,1000
6.957068204879761,1.5973776675015687,-0.0013952464,125000,0.016065659,0.0029866097,52046,0.026223999,0.11238323,5.6565337,5,0.5514302551746368,11.18,1250
7.92273473739624,1.6155667385458947,-0.0009187618,150000,0.016139438,0.001706544,52286,0.010628,0.1060905,5.654267,6,0.5659183263778687,11.32,1500
8.89052152633667,1.6074455450475216,-0.001013635,175000,0.016134163,0.0024597174,50899,0.016552,0.1020591,5.6513834,7,0.5771242082118988,11.26,1750
9.891008138656616,1.6252476622909307,-0.00070737407,200000,0.016208943,0.002018712,52433,0.011092001,0.09848958,5.643585,8,0.5908311009407043,11.39,2000
10.844709396362305,1.6307425455003977,-0.0010507647,225000,0.016212897,0.0017297004,51822,0.0074600005,0.09519716,5.6362653,9,0.6053901612758636,11.44,2250
11.797720193862915,1.6124594762176274,-0.000999168,250000,0.016135827,0.002552301,52892,0.020696001,0.09143294,5.629161,10,0.6199245750904083,11.3,2500
12.74947476387024,1.6256177647411822,-0.0009333632,275000,0.016211558,0.0025043597,51783,0.016448,0.08758499,5.624852,11,0.6344155371189117,11.39,2750
13.721174716949463,1.6242425984889268,-0.00186445,300000,0.016206736,0.0031214424,50684,0.025144001,0.08472018,5.6241937,12,0.6460884213447571,11.38,3000
14.699416160583496,1.6092634111642838,-0.0010111823,325000,0.016132923,0.0033385926,51508,0.031604,0.08139369,5.6211767,13,0.659145325422287,11.27,3250
15.649312496185303,1.6253472843021155,-0.0011076903,350000,0.016210549,0.002346932,52297,0.016848,0.078169025,5.619506,14,0.6725264191627502,11.39,3500
16.608716011047363,1.6092487420886754,-0.0013068751,375000,0.016137315,0.0021220995,51891,0.012811999,0.07543476,5.614839,15,0.6836329996585846,11.27,3750
17.571595907211304,1.6089179523289203,-0.0016529278,400000,0.016135441,0.0026111535,50943,0.019883998,0.07257185,5.6112714,16,0.6950883865356445,11.27,4000
18.546619415283203,1.612354015558958,-0.0010860999,425000,0.016141873,0.00284677,46274,0.019932,0.06992318,5.610718,17,0.7056476473808289,11.29,4250
19.595818758010864,1.6249087157845497,-0.0010294643,450000,0.01621122,0.0029876828,51564,0.02498,0.06721948,5.607531,18,0.7165080606937408,11.39,4500
20.562344312667847,1.625599801465869,-0.0016917841,475000,0.016216509,0.0024963461,53010,0.017136002,0.06451345,5.602227,19,0.7278132736682892,11.39,4750
21.48986840248108,1.6220619112998247,-0.0009967431,500000,0.016212543,0.0015006764,51252,0.0062720003,0.061649047,5.598897,20,0.7392545342445374,11.36,5000
22.4588143825531,1.6245533430576324,-0.0010246141,525000,0.016216896,0.0016912287,51495,0.00938,0.05924198,5.597109,21,0.74952232837677,11.38,5250
23.426634550094604,1.620720118805766,-0.001428568,550000,0.01621541,0.0030207387,50588,0.023699999,0.056156687,5.595633,22,0.7624996453523636,11.35,5500
24.40368962287903,1.6243890167027712,-0.0008095012,575000,0.016220335,0.0015614034,50999,0.0057679997,0.053513646,5.593457,23,0.7736179977655411,11.38,5750
25.38092613220215,1.6244972384721041,-0.0015913381,600000,0.016216658,0.0032538138,48039,0.029768,0.05113723,5.588868,24,0.783132016658783,11.38,6000
26.37338662147522,1.6255350521951915,-0.0010570858,625000,0.016218975,0.0018790539,53685,0.0096,0.048583753,5.5893955,25,0.7938752174377441,11.39,6250
27.302721738815308,1.6256227009743451,-0.0008765066,650000,0.016218789,0.0011791299,52201,0.005972,0.046640772,5.589992,26,0.8017950057983398,11.39,6500
28.250930547714233,1.6231692065298557,-0.0014838709,675000,0.016215736,0.003905169,53296,0.041384,0.044718333,5.5893145,27,0.8100800812244415,11.37,6750
29.20298457145691,1.627564657330513,-0.0007460075,700000,0.016221259,0.0017782783,52596,0.008211999,0.043358307,5.5896797,28,0.8160312324762344,11.41,7000
30.157095432281494,1.623946660682559,-0.0013254702,725000,0.016214157,0.00286924,52763,0.025907999,0.04142023,5.589251,29,0.8243980258703232,11.38,7250
