approxkl,n_updates,total_timesteps,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,explained_variance,time_elapsed,serial_timesteps,value_loss,clipfrac,policy_loss,fps
0.014695639,36,900000,88.41266855779337,245.62,0.3585272,-5.1240187,0.9276180565357208,36.50790095329285,9000,0.78998435,0.198864,-0.0015610426,55378
0.02752013,37,925000,89.88791869914552,247.76,0.36196348,-5.123584,0.943248275667429,37.31213736534119,9250,0.5298147,0.288064,0.0021010272,56337
0.021802844,38,950000,90.28177605188569,246.12,0.36497235,-5.1260138,0.9410870335996151,38.11057448387146,9500,0.66188633,0.253408,0.0005680937,56344
0.022774491,39,975000,88.91338383900118,247.5,0.35887292,-5.1240797,0.9632311128079891,38.911802768707275,9750,0.37404194,0.264252,0.0045111496,55300
0.022069398,40,1000000,90.79834630617174,250.0,0.3631934,-5.1217904,0.9818263482302427,39.71697115898132,10000,0.15501896,0.252776,0.0068937084,55107
0.06429122,41,1025000,89.57381788838771,247.92,0.36084428,-5.119542,0.9405471682548523,40.51958751678467,10250,0.5713527,0.38404804,0.015160916,54086
0.021341298,42,1050000,90.58022049160616,250.0,0.36232087,-5.1190963,0.9803517479449511,41.33240580558777,10500,0.17590508,0.25983998,0.007905627,54790
0.016956031,43,1075000,88.68349761412253,246.03,0.35917434,-5.1198525,0.9080432653427124,42.15510702133179,10750,1.016692,0.193616,-0.00013770892,52711
0.017388662,44,1100000,87.57476123887638,244.87,0.35503298,-5.1220565,0.8119598776102066,42.97334003448486,11000,1.8824947,0.220764,-0.00034830527,48029
0.010686524,45,1125000,88.29843905003975,250.0,0.3531938,-5.1249776,0.9749615956097841,43.834049701690674,11250,0.24051948,0.14446,-0.000159529,54306
0.02554136,46,1150000,88.4696589132119,248.74,0.35470644,-5.12973,0.9547591581940651,44.64361548423767,11500,0.44948497,0.29338002,0.006983885,55470
0.03398509,47,1175000,88.14441160921909,248.29,0.35438657,-5.1307917,0.9244349971413612,45.451804876327515,11750,0.6955627,0.282844,0.0062012793,55067
0.038801447,48,1200000,89.78196485916385,250.0,0.35912785,-5.1319046,0.9769366327673197,46.262736320495605,12000,0.18726578,0.359548,0.020544073,56077
0.052672483,49,1225000,90.03526381069445,250.0,0.36014107,-5.132041,0.9688415471464396,47.0464506149292,12250,0.25617948,0.39422798,0.0277031,55616
0.0180954,50,1250000,86.48028755454754,245.26,0.35001108,-5.1325374,0.9197036772966385,47.87317514419556,12500,0.903319,0.22902398,0.0014058512,56465
0.01749171,51,1275000,88.47780802457913,249.22,0.354081,-5.1339793,0.9347215369343758,48.660677433013916,12750,0.60300666,0.22835998,0.0026263462,54246
0.021095386,52,1300000,89.22926984552846,247.87,0.358996,-5.135646,0.9732766672968864,49.481627225875854,13000,0.27612716,0.23276801,0.004951005,53697
0.012673406,53,1325000,89.66626866464809,248.34,0.3600599,-5.1384234,0.930629312992096,50.30363917350769,13250,0.6798696,0.164236,0.0003927344,55348
0.014159089,54,1350000,88.70641122057597,247.77,0.3575345,-5.1424956,0.956289816647768,51.10946297645569,13500,0.4325303,0.19353199,0.0013974166,55843
0.02405282,55,1375000,88.71234640204376,246.08,0.35856095,-5.1461854,0.9138218313455582,51.9128201007843,13750,0.8862298,0.262312,0.0043460475,53579
0.009004689,56,1400000,88.8924625801295,246.17,0.35961735,-5.1487675,0.9162790924310684,52.72321033477783,14000,0.83452404,0.121304,-0.0019015797,55791
0.009649634,57,1425000,87.9217264836872,246.01,0.35613576,-5.1515474,0.9164474308490753,53.543214082717896,14250,0.8512945,0.132092,-0.0018190332,53342
0.01779773,58,1450000,86.42143634535606,237.35,0.35933298,-5.1560283,0.8810470625758171,54.365596532821655,14500,1.5788355,0.212152,0.00060280703,54191
0.027248109,59,1475000,89.71594079073053,247.83,0.36104167,-5.159997,0.9545764029026031,55.18150329589844,14750,0.43673927,0.29853198,0.0066456674,54984
0.014596646,60,1500000,88.56756365997208,244.4,0.3599245,-5.164296,0.9420009441673756,55.99245524406433,15000,0.6901959,0.18655199,0.002389156,55767
0.053224392,61,1525000,89.94709120933315,247.73,0.36251098,-5.168313,0.9558045715093613,56.79551148414612,15250,0.44137496,0.37859598,0.01647971,55879
0.023066668,62,1550000,87.51859340136467,244.5,0.35615906,-5.1703,0.9119035825133324,57.5828001499176,15500,0.9880783,0.262332,0.0021088563,55146
0.023862343,63,1575000,91.21293194428318,250.0,0.36485174,-5.172057,0.9777593445032835,58.38646650314331,15750,0.18581016,0.27982,0.007203373,54474
0.011074748,64,1600000,91.58249343117255,250.0,0.36632997,-5.168994,0.9838035181164742,59.19396090507507,16000,0.14289925,0.154032,-0.00027163784,53358
0.032985862,65,1625000,90.16228981718581,250.0,0.36064914,-5.1657367,0.9865821460261941,60.0280339717865,16250,0.14048168,0.31422,0.012933316,53638
0.021723878,66,1650000,90.15338781931962,250.0,0.36061355,-5.1642656,0.9786148052662611,60.845686197280884,16500,0.21474347,0.247364,0.006968975,55851
0.016314678,67,1675000,90.66592326719372,250.0,0.3626637,-5.164572,0.9851636653766036,61.64564633369446,16750,0.13910629,0.20852001,0.0040373076,52182
0.021667853,68,1700000,90.38393937515444,250.0,0.3615358,-5.168226,0.9843601435422897,62.46365427970886,17000,0.1501449,0.240292,0.0071527427,54133
0.03353578,69,1725000,90.36946539172438,249.68,0.36116606,-5.171555,0.9451030269265175,63.276472091674805,17250,0.5323684,0.310276,0.0039286776,53475
0.042676933,70,1750000,91.38800366310025,250.0,0.36555198,-5.17207,0.9764114152640104,64.09850311279297,17500,0.2337614,0.383936,0.01835801,53209
0.020393578,71,1775000,88.80763256563267,247.5,0.3584331,-5.1711287,0.9731653928756714,64.9249107837677,17750,0.29678422,0.254592,0.004825966,55409
0.014900522,72,1800000,90.31636378429336,247.65,0.3638732,-5.170552,0.9414863623678684,65.72475099563599,18000,0.57571936,0.19932401,0.00038874298,54014
0.013388559,73,1825000,90.76399051330081,248.53,0.3645447,-5.1695876,0.9623330011963844,66.54316926002502,18250,0.35272485,0.187512,-0.0006400412,54245
0.015584908,74,1850000,90.48236670372076,250.0,0.36192945,-5.1704874,0.9838349763303995,67.35617280006409,18500,0.14855275,0.20006402,0.0026979041,36961
0.041117188,75,1875000,90.58243394792254,250.0,0.36232972,-5.17273,0.9846055218949914,68.37494730949402,18750,0.13174948,0.38379997,0.0166814,54737
0.03455816,76,1900000,90.97975605386775,250.0,0.36391902,-5.1725755,0.9824155606329441,69.17534160614014,19000,0.15902463,0.326372,0.0124671105,55078
0.037083246,77,1925000,87.78366196033112,241.94,0.35984212,-5.173309,0.8667064607143402,70.00085639953613,19250,1.5142049,0.34000403,0.0036270283,54267
0.018502353,78,1950000,90.41671254242421,249.52,0.36143574,-5.173547,0.9513064734637737,70.80512690544128,19500,0.46164078,0.224184,0.0018960122,54319
0.026900012,79,1975000,89.94460900384281,247.5,0.3630159,-5.172893,0.9778573922812939,71.61350893974304,19750,0.20854115,0.302852,0.009899594,55283
0.012249911,80,2000000,88.3964344762906,245.91,0.35827023,-5.1718636,0.9208196774125099,72.41738247871399,20000,0.76192605,0.16115198,-0.0018806711,52947
0.0071724667,81,2025000,89.7525892173464,248.53,0.3605,-5.1743593,0.9548637866973877,73.25232768058777,20250,0.50595844,0.091636,-0.0012028939,51714
0.009619731,82,2050000,90.32575093979656,250.0,0.36130297,-5.17856,0.9760267660021782,74.08977150917053,20500,0.21952185,0.131544,-0.0013071261,53272
0.017671833,83,2075000,90.21199461824791,250.0,0.36084798,-5.1806335,0.9809591621160507,74.89571285247803,20750,0.16529708,0.22612801,0.0051712883,54209
0.011231598,84,2100000,89.32934305037953,247.52,0.36054704,-5.180696,0.9790692795068026,75.70187568664551,21000,0.22909185,0.155292,0.00077952916,55511
0.02863207,85,2125000,90.41196309131512,249.87,0.3612698,-5.179702,0.9594741798937321,76.49236822128296,21250,0.3770407,0.28742796,0.0031589873,55044
0.010953372,86,2150000,90.81481069859292,250.0,0.36325926,-5.1800714,0.9837211892008781,77.28796744346619,21500,0.14184909,0.150628,-0.0006479485,54409
0.027651291,87,2175000,89.94306813976611,247.79,0.36230183,-5.1834245,0.9655319899320602,78.10042142868042,21750,0.32401657,0.30509597,0.0059825843,53633
0.016613116,88,2200000,89.73126384893956,249.52,0.3587004,-5.1857805,0.9560549631714821,78.91292405128479,22000,0.4305246,0.21965201,0.0009231968,52660
0.061707545,89,2225000,90.4048867737985,250.0,0.36161953,-5.1876993,0.9811984840780497,79.74756622314453,22250,0.15732567,0.40687996,0.027771723,53594
0.06356277,90,2250000,89.46609775031946,247.79,0.36056116,-5.1871367,0.9703194871544838,80.55148220062256,22500,0.2990722,0.450764,0.019166896,53593
0.02946179,91,2275000,90.33892394494411,250.0,0.3613557,-5.1840777,0.9793090652674437,81.38639998435974,22750,0.18572699,0.280056,0.011679966,53020
0.023234108,92,2300000,89.19882178759231,245.74,0.361685,-5.1836443,0.8785740882158279,82.21494221687317,23000,1.1362398,0.274724,0.0025529373,53015
0.016153272,93,2325000,89.9552165434882,247.64,0.3626999,-5.1881557,0.9308955147862434,83.03647351264954,23250,0.59659547,0.2134,-0.00028504274,53878
0.024844788,94,2350000,90.63109816619458,250.0,0.36252436,-5.1917157,0.9785945229232311,83.85353231430054,23500,0.19475874,0.289216,0.012270384,54309
0.017764054,95,2375000,88.86430848190838,250.0,0.35545722,-5.1920977,0.9795931726694107,84.66093158721924,23750,0.18593712,0.23286,0.0027760374,53599
0.025507528,96,2400000,89.11898535899236,250.0,0.35647595,-5.1899495,0.981438348069787,85.48667812347412,24000,0.17892733,0.27589202,0.01024496,53693
0.012611873,97,2425000,88.97127310093987,247.73,0.3569168,-5.1891704,0.9284258261322975,86.30433702468872,24250,0.71662235,0.171704,-0.0012106292,54096
0.015545348,98,2450000,87.56397959838337,242.66,0.35782847,-5.18975,0.8038211017847061,87.11493802070618,24500,2.146819,0.211412,-0.0024821754,46676
0.015220751,99,2475000,88.81232066027653,247.96,0.355912,-5.1874566,0.9049977958202362,87.98720622062683,24750,0.9496015,0.196652,-0.0013500726,55310
0.03261759,100,2500000,89.67038044533197,249.36,0.35837632,-5.1839952,0.9092902392148972,88.77528429031372,25000,0.8578857,0.31865603,0.0030295148,40106
0.041118685,101,2525000,89.51315800589742,250.0,0.3580526,-5.180971,0.980786046013236,89.73097634315491,25250,0.17001452,0.367408,0.016607225,55562
0.07953541,102,2550000,88.74319331106861,248.62,0.35632038,-5.18054,0.9311138466000557,90.51557159423828,25500,0.6601192,0.433896,0.016639749,55839
0.044038557,103,2575000,89.64299129110296,247.83,0.36107346,-5.179643,0.966123703867197,91.30300545692444,25750,0.30881765,0.38104802,0.014076484,55447
0.07237754,104,2600000,90.13055598900218,250.0,0.36052224,-5.179183,0.9795303512364626,92.08137202262878,26000,0.17757675,0.48418397,0.041084364,55715
0.058064528,105,2625000,89.34405674106151,248.67,0.3576818,-5.176763,0.8990776836872101,92.86315822601318,26250,0.9204192,0.397448,0.010778759,53224
0.021710211,106,2650000,89.96472846731719,250.0,0.3598589,-5.1711493,0.9829376433044672,93.6638765335083,26500,0.13915965,0.27078798,0.0072575333,53986
0.012399369,107,2675000,90.68108158843059,247.79,0.36542922,-5.1663275,0.9688694644719362,94.46186757087708,26750,0.26610237,0.172024,-0.00030913117,55011
0.0282498,108,2700000,88.82374469263362,247.64,0.35778606,-5.165954,0.9430742710828781,95.25192165374756,27000,0.5621634,0.29844397,0.00707472,42072
0.013994711,109,2725000,90.19274624826824,249.9,0.3603878,-5.167397,0.9614404104650021,96.1854522228241,27250,0.35360426,0.172408,-0.0010256363,54963
0.01389876,110,2750000,90.9867769937159,249.22,0.36383915,-5.169103,0.9540527388453484,96.98350191116333,27500,0.43893093,0.15517199,-0.0013446879,55388
0.009066244,111,2775000,90.12786013965288,250.0,0.36051145,-5.1724396,0.985746699385345,97.77566266059875,27750,0.13729712,0.123528,-0.0014666797,52803
0.026727036,112,2800000,89.75819905733631,247.12,0.36141944,-5.1782656,0.908376008272171,98.60049104690552,28000,0.89610827,0.28212398,0.003020863,52885
0.02670429,113,2825000,91.26147232353397,250.0,0.3650459,-5.1802645,0.9811812583357096,99.40954279899597,28250,0.17655626,0.280444,0.00828222,54859
0.015361828,114,2850000,90.77114707422443,249.0,0.36329964,-5.1811724,0.9521763473749161,100.21463346481323,28500,0.44668967,0.20144,0.0013586634,54358
0.014287623,115,2875000,90.37173559416574,249.6,0.361266,-5.1843386,0.9425309002399445,101.01554083824158,28750,0.56623733,0.176052,-0.00047567356,55011
0.022339161,116,2900000,91.712044394884,250.0,0.36684817,-5.186782,0.9870301680639386,101.81339454650879,29000,0.111534834,0.258664,0.006890203,55490
0.03870725,117,2925000,89.13580081357446,246.07,0.36084032,-5.1885686,0.9388344064354897,102.59153580665588,29250,0.63246965,0.34721202,0.008449856,55170
0.012006892,118,2950000,86.39881374636519,241.55,0.35414505,-5.190977,0.7759547829627991,103.38757729530334,29500,2.5100179,0.16699998,-0.0026402264,52889
0.014966677,119,2975000,88.32698886736624,244.68,0.35899237,-5.1910305,0.8373336046934128,104.19963192939758,29750,1.6476419,0.193396,-0.0012263359,55516
0.010716471,120,3000000,88.8582052398874,245.99,0.35991782,-5.189989,0.9224428832530975,105.00451278686523,30000,0.8103034,0.144784,-0.0016984371,52563
0.01499678,121,3025000,87.60123286902672,242.77,0.35971573,-5.189673,0.887172594666481,105.85136771202087,30250,1.2007134,0.195784,-0.00032224116,53332
0.019797768,122,3050000,89.89513292995758,248.09,0.36124766,-5.1884193,0.9493364617228508,106.66673445701599,30500,0.48545274,0.231252,0.0028703343,54345
0.027913788,123,3075000,88.75023100029124,247.77,0.3574014,-5.187215,0.9638553932309151,107.47441387176514,30750,0.36342084,0.287708,0.0077525266,42493
0.019997995,124,3100000,86.82274060981756,245.03,0.35366824,-5.1875305,0.963546384125948,108.40405440330505,31000,0.3992865,0.245948,0.004631866,54518
0.010568204,125,3125000,89.78280563967579,250.0,0.35913125,-5.1887984,0.9794871546328068,109.21487045288086,31250,0.17351456,0.13806,-0.00036625596,53290
0.02604503,126,3150000,88.06852414741871,246.74,0.35521996,-5.1899114,0.9202110692858696,110.02972650527954,31500,0.91145325,0.28216,0.0038744132,49700
0.018362843,127,3175000,87.41261011512833,242.86,0.3584339,-5.190105,0.8900424763560295,110.87389278411865,31750,1.1967324,0.20664401,0.0019241394,54532
0.018827591,128,3200000,88.1031800565726,247.52,0.35561347,-5.188592,0.9751036074012518,111.67997288703918,32000,0.27669835,0.23317604,0.0040801293,46439
0.01981369,129,3225000,88.44994005880203,247.97,0.35520956,-5.186463,0.8827742263674736,112.56227159500122,32250,1.1042287,0.23666,0.00061596616,54251
0.012549077,130,3250000,88.74268564960774,249.51,0.35482284,-5.185185,0.932862214744091,113.37214636802673,32500,0.6558663,0.16298799,-0.0009871882,52616
0.017316978,131,3275000,89.3280911033944,250.0,0.35731238,-5.186155,0.9784604497253895,114.18519234657288,32750,0.18700328,0.18635601,0.0053273193,55742
0.023078859,132,3300000,87.51959458597237,246.37,0.35362014,-5.185855,0.865341991186142,114.98996710777283,33000,1.2342415,0.27190402,0.0018017637,53730
0.012304793,133,3325000,86.84839834116865,245.96,0.3503898,-5.1842613,0.9190428256988525,115.79941940307617,33250,0.9307076,0.170832,-0.0011304821,49166
0.015714006,134,3350000,88.11464501847865,248.22,0.3543416,-5.1850553,0.9246140420436859,116.65117597579956,33500,0.6759731,0.214584,0.0016309135,54742
0.019208377,135,3375000,86.66439414243679,245.62,0.3505861,-5.1887465,0.9451175443828106,117.46342420578003,33750,0.6346556,0.231356,0.0004811439,52938
0.048330076,136,3400000,87.30067661464331,245.55,0.35446167,-5.1923337,0.9134729579091072,118.28839540481567,34000,0.8490318,0.411964,0.007871704,50516
0.020415755,137,3425000,88.74331068825035,249.91,0.35458815,-5.192606,0.9545600153505802,119.11910820007324,34250,0.37565655,0.25842398,0.0031174743,54478
0.01575595,138,3450000,88.18193855550432,250.0,0.35272777,-5.195193,0.9758359752595425,119.93214702606201,34500,0.20931411,0.209324,0.0020784854,55105
0.052362747,139,3475000,87.82937915842253,248.9,0.35211536,-5.2002554,0.9175505563616753,120.73489713668823,34750,0.71283597,0.373564,0.012847535,55668
0.060884047,140,3500000,88.19764211156696,250.0,0.35279053,-5.2011824,0.9766404032707214,121.53109431266785,35000,0.21491356,0.420116,0.025135716,52854
0.016233264,141,3525000,86.34389871616396,246.59,0.34729984,-5.200677,0.886329211294651,122.34254837036133,35250,1.2206228,0.21874002,0.00030078326,55872
0.01253735,142,3550000,88.69197767803445,249.89,0.35438663,-5.2020125,0.9504073075950146,123.12731719017029,35500,0.39528957,0.168144,-0.0012090389,53419
0.018852618,143,3575000,86.452049390908,250.0,0.34580824,-5.1997137,0.9761334117501974,123.9335355758667,35750,0.21588871,0.233036,0.005141258,53229
0.017771961,144,3600000,87.0507065597747,248.94,0.34895167,-5.1978636,0.9260796159505844,124.76363444328308,36000,0.67604434,0.23102,0.0020377333,53012
0.018605554,145,3625000,88.08436363443747,250.0,0.35233745,-5.200683,0.9804293997585773,125.59491610527039,36250,0.16206853,0.23974001,0.0055167824,55780
0.031599596,146,3650000,87.8793118883486,248.83,0.35204765,-5.2041597,0.9662847593426704,126.39524602890015,36500,0.3230243,0.31488,0.0101828575,53603
0.017983967,147,3675000,88.73244483519811,250.0,0.35492977,-5.2044168,0.9762472789734602,127.20154547691345,36750,0.18635675,0.23044801,0.005475788,54115
0.054062366,148,3700000,87.62826645679263,250.0,0.3505131,-5.2049804,0.980655973777175,128.010404586792,37000,0.17645606,0.44028002,0.029086351,55820
0.05463785,149,3725000,88.73091848069903,250.0,0.35492367,-5.205528,0.9782077744603157,128.78815007209778,37250,0.18697247,0.40823597,0.02278252,54980
0.027438378,150,3750000,89.66690105333255,250.0,0.3586676,-5.2041683,0.983179546892643,129.5765941143036,37500,0.15137002,0.315116,0.0114525845,49351
0.009792869,151,3775000,89.53022783573483,250.0,0.35812095,-5.206041,0.9863689774647355,130.42560839653015,37750,0.12989785,0.13302399,-0.00031422358,55642
0.017179303,152,3800000,90.31328124598168,249.9,0.36086988,-5.209425,0.9621099643409252,131.21344423294067,38000,0.34211594,0.20827599,0.00045115183,53595
0.021937696,153,3825000,87.22719092391206,244.94,0.35384774,-5.2105336,0.8343735933303833,132.03475189208984,38250,1.6249559,0.26466,-0.00031916538,49121
0.025982255,154,3850000,88.7317514312244,248.82,0.35541946,-5.2101297,0.9526679590344429,132.87733030319214,38500,0.43698063,0.309672,0.004693714,53496
0.01401183,155,3875000,89.39267792294544,250.0,0.3575707,-5.2101254,0.9822511300444603,133.67459201812744,38750,0.16046642,0.190204,0.0017114475,53401
0.011195072,156,3900000,89.04306008702814,250.0,0.35617223,-5.2069635,0.9844153821468353,134.48901200294495,39000,0.14196284,0.15674,-0.00013657486,53502
0.012447262,157,3925000,89.33173856111127,250.0,0.35732698,-5.2052054,0.9849962322041392,135.2891879081726,39250,0.13772768,0.16858399,0.00042082538,52665
0.010782904,158,3950000,90.71669583741401,250.0,0.3628668,-5.2092524,0.9858675980940461,136.10753440856934,39500,0.14037353,0.14224401,0.000101227895,55145
0.01294491,159,3975000,89.60246070705354,250.0,0.35840985,-5.2147017,0.9858073284849524,136.93735456466675,39750,0.12787661,0.17406401,0.0010864593,53245
0.051335543,160,4000000,89.73218512045685,250.0,0.35892874,-5.215466,0.9834101740270853,137.75137066841125,40000,0.14534053,0.389108,0.019300189,55202
0.012398937,161,4025000,88.69546357062063,249.77,0.35443187,-5.213019,0.9530537240207195,138.53134894371033,40250,0.46906248,0.15625599,-0.0022826053,55219
0.02355954,162,4050000,89.51763247421448,248.33,0.3598242,-5.214211,0.9326625764369965,139.32968258857727,40500,0.6220092,0.27903205,0.0023295826,53939
0.028923064,163,4075000,89.57202560058452,250.0,0.35828814,-5.2160325,0.9832011051476002,140.13398432731628,40750,0.14478818,0.319212,0.010098394,53189
0.05887703,164,4100000,89.66196228620741,250.0,0.35864785,-5.2129636,0.9844342088326812,140.93713641166687,41000,0.1381779,0.46258402,0.027047804,55116
