clipfrac,policy_entropy,ep_reward_mean,serial_timesteps,fps,time_elapsed,value_loss,total_timesteps,true_reward,policy_loss,explained_variance,approxkl,n_updates,ep_len_mean
0.103848,3.8346488,9.95216720747294,250,3576,0.0007452964782714844,0.100469865,25000,0.039262928,-0.0006663368,0.9336758032441139,0.007998496,1,237.27
0.059760004,3.830819,9.785245167935628,500,56252,7.5188539028167725,0.17880051,50000,0.03804465,-0.0028312118,0.8955229446291924,0.0051523806,2,227.76
0.044652,3.8255043,9.311312692495,750,56441,8.346771240234375,0.21050577,75000,0.036681388,-0.002068551,0.8819870129227638,0.004228613,3,222.17
0.059763998,3.8271472,9.134840706323084,1000,54136,9.170844554901123,0.23008502,100000,0.035940338,-0.0013790645,0.8696281164884567,0.005064063,4,218.1
0.050328005,3.8236816,9.209152373638876,1250,57909,10.040018320083618,0.17366724,125000,0.035770938,-0.001816734,0.9203870743513107,0.0045662597,5,221.47
0.046672,3.8167229,9.149304894250308,1500,54996,10.884958505630493,0.173203,150000,0.035893664,-0.0022339297,0.8840113952755928,0.004328389,6,228.73
0.042216,3.8126233,9.796309290971259,1750,56349,11.746500492095947,0.13987947,175000,0.038603295,-0.0018816891,0.9334771409630775,0.0039807316,7,223.87
0.047884,3.8106103,9.76878653719672,2000,57233,12.577418565750122,0.16364227,200000,0.03780371,-0.0016939547,0.9222099557518959,0.004475881,8,224.27
0.043980002,3.806521,9.322693785161828,2250,55774,13.407851457595825,0.29950276,225000,0.036295906,-0.0023471017,0.8004157096147537,0.0041801184,9,222.67
0.028415998,3.8028884,9.672381196597962,2500,48637,14.229587316513062,0.13952902,250000,0.037972994,-0.0020638555,0.9125857353210449,0.0030944447,10,233.03
0.034676,3.8031554,8.910640105937546,2750,56331,15.15226149559021,0.12007483,275000,0.034080647,-0.0017946284,0.9430451802909374,0.0034326054,11,222.39
0.025704,3.801419,9.420033927277473,3000,54726,15.981125831604004,0.22090706,300000,0.03673884,-0.0009615113,0.8756119310855865,0.00294018,12,223.08
0.031272,3.7967923,9.898558307438115,3250,56602,16.83965539932251,0.1738837,325000,0.038024794,-0.0010663274,0.8979291319847107,0.0030245832,13,233.11
0.046680003,3.7948284,9.638484992431405,3500,56689,17.674027919769287,0.19096656,350000,0.03719816,-0.002307397,0.8671379387378693,0.0041546775,14,232.07
0.031312,3.7974713,9.878175960744242,3750,57547,18.504836559295654,0.15284766,375000,0.039004013,-0.0015347222,0.8735392540693283,0.0032969944,15,233.13
0.02678,3.799889,10.327801654671857,4000,55953,19.299174308776855,0.09080167,400000,0.04100151,-0.0018306954,0.9279858767986298,0.0031480591,16,237.95
0.043700002,3.802555,9.890600869163645,4250,57517,20.1266667842865,0.2505595,425000,0.03818172,-0.0022589024,0.8063836991786957,0.004133874,17,230.8
0.035872,3.801453,9.860359164907514,4500,56335,20.937074661254883,0.11376212,450000,0.03892286,-0.001989327,0.8991806730628014,0.003724135,18,239.16
0.049668,3.7951293,10.56128123515191,4750,57294,21.757021188735962,0.1281726,475000,0.04156507,-0.0030940287,0.9133975952863693,0.0043538366,19,237.2
0.030504,3.786023,10.746660099248354,5000,58505,22.571866512298584,0.017655868,500000,0.04298664,-0.0022952561,0.977479612454772,0.0034349423,20,250.0
0.073368,3.7752767,9.514820624355261,5250,57144,23.383847951889038,0.09687948,525000,0.037428692,-0.0019353516,0.9224534705281258,0.00596743,21,239.1
0.057535995,3.7716033,10.073219951804786,5500,55954,24.19151544570923,0.117403686,550000,0.03923091,-0.0017651925,0.9293478727340698,0.004906876,22,235.85
0.046687998,3.7699318,9.857435573571202,5750,56700,25.005789279937744,0.14209901,575000,0.03843562,-0.0026234053,0.8880557641386986,0.004216877,23,232.49
0.054068,3.7688565,9.968087354874513,6000,55453,25.822405576705933,0.19163859,600000,0.0389837,-0.0027752896,0.8474003374576569,0.004680469,24,233.02
0.036936,3.7666798,9.866655872275715,6250,57785,26.64942169189453,0.16611809,625000,0.038557705,-0.0015605384,0.8940737396478653,0.0035620406,25,229.22
0.020175999,3.7659466,10.225930529402696,6500,57101,27.462857007980347,0.07857341,650000,0.04060942,-0.001195314,0.9193092957139015,0.002562201,26,243.02
0.027539998,3.766821,10.310677330714189,6750,56357,28.262818813323975,0.080262296,675000,0.041444156,-0.00178563,0.9264171868562698,0.0029793438,27,238.39
0.038048,3.7634265,10.271988339267963,7000,52964,29.092358827590942,0.022860598,700000,0.04099647,-0.0022031614,0.9732308853417635,0.0036389357,28,247.75
0.025867999,3.7560315,10.080964232264142,7250,57144,29.939879894256592,0.16393486,725000,0.039767463,-0.0012953884,0.8691252171993256,0.0029151214,29,232.74
0.034764,3.7498977,10.035212887452435,7500,54753,30.750781297683716,0.18029349,750000,0.03929713,-0.0015480571,0.8241590410470963,0.0035770335,30,236.11
0.038052,3.7469687,9.351865633638202,7750,58092,31.583369731903076,0.17700009,775000,0.036701802,-0.0017635425,0.8921966180205345,0.003639826,31,224.01
0.04086,3.7465756,9.292570368518863,8000,58167,32.39575433731079,0.26627707,800000,0.035711676,-0.0016130705,0.8368159383535385,0.0038872708,32,225.16
0.050624,3.7443905,9.66397293660608,8250,55648,33.203436613082886,0.24246757,825000,0.037353627,-0.0017847487,0.8479540199041367,0.0044001294,33,225.42
0.076068,3.7436633,9.932679656475411,8500,57867,34.03956699371338,0.13549718,850000,0.039336115,-0.0026101393,0.8996231183409691,0.0063601965,34,232.9
0.048600003,3.744039,10.149436623915507,8750,57323,34.86902356147766,0.13317318,875000,0.03983094,-0.0015932564,0.8702492713928223,0.00444956,35,240.45
