time_elapsed,fps,total_timesteps,n_updates,true_reward,policy_loss,clipfrac,explained_variance,ep_reward_mean,approxkl,policy_entropy,ep_len_mean,serial_timesteps,value_loss
40.865782260894775,46230,875000,35,-0.038542684,0.005564842,0.105056,0.21712332963943481,0.7041289669275284,0.007942384,5.431663,3.6,8750,0.14442104
41.918614864349365,45625,900000,36,-0.040782828,0.000140959,0.021556001,0.26822638511657715,0.7080330234766007,0.0023151007,5.428356,3.62,9000,0.12919383
42.99818158149719,51780,925000,37,-0.037102073,0.007029702,0.10654799,0.2328607439994812,0.8019194585084916,0.008000921,5.424142,4.1,9250,0.12459642
43.99699354171753,52532,950000,38,-0.037661742,0.0012127295,0.028376002,0.28183430433273315,0.6904334507882595,0.0027320283,5.420124,3.53,9500,0.18008703
44.989805459976196,52231,975000,39,-0.03718163,0.014925594,0.18033199,0.1773795485496521,0.7099894125759602,0.015957123,5.416543,3.63,9750,0.16686963
45.96821999549866,52734,1000000,40,-0.036461227,0.001616386,0.035048,0.24840843677520752,0.7217207220196724,0.0034370334,5.4141884,3.69,10000,0.15735272
46.95331883430481,50823,1025000,41,-0.03606131,0.002620583,0.056060005,0.2840939164161682,0.7569333566725254,0.004678563,5.410214,3.87,10250,0.10691537
47.96811819076538,50933,1050000,42,-0.034939997,0.009041734,0.12641999,0.28916335105895996,0.735428179949522,0.009942383,5.4040923,3.76,10500,0.100272276
48.989218950271606,51200,1075000,43,-0.034780104,0.009052402,0.12419599,0.27230167388916016,0.7432500965893268,0.00949342,5.3995395,3.8,10750,0.101998374
49.996741771698,53005,1100000,44,-0.033979576,0.0017810988,0.04116,0.28858011960983276,0.786281571239233,0.003684956,5.396338,4.02,11000,0.12485315
50.98886752128601,52251,1125000,45,-0.033099335,0.0017832849,0.043572,0.2916598320007324,0.8214863337576389,0.0037575855,5.3930182,4.2,11250,0.10447836
51.98266530036926,51799,1150000,46,-0.033179116,0.016932458,0.17872801,0.26951730251312256,0.7275976231694221,0.01584415,5.3891706,3.72,11500,0.10211166
52.9842586517334,51246,1175000,47,-0.033419024,0.0072891535,0.100432,0.27265244722366333,0.7393306645751,0.007903157,5.386259,3.78,11750,0.10550885
53.993656396865845,52743,1200000,48,-0.032298863,0.0013559763,0.033504,0.29307758808135986,0.8312697759270669,0.003370538,5.3827796,4.25,12000,0.120974675
55.021198987960815,51342,1225000,49,-0.032138623,0.0015415513,0.034847997,0.24194073677062988,0.7471531389653683,0.0031319547,5.378558,3.82,12250,0.12935254
56.043386459350586,50861,1250000,50,-0.032939386,0.008151626,0.11566801,0.3277224898338318,0.8117141914367676,0.008984526,5.3746877,4.15,12500,0.1047657
57.05768966674805,51831,1275000,51,-0.03293897,0.012267071,0.14847599,0.33369582891464233,0.8097547322511673,0.012709424,5.370886,4.14,12750,0.114759006
58.05395531654358,52731,1300000,52,-0.03317833,0.0023638748,0.0463,0.3098328113555908,0.6493546833097935,0.0039684833,5.3678775,3.32,13000,0.12083751
59.06027102470398,53341,1325000,53,-0.031978555,0.012289042,0.149292,0.3389977216720581,0.829317065179348,0.012045142,5.3641005,4.24,13250,0.09318279
60.03611612319946,48382,1350000,54,-0.031337917,0.06838427,0.38910803,0.34487658739089966,0.6767294639348984,0.08375798,5.361119,3.46,13500,0.10197015
61.06708335876465,51654,1375000,55,-0.030937282,0.0076976353,0.106208004,0.33187663555145264,0.6102241110801697,0.008587459,5.3592124,3.12,13750,0.10214847
62.0643835067749,52321,1400000,56,-0.030857287,0.003410833,0.058240004,0.3224036693572998,0.7021689091622829,0.004809359,5.356777,3.59,14000,0.106458284
63.14786648750305,50589,1425000,57,-0.030617043,0.01741249,0.18515599,0.34876227378845215,0.6845580181479454,0.01627351,5.3532424,3.5,14250,0.09476335
64.19802331924438,51563,1450000,58,-0.031097002,0.0014984786,0.037148,0.35390883684158325,0.5554624246060849,0.0032859365,5.3491693,2.84,14500,0.10174775
65.20102906227112,47475,1475000,59,-0.030617043,-0.00075444794,0.008284001,0.3549026846885681,0.663049114048481,0.001569842,5.345412,3.39,14750,0.12316632
66.23541045188904,51954,1500000,60,-0.030856865,0.000693773,0.018616002,0.28685200214385986,0.5828490233421326,0.002205888,5.3424377,2.98,15000,0.1360571
67.2403838634491,50041,1525000,61,-0.030376589,0.0009968146,0.02786,0.33011841773986816,0.6004544910788536,0.0027091515,5.338934,3.07,15250,0.1900924
68.27759599685669,53197,1550000,62,-0.02981653,0.0030121692,0.071244,-0.18799304962158203,0.6513114601373673,0.005938459,5.3358946,3.33,15500,0.35130027
