value_loss,policy_loss,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,time_elapsed,true_reward,clipfrac,explained_variance,ep_len_mean,fps,policy_entropy,approxkl
0.13069549,-0.0022311579,35,875000,8750,1.6481783444813483,31.95280957221985,0.05120424,0.018704,0.7006929814815521,39.74,75383,5.424438,0.0021375432
0.12330123,-0.0034820095,36,900000,9000,1.9117926825654832,32.689412117004395,0.05430228,0.044083994,0.735489010810852,40.79,72621,5.41749,0.0040192204
0.15134546,-0.0023544538,37,925000,9250,2.081202635541995,33.426926136016846,0.050353426,0.032571997,0.6795573830604553,46.3,74337,5.413319,0.003421827
0.15953092,-0.0034528351,38,950000,9500,1.5836862985782318,34.16069483757019,0.0527568,0.048652,0.6830323934555054,37.37,73794,5.4066777,0.0043635108
0.15092503,-0.002780229,39,975000,9750,2.029012977024795,34.89143133163452,0.054250285,0.035772003,0.7166437804698944,47.13,73757,5.3970547,0.0035945058
0.15904678,-0.0025816448,40,1000000,10000,1.6696365115122171,35.62390661239624,0.05517877,0.027911996,0.6968808174133301,40.09,70437,5.389204,0.0030635267
0.14054298,-0.0032707236,41,1025000,10250,1.8333790900186069,36.371739864349365,0.052402094,0.041164003,0.7225082516670227,46.36,75104,5.3792524,0.0038561996
0.15922634,-0.002294093,42,1050000,10500,2.0579730049228964,37.110870122909546,0.05613254,0.027344,0.7120769917964935,46.69,67051,5.3672667,0.0030616676
0.16088656,-0.0026745198,43,1075000,10750,1.7195184527606762,37.8939323425293,0.053668592,0.024616,0.7172947227954865,41.32,70751,5.3587537,0.002805613
0.16034818,-0.0024296385,44,1100000,11000,1.8233977278406837,38.66769504547119,0.05535571,0.024991998,0.7272341251373291,44.15,73619,5.352045,0.0029746036
0.18508328,-0.001988213,45,1125000,11250,1.796357392242062,39.40973353385925,0.05591598,0.026819998,0.6819261014461517,42.25,73105,5.3457317,0.0028580423
0.14045656,-0.002835515,46,1150000,11500,1.4832433315784783,40.154635429382324,0.058840904,0.030060003,0.7443276345729828,35.48,73711,5.33718,0.0030741687
0.11215951,-0.0031518019,47,1175000,11750,2.3832032161301324,40.88722515106201,0.059954043,0.042532004,0.7936050444841385,51.25,70988,5.328209,0.004011878
0.1808755,-0.0026399305,48,1200000,12000,2.05430572340003,41.63736891746521,0.06164389,0.03618,0.7189903259277344,41.98,74872,5.3201866,0.0034917458
0.09877454,-0.0034547583,49,1225000,12250,2.375424009047783,42.36070775985718,0.060579386,0.053204,0.8360224068164825,46.92,73858,5.312751,0.004628265
0.1657519,-0.0020518883,50,1250000,12500,1.9831383648018528,43.10575985908508,0.060819473,0.036347996,0.7465780973434448,40.76,72866,5.303575,0.0036407274
0.14555128,-0.0022561671,51,1275000,12750,1.993601554120396,43.84961700439453,0.060321864,0.029268002,0.7744659632444382,44.19,72096,5.2940383,0.0031469432
0.14247298,-0.0029289224,52,1300000,13000,1.377936659702027,44.62107872962952,0.06256054,0.04902,0.7714955061674118,34.89,71665,5.2861257,0.0043961327
0.11835162,-0.0032117963,53,1325000,13250,2.2042569331538107,45.406246185302734,0.063752264,0.057136,0.8139773011207581,47.13,70336,5.280272,0.0051083863
0.14141028,-0.0023053854,54,1350000,13500,2.0999141897552906,46.197373151779175,0.06358963,0.038416,0.7906410992145538,45.17,64919,5.2702193,0.0037726227
0.13533631,-0.0025128184,55,1375000,13750,2.051859899440369,47.021506547927856,0.061161645,0.04226,0.7996027916669846,42.88,74763,5.2602696,0.0040511666
0.1101675,-0.0029363646,56,1400000,14000,2.29932952835793,47.78233480453491,0.062330965,0.040315997,0.8368076682090759,48.86,72520,5.255113,0.0038455918
0.13770053,-0.0021519125,57,1425000,14250,2.375193677289003,48.56980609893799,0.06380982,0.034355998,0.8031068742275238,48.88,74178,5.248079,0.003439922
0.15295929,-0.0027237409,58,1450000,14500,2.666727305217064,49.32117056846619,0.06257033,0.043888,0.7931909710168839,51.63,73219,5.2423987,0.0040527354
0.155513,-0.002716063,59,1475000,14750,2.506022192283781,50.07008600234985,0.063008025,0.037372,0.7894451469182968,48.14,73525,5.238866,0.0037095663
0.15010479,-0.0023219027,60,1500000,15000,2.5769047020214204,50.8147554397583,0.064440764,0.030255998,0.7936273366212845,50.09,72050,5.2352605,0.0030638247
0.11827929,-0.002839919,61,1525000,15250,2.673329823349486,51.57009673118591,0.06312488,0.04312,0.830182284116745,53.41,71280,5.230382,0.0038188915
0.11355424,-0.0021067304,62,1550000,15500,2.5672179736224643,52.338390588760376,0.0649193,0.022248,0.8417833000421524,49.62,71849,5.2235975,0.0026726322
0.1339657,-0.0029408042,63,1575000,15750,2.8730608391065107,53.09853982925415,0.064565055,0.02628,0.8189684152603149,53.91,72966,5.214278,0.0028190552
0.13939144,-0.0031055405,64,1600000,16000,2.7618749772910087,53.8598210811615,0.06420332,0.043932002,0.8088802099227905,55.94,70679,5.2026715,0.0040801363
0.15855667,-0.002930528,65,1625000,16250,2.992882750957033,54.61898756027222,0.065166645,0.039644,0.7859626412391663,57.62,72458,5.1927133,0.0038244869
0.15676165,-0.0018208828,66,1650000,16500,3.480047233970981,55.365845918655396,0.067750506,0.031984,0.7946257293224335,61.92,73162,5.184373,0.003292499
0.18237446,-0.0027966276,67,1675000,16750,3.7078911744446033,56.121150493621826,0.0660648,0.035240002,0.780275285243988,64.27,70309,5.180045,0.0033913269
