approxkl,clipfrac,total_timesteps,policy_entropy,policy_loss,time_elapsed,serial_timesteps,value_loss,true_reward,ep_reward_mean,ep_len_mean,fps,explained_variance,n_updates
0.003664324,0.036612,875000,5.66752,-0.0011217148,57.95127892494202,8750,0.010203669,-0.6497073,0.09558053359389306,0.63,49772,0.7732489556074142,35
0.0073643923,0.09284,900000,5.6657267,0.002280922,59.29312872886658,9000,0.007523277,-0.64954644,0.09404157742857933,0.62,49363,0.6624457836151123,36
0.008671292,0.09326399,925000,5.668212,0.0016001391,60.62097907066345,9250,0.02256681,-0.6505863,0.11110919117927551,0.73,48737,0.8948733434081078,37
0.004929354,0.05442,950000,5.66839,0.0014554997,61.98356795310974,9500,0.023146288,-0.65009654,0.15461995497345923,1.02,48978,0.5208669602870941,38
0.010549349,0.127452,975000,5.6643257,0.008429714,63.33855962753296,9750,0.011557982,-0.6493883,0.11893485262989997,0.78,50305,0.17340916395187378,39
0.0050358614,0.058184005,1000000,5.6596704,-0.00038121222,64.71928834915161,10000,0.0059329076,-0.649227,0.13803450897336006,0.91,49948,0.7958730161190033,40
0.0063213655,0.079288,1025000,5.6548314,0.00260987,66.08779811859131,10250,0.008535236,-0.6500262,0.11383334457874299,0.75,45409,0.6581133604049683,41
0.009194145,0.127572,1050000,5.6496916,0.0012534878,67.4849009513855,10500,0.023578066,-0.6493088,0.12774940058588982,0.84,49079,0.8882005959749222,42
0.008904616,0.12218,1075000,5.646985,0.004387647,68.81351399421692,10750,0.016891966,-0.6497886,0.08816292703151703,0.58,49311,0.45898157358169556,43
0.009645144,0.118420005,1100000,5.6435843,0.0037791594,70.16043257713318,11000,0.006564931,-0.64890933,0.12441610530018807,0.82,49367,0.8327983468770981,44
