explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac,time_elapsed,fps,value_loss,approxkl,ep_len_mean,total_timesteps,policy_loss,policy_entropy,serial_timesteps
0.8835428953170776,0.11154281,246,9.0540565522838,0.048452,198.84206867218018,67035,1.3738954,0.0043592937,102.11,6150000,-0.0019418404,4.6898737,61500
0.9053707122802734,0.11151234,247,9.883638730043312,0.053456,199.60997605323792,70268,1.4023244,0.0046704197,107.67,6175000,-0.0023323356,4.688707,61750
0.8887013047933578,0.121368445,248,12.902339126620355,0.046595998,200.36367750167847,68307,1.3583634,0.0042330185,123.9,6200000,-0.0034104995,4.685369,62000
0.9115191102027893,0.1160511,249,7.471933988850669,0.069964,201.12181186676025,68509,1.1634136,0.005650259,98.5,6225000,-0.0025168932,4.6823287,62250
0.9113353714346886,0.12645599,250,9.784220479357245,0.056396,201.90431666374207,62167,1.2096274,0.004974003,100.81,6250000,-0.0025552614,4.6800957,62500
0.9001389741897583,0.12040999,251,9.373701190180691,0.097696,202.73241901397705,60900,1.5035335,0.0075313486,102.95,6275000,-0.00014358356,4.6782675,62750
0.8865040689706802,0.11554089,252,6.595356813705293,0.061247997,203.59121704101562,67146,1.4410238,0.005171824,91.63,6300000,-0.0016260792,4.6764817,63000
0.9079369604587555,0.11647247,253,6.381587644738747,0.045135997,204.38115048408508,67559,1.2121831,0.004268343,92.73,6325000,-0.0028978332,4.6746407,63250
0.8886118903756142,0.12540852,254,11.834231222601774,0.052759998,205.13652110099792,71301,1.3458738,0.0045604496,119.05,6350000,-0.0019963903,4.671691,63500
0.8924848362803459,0.11873887,255,8.990357210471739,0.051896,205.86472415924072,70288,1.3614267,0.0045711463,104.1,6375000,-0.0012972876,4.66957,63750
0.8721988350152969,0.12074116,256,10.197421161587517,0.083771996,206.60300302505493,67391,1.4875411,0.0065713087,106.43,6400000,-0.00082989375,4.666625,64000
0.8931012079119682,0.12280848,257,11.70076774731675,0.105151996,207.37009191513062,70864,1.414869,0.008025197,115.59,6425000,-0.00040386655,4.6631284,64250
0.9112479910254478,0.120289385,258,10.4796215643117,0.074228,208.10118293762207,69684,1.1042734,0.0059640678,108.93,6450000,-0.0009776222,4.6602945,64500
0.9096543490886688,0.12082003,259,9.104301549382344,0.096443996,208.84120345115662,69398,1.0319382,0.0073455386,97.9,6475000,-0.00054298865,4.6579304,64750
0.9090303257107735,0.115725644,260,7.675026366794805,0.061339997,209.59382319450378,66910,1.1739709,0.0052024494,95.74,6500000,-0.0026347414,4.655435,65000
0.9246162101626396,0.12918416,261,9.342837348204704,0.066268004,210.34815859794617,69425,1.1563749,0.0055100173,99.51,6525000,-0.0026347926,4.652406,65250
0.9012503549456596,0.122587286,262,9.923294760848476,0.055464007,211.10219311714172,67104,1.1589997,0.0049062497,105.1,6550000,-0.0031491003,4.650264,65500
0.916951447725296,0.1201726,263,9.717017355080534,0.061824,211.8514494895935,70774,1.0905253,0.0052818423,105.92,6575000,-0.0024653715,4.6480947,65750
0.9168523475527763,0.1245153,264,8.136973018099143,0.052911997,212.59118056297302,68219,1.1152159,0.004808287,93.76,6600000,-0.0031931647,4.6455183,66000
0.8953470662236214,0.116660446,265,9.960678078220717,0.035956003,213.37113308906555,65133,1.4144226,0.0035900814,109.64,6625000,-0.002311424,4.6436577,66250
0.9386533573269844,0.11795356,266,10.060087540314685,0.076896,214.15358567237854,57686,0.8534881,0.0061215525,118.49,6650000,-0.0020272008,4.640285,66500
0.8996646404266357,0.13109095,267,8.343021967391673,0.057436,214.96340799331665,69861,1.2990532,0.005279204,89.45,6675000,-0.0027910674,4.6356797,66750
