clipfrac,fps,ep_len_mean,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,policy_loss,explained_variance,value_loss,total_timesteps,ep_reward_mean,time_elapsed
0.023584,51879,2.17,5.383811,8750,35,-1.7621955,0.0028567405,-0.002311743,-6.489455223083496,0.36605147,875000,0.026917876814623015,44.178975343704224
0.022576,45464,2.39,5.368022,9000,36,-1.7330536,0.00277605,-0.002641597,-6.721230506896973,0.29191086,900000,0.03398724339753244,45.257102251052856
0.0133839995,43131,2.57,5.350849,9250,37,-1.7093481,0.0018569343,-0.002474641,-5.717792987823486,0.2265029,925000,0.025618546315236017,46.389081954956055
0.018368,51320,2.99,5.331353,9500,38,-1.6821395,0.0024471832,-0.0030862237,-4.233883857727051,0.17252636,950000,0.03129045796160426,47.51903557777405
0.024664,52286,2.97,5.3098993,9750,39,-1.6739303,0.0026087551,-0.0041409694,-3.179788112640381,0.12854433,975000,0.03469547736320237,48.57542657852173
0.037424,51680,2.81,5.287467,10000,40,-1.6421481,0.003578749,-0.004541355,-2.5271241664886475,0.10766294,1000000,0.039166873287031195,49.63175821304321
0.023992,52318,2.59,5.2641506,10250,41,-1.6111557,0.0025646382,-0.0037461617,-1.7722675800323486,0.08476429,1025000,0.04233507656826987,50.67437815666199
0.025139999,52549,2.78,5.2416587,10500,42,-1.5894428,0.0026708855,-0.004318881,-1.4815149307250977,0.074114606,1050000,0.034723500668769704,51.73162388801575
0.033916004,51216,3.3,5.2193513,10750,43,-1.5630958,0.0033202828,-0.004223526,-1.1840238571166992,0.06613798,1075000,0.04257344099605689,52.77534198760986
0.045868002,52065,2.61,5.1969285,11000,44,-1.5565836,0.0041239997,-0.004909689,-0.8456473350524902,0.056158952,1100000,0.03604078843023672,53.82752013206482
0.034888,52052,3.22,5.1755686,11250,45,-1.5262913,0.003585678,-0.004407224,-0.651713490486145,0.051979106,1125000,0.04816074244707124,54.88149404525757
0.042252004,52004,2.78,5.1549616,11500,46,-1.5152608,0.003956329,-0.005200012,-0.5685478448867798,0.05055665,1150000,0.04218380266451277,55.93301701545715
0.04676,51017,3.34,5.134636,11750,47,-1.4759036,0.004271654,-0.0046362,-0.45160603523254395,0.047690365,1175000,0.03185755801980122,56.9693329334259
0.042104,54019,3.14,5.1139255,12000,48,-1.4690667,0.0040546823,-0.0047061658,-0.27954673767089844,0.043288797,1200000,0.03849298598775931,58.00642371177673
0.045492,52919,3.07,5.0922637,12250,49,-1.4291058,0.0041888226,-0.005344572,-0.26136505603790283,0.044216342,1225000,0.03574405376522918,59.025084495544434
