time_elapsed,n_updates,serial_timesteps,value_loss,approxkl,total_timesteps,explained_variance,policy_loss,true_reward,ep_reward_mean,clipfrac,policy_entropy,fps,ep_len_mean
0.0012476444244384766,1,250,18989.39,9832141.0,25000,-8.981528282165527,0.32030016,0.18493924,1.4618364049494266,0.79774797,5.6757784,7082,7.5
4.160879611968994,2,500,12511.707,227680.42,50000,-5.826218128204346,0.3479587,0.18548344,2.9065189151465893,0.84265596,5.675782,52612,14.89
5.104555130004883,3,750,10498.553,93463.81,75000,-5.893706798553467,0.3759387,0.18564028,3.1133551850914953,0.8286079,5.6758013,52592,15.94
6.040428161621094,4,1000,7015.2373,8219405.0,100000,-6.048426628112793,0.3391837,0.18557596,2.7632925575971603,0.83802396,5.6758795,50576,14.15
6.994678258895874,5,1250,7075.5986,5416107.0,125000,-9.352022171020508,0.31031457,0.18575318,2.743745445162058,0.849,5.6759834,53194,14.04
7.904546022415161,6,1500,8626.232,763909.0,150000,-19.626615524291992,0.29277605,0.18562672,2.091853610277176,0.850004,5.676032,52786,10.7
8.842459440231323,7,1750,6401.6763,372194.1,175000,-19.146841049194336,0.30947214,0.1856159,2.2054928746819495,0.8463839,5.676075,53999,11.28
9.745781660079956,8,2000,4012.3735,81110.0,200000,-14.071887016296387,0.30830067,0.18561456,2.15251138150692,0.83865994,5.676057,54214,11.01
10.664378643035889,9,2250,4870.038,491412.8,225000,-22.58487319946289,0.24682255,0.18563314,1.5374877931177615,0.8406919,5.6760693,49690,7.87
11.616563558578491,10,2500,5667.0825,432645.9,250000,-22.21430206298828,0.24797161,0.1856684,1.0483339132368565,0.83648396,5.6760926,54135,5.37
12.516567468643188,11,2750,8574.0625,4876490.5,275000,-9.604249000549316,0.22873509,0.1861002,2.105231934338808,0.84412,5.6761813,53979,10.79
13.421416282653809,12,3000,6717.501,6295524.0,300000,-10.197064399719238,0.21719208,0.18649708,3.313178613781929,0.848584,5.676232,47443,16.96
14.384916543960571,13,3250,3871.2449,325897.8,325000,-12.426423072814941,0.23904005,0.18624993,2.4982781180739404,0.84524804,5.676257,53947,12.8
15.290703773498535,14,3500,1899.5303,173714720.0,350000,-13.290105819702148,0.26254544,0.18602666,1.7964427153766156,0.851828,5.67627,53620,9.21
16.218029022216797,15,3750,469.84,9131549.0,375000,-8.220624923706055,0.31915,0.1856403,2.486403659135103,0.847844,5.676277,52637,12.72
17.129820346832275,16,4000,421.8211,531915.75,400000,-18.99363136291504,0.314675,0.18555109,2.8601586186885832,0.85040396,5.676273,52867,14.64
18.063689947128296,17,4250,357.87454,1214702300.0,425000,-17.219776153564453,0.29644096,0.18561082,2.8892760878801345,0.851404,5.6764884,54170,14.79
18.965680837631226,18,4500,204.7745,623921800.0,450000,-4.939701080322266,0.26221806,0.18245843,1.4164195117354392,0.843536,5.6767774,54460,7.26
19.887867212295532,19,4750,102.62868,14500878.0,475000,-10.174799919128418,0.23482294,0.18245733,1.4182996791601181,0.839748,5.6769075,51831,7.27
20.828664541244507,20,5000,283.5205,85056.664,500000,-14.575984001159668,0.16873446,0.18246008,1.4182612031698227,0.823952,5.676948,52970,7.27
21.756848573684692,21,5250,135.74,2422797.0,525000,-14.044698715209961,0.19830835,0.18245481,1.4748904380202292,0.827744,5.6769705,53779,7.56
22.675745725631714,22,5500,107.38822,243858400.0,550000,-10.534407615661621,0.22899553,0.1824688,1.2173094511032105,0.838408,5.676977,52384,6.24
23.608425855636597,23,5750,137.30383,3529292.8,575000,-16.709901809692383,0.3608698,0.18245336,1.7186888490617276,0.826128,5.6769824,53184,8.81
24.552495002746582,24,6000,188.26624,484195.4,600000,-10.690918922424316,0.3979106,0.18244697,1.929189055263996,0.81036794,5.6770234,53811,9.89
25.463812112808228,25,6250,107.49092,346962.4,625000,-11.650125503540039,0.16094734,0.18244745,1.9815682584047318,0.802672,5.677022,52675,10.16
26.39488959312439,26,6500,122.199524,283224860.0,650000,-8.27745246887207,0.17052826,0.18245064,1.933313569277525,0.823248,5.6770024,54086,9.91
27.310620069503784,27,6750,530.5425,25012742.0,675000,-11.1559419631958,0.19368063,0.18243906,1.9331910686194897,0.82688797,5.6769733,54128,9.91
28.218074083328247,28,7000,1100.3074,27985367000.0,700000,-9.252256393432617,0.21411785,0.18245122,1.9039424766600133,0.821932,5.6769075,53067,9.76
29.15206027030945,29,7250,306.54575,1788348000.0,725000,-5.043626308441162,0.19303723,0.18211123,1.955944502055645,0.841736,5.676767,47978,10.06
30.12469482421875,30,7500,137.84917,19262396.0,750000,-18.85776710510254,0.3058409,0.181687,0.9775993034243584,0.8301519,5.6767497,52507,5.03
31.067587852478027,31,7750,98.201584,186385.45,775000,-25.59971046447754,0.35769933,0.1815533,0.681665707975626,0.81482804,5.676753,49797,3.5
32.12456202507019,32,8000,126.52844,1319304.8,800000,-26.894201278686523,0.35489178,0.18155289,0.794017823189497,0.80931604,5.676763,52749,4.08
33.07792520523071,33,8250,608.5504,155938.33,825000,-26.042510986328125,0.4205169,0.18148507,0.6839608575403691,0.828724,5.6768556,52823,3.51
34.024168968200684,34,8500,595.18555,63611416.0,850000,-11.446710586547852,0.36692473,0.18147513,0.625736568570137,0.818872,5.6769643,52761,3.21
34.95332384109497,35,8750,467.4388,12605063.0,875000,-33.55801773071289,0.24711362,0.18150069,0.9120138958096504,0.82828796,5.67702,54129,4.68
35.875975131988525,36,9000,107.15532,425640.6,900000,-27.173276901245117,0.28546673,0.18144725,0.9632311005890369,0.806728,5.677027,53945,4.94
