n_updates,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,true_reward,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,value_loss,approxkl
35,8750,58312,2.185715540395904,-0.0018249648,875000,0.020293128,5.6491575,0.8899797946214676,35.26060938835144,0.017112,99.47,0.057311635,0.002047015
36,9000,57850,1.9931561651764287,-0.0016840363,900000,0.022200668,5.6407766,0.8736182302236557,36.07142972946167,0.010824,99.1,0.062294412,0.0016473274
37,9250,56589,2.0294544800057155,-0.0021848413,925000,0.02186449,5.6347523,0.8831601962447166,36.8832848072052,0.022251999,89.75,0.05713325,0.0027563903
38,9500,58538,1.8769145894647046,-0.0017875973,950000,0.021313665,5.629618,0.8869846537709236,37.71389651298523,0.008704,93.46,0.05624028,0.0013603591
39,9750,56997,2.134936413264004,-0.0024873237,975000,0.022681829,5.626707,0.8665665537118912,38.51211142539978,0.024220001,93.04,0.064664565,0.0027090178
40,10000,55323,2.3364396721703815,-0.0020090807,1000000,0.021471366,5.627387,0.8834288790822029,39.33224964141846,0.012988001,91.14,0.065901175,0.0017885634
41,10250,53104,1.865642014203122,-0.0015669616,1025000,0.023063118,5.6275525,0.9032374173402786,40.224374294281006,0.009788001,83.98,0.048834164,0.0014997193
42,10500,51212,2.1158782544579573,-0.001942496,1050000,0.021976301,5.6275253,0.8922824710607529,41.17576217651367,0.0146200005,97.2,0.053715784,0.0021105143
43,10750,55884,2.0661092816577185,-0.0017080571,1075000,0.024117222,5.62706,0.9078073650598526,42.06857132911682,0.010036001,86.4,0.05644526,0.0014223019
44,11000,55155,2.2898462012668914,-0.0019877383,1100000,0.023017004,5.6247087,0.9151520729064941,42.9204580783844,0.024336,88.91,0.051074516,0.0028334807
45,11250,55470,2.071950220752169,-0.0018544253,1125000,0.023689436,5.619971,0.8798354864120483,43.75287890434265,0.012756,88.0,0.06883555,0.0017414907
46,11500,55476,1.9777005358511024,-0.0016515956,1150000,0.02206088,5.6134124,0.8947432264685631,44.60642051696777,0.01846,90.58,0.062069487,0.0020863106
47,11750,55603,2.5675453099286893,-0.0013498206,1175000,0.023595024,5.6074266,0.9201242253184319,45.45747447013855,0.010287999,107.89,0.051388483,0.0017236524
48,12000,56973,2.365783697385814,-0.0020938572,1200000,0.023132192,5.6009912,0.9216255024075508,46.30655908584595,0.014915998,92.88,0.04658021,0.0018929981
49,12250,55563,2.2817285880503153,-0.0019741724,1225000,0.023162497,5.5932574,0.9196928963065147,47.13203716278076,0.020083997,91.37,0.051742405,0.0024580914
50,12500,58194,2.4496028091352713,-0.0017206902,1250000,0.02637093,5.5870523,0.915409155189991,47.981502056121826,0.010216,92.26,0.053224962,0.001372078
51,12750,58806,2.403190841454834,-0.0021377413,1275000,0.02391207,5.5821576,0.926833800971508,48.80310106277466,0.016387999,95.64,0.050114743,0.002128541
52,13000,57120,2.3903567244605575,-0.0025045988,1300000,0.024827737,5.5770636,0.9311607629060745,49.613513469696045,0.029408002,91.3,0.048778288,0.003163581
53,13250,59006,2.4323501810262314,-0.0020841178,1325000,0.022945566,5.5683293,0.9326136559247971,50.430843114852905,0.019516002,101.57,0.05198071,0.0023225683
54,13500,59414,2.2934317978979197,-0.0026043428,1350000,0.022759877,5.558815,0.921190470457077,51.25240755081177,0.020572,89.91,0.05361544,0.0022583627
55,13750,57991,2.535886567886164,-0.001858204,1375000,0.02624729,5.551604,0.9181488007307053,52.053539514541626,0.014660001,92.27,0.053139944,0.0018724516
56,14000,56377,2.146418571588981,-0.0022342503,1400000,0.023994384,5.5447187,0.9156020805239677,52.86680817604065,0.023988,88.16,0.05718149,0.0027099077
57,14250,48800,1.7901191292435943,-0.0015267653,1425000,0.02444814,5.537542,0.9163901135325432,53.690473556518555,0.013320001,81.22,0.057074975,0.0019099576
58,14500,56995,2.057792944914031,-0.0014122195,1450000,0.025407394,5.5331383,0.9350883737206459,54.58116292953491,0.0140080005,85.85,0.0435521,0.0020852028
59,14750,57329,2.486056079736991,-0.0018868173,1475000,0.024813792,5.5275364,0.933294378221035,55.402971267700195,0.020912,92.97,0.05251617,0.0023860214
60,15000,57617,2.3887016639328067,-0.0017764515,1500000,0.023051716,5.522254,0.9397194907069206,56.226922273635864,0.019956,88.54,0.0439798,0.002192065
61,15250,56341,2.3118623552829196,-0.002066961,1525000,0.024644956,5.517333,0.9316448122262955,57.05712866783142,0.019504,96.05,0.053666253,0.0025078843
62,15500,56921,2.1432562539345965,-0.0023558594,1550000,0.022443777,5.510768,0.9372362866997719,57.87980794906616,0.01798,78.01,0.046927683,0.0021761083
63,15750,56295,2.2102434463039753,-0.0020801767,1575000,0.023743296,5.5072865,0.9308648481965065,58.696038007736206,0.016492,94.64,0.047496997,0.0022663048
64,16000,58306,2.0754436921519575,-0.0016966385,1600000,0.025154771,5.506806,0.9345328360795975,59.52288293838501,0.0122919995,81.94,0.054930873,0.0016872404
65,16250,58742,2.336181265411918,-0.002013879,1625000,0.026471816,5.504047,0.9413392879068851,60.358318567276,0.021603998,88.76,0.045618597,0.0025682433
66,16500,53558,2.5179639107059213,-0.0021212085,1650000,0.026310097,5.500669,0.9366602674126625,61.17767667770386,0.027228002,96.22,0.051865704,0.003023979
67,16750,44308,1.7354135793964678,-0.0017310863,1675000,0.024051994,5.4978814,0.9422761499881744,62.0807044506073,0.018900001,74.87,0.04696735,0.0021382298
68,17000,57302,1.9004979441916452,-0.0023967829,1700000,0.024192808,5.49427,0.916766844689846,63.09246110916138,0.025812,82.85,0.056594044,0.0029431398
69,17250,54331,2.4539332365117783,-0.002416342,1725000,0.026209312,5.4852266,0.9217928498983383,63.93691611289978,0.033928,98.15,0.05969889,0.0032943222
70,17500,54491,2.7154705763585842,-0.0016789619,1750000,0.025365913,5.4775763,0.9280766844749451,64.79942989349365,0.018056,105.13,0.04703239,0.0024405813
71,17750,57750,2.2350478972236307,-0.0013745492,1775000,0.025716929,5.474166,0.933441236615181,65.67010521888733,0.014824,89.69,0.046433736,0.001879828
72,18000,58880,2.4794740446420063,-0.0017640349,1800000,0.025506323,5.469929,0.9191647171974182,66.48358821868896,0.015899999,102.75,0.053265095,0.0019134877
73,18250,58150,2.1970372556602524,-0.001981149,1825000,0.024417551,5.4642086,0.9382370449602604,67.32968330383301,0.024092,89.45,0.040955026,0.0027515162
74,18500,56869,2.2211590512238515,-0.001682481,1850000,0.02801206,5.456447,0.9388038888573647,68.14620161056519,0.017795999,87.09,0.04262577,0.002471494
