ep_len_mean,total_timesteps,fps,policy_loss,clipfrac,time_elapsed,approxkl,serial_timesteps,n_updates,ep_reward_mean,true_reward,value_loss,explained_variance,policy_entropy
19.63,25000,7417,0.05977451,0.307372,0.0011639595031738281,1051071.4,250,1,2.799974206276238,0.06777179,28970.707,-6.321158409118652,5.6757774
20.79,50000,62749,0.06314576,0.19397199,3.945000410079956,13757917.0,500,2,2.9761822958663107,0.06643036,35483.51,-8.278282165527344,5.6757774
19.48,75000,61314,0.05800668,0.259576,4.796515226364136,4439113.5,750,3,2.794265386424959,0.06930083,19576.406,-6.074866771697998,5.6757784
17.11,100000,61198,0.059687383,0.196596,5.658316612243652,2073697.6,1000,4,2.4758547873049976,0.065571375,34585.07,-6.916178226470947,5.6757803
19.17,125000,62105,0.056300003,0.425752,6.508571147918701,21041100.0,1250,5,2.5927434763195922,0.06629048,31041.213,-3.961484909057617,5.675781
15.44,150000,61262,0.057105012,0.49637198,7.353669166564941,21239006.0,1500,6,2.1911691716662607,0.068702474,15385.951,-3.5891928672790527,5.6757827
18.63,175000,61060,0.052601002,0.33146,8.18844723701477,6675311.0,1750,7,2.660557911568321,0.069079466,14286.7,-2.944486618041992,5.675788
18.9,200000,62965,0.062712386,0.44798803,9.03351378440857,132439570.0,2000,8,2.7147009321348743,0.06915974,14161.394,-3.1867542266845703,5.6757903
17.62,225000,60398,0.066982254,0.37198,9.871427774429321,65369190.0,2250,9,2.515630229273811,0.06650283,17140.625,-7.036838531494141,5.675785
19.67,250000,62115,0.06035968,0.24726002,10.729645729064941,21190902.0,2500,10,2.71929723914247,0.06719203,15714.534,-4.54295015335083,5.675785
19.79,275000,61542,0.06527669,0.392196,11.56397271156311,21225692.0,2750,11,2.7848425893997772,0.067539275,13791.518,-6.2705841064453125,5.6757874
20.08,300000,61443,0.062045775,0.381668,12.402082681655884,169950500.0,3000,12,2.705540546895936,0.067313746,13622.183,-2.5311074256896973,5.6757927
18.29,325000,60261,0.08037156,0.26711997,13.23064661026001,19084304.0,3250,13,2.524580087503418,0.058096305,23672.162,-6.654947757720947,5.675795
20.71,350000,62161,0.0649088,0.39596,14.09071969985962,19866774.0,3500,14,2.924384608566761,0.066337936,14390.294,-4.861015796661377,5.675807
19.36,375000,62392,0.072732426,0.319592,14.929954051971436,10580075.0,3750,15,2.7653134069615044,0.060790338,22589.367,-12.0397367477417,5.675827
20.98,400000,61229,0.06510805,0.298156,15.759943008422852,4167260.5,4000,16,2.9341694432226357,0.06561207,11142.36,-8.321985244750977,5.675836
20.3,425000,61173,0.06977371,0.39688802,16.58982229232788,21192024.0,4250,17,2.7891267660679295,0.064331435,7810.417,-3.248582363128662,5.675952
20.78,450000,61586,0.069658205,0.531024,17.416937828063965,525755550.0,4500,18,2.9599161197862123,0.063260235,4806.7705,-9.406800270080566,5.6759586
20.44,475000,61117,0.065089546,0.621208,18.244792699813843,4640895500.0,4750,19,2.9711993100494145,0.06727906,2224.6606,-11.170482635498047,5.675994
17.79,500000,62985,0.0659938,0.43882003,19.095175981521606,310834100.0,5000,20,2.5683493395289405,0.0530893,6101.41,-25.625499725341797,5.67604
19.4,525000,63172,0.06602924,0.5010079,19.9410138130188,972403300.0,5250,21,2.486051914603449,0.051185362,2435.6147,-9.60982608795166,5.6760726
18.06,550000,60326,0.07468793,0.699672,20.782995462417603,63867593000.0,5500,22,2.391435910085347,0.05115095,539.1792,-25.660186767578125,5.676095
17.19,575000,61716,0.078863464,0.7722961,21.626633644104004,55011193000.0,5750,23,2.417948651491606,0.050548594,321.67914,-14.426605224609375,5.6761804
16.07,600000,61643,0.11322148,0.707832,22.49444079399109,273311650000.0,6000,24,2.314817976502236,0.041170094,151.33311,-30.985523223876953,5.6762304
16.24,625000,58689,0.16939591,0.717496,23.339946746826172,616178800000.0,6250,25,2.3248424226185307,0.031949818,144.13156,-6.690619468688965,5.676263
18.97,650000,54192,0.15189812,0.79139596,24.265403985977173,285116800000.0,6500,26,2.5384573250262474,0.051236432,172.14717,-7.232183456420898,5.6762724
