total_timesteps,approxkl,fps,value_loss,serial_timesteps,time_elapsed,true_reward,explained_variance,policy_loss,clipfrac,n_updates,ep_reward_mean,ep_len_mean,policy_entropy
700000,0.0071206493,53738,0.018665966,7000,29.786993980407715,0.040761393,0.9803631398826838,-0.0020111615,0.094532,28,9.600556258835132,229.76,0.8482734
725000,0.0052920682,52904,0.017024742,7250,30.653301000595093,0.041159566,0.9805698487907648,-0.0021593436,0.063012004,29,9.339856896058315,223.41,0.8465072
750000,0.00531019,52508,0.019427208,7500,31.546566486358643,0.04038253,0.9794834814965725,-0.0027099417,0.063736,30,8.743708387321966,216.03,0.8424282
775000,0.005736686,53753,0.016874697,7750,32.42505240440369,0.039826125,0.9827020671218634,-0.0024865768,0.067076005,31,8.982593674862146,223.09,0.84304494
800000,0.0073182443,49992,0.019117672,8000,33.348318338394165,0.041175436,0.9793834518641233,-0.0018939987,0.097028,32,8.890370243632788,213.8,0.84307826
825000,0.007962057,53142,0.023039104,8250,34.290690660476685,0.040486287,0.9776136558502913,-0.0015298063,0.103952006,33,8.59956773708902,209.11,0.8438295
850000,0.0061375536,54437,0.011353986,8500,35.191104888916016,0.041334398,0.9878984829410911,-0.0020776445,0.076364,34,9.467961457564925,227.56,0.8452517
875000,0.004990341,53189,0.013037078,8750,36.06005263328552,0.04110688,0.9875875525176525,-0.0025262495,0.058176,35,8.212692857561741,200.72,0.84595335
900000,0.0051536513,51438,0.020786136,9000,36.93414902687073,0.04328988,0.9764546379446983,-0.002077382,0.059360005,36,9.423469653668253,219.23,0.8435403
925000,0.0058538765,53484,0.016943345,9250,37.864328145980835,0.041168623,0.9818277284502983,-0.0017989629,0.070656,37,8.75232593707111,213.8,0.83908355
950000,0.00596845,54517,0.017252672,9500,38.74268937110901,0.04174347,0.9819550551474094,-0.0020542366,0.07288001,38,9.56877699072902,227.23,0.83463746
975000,0.0070157805,54537,0.028204843,9750,39.596320152282715,0.040363997,0.9677213504910469,-0.0018945755,0.09102,39,9.229856748501442,225.42,0.8321511
1000000,0.00854554,55244,0.0330184,10000,40.47152304649353,0.040851317,0.9694757089018822,-0.0011910197,0.108500004,40,8.382701030619465,205.49,0.83024454
1025000,0.0057623857,55297,0.016965445,10250,41.32158017158508,0.041381784,0.9817111007869244,-0.002544148,0.068592,41,9.072001694146984,216.01,0.8279584
1050000,0.006000274,52996,0.027143512,10500,42.17508864402771,0.042177398,0.9706744216382504,-0.0024991476,0.075172,42,8.248369134870591,198.35,0.82672006
1075000,0.008701987,46643,0.017233457,10750,43.06982159614563,0.040942382,0.9816528540104628,-0.0015722193,0.113960005,43,8.445170795173613,209.38,0.8226515
1100000,0.0076840916,55488,0.013836876,11000,44.02438044548035,0.042375248,0.9829422365874052,-0.0021626141,0.10257201,44,9.435804139038556,222.34,0.8211504
1125000,0.00572078,54543,0.020399565,11250,44.86958885192871,0.041338068,0.9791224058717489,-0.0024391466,0.06910001,45,8.504539652320673,206.36,0.82042915
1150000,0.008831198,56779,0.017107483,11500,45.726696729660034,0.041654367,0.9814392980188131,-0.000605899,0.119172,46,9.497622610599537,226.27,0.81738985
1175000,0.00555369,55244,0.00838741,11750,46.56093668937683,0.042577416,0.9885593382641673,-0.0026470323,0.065412,47,9.936758768054096,233.27,0.81393206
1200000,0.006473397,55450,0.02746583,12000,47.40380334854126,0.04150697,0.9702860079705715,-0.002494763,0.079579994,48,9.136157157199754,216.61,0.8136035
1225000,0.005817049,54073,0.012859764,12250,48.24216556549072,0.04225171,0.9861794458702207,-0.0030350853,0.071219996,49,9.036299940071077,215.05,0.818912
1250000,0.0050510718,55522,0.012956748,12500,49.14409112930298,0.041558266,0.9867584994062781,-0.0018144548,0.057736,50,8.833790653650958,212.47,0.8194438
1275000,0.007114929,53827,0.02421599,12750,49.98476219177246,0.04161413,0.9746432695537806,-0.0020502894,0.093296,51,8.650030891949282,206.92,0.8172682
1300000,0.0067333854,52307,0.017564707,13000,50.84324383735657,0.039942093,0.9837558642029762,-0.0020430244,0.085567996,52,8.094295686339391,203.87,0.81605625
1325000,0.0058591473,52365,0.019124186,13250,51.70715665817261,0.040423036,0.9787949528545141,-0.0018076978,0.07134,53,8.04005111009581,201.82,0.8140727
1350000,0.0073817326,55056,0.021386838,13500,52.583109855651855,0.04249136,0.9773848429322243,-0.002905167,0.081504,54,9.270184448986111,218.91,0.8092178
1375000,0.0059434846,55482,0.014707334,13750,53.435348987579346,0.040562388,0.9831644296646118,-0.0023232903,0.073855996,55,8.519403758226764,211.93,0.80355674
1400000,0.007888726,54879,0.023468306,14000,54.2792649269104,0.041202806,0.9752667024731636,-0.0018159216,0.101272,56,8.537746608210945,209.88,0.80276793
1425000,0.0059851194,55561,0.024730414,14250,55.13010096549988,0.04076383,0.9707436375319958,-0.0020281482,0.073336,57,8.730740297621123,214.87,0.80223256
1450000,0.007878424,54417,0.023406152,14500,55.973543643951416,0.041422077,0.9735653288662434,-0.0015146548,0.100968,58,8.872798321089357,213.76,0.7993355
1475000,0.006334342,52819,0.008486483,14750,56.82469034194946,0.041600816,0.991072503849864,-0.0012874111,0.079752,59,9.239735704278864,222.86,0.79756105
1500000,0.0055232253,53758,0.020634647,15000,57.71582102775574,0.04148975,0.9760936200618744,-0.002028661,0.065824,60,8.752838664536798,210.89,0.79362196
1525000,0.008530011,52588,0.019989204,15250,58.58957624435425,0.041196212,0.9767976049333811,-0.0018159039,0.108232,61,9.54793364783007,228.4,0.7915859
1550000,0.007867621,53617,0.019235775,15500,59.458046674728394,0.041022096,0.9790771771222353,-0.00145381,0.105955996,62,8.854364325954466,215.8,0.7900099
1575000,0.0068971887,55427,0.018449418,15750,60.31817674636841,0.04173793,0.980881754308939,-0.002703533,0.089612,63,9.465494801887399,223.63,0.7866301
1600000,0.0052954284,53491,0.019524187,16000,61.16888213157654,0.040918034,0.9762954600155354,-0.0019745005,0.06345199,64,9.071694234653306,221.36,0.78395426
1625000,0.006074809,54947,0.01894884,16250,62.02282357215881,0.04071963,0.980788903310895,-0.0026494195,0.076956,65,9.153890777703317,222.35,0.7792725
1650000,0.006695497,54777,0.022961898,16500,62.88954019546509,0.041929502,0.9737483207136393,-0.0029220104,0.08656,66,9.038705896098909,212.89,0.77718335
1675000,0.008681507,54878,0.012775409,16750,63.737157344818115,0.04030228,0.9860400380566716,-0.0014908757,0.10935199,67,9.0209328190015,220.63,0.7760669
1700000,0.006102388,56046,0.023830783,17000,64.57156252861023,0.04218238,0.9724871758371592,-0.0027348145,0.075244,68,8.64273511045729,206.72,0.7743825
1725000,0.007688201,51277,0.013076599,17250,65.43799901008606,0.041163325,0.9842722620815039,-0.0015277634,0.099944,69,8.84044389077506,214.24,0.7725442
1750000,0.0061307386,56522,0.01352288,17500,66.31827402114868,0.042630672,0.9829841367900372,-0.001712085,0.07504801,70,8.91341360945431,212.4,0.7698766
1775000,0.006142089,52920,0.012447061,17750,67.18096566200256,0.04071659,0.9863530956208706,-0.0023819949,0.075056,71,9.033014301343353,219.9,0.7677245
1800000,0.006901446,55432,0.028495202,18000,68.04923915863037,0.04258681,0.9669779315590858,-0.0019194077,0.08812,72,8.804676916304725,207.06,0.7669121
1825000,0.0061309338,55497,0.0139582455,18250,68.8886706829071,0.041047446,0.982922988012433,-0.0021140443,0.07446399,73,8.935481879806893,218.36,0.7675587
