fps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,explained_variance,true_reward,policy_loss,value_loss,policy_entropy,time_elapsed,total_timesteps,ep_len_mean,approxkl
56563,0.02496,4.499069507000277,35,8750,0.8422856330871582,0.012100098,-0.0012365725,0.583579,5.551065,37.439926862716675,875000,103.83,0.002751092
55951,0.020271998,4.495570087771994,36,9000,0.8768983483314514,0.012363336,-0.0011417962,0.44638672,5.545681,38.26565647125244,900000,106.73,0.0026588903
56484,0.031156,4.45071784327015,37,9250,0.8729390799999237,0.013025254,-0.001975107,0.47902733,5.5428286,39.10045623779297,925000,109.36,0.0030829771
55394,0.023683999,4.873499868800718,38,9500,0.8493111878633499,0.013469125,-0.0012087568,0.62011147,5.540099,39.95404648780823,950000,112.08,0.0024374588
52162,0.029303998,4.970835918352095,39,9750,0.8472256362438202,0.016625494,-0.0012757396,0.6073042,5.5423613,40.860119581222534,975000,109.73,0.0030589316
52439,0.020376,5.514656841841461,40,10000,0.8711125552654266,0.018228875,-0.00071672315,0.61754906,5.546106,41.733256340026855,1000000,121.67,0.0024937221
51501,0.016056,5.470373402344921,41,10250,0.8062324374914169,0.019262804,-0.0016928014,0.78653073,5.5414095,42.62771415710449,1025000,122.41,0.0020337321
56702,0.028075999,5.841802007529318,42,10500,0.8309803158044815,0.021372354,-0.0013444279,0.7770124,5.536557,43.5436589717865,1050000,122.95,0.0029313895
55881,0.046083998,4.249592054624336,43,10750,0.8230491876602173,0.01587256,-0.0021732692,0.81738997,5.5320826,44.35424280166626,1075000,98.74,0.0042740586
56549,0.019976,4.724381325209873,44,11000,0.8700554966926575,0.019187044,-0.0012271481,0.6355244,5.5264063,45.19695782661438,1100000,110.22,0.0022242393
47912,0.021852,5.441593433447779,45,11250,0.8716871291399002,0.02191759,-0.0011176585,0.57721245,5.522714,46.02367568016052,1125000,124.32,0.0026615323
47459,0.03844,4.204351986828697,46,11500,0.8425419479608536,0.017635139,-0.0013674113,0.8095509,5.519679,46.926050901412964,1150000,98.92,0.00370676
56467,0.023516,4.294452149328135,47,11750,0.9011182263493538,0.015835026,-0.0014613727,0.63345253,5.517441,47.83590531349182,1175000,93.8,0.002744491
55393,0.034948,4.7828142896903225,48,12000,0.9101332426071167,0.02000035,-0.002196253,0.5188081,5.515993,48.645691871643066,1200000,109.05,0.0034425599
55980,0.02068,3.4203349483166856,49,12250,0.8932575359940529,0.021978468,-0.0017815994,0.5379631,5.5119085,49.46675658226013,1225000,78.07,0.0024918676
51910,0.01374,3.6237436435218116,50,12500,0.8635676950216293,0.018835988,-0.00068981556,0.7442579,5.5087523,50.27741193771362,1250000,85.43,0.0022218272
56090,0.013688,3.4499392482270195,51,12750,0.8483197242021561,0.018546812,-0.000565711,0.7259041,5.507904,51.129992961883545,1275000,80.21,0.00226787
57836,0.009508001,3.7092960084517834,52,13000,0.8753318041563034,0.02077612,-0.00090844027,0.6434634,5.508975,51.939990520477295,1300000,90.34,0.0014562886
52678,0.0035599999,2.9648852589700256,53,13250,0.9134249538183212,0.017600749,-0.00035841437,0.4815506,5.5119963,52.73006749153137,1325000,70.09,0.0009908724
39336,0.0135240005,3.1352394181429006,54,13500,0.9206203818321228,0.01792269,-0.0009717938,0.45934668,5.511889,53.563929319381714,1350000,75.25,0.0021145025
55801,0.01356,3.238023937186226,55,13750,0.9236115515232086,0.017719826,-0.00085212383,0.42260805,5.5119624,54.563246726989746,1375000,73.71,0.0020830159
39960,0.016476,2.8973648089007473,56,14000,0.9170490875840187,0.01712936,-0.0014468784,0.501395,5.510269,55.37565755844116,1400000,68.57,0.0020695305
44149,0.023339998,2.890178858488798,57,14250,0.9442144930362701,0.016861688,-0.0012827906,0.31847757,5.5113387,56.38171744346619,1425000,69.45,0.0023819814
52170,0.024524,2.8822938889368377,58,14500,0.9304717853665352,0.01597577,-0.0010443657,0.41659117,5.5127387,57.30697989463806,1450000,68.9,0.0028793185
56209,0.020552,2.709732980299741,59,14750,0.9499947167932987,0.01505374,-0.00083953736,0.3055676,5.5136337,58.145158529281616,1475000,64.75,0.0023262776
49028,0.01748,3.012262567039579,60,15000,0.9553069844841957,0.016237369,-0.00090030796,0.29182303,5.5158567,58.988816022872925,1500000,70.32,0.002296041
50202,0.015132,2.4931206491783087,61,15250,0.9425036907196045,0.014264109,-0.0010926032,0.3975888,5.5151334,59.939696311950684,1525000,60.22,0.0021127411
56044,0.021308001,3.2355152024421843,62,15500,0.9654716774821281,0.018964378,-0.0017295077,0.2146031,5.5106726,60.83407020568848,1550000,75.84,0.0025516916
54819,0.04792,2.823244365905175,63,15750,0.9153737276792526,0.012725995,-0.0027537479,0.5508288,5.503356,61.668631076812744,1575000,70.99,0.0042174472
55803,0.011731999,2.7727078559342773,64,16000,0.9589275494217873,0.015568979,-0.0015154026,0.25105113,5.499978,62.509751319885254,1600000,65.81,0.0018961488
56678,0.017956,2.8502317858379684,65,16250,0.9563637673854828,0.017310634,-0.0016441876,0.2773268,5.4959197,63.33385443687439,1625000,70.67,0.0022808074
50395,0.013295999,3.4171403269443545,66,16500,0.968252994120121,0.01663634,-0.0012842604,0.20093593,5.488496,64.20112705230713,1650000,78.06,0.00205409
55027,0.014728,3.1800895431370737,67,16750,0.9668226540088654,0.01597902,-0.0013277105,0.20744053,5.4790354,65.14793682098389,1675000,75.11,0.0019760416
50015,0.04372,3.3999899920445933,68,17000,0.9521799795329571,0.017968189,-0.0016413654,0.27608702,5.466632,66.02398037910461,1700000,79.44,0.004105545
40188,0.052943997,3.5788865348510446,69,17250,0.93441341817379,0.019462846,-0.0020903354,0.3437916,5.4571667,66.93063473701477,1725000,78.05,0.0044850204
54823,0.014604,2.9624785210052504,70,17500,0.9670498892664909,0.019834774,-0.0009990766,0.20019224,5.4531474,67.99400854110718,1750000,67.85,0.0022016536
42471,0.027916003,2.900177192493784,71,17750,0.9767516050487757,0.020924184,-0.0019937728,0.13631353,5.448838,68.85493183135986,1775000,69.35,0.0029395232
54503,0.026308,3.2465727029660774,72,18000,0.9645971022546291,0.01746098,-0.0013871454,0.21826379,5.442277,69.88349533081055,1800000,77.88,0.0026654783
53419,0.040087998,3.1553118036615344,73,18250,0.979910334572196,0.018337019,-0.001961042,0.12226602,5.4343905,70.75442695617676,1825000,78.55,0.003829922
54662,0.050611995,2.6733966813841836,74,18500,0.9592365846037865,0.01759068,-0.0018964193,0.25852853,5.4247923,71.64743781089783,1850000,60.68,0.0042565283
42600,0.0335,2.90151412545114,75,18750,0.9765685927122831,0.017853027,-0.0015497318,0.13814887,5.416974,72.58973741531372,1875000,67.06,0.0033559334
40976,0.027359998,3.290917809472012,76,19000,0.9720294270664454,0.019010445,-0.0012420907,0.17100067,5.4088116,73.69494891166687,1900000,78.46,0.0030892412
46083,0.034364,3.5562995704665084,77,19250,0.9469531401991844,0.019598285,-0.0018940208,0.32811454,5.3995085,74.80708956718445,1925000,80.06,0.0034340508
55552,0.034256,2.793806197234371,78,19500,0.9526260197162628,0.014927149,-0.0010144121,0.29029232,5.392453,75.82263040542603,1950000,64.58,0.0033769172
