time_elapsed,serial_timesteps,fps,true_reward,policy_entropy,approxkl,explained_variance,n_updates,total_timesteps,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean
0.0015664100646972656,250,3575,0.0075155837,5.6755323,0.0062394273,0.24426043033599854,1,25000,-0.0047820034,0.08248,0.022546846,0.47035675524413817,23.64
7.63714075088501,500,44984,0.007935561,5.671192,0.0019666837,0.11460500955581665,2,50000,-0.0029964154,0.018348,0.025383044,0.48077702494512775,25.01
8.680559873580933,750,56644,0.011988089,5.669821,0.0041029705,0.17318642139434814,3,75000,-0.0021632705,0.047167998,0.034590654,0.7045051393173708,35.48
9.579180717468262,1000,55021,0.013106953,5.6674147,0.0017036945,0.08349907398223877,4,100000,-0.0013856362,0.013752,0.045411102,0.6464833602926956,33.37
10.461466312408447,1250,54779,0.012288491,5.6669264,0.00091106445,0.13257306814193726,5,125000,-0.0011259984,0.002388,0.047370166,0.7767380199842705,38.71
11.339963912963867,1500,53589,0.013276965,5.66471,0.0013401884,0.15371322631835938,6,150000,-0.0015929816,0.006916,0.05062028,0.8604601235180599,41.15
12.233637809753418,1750,56981,0.013280459,5.662015,0.0014268103,0.25039899349212646,7,175000,-0.0018746101,0.007884,0.052704204,0.7567023779007286,36.41
13.09417462348938,2000,55544,0.014149247,5.6601152,0.0015459756,0.2650102972984314,8,200000,-0.0020177953,0.010968,0.052178234,0.7752573711636797,41.07
13.977783203125,2250,54174,0.01282063,5.6625385,0.0021655886,0.4110717177391052,9,225000,-0.0017859519,0.01642,0.046152424,0.8657854855546975,43.39
14.87389063835144,2500,56356,0.016001228,5.6614175,0.0018406116,0.4615131616592407,10,250000,-0.0016212508,0.013960001,0.048948,1.0450446858130453,48.07
15.77474308013916,2750,41716,0.014912653,5.6581197,0.0028605019,0.5218543112277985,11,275000,-0.0019071657,0.029092003,0.049119316,1.031882144615629,46.07
16.918272733688354,3000,46000,0.016275732,5.6537395,0.0022686669,0.5402132868766785,12,300000,-0.0014016667,0.017412,0.052168183,0.9178410367445394,45.85
17.944992542266846,3250,55393,0.015204036,5.6503572,0.0026638557,0.6446739137172699,13,325000,-0.0020492827,0.022939999,0.044893183,1.0213088657474145,52.52
18.989922046661377,3500,48299,0.013924988,5.645026,0.0022771233,0.5940614342689514,14,350000,-0.0014889941,0.017296001,0.054353543,1.1033728388370947,54.53
20.003618955612183,3750,51564,0.0157048,5.6408396,0.003547237,0.6441642940044403,15,375000,-0.0022815098,0.037312,0.048290227,1.1016484915731508,52.76
20.902475118637085,4000,53186,0.01676625,5.6394734,0.0021807018,0.6355496346950531,16,400000,-0.0010729632,0.018088,0.053988747,1.021498007225964,54.43
21.80033588409424,4250,54648,0.017498877,5.6329174,0.0027461997,0.678741455078125,17,425000,-0.0018937949,0.024952,0.052448947,1.3251179805407083,57.56
22.671714305877686,4500,55632,0.016124133,5.626845,0.0021443733,0.726393073797226,18,450000,-0.0011399537,0.015951999,0.05030788,1.3386900819086258,62.34
23.530447721481323,4750,55953,0.015953856,5.623555,0.0024293005,0.7523303031921387,19,475000,-0.0016541317,0.017532002,0.050231688,1.1911163132471314,59.26
24.38676357269287,5000,55846,0.016587345,5.617507,0.0026446332,0.7530926018953323,20,500000,-0.0014453025,0.021759998,0.05291667,1.1731663596184672,61.51
25.27925133705139,5250,56789,0.017217735,5.609002,0.0024905694,0.7774487286806107,21,525000,-0.0017357934,0.018832,0.05463956,1.2982905135758358,62.19
26.121968030929565,5500,54306,0.017376518,5.6004267,0.0026876274,0.7942511290311813,22,550000,-0.0015265709,0.021495998,0.051786344,1.405208376451128,61.55
27.001336097717285,5750,56275,0.018090203,5.592531,0.0025099723,0.7964956313371658,23,575000,-0.0016528878,0.018832002,0.051248025,1.1409258306522678,59.3
27.881189823150635,6000,47999,0.0175501,5.5855,0.0015121831,0.8290959447622299,24,600000,-0.0010270819,0.007908,0.050699674,1.2945291081266441,64.13
28.826616525650024,6250,56630,0.017176075,5.58072,0.001330755,0.860737070441246,25,625000,-0.0008625396,0.006388,0.041356273,1.5431321927774297,71.36
29.676923751831055,6500,55481,0.019072535,5.581603,0.0032114715,0.8618626445531845,26,650000,-0.0022068706,0.030256,0.043825246,1.541926959392913,72.56
30.55506157875061,6750,56077,0.016208516,5.581439,0.0015091958,0.8619398474693298,27,675000,-0.0011995083,0.010508,0.046055708,1.217679302029337,61.75
31.41051983833313,7000,56116,0.018095031,5.576595,0.0032784338,0.8637052774429321,28,700000,-0.0019655807,0.031096,0.04425183,1.3525301391624271,66.41
32.243637561798096,7250,55927,0.018824564,5.5646343,0.0022159736,0.8422393947839737,29,725000,-0.0013229599,0.016964,0.0460105,1.3791969019658992,67.58
33.094221353530884,7500,56510,0.017981602,5.5549145,0.0011752921,0.8528648912906647,30,750000,-0.0011681907,0.005668,0.047741428,1.2465563711830692,64.16
33.94770908355713,7750,55768,0.018987132,5.5450683,0.0016626822,0.8631789088249207,31,775000,-0.0010511486,0.011164,0.041939933,1.5555951062169333,73.63
34.814417600631714,8000,55234,0.018894168,5.5394983,0.0024437972,0.8510463088750839,32,800000,-0.0016627613,0.018992001,0.05023976,1.5647830499874908,65.28
35.67714214324951,8250,55989,0.018533355,5.535353,0.0026164106,0.8639960587024689,33,825000,-0.0018206879,0.02438,0.047928676,1.3889597442755985,59.73
36.53186082839966,8500,55512,0.019798676,5.5293074,0.0024814368,0.875467911362648,34,850000,-0.0016262785,0.020752002,0.04686362,1.374509193421086,63.65
