fps,true_reward,policy_loss,serial_timesteps,n_updates,ep_len_mean,clipfrac,approxkl,policy_entropy,explained_variance,value_loss,ep_reward_mean,time_elapsed,total_timesteps
49896,0.18989001,0.37765962,9250,37,41.99,0.828788,47771.117,5.687983,-4.075685024261475,10154.339,8.136669325381517,34.34485960006714,925000
55661,0.18988957,0.5010437,9500,38,41.97,0.81894,169670.3,5.688002,-3.9752559661865234,10237.454,8.132862682938576,35.25560450553894,950000
55507,0.18988779,0.3835875,9750,39,41.98,0.853932,186263.38,5.688113,-4.017864227294922,10255.728,8.134646675735713,36.11763095855713,975000
51445,0.18988715,0.38374588,10000,40,42.0,0.8118679,12065.446,5.6882086,-4.0364089012146,10203.096,8.138451874405146,36.99232506752014,1000000
55663,0.1898883,0.3304935,10250,41,41.98,0.81350404,403870.4,5.6882854,-3.9977736473083496,10055.958,8.134708656221628,37.87514662742615,1025000
44094,0.18988718,0.4044602,10500,42,41.99,0.846832,57625.926,5.6884265,-3.9892373085021973,9961.89,8.136542206704616,38.735002756118774,1050000
55394,0.18988672,0.37685448,10750,43,42.0,0.81233996,46379.25,5.6884494,-3.96142578125,9911.786,8.138358891457319,39.74433732032776,1075000
55124,0.18988527,0.40478516,11000,44,42.0,0.8362479,54921.406,5.688499,-4.00224494934082,10307.617,8.13831999912858,40.61795783042908,1100000
45183,0.18988608,0.4116724,11250,45,42.0,0.80819595,11091.026,5.68865,-3.93388032913208,10962.694,8.138384900987148,41.48980689048767,1125000
56323,0.189884,0.43832535,11500,46,42.0,0.822564,1966.0046,5.688732,-3.9680914878845215,11314.027,8.138304940164089,42.44190788269043,1150000
44224,0.18988402,0.3472169,11750,47,42.0,0.83029205,377955.38,5.688853,-3.8624110221862793,11153.097,8.138370535224675,43.29428720474243,1175000
52974,0.18988621,0.41194123,12000,48,42.0,0.83986795,23193.746,5.6889625,-3.940457344055176,11029.938,8.138370681107045,44.25188851356506,1200000
55885,0.18988551,0.42189097,12250,49,42.0,0.800128,633.6372,5.689043,-3.9150490760803223,10903.63,8.138330754488706,45.125463247299194,1225000
46477,0.18988582,0.33169532,12500,50,42.0,0.833724,752318.7,5.689172,-3.8709607124328613,10786.631,8.138355576992035,46.01686239242554,1250000
54426,0.1898873,0.37066394,12750,51,42.0,0.84980804,160235.08,5.6892457,-3.8422555923461914,10646.14,8.13844524487853,46.97934532165527,1275000
54122,0.18988645,0.39999992,13000,52,41.99,0.81270397,30898.557,5.689362,-3.8854708671569824,10522.54,8.136578557938337,47.849183797836304,1300000
56538,0.18988717,0.3860952,13250,53,42.0,0.838144,21607.584,5.689463,-3.819033145904541,10415.2705,8.138374963998794,48.730165243148804,1325000
