fps,approxkl,policy_entropy,time_elapsed,policy_loss,value_loss,ep_len_mean,true_reward,explained_variance,serial_timesteps,clipfrac,total_timesteps,n_updates,ep_reward_mean
70247,0.0023455431,5.4315505,31.94098472595215,-0.0022296447,0.1670425,57.89,0.050182145,0.6221531629562378,8750,0.021704,875000,35,2.488673611787162
75163,0.0026281143,5.423007,32.729923725128174,-0.0024207882,0.18399134,66.94,0.051027287,0.5606830418109894,9000,0.024843998,900000,36,3.1571784729304637
71832,0.0023564834,5.411498,33.48016405105591,-0.002282386,0.18917201,74.61,0.04995193,0.5201963186264038,9250,0.020696,925000,37,3.2079340540655905
74255,0.0034992173,5.400492,34.26711058616638,-0.00246231,0.19754133,72.25,0.052356664,0.5293663442134857,9500,0.034588,950000,38,3.29683155950137
73560,0.0027724276,5.392506,35.027077198028564,-0.0025521207,0.16322085,74.47,0.053420562,0.6378894150257111,9750,0.023572002,975000,39,3.508113059172861
74584,0.003174089,5.383847,35.78098511695862,-0.0025452024,0.17736438,83.39,0.0550922,0.6088046133518219,10000,0.031607997,1000000,40,3.918562182796231
75055,0.0022580065,5.3775415,36.543418169021606,-0.002184752,0.18109299,75.62,0.055365883,0.658039778470993,10250,0.018672,1025000,41,3.6427539992478732
72087,0.0022386326,5.3746977,37.329975843429565,-0.0021700927,0.19301054,78.63,0.05522272,0.6215104460716248,10500,0.017388,1050000,42,3.88319345812939
68866,0.003175715,5.3674617,38.0937180519104,-0.002448918,0.22099578,80.01,0.056856476,0.5755658149719238,10750,0.032652,1075000,43,4.054141497309866
73454,0.0033032815,5.360288,38.9012451171875,-0.0024918958,0.18959197,87.21,0.05605539,0.6050662994384766,11000,0.034440003,1100000,44,4.259166038637595
73770,0.0027052953,5.3495355,39.66632294654846,-0.0025776073,0.19259308,109.52,0.057014648,0.5939483642578125,11250,0.023812,1125000,45,5.720791137873057
73769,0.0027562522,5.338632,40.40849828720093,-0.0024103324,0.18441461,118.13,0.056722626,0.5816893577575684,11500,0.02342,1150000,46,6.355087184328627
75093,0.0021669413,5.330829,41.14217400550842,-0.002038606,0.18970697,134.41,0.056067627,0.5556446015834808,11750,0.015964,1175000,47,7.16588662657337
75403,0.0026422213,5.324228,41.875497579574585,-0.0019212809,0.23125677,122.85,0.057260077,0.5078550279140472,12000,0.023899999,1200000,48,6.789763966065693
72873,0.0034466337,5.317132,42.61571288108826,-0.0029365346,0.26293498,128.66,0.05694454,0.4201313257217407,12250,0.036275998,1225000,49,7.136876636771194
65117,0.0036038216,5.3125243,43.38809847831726,-0.0023337845,0.22122343,132.59,0.059697896,0.49571090936660767,12500,0.038836,1250000,50,7.537338601607498
77325,0.0028332383,5.3095946,44.23447394371033,-0.001959133,0.22825286,134.78,0.06016506,0.5205290913581848,12750,0.025432,1275000,51,7.68607066672171
73600,0.0026140118,5.30797,44.95888924598694,-0.0022267064,0.29240772,145.11,0.05994855,0.40058910846710205,13000,0.022536,1300000,52,8.50390902519308
66682,0.0033407584,5.306002,45.72443413734436,-0.002369722,0.26574242,154.84,0.06096667,0.4381752014160156,13250,0.032835998,1325000,53,9.159754435768773
71749,0.0033258018,5.3046517,46.50225496292114,-0.0020234818,0.2643993,161.02,0.06055477,0.4040372967720032,13500,0.032464,1350000,54,9.448379679982354
74970,0.002888549,5.3034034,47.25689077377319,-0.0021044468,0.2870426,159.51,0.06088691,0.3857208490371704,13750,0.027123999,1375000,55,9.353833197012081
75243,0.0029082745,5.300641,47.99240446090698,-0.0024460307,0.26122195,151.47,0.05831032,0.48629796504974365,14000,0.026084,1400000,56,8.306208121000163
74077,0.0031101438,5.2986693,48.76702380180359,-0.0025843412,0.27848405,165.54,0.059306566,0.3623254895210266,14250,0.028323999,1425000,57,9.539575968565204
71584,0.003328011,5.2970977,49.54232716560364,-0.0024501798,0.27623028,172.2,0.05909828,0.3934590816497803,14500,0.03024,1450000,58,9.861467476999314
74355,0.0036408447,5.2955704,50.32783913612366,-0.00270505,0.28603122,184.79,0.05989255,0.24052464962005615,14750,0.035496004,1475000,59,10.765604653917963
75035,0.0047915927,5.2960243,51.04893088340759,-0.002966749,0.25747094,175.96,0.06122114,0.4212504029273987,15000,0.055616,1500000,60,10.576404706075483
69187,0.0031355142,5.2924643,51.77471876144409,-0.0026127324,0.25135735,166.62,0.06445857,0.5006320476531982,15250,0.02996,1525000,61,10.365562952458932
74145,0.003659666,5.287882,52.60138392448425,-0.0019898065,0.2752344,176.49,0.06777897,0.45932918787002563,15500,0.036164004,1550000,62,11.682627265863921
72310,0.0041453117,5.2836447,53.33419752120972,-0.0028037704,0.25370672,167.92,0.067096524,0.5384613573551178,15750,0.047612,1575000,63,11.019859929855294
75299,0.0034511131,5.279414,54.09632086753845,-0.0017925249,0.24404486,179.58,0.067693524,0.5508512258529663,16000,0.032364003,1600000,64,11.988807381840125
73607,0.004002451,5.2743587,54.84376382827759,-0.00280499,0.2688271,178.86,0.065562814,0.48259538412094116,16250,0.044312,1625000,65,11.395726437837839
69921,0.0032342183,5.2689714,55.58293604850769,-0.002041303,0.27639228,184.2,0.066850975,0.4344288110733032,16500,0.031620003,1650000,66,12.075728969429802
72260,0.0029799794,5.260429,56.34621810913086,-0.0023503567,0.30722228,193.96,0.062110312,0.3623838424682617,16750,0.02696,1675000,67,11.85152758462058
76186,0.0032917496,5.252202,57.101402282714844,-0.0022050864,0.18686727,218.85,0.06563593,0.50105881690979,17000,0.03082,1700000,68,14.168253672350328
74886,0.003848811,5.2457476,57.8850884437561,-0.002663864,0.26470456,198.13,0.06369141,0.3955942392349243,17250,0.040591996,1725000,69,12.441995746453859
75769,0.002982087,5.2388654,58.63808274269104,-0.002121095,0.17017074,225.85,0.063658126,0.4324039816856384,17500,0.028607998,1750000,70,14.287026964702454
76905,0.0035542897,5.232854,59.379523277282715,-0.0027027286,0.16260922,229.2,0.062843695,0.4766291379928589,17750,0.036312003,1775000,71,14.28142353123536
72070,0.0029821775,5.2300043,60.110427379608154,-0.0018454131,0.21594672,222.32,0.067225166,0.4472962021827698,18000,0.026051998,1800000,72,14.961167071528472
73515,0.003671221,5.2272553,60.84172010421753,-0.002869879,0.22982876,209.54,0.067872584,0.4832494258880615,18250,0.038992,1825000,73,14.163498086911204
71950,0.0032029054,5.219867,61.61491131782532,-0.0021293894,0.2754403,202.13,0.07325799,0.4755450487136841,18500,0.032012,1850000,74,14.780615297863406
68085,0.0039683855,5.2150373,62.37735462188721,-0.0024628849,0.49042988,164.85,0.07388052,0.3459590673446655,18750,0.043588,1875000,75,12.03573075390159
75170,0.0037402431,5.213548,63.14201045036316,-0.00216566,0.45445427,157.23,0.07355391,0.40736305713653564,19000,0.040616,1900000,76,11.451242600601255
71697,0.004394881,5.212,63.89466857910156,-0.0036497302,0.3780659,187.57,0.07241454,0.43411850929260254,19250,0.0513,1925000,77,13.495071987457104
72667,0.003387957,5.2101226,64.6377100944519,-0.0024066295,0.2642057,208.12,0.07412089,0.4737926125526428,19500,0.034243997,1950000,78,15.307515760395326
74254,0.004208119,5.2037573,65.41570043563843,-0.0028787148,0.31793866,199.32,0.073076345,0.42405271530151367,19750,0.047204,1975000,79,14.501177767347754
72043,0.0033176932,5.1954784,66.15690588951111,-0.0025274635,0.26460004,212.69,0.07354762,0.4451557397842407,20000,0.034824,2000000,80,15.557823592099885
70165,0.0033388783,5.1901402,66.90435791015625,-0.0022034952,0.2681188,203.62,0.07517376,0.5110249221324921,20250,0.033124004,2025000,81,15.204086096791952
74214,0.004318024,5.1877255,67.67587518692017,-0.0026962957,0.3916845,189.72,0.07468921,0.353798508644104,20500,0.048536,2050000,82,14.312923983377805
74842,0.0035596774,5.1844854,68.40819573402405,-0.0019053116,0.2487376,221.23,0.07613558,0.389518141746521,20750,0.037684,2075000,83,16.904385565753955
74411,0.0038343393,5.177565,69.14281487464905,-0.0022431489,0.2348741,219.4,0.07208039,0.4880436658859253,21000,0.038852,2100000,84,15.797711994584315
73154,0.0030297842,5.1713295,69.89967179298401,-0.002004522,0.28735206,209.92,0.07510011,0.44172370433807373,21250,0.02552,2125000,85,15.741765970929738
76006,0.003861557,5.1624103,70.65085005760193,-0.0028470994,0.2134382,226.3,0.07342864,0.5235177576541901,21500,0.041108,2150000,86,16.72880929343395
71915,0.0040269205,5.1521044,71.37857484817505,-0.0023492456,0.2261872,221.06,0.075929314,0.5279665887355804,21750,0.044795997,2175000,87,16.704749530872576
74568,0.0039742715,5.1437154,72.11476111412048,-0.002557243,0.28896323,215.78,0.07747596,0.5099747776985168,22000,0.044412,2200000,88,16.633232871484214
75673,0.0031267162,5.134977,72.84564590454102,-0.0022710445,0.32732362,212.42,0.08023104,0.4213005304336548,22250,0.029548,2225000,89,17.200289564986743
60608,0.004241946,5.1269546,73.5865740776062,-0.0020194144,0.25923854,223.43,0.07755175,0.5110650956630707,22500,0.049376,2250000,90,17.372037860499905
73529,0.0036669665,5.1228657,74.43766212463379,-0.0021868288,0.2746563,222.18,0.078952946,0.48227357864379883,22750,0.03768,2275000,91,17.523028374268705
76714,0.0050766906,5.118521,75.20129680633545,-0.0026274263,0.26121166,225.09,0.07738559,0.48945558071136475,23000,0.062804,2300000,92,17.477648527277633
75060,0.0037787198,5.1143827,75.9241783618927,-0.0025411919,0.24656658,223.36,0.08138101,0.5223033428192139,23250,0.040452,2325000,93,18.223590169753408
76256,0.0047714217,5.107177,76.64960384368896,-0.002025088,0.25421932,228.59,0.07934154,0.35782212018966675,23500,0.056359995,2350000,94,18.222082084293252
71825,0.004582083,5.0990205,77.3634626865387,-0.0022534796,0.13662276,235.61,0.07963462,0.6641331315040588,23750,0.055127997,2375000,95,18.73705397161986
76528,0.0034329325,5.0946975,78.10860109329224,-0.0019375735,0.34600025,218.78,0.08424399,0.46291446685791016,24000,0.031796,2400000,96,18.697610229138665
75024,0.004169449,5.0913143,78.860511302948,-0.0024969303,0.5007467,195.33,0.08407763,0.43572860956192017,24250,0.046871997,2425000,97,16.43351152653322
73846,0.0030351891,5.08653,79.59354734420776,-0.0017832905,0.40873212,206.33,0.0838122,0.45595747232437134,24500,0.027496,2450000,98,17.35451575864834
70944,0.004684123,5.0795054,80.33912754058838,-0.0024912055,0.278873,226.81,0.08399446,0.5174051821231842,24750,0.053292,2475000,99,19.10923689857169
72887,0.004386954,5.0716248,81.09420108795166,-0.0020535241,0.33484018,220.93,0.08304006,0.4860728979110718,25000,0.047083996,2500000,100,18.514952810156974
71163,0.0039320653,5.066269,81.83653712272644,-0.0021449649,0.52258444,196.7,0.08215136,0.3132484555244446,25250,0.042472,2525000,101,16.192428524029346
70366,0.005243349,5.0653667,82.57331705093384,-0.0023802693,0.5434331,198.05,0.08162339,0.252308189868927,25500,0.062732,2550000,102,16.230752534657697
