policy_loss,fps,n_updates,approxkl,time_elapsed,clipfrac,total_timesteps,ep_len_mean,policy_entropy,serial_timesteps,ep_reward_mean,true_reward,explained_variance,value_loss
-0.0019272541,57239,36,0.0056680082,36.89421582221985,0.06974,900000,236.99,0.7526817,9000,10.0964304593829,0.04244382,0.9586266539990902,0.03468954
-0.0033549145,56806,37,0.0070955018,37.73175597190857,0.091712,925000,225.51,0.75053775,9250,9.599910110357385,0.042266093,0.9570970870554447,0.037168387
-0.0022615842,56892,38,0.0070841215,38.57925796508789,0.091856,950000,231.58,0.7522539,9500,9.865246289365968,0.042732105,0.9625933021306992,0.028603252
-0.0016694156,56292,39,0.0050705136,39.42500424385071,0.058935992,975000,234.5,0.75391144,9750,10.067277416945945,0.04243072,0.9789696950465441,0.016415907
-0.0023065496,54958,40,0.0053859786,40.27079510688782,0.063752,1000000,244.09,0.75540614,10000,10.404362487432554,0.042105626,0.9791409391909838,0.020038841
-0.0029320763,54319,41,0.0050070276,41.15351462364197,0.056044,1025000,231.33,0.75789005,10250,9.792342851429494,0.04154249,0.9744345620274544,0.018736368
-0.0027177546,56731,42,0.0065119984,42.01457595825195,0.083544,1050000,235.53,0.7590977,10500,10.312230795639799,0.043355606,0.9667928926646709,0.02250987
-0.002713132,58190,43,0.0072617247,42.85721397399902,0.097292,1075000,230.96,0.7592284,10750,9.652935606388201,0.041460644,0.9657740257680416,0.027082285
-0.0030107207,55557,44,0.006444848,43.70772194862366,0.078796,1100000,229.77,0.75905114,11000,9.776235860622565,0.04158506,0.967116441577673,0.024888108
-0.0034222822,55447,45,0.006828502,44.57772493362427,0.08539199,1125000,233.26,0.7585044,11250,9.80480766914212,0.041829616,0.9719319716095924,0.021082317
-0.0025492366,55332,46,0.006575191,45.43952131271362,0.083308,1150000,228.02,0.75757194,11500,9.820859556051083,0.04206815,0.9321874380111694,0.056825
-0.0021335739,57092,47,0.0071532787,46.28894376754761,0.09156401,1175000,231.84,0.7534567,11750,9.957898726372369,0.043011665,0.964322105050087,0.027440414
-0.0016382061,57854,48,0.0077324547,47.1347279548645,0.10256,1200000,237.3,0.7498359,12000,10.360157241752022,0.042972878,0.9639492817223072,0.028089458
-0.0019273954,55687,49,0.006944588,47.970929861068726,0.086492,1225000,237.24,0.74746716,12250,10.201944705470687,0.042789575,0.9811299424618483,0.013891761
-0.00097574276,57078,50,0.005697951,48.82808971405029,0.06982,1250000,245.13,0.744124,12500,10.667515764286545,0.04305967,0.9921962209045887,0.006070885
0.00025985602,55932,51,0.009727304,49.66691613197327,0.1265,1275000,231.63,0.74141055,12750,9.889489566064494,0.041980837,0.9673147313296795,0.026523922
-0.0025274227,58139,52,0.006694729,50.517374992370605,0.085899994,1300000,232.2,0.7387748,13000,9.85498924260286,0.041815035,0.9656021296977997,0.02748327
-0.0026619572,55751,53,0.0048906016,51.359389543533325,0.053664,1325000,221.74,0.7355763,13250,9.554265983438817,0.042614657,0.97352709248662,0.025003204
-0.0017930644,56656,54,0.008745787,52.21591877937317,0.11697199,1350000,239.71,0.72899514,13500,10.518965273379363,0.043310083,0.9654052183032036,0.024499055
-0.0019522735,57759,55,0.009687252,53.07166385650635,0.12104,1375000,240.86,0.72473377,13750,10.396299888127105,0.04310097,0.9626405984163284,0.024921983
-0.0030337141,55718,56,0.0076858765,53.914238691329956,0.099892,1400000,241.19,0.72173524,14000,10.434703384866843,0.04347011,0.9794157799333334,0.013551985
-0.0008066411,57168,57,0.009212325,54.77469325065613,0.12256,1425000,238.03,0.7192998,14250,10.591128594962065,0.044034224,0.9748800378292799,0.018426223
-0.002187481,57053,58,0.0048888945,55.60467791557312,0.055111997,1450000,239.32,0.7184808,14500,10.283426857141148,0.042672206,0.9778003804385662,0.01760498
-0.0014790421,56349,59,0.006618636,56.44813323020935,0.084428,1475000,226.29,0.7142475,14750,9.84771662625999,0.042660665,0.9747814852744341,0.023576876
-0.0028373299,56074,60,0.0102647245,57.28163146972656,0.13790801,1500000,239.18,0.7100323,15000,10.795792589272438,0.044601552,0.9542288593947887,0.03404087
-0.0024338237,55923,61,0.0067784237,58.11434316635132,0.081599995,1525000,232.04,0.7098781,15250,9.997515025850152,0.042587265,0.9647360146045685,0.031470455
-0.0023017148,56570,62,0.005872077,58.973716259002686,0.071348,1550000,237.32,0.71003145,15500,10.452328840216687,0.043544006,0.97547815926373,0.019916182
-0.0025094547,56708,63,0.005500572,59.80968999862671,0.066428,1575000,224.75,0.70726985,15750,9.837212328484856,0.043632574,0.9570734091103077,0.033319265
-0.004167036,55348,64,0.007643225,60.63603711128235,0.089888,1600000,231.46,0.704905,16000,10.177112771516597,0.04388381,0.9454014077782631,0.044673875
-0.00207112,57422,65,0.008000654,61.48088216781616,0.106064,1625000,240.45,0.70451444,16250,10.435738308215077,0.04352069,0.9810865074396133,0.015106079
-0.0026260174,57390,66,0.00512546,62.31772971153259,0.058304,1650000,229.55,0.7045949,16500,9.924147780605107,0.042793717,0.9511327743530273,0.041975796
-0.002715617,57300,67,0.0072834953,63.14503049850464,0.094576,1675000,233.63,0.7055727,16750,10.277967038189818,0.04394388,0.972754530608654,0.024031065
-0.0013299469,58415,68,0.006381462,63.973809480667114,0.080088004,1700000,233.5,0.7070712,17000,10.119796117254872,0.04308103,0.9771268907934427,0.01819592
-0.0030083489,54453,69,0.005973598,64.78929877281189,0.068752,1725000,227.81,0.708103,17250,9.572251584154674,0.04231333,0.9767221789807081,0.020870902
-0.003386293,56024,70,0.0071881153,65.64747881889343,0.089244,1750000,222.38,0.70248324,17500,9.370703039532927,0.042279836,0.9378370679914951,0.052551717
-0.0022915364,56228,71,0.00803626,66.49117660522461,0.101336,1775000,224.41,0.69521534,17750,9.972782018153657,0.043946423,0.9679303653538227,0.02843542
-0.002413713,55561,72,0.00527132,67.34283447265625,0.060767997,1800000,219.61,0.69124687,18000,9.332893759651343,0.04260557,0.9698971342295408,0.030439854
-0.0021465928,54863,73,0.005899196,68.18738126754761,0.072244,1825000,219.08,0.69074035,18250,9.560075571957167,0.04366189,0.9636814966797829,0.031321503
-0.00068565074,55224,74,0.009674522,69.03522109985352,0.12798402,1850000,227.68,0.68835014,18500,9.801130321352394,0.0431591,0.9587061852216721,0.03587125
0.00097981,56604,75,0.011104007,69.88368201255798,0.14797601,1875000,224.12,0.6859413,18750,9.833194667772624,0.043908272,0.9635017663240433,0.02984932
-0.0037079167,56180,76,0.006431829,70.70482635498047,0.078820005,1900000,221.38,0.6849792,19000,9.483278636304858,0.043386515,0.9647142104804516,0.030678857
-0.003226271,50058,77,0.006245637,71.56051635742188,0.07956,1925000,230.76,0.6856642,19250,9.94881083692555,0.04281272,0.9653076566755772,0.029172491
-0.0013504041,57014,78,0.008127638,72.45643615722656,0.103067994,1950000,236.65,0.68610173,19500,10.010905210269438,0.04213167,0.9791404716670513,0.017382944
-0.0031054646,56001,79,0.006174353,73.29753541946411,0.07638,1975000,230.36,0.68491656,19750,9.31007572136823,0.040894896,0.9632541723549366,0.028489977
-0.0022671823,55292,80,0.0077095516,74.13536024093628,0.102968,2000000,230.31,0.68354064,20000,9.751405696966934,0.042073634,0.9564786329865456,0.03463911
-0.0022034165,57010,81,0.0075766006,74.99061727523804,0.085088,2025000,235.93,0.6828088,20250,9.611604098988787,0.04088254,0.9705552142113447,0.019899275
-0.002706414,55338,82,0.007180888,75.83038663864136,0.09283601,2050000,230.83,0.6817438,20500,10.08859383744506,0.04354584,0.9762065932154655,0.018981626
-0.0028059052,54551,83,0.0073336465,76.68946695327759,0.097344,2075000,221.83,0.67637795,20750,9.77682274779654,0.04350282,0.940000619739294,0.05341158
-0.0018176155,55215,84,0.0065407148,77.57148361206055,0.085343994,2100000,225.09,0.6750113,21000,9.521322419857055,0.042314205,0.9159345850348473,0.063315146
-0.0029877147,55249,85,0.0074587213,78.41305136680603,0.098264,2125000,220.73,0.6757348,21250,9.292335039060054,0.041808393,0.925799235701561,0.056384385
-0.0014002876,53955,86,0.009917974,79.25865817070007,0.132612,2150000,225.46,0.6752213,21500,9.721970497353686,0.04265525,0.9447487369179726,0.03939844
-0.0026597255,55822,87,0.005733707,80.112539768219,0.06938,2175000,240.41,0.6728381,21750,10.1442451166283,0.042120732,0.9781556092202663,0.015778156
-0.0031493276,56337,88,0.0061628157,80.96156978607178,0.060380004,2200000,228.28,0.67024404,22000,9.644600287865687,0.042777997,0.9683140926063061,0.027109658
