ep_len_mean,policy_loss,total_timesteps,approxkl,clipfrac,fps,serial_timesteps,explained_variance,ep_reward_mean,value_loss,policy_entropy,time_elapsed,true_reward,n_updates
2.48,-0.017102314,8750,0.017028075,0.2376,2309,8750,0.7143861353397369,-1.613114155381918,0.0098602455,5.6603956,7.944045066833496,-0.65203625,35
2.45,-0.011553826,9000,0.031190295,0.3188,2322,9000,0.8045811355113983,-1.6174228645861148,0.013055528,5.6567793,8.079478025436401,-0.66001135,36
2.35,-0.019028235,9250,0.026959756,0.3024,2309,9250,0.7246648669242859,-1.6321508593857288,0.0113109145,5.6540856,8.216639280319214,-0.68409014,37
2.43,-0.018927302,9500,0.03199476,0.27360004,2349,9500,0.6569923460483551,-1.6205131289362908,0.0089822365,5.654757,8.353024005889893,-0.66805124,38
2.48,-0.016725402,9750,0.047862906,0.3468,2338,9750,0.8884824886918068,-1.6132291367650031,0.003078193,5.6561966,8.487520694732666,-0.6600841,39
2.44,-0.01661028,10000,0.0400058,0.36159998,2360,10000,0.7953585237264633,-1.6190416023135186,0.003876581,5.655364,8.622063875198364,-0.668077,40
2.46,-0.012627763,10250,0.02269403,0.248,2366,10250,0.9152944907546043,-1.6161700804531574,0.0013548983,5.6545,8.75602650642395,-0.6760458,41
2.49,-0.011143408,10500,0.014860088,0.1984,2283,10500,0.9337792173027992,-1.6117832629382611,0.0018727273,5.650185,8.889280557632446,-0.652108,42
2.44,-0.016348016,10750,0.02309173,0.2996,2320,10750,0.9030013233423233,-1.6190602271258832,0.0027780894,5.642713,9.027343511581421,-0.6680609,43
2.48,-0.00085930416,11000,0.036304597,0.3144,2251,11000,0.7826556712388992,-1.6132643766701222,0.0039363643,5.635726,9.163665771484375,-0.6600943,44
2.4,-0.00075884734,11250,0.08054523,0.4084,2206,11250,0.9099732115864754,-1.6249780464172363,0.0018059642,5.6310177,9.302860260009766,-0.6761007,45
2.44,-0.010509263,11500,0.060688425,0.402,2303,11500,0.8745010644197464,-1.6191526524722577,0.0024240087,5.6292725,9.445059776306152,-0.6680984,46
2.36,-0.015412882,11750,0.052661795,0.412,2315,11750,0.8834874182939529,-1.630778092443943,0.0022547194,5.6286426,9.582975625991821,-0.6840563,47
2.46,-0.017998505,12000,0.10204673,0.4716,2348,12000,0.8661341518163681,-1.6162418654561044,0.006339986,5.627101,9.719088315963745,-0.6521361,48
2.49,-0.017609162,12250,0.022146955,0.27,2299,12250,0.6993090808391571,-1.6117566521465778,0.006505894,5.6243153,9.853754758834839,-0.65209764,49
2.5,-0.010600464,12500,0.037036538,0.34960002,2279,12500,0.9535870440304279,-1.6102412569522857,0.0021058712,5.621021,9.991192817687988,-0.6440965,50
2.4,-0.019137789,12750,0.04471536,0.3292,2346,12750,0.9403157532215118,-1.6249067695438861,0.00384955,5.6195745,10.128487825393677,-0.6760461,51
2.45,-0.005507477,13000,0.029915795,0.2912,2210,13000,0.8212669193744659,-1.6176110078394412,0.0037242428,5.6201878,10.264032125473022,-0.65211934,52
2.45,0.0048701447,13250,0.044212,0.38880002,2241,13250,0.8872455060482025,-1.617537446320057,0.0026152674,5.620649,10.405675172805786,-0.6600807,53
2.4,-0.017545762,13500,0.040568955,0.3836,2327,13500,0.8678346574306488,-1.6250335223972798,0.0027487527,5.6203856,10.546267747879028,-0.6761199,54
2.49,-0.018169861,13750,0.08911251,0.3756,2216,13750,0.584355354309082,-1.611864230185747,0.007903437,5.6195097,10.68197226524353,-0.65213954,55
2.43,-0.024832081,14000,0.044214666,0.304,2322,14000,0.6726904213428497,-1.6207656107842923,0.0054285806,5.615896,10.823367834091187,-0.6761384,56
2.39,-0.030322347,14250,0.06444389,0.43719998,2228,14250,0.5396005809307098,-1.626383598446846,0.009455406,5.613817,10.960909128189087,-0.68408483,57
2.4,-0.02825855,14500,0.046750367,0.3172,2339,14500,0.6556500494480133,-1.6252086831629275,0.0076711522,5.6140633,11.102090120315552,-0.67616934,58
2.49,-0.029614914,14750,0.07230044,0.3888,2271,14750,0.5735024511814117,-1.612108460664749,0.009232953,5.6148643,11.23692536354065,-0.6522379,59
2.75,-0.026641678,15000,0.054533802,0.3908,2264,15000,0.4388083219528198,-1.5543857738375664,0.011284227,5.615922,11.37514877319336,-0.5565412,60
2.94,-0.031176398,15250,0.050393008,0.36439997,2282,15250,0.34456777572631836,-1.5266017313301563,0.016668322,5.615079,11.512711524963379,-0.5006258,61
3.17,-0.02253636,15500,0.031451806,0.3148,2278,15500,0.6121608316898346,-1.4932770060002805,0.006708166,5.6144686,11.64891242980957,-0.46083546,62
3.15,-0.022651115,15750,0.040333577,0.3532,2315,15750,0.4557461142539978,-1.496438930630684,0.009673456,5.6122313,11.785441637039185,-0.47680837,63
3.47,-3.7162194e-05,16000,0.051812448,0.3592,2275,16000,0.8215806037187576,-1.4494188794493674,0.003097703,5.609508,11.920155048370361,-0.41284075,64
3.46,-0.007870959,16250,0.061943185,0.43640003,2322,16250,0.7169393599033356,-1.4509901958703995,0.004773819,5.607422,12.057013750076294,-0.4448813,65
3.42,-0.01812022,16500,0.03684749,0.3672,2286,16500,0.7724898606538773,-1.4564986771345139,0.003858487,5.606568,12.191765785217285,-0.42876434,66
3.55,-0.0173486,16750,0.054089636,0.3888,2269,16750,0.8786893486976624,-1.4374263054132461,0.0022311208,5.605983,12.328305006027222,-0.39683425,67
3.67,0.018331707,17000,0.107387066,0.5344,2281,17000,0.8926768898963928,-1.4201619577407838,0.0019905835,5.6075544,12.464900970458984,-0.38893616,68
3.77,-0.0012275324,17250,0.069761574,0.44240004,2228,17250,0.9772114288061857,-1.405470530539751,0.00052320544,5.6088457,12.600616693496704,-0.36492273,69
3.74,0.014877011,17500,0.06909427,0.4468,2273,17500,0.9430309645831585,-1.4098205584287644,0.0010701979,5.609454,12.739918231964111,-0.38887712,70
3.37,-0.010959504,17750,0.045819122,0.39720002,2228,17750,0.886114813387394,-1.4638589638471604,0.0020111627,5.6108103,12.87648630142212,-0.44476166,71
3.45,-0.0065947236,18000,0.038371585,0.36800003,2240,18000,0.8913239017128944,-1.4522428292036056,0.0019063872,5.612834,13.015801429748535,-0.40489143,72
3.44,0.0014578899,18250,0.09344186,0.4348,2369,18250,0.6649971604347229,-1.4540127898752688,0.006134321,5.6141524,13.153443098068237,-0.42892233,73
3.25,-0.011326069,18500,0.033920515,0.29159996,2285,18500,0.8191501498222351,-1.482030390650034,0.0036314316,5.6147203,13.28655195236206,-0.46088105,74
3.26,0.01409954,18750,0.05109621,0.37519997,2277,18750,0.8301959782838821,-1.4804489021003246,0.0032050307,5.6159487,13.422523975372314,-0.46887252,75
3.11,-0.016540358,19000,0.0397224,0.32520002,2321,19000,0.8288741558790207,-1.502419901639223,0.0035224892,5.616089,13.559138774871826,-0.48485667,76
