serial_timesteps,value_loss,total_timesteps,policy_loss,fps,ep_reward_mean,time_elapsed,approxkl,true_reward,explained_variance,policy_entropy,clipfrac,n_updates,ep_len_mean
9250,0.54782534,925000,0.014260913,63701,2.659266275689006,33.006608963012695,1.1236511,0.0816251,0.6344580352306366,5.759327,0.105388,37,18.35
9500,0.5303403,950000,0.0083729625,63924,2.8389046312868595,33.82914686203003,0.07004215,0.08254518,0.6540778875350952,5.7586207,0.1384,38,19.69
9750,0.5500487,975000,0.003053418,64014,2.9506424203515054,34.636446952819824,0.01580964,0.082775235,0.6481579542160034,5.7638626,0.081564,39,20.63
10000,0.53019273,1000000,0.010913206,64700,3.1428103621304033,35.453104734420776,0.039930075,0.083542205,0.6526342630386353,5.766726,0.136744,40,21.99
10250,0.521099,1025000,0.0050312947,62836,2.8010410848259926,36.25792956352234,0.027027357,0.08319971,0.66484335064888,5.764198,0.09479199,41,19.44
10500,0.5113936,1050000,0.01597472,63538,3.1704780907183885,37.081849098205566,0.054979675,0.08368552,0.6735295355319977,5.759143,0.178288,42,22.29
10750,0.49637613,1075000,0.013748715,64463,2.865611824840307,37.90150213241577,0.057736408,0.08334823,0.6819882094860077,5.7560415,0.152424,43,20.03
11000,0.5032926,1100000,0.007411194,63722,3.095334902405739,38.72860884666443,0.03995577,0.08377364,0.6927065253257751,5.751499,0.13856001,44,21.58
11250,0.50357455,1125000,0.009853033,63635,2.979702980145812,39.57782578468323,0.03925521,0.08461713,0.6851922869682312,5.744338,0.140676,45,20.93
11500,0.4913555,1150000,0.0065169046,63354,3.012575400322676,40.408554792404175,0.022109399,0.08450111,0.6992007791996002,5.7337933,0.10397999,46,21.08
11750,0.47934118,1175000,0.0010730431,62173,3.0357654102146627,41.249942779541016,0.013872152,0.08519995,0.71084064245224,5.7275133,0.088832,47,21.11
12000,0.48877993,1200000,0.0056445547,63117,2.859287221133709,42.097951889038086,0.028296534,0.08468099,0.7062577903270721,5.7256975,0.12156799,48,19.94
12250,0.48104578,1225000,0.005704765,63920,3.1776304744184016,42.926655292510986,0.034437094,0.08535087,0.7159139513969421,5.722036,0.126512,49,22.26
12500,0.48665833,1250000,0.012550229,61911,3.1098650912195445,43.75419473648071,0.06964361,0.086039424,0.7249971032142639,5.7239485,0.17163602,50,21.68
12750,0.47896162,1275000,0.0092019085,63547,3.2236556889116765,44.585028409957886,0.02944165,0.08554785,0.7148102521896362,5.727356,0.144072,51,22.38
13000,0.49694148,1300000,0.008915568,52528,3.196776005104184,45.41571021080017,0.027815923,0.08535654,0.7171164751052856,5.728814,0.12496801,52,22.54
13250,0.4849155,1325000,0.0064976616,63740,3.2101962070912125,46.316346883773804,0.02408871,0.08616027,0.7243378460407257,5.7296505,0.117924,53,22.35
13500,0.47391257,1350000,0.0073654824,64013,3.0868615557253363,47.14205527305603,0.029957002,0.08587154,0.7273565232753754,5.7294626,0.139632,54,21.61
13750,0.48603362,1375000,0.0072243167,63082,3.2079477056115864,47.96811556816101,0.021131063,0.086279325,0.7265404164791107,5.728495,0.10438399,55,22.35
14000,0.47543606,1400000,0.0033171016,62806,3.1212432995438575,48.79742956161499,0.014201502,0.08577241,0.7277867496013641,5.7269335,0.08291601,56,21.72
14250,0.45840636,1425000,0.0039974935,62321,3.228219740241766,49.627541303634644,0.023223313,0.08694989,0.7415031492710114,5.727956,0.12386,57,22.44
14500,0.46227136,1450000,0.0028131083,64191,3.663288810104132,50.46281838417053,0.01233154,0.08703727,0.7409266829490662,5.730297,0.078708,58,25.65
