serial_timesteps,value_loss,explained_variance,n_updates,ep_reward_mean,true_reward,policy_entropy,time_elapsed,ep_len_mean,clipfrac,fps,policy_loss,approxkl,total_timesteps
8750,0.29874188,-8.19520092010498,35,0.03485704002776401,-1.8030094,5.3518014,46.06880974769592,2.79,0.02222,52374,-0.002987836,0.0025888942,875000
9000,0.22541137,-6.506582736968994,36,0.02156088216301214,-1.7624438,5.331514,47.13058257102966,2.68,0.025964001,50973,-0.0031462505,0.0027775685,900000
9250,0.179147,-5.154621124267578,37,0.03847669631257304,-1.7186375,5.311601,48.19430088996887,2.88,0.020756,50452,-0.0033831943,0.0024414915,925000
9500,0.13404234,-3.7749462127685547,38,0.02129121298946302,-1.6948689,5.2914248,49.26305031776428,2.47,0.02416,51740,-0.0038594916,0.00275378,950000
9750,0.10747179,-2.833373546600342,39,0.022570504871530374,-1.648637,5.2716575,50.32320690155029,2.64,0.028384,52749,-0.0034040082,0.0030585565,975000
10000,0.08867735,-2.256255865097046,40,0.04144782147777733,-1.6419667,5.2520704,51.367873668670654,2.86,0.031168003,53527,-0.004240037,0.0031434502,1000000
10250,0.077956185,-1.8281033039093018,41,0.03219102578924321,-1.6082647,5.230323,52.43118119239807,2.75,0.037884,52130,-0.004633688,0.0037689772,1025000
10500,0.06565948,-1.3007824420928955,42,0.034175785960583197,-1.575595,5.2079644,53.47402095794678,2.88,0.038196,51372,-0.004253343,0.0037463102,1050000
10750,0.06061369,-1.1234676837921143,43,0.034547571844159394,-1.5746844,5.1857853,54.54228949546814,3.07,0.034408,52369,-0.0042457706,0.0036373052,1075000
11000,0.057580154,-0.94548499584198,44,0.038934445955310364,-1.5410734,5.1644616,55.58563685417175,2.83,0.036796004,46489,-0.004644018,0.0037872125,1100000
11250,0.0515066,-0.750227689743042,45,0.0408893869529129,-1.5339252,5.141961,56.703303813934326,3.11,0.029192,53017,-0.0046323976,0.003265509,1125000
11500,0.048824664,-0.6053893566131592,46,0.043277796930779,-1.508749,5.120179,57.74317026138306,3.11,0.037436,51805,-0.004824158,0.0038204682,1150000
11750,0.04532982,-0.458532452583313,47,0.0344798797239855,-1.4782411,5.09981,58.808401584625244,3.03,0.027388,53284,-0.0040274216,0.0029646163,1175000
12000,0.04135669,-0.3519972562789917,48,0.02404186204264988,-1.4809818,5.079932,59.86222577095032,2.58,0.025356,53095,-0.0038168966,0.002835438,1200000
12250,0.040539168,-0.2851109504699707,49,0.04710761327354703,-1.4837898,5.059662,60.892640590667725,3.45,0.032916002,52809,-0.004748781,0.0033931932,1225000
12500,0.040495187,-0.28176021575927734,50,0.04486418213102297,-1.4548829,5.0393004,61.91932821273804,3.32,0.025944,52570,-0.0042660027,0.0031492263,1250000
12750,0.035593227,-0.14576387405395508,51,0.05447200155108476,-1.4527593,5.0192356,62.95049071311951,2.97,0.040964,42655,-0.0051532346,0.003930698,1275000
13000,0.034383304,-0.07382261753082275,52,0.03630140271070559,-1.4321388,5.001052,64.0671854019165,3.12,0.04484,52993,-0.0042879935,0.004248875,1300000
13250,0.033476137,-0.001330256462097168,53,0.052115850250411315,-1.4186687,4.9819336,65.09550380706787,3.52,0.048108004,53314,-0.0046703243,0.004440955,1325000
13500,0.03275157,-0.0030344724655151367,54,0.03570693741927244,-1.404746,4.962131,66.11267733573914,2.88,0.036656,54878,-0.004452332,0.003725669,1350000
13750,0.03065956,0.07940137386322021,55,0.04969313082368899,-1.3929112,4.942713,67.13616800308228,3.5,0.034148,52863,-0.0042812685,0.0036053627,1375000
14000,0.035670362,-0.024378657341003418,56,0.040457393154210874,-1.3737489,4.923555,68.16740822792053,3.4,0.039052,45579,-0.0052544465,0.0039832215,1400000
14250,0.029971888,0.14703285694122314,57,0.03697861504449975,-1.3649162,4.9043913,69.26959204673767,3.53,0.04212,53015,-0.004669276,0.0040298053,1425000
14500,0.02938199,0.19001662731170654,58,0.05623195486754412,-1.3398428,4.885386,70.2737545967102,4.01,0.041256,52933,-0.0044662263,0.0041247103,1450000
14750,0.028014267,0.2461528182029724,59,0.04699485873861704,-1.3292035,4.866318,71.28005075454712,3.18,0.04242,48936,-0.004689797,0.004085126,1475000
15000,0.02742279,0.26329028606414795,60,0.04344700501031184,-1.3140846,4.8465133,72.349937915802,3.2,0.045592003,51853,-0.0045357924,0.0043275887,1500000
15250,0.027233222,0.2909291982650757,61,0.054104478527551694,-1.3119459,4.827114,73.36303949356079,3.59,0.038551997,55285,-0.004266218,0.003911351,1525000
15500,0.029050637,0.26166796684265137,62,0.02255617733375402,-1.288472,4.808221,74.41065549850464,2.79,0.047164,44970,-0.0048037237,0.00439885,1550000
15750,0.027148237,0.3243895173072815,63,0.037882893720234276,-1.2744079,4.7895765,75.56167840957642,3.7,0.035568,51015,-0.004430624,0.0037488886,1575000
16000,0.025526654,0.35994863510131836,64,0.043615884217315395,-1.2779077,4.7709846,76.59768605232239,3.67,0.047528006,48923,-0.004605723,0.0043804753,1600000
16250,0.024949318,0.3929073214530945,65,0.048073832805166604,-1.263667,4.752437,77.63572144508362,3.69,0.070224,55174,-0.0040672123,0.005839846,1625000
16500,0.025762767,0.39010298252105713,66,0.039865519590530314,-1.2479206,4.734769,78.62458324432373,3.73,0.049076,54456,-0.004212193,0.004509063,1650000
16750,0.02690963,0.37624531984329224,67,0.03821888525029862,-1.240268,4.7172213,79.60321354866028,3.37,0.05076,43864,-0.0042568585,0.0046548746,1675000
17000,0.026407605,0.4027685523033142,68,0.05653442455906742,-1.2255613,4.699916,80.68855690956116,4.1,0.056652002,51428,-0.0032005194,0.0048414837,1700000
17250,0.025533836,0.4333813786506653,69,0.03843455843423726,-1.2181082,4.683568,81.68927097320557,4.02,0.044827998,35949,-0.003922238,0.004247677,1725000
17500,0.025157431,0.4472543001174927,70,0.0676315097447241,-1.2173098,4.666747,82.90313601493835,4.06,0.040616,46775,-0.004260823,0.004000536,1750000
17750,0.025465062,0.4534745216369629,71,0.05171702252926479,-1.1974471,4.6492476,83.94448971748352,3.65,0.052724004,53831,-0.004751491,0.0047480515,1775000
18000,0.024519142,0.48296940326690674,72,0.05063673327502329,-1.1905026,4.632172,84.91972041130066,3.72,0.06996401,53481,-0.0039680777,0.0056734197,1800000
18250,0.025219947,0.483115553855896,73,0.0752205610187957,-1.1792856,4.6160173,85.90172743797302,4.42,0.06552799,40659,-0.003511966,0.0054085064,1825000
18500,0.024478287,0.5096905529499054,74,0.05818660151941003,-1.166227,4.6000376,87.08894348144531,4.12,0.048472002,50990,-0.0041033598,0.004469144,1850000
