approxkl,true_reward,serial_timesteps,time_elapsed,explained_variance,value_loss,ep_len_mean,policy_entropy,n_updates,fps,policy_loss,clipfrac,total_timesteps,ep_reward_mean
0.015080618,0.15558666,9000,7.815852880477905,0.6352287828922272,0.013659671,4.83,5.52563,36,2255,-0.010058144,0.1844,9000,0.7486842317692936
0.0048856707,0.15478504,9250,7.95396614074707,0.600254088640213,0.016025284,4.85,5.519434,37,2217,-0.0063559376,0.0612,9250,0.7525909933680669
0.01727581,0.15558665,9500,8.093771934509277,0.6590045988559723,0.016638588,4.85,5.5110703,38,2288,0.0072524236,0.1872,9500,0.752590978317894
0.016565528,0.15558697,9750,8.229933500289917,0.6759773194789886,0.014798926,4.9,5.50832,39,2319,0.0029442925,0.18720001,9750,0.7623753637215123
0.0057829963,0.15478374,10000,8.364603519439697,0.6302433013916016,0.018190688,4.85,5.505557,40,2332,-0.0049395384,0.0784,10000,0.7525886736670508
0.01116229,0.15398572,10250,8.498025178909302,0.6269205808639526,0.013626717,4.77,5.4966893,41,2231,-0.0066380673,0.13479999,10250,0.7369390705926344
0.011853362,0.15238346,10500,8.636252641677856,0.586683064699173,0.015368688,4.6,5.4891143,42,2208,-0.012529661,0.14959998,10500,0.7036886620521545
0.0101180095,0.15558581,10750,8.775883674621582,0.736472874879837,0.011459297,4.7,5.483693,43,2286,-0.0022961197,0.12079998,10750,0.7232483969070017
0.020205745,0.15558523,11000,8.911569356918335,0.7281653583049774,0.013443845,4.9,5.480935,44,2263,-0.007873287,0.22280002,11000,0.7623688040254638
0.012701605,0.15558618,11250,9.048202753067017,0.7661384344100952,0.011815335,4.9,5.478821,45,2267,-0.009914705,0.14760002,11250,0.7623700145119802
0.010070955,0.15478702,11500,9.184648752212524,0.7714865058660507,0.009266714,4.85,5.478463,46,2253,-0.010517322,0.1292,11500,0.7525944922445342
0.009884136,0.15558726,11750,9.322229623794556,0.7827986031770706,0.00828715,4.93,5.477952,47,2303,-0.0048481794,0.122,11750,0.7682453749049455
0.012758702,0.153986,12000,9.457736253738403,0.7296547293663025,0.010443574,4.8,5.4766283,48,2280,-0.009116859,0.14159998,12000,0.7428154990728945
0.013407131,0.15558709,12250,9.594085216522217,0.8009499907493591,0.007317973,4.83,5.4729714,49,2257,0.0046957913,0.1628,12250,0.7486847361875698
0.010266711,0.15478683,12500,9.786902666091919,0.7757495641708374,0.0083146,4.85,5.4713793,50,1886,-0.008160482,0.12799999,12500,0.7525968493428081
0.009705162,0.1547873,12750,9.946094036102295,0.7809651046991348,0.008129399,4.8,5.4683456,51,1927,-0.0036688116,0.119200006,12750,0.7428182185301557
0.009085624,0.15558703,13000,10.116894006729126,0.8159754425287247,0.0067426125,4.85,5.4640455,52,1787,-0.0018744342,0.111600004,13000,0.7525987203745171
0.015720712,0.15558793,13250,10.28330659866333,0.8294002413749695,0.006222016,4.9,5.460803,53,2359,-0.00583042,0.1628,13250,0.7623785553360358
0.014784209,0.15478733,13500,10.415271043777466,0.8181802034378052,0.0066916468,4.85,5.458586,54,2340,0.0025127209,0.1776,13500,0.7525997724710032
0.017048424,0.1547873,13750,10.548184394836426,0.795954242348671,0.00760438,4.84,5.4565415,55,2343,0.00020804098,0.15760002,13750,0.7506426074355841
0.012670187,0.15558714,14000,10.680773258209229,0.8552713990211487,0.0053621074,4.85,5.4524193,56,2353,0.0036067325,0.1336,14000,0.7525978031288832
0.014857243,0.15478775,14250,10.812580108642578,0.8042902201414108,0.007149356,4.88,5.4493856,57,2284,0.0053524715,0.19079998,14250,0.7584673501178623
0.019608151,0.15478763,14500,10.94912314414978,0.8304582387208939,0.006293277,4.8,5.4438744,58,2358,-0.005583295,0.20840001,14500,0.7428206268511712
0.010898092,0.15558761,14750,11.081786870956421,0.886989913880825,0.004094697,4.85,5.4397726,59,2331,0.002080855,0.136,14750,0.7525998072791844
0.010833125,0.15398633,15000,11.214606761932373,0.7982558310031891,0.0074727996,4.8,5.4375114,60,2373,-0.0060814656,0.14,15000,0.7428168656723574
0.014516609,0.15558788,15250,11.346171617507935,0.866119921207428,0.0048126997,4.83,5.435076,61,2347,0.003320482,0.1716,15250,0.7486859463294968
0.013036798,0.1555882,15500,11.479037761688232,0.8997139781713486,0.0036766208,4.9,5.433429,62,2322,-0.008857698,0.16,15500,0.7623813679628074
0.008253179,0.15478739,15750,11.613010883331299,0.8260770589113235,0.0067446334,4.85,5.4296227,63,2326,-0.0075661032,0.10480001,15750,0.7526005551218986
0.024200562,0.15558805,16000,11.74619722366333,0.8904103860259056,0.0040186555,4.85,5.4227576,64,2315,-0.009894331,0.23719999,16000,0.7525992826325819
0.019174913,0.15558782,16250,11.880505800247192,0.8617935478687286,0.00509335,4.9,5.4168773,65,1946,-0.003786282,0.20679998,16250,0.7623809028882533
0.0077968515,0.15558775,16500,12.035490036010742,0.9120928347110748,0.0032300826,4.9,5.4101276,66,2342,-0.0034982008,0.10720001,16500,0.7623802481219173
0.0140484255,0.1547879,16750,12.168696403503418,0.9046033695340157,0.0035793693,4.85,5.4039907,67,2346,-0.010245059,0.1672,16750,0.7526010177517309
0.020643141,0.15558837,17000,12.301498651504517,0.9083113297820091,0.0035172687,4.89,5.398756,68,2338,-0.013598949,0.23159997,17000,0.7604263210156933
0.010463786,0.15558726,17250,12.434560775756836,0.9244875088334084,0.002709806,4.9,5.3964663,69,2338,-0.006147583,0.1408,17250,0.7623791489517316
0.007771585,0.15558796,17500,12.567333698272705,0.9351188838481903,0.0024401809,4.9,5.395379,70,2272,-0.0060550785,0.110800005,17500,0.7623805710906163
0.00934928,0.15398726,17750,12.703712224960327,0.8353625684976578,0.028697181,4.84,5.3904243,71,2294,-0.011314808,0.1104,17750,0.7506443288130685
0.015888324,0.1547875,18000,12.838557243347168,0.7629138827323914,0.015923638,4.75,5.38358,72,2354,-0.007239102,0.1896,18000,0.733039954113774
0.011944723,0.15558796,18250,12.971045970916748,0.8495359271764755,0.0143947555,4.85,5.379655,73,2324,0.0068170144,0.1364,18250,0.7526004035631195
0.012009804,0.15558764,18500,13.104493618011475,0.7818833589553833,0.021409456,4.9,5.378192,74,2278,-0.0045016618,0.13000001,18500,0.762380143259652
0.022518076,0.15558797,18750,13.240469455718994,0.8551641553640366,0.011112912,4.9,5.3759575,75,2368,0.0036531084,0.224,18750,0.7623802345991134
