ep_reward_mean,value_loss,clipfrac,policy_loss,approxkl,n_updates,explained_variance,true_reward,ep_len_mean,time_elapsed,serial_timesteps,fps,total_timesteps,policy_entropy
0.9665172309521586,0.059147216,0.1828,-0.015936118,0.014373814,36,0.2915658950805664,0.15729333,6.21,7.8791608810424805,9000,2276,9000,5.300357
0.9834314374811948,0.063908175,0.1196,-0.014802679,0.008829007,37,0.2747768759727478,0.15650898,6.3,8.014576435089111,9250,2236,9250,5.289748
1.0376591392606498,0.05318725,0.1868,-0.018288713,0.01302251,38,0.3420789837837219,0.15808801,6.59,8.154134511947632,9500,2208,9500,5.2808576
1.0973394741676747,0.051160295,0.13960001,-0.016506322,0.010900451,39,0.3886311650276184,0.15888876,6.91,8.292048692703247,9750,2269,9750,5.2736783
1.1273303274996578,0.04892881,0.13000001,-0.011282615,0.010234607,40,0.41411739587783813,0.15970661,7.07,8.427517414093018,10000,2358,10000,5.2669735
1.090032562687993,0.05219406,0.194,-0.02337702,0.014163288,41,0.3806338906288147,0.15810077,6.87,8.55858826637268,10250,2265,10250,5.261211
1.0488173882011325,0.045300502,0.1312,-0.020298947,0.012266417,42,0.4426696300506592,0.1556586,6.65,8.694026231765747,10500,2281,10500,5.254057
1.024491917816922,0.051918447,0.056799997,-0.0148599865,0.005285586,43,0.3894152045249939,0.15889844,6.52,8.828853368759155,10750,2296,10750,5.245565
1.0470463174767792,0.051137783,0.0972,-0.013740128,0.007817172,44,0.37326580286026,0.1589307,6.64,8.963212966918945,11000,2261,11000,5.2351465
1.1497878444194793,0.038536444,0.116,-0.012843323,0.008152885,45,0.5454088449478149,0.16205454,7.19,9.099664211273193,11250,2171,11250,5.224723
1.1852331393957138,0.038136628,0.23119998,-0.018891068,0.020414751,46,0.5669938623905182,0.16048002,7.38,9.240137338638306,11500,2271,11500,5.2207685
1.177608549958095,0.037250467,0.1612,-0.01758048,0.012691637,47,0.5681128203868866,0.15886761,7.34,9.374767541885376,11750,2182,11750,5.2179017
1.1216358709614724,0.044889208,0.1788,-0.016232098,0.012582639,48,0.4821893572807312,0.15889682,7.04,9.514416456222534,12000,2213,12000,5.2136984
1.1327838176395744,0.034502745,0.1264,-0.01354946,0.009213852,49,0.5991522967815399,0.16124296,7.1,9.652599573135376,12250,2283,12250,5.2077527
1.1496504721418024,0.038439937,0.17240001,-0.019388387,0.012199258,50,0.55490642786026,0.15969025,7.19,9.787273406982422,12500,2257,12500,5.201449
1.1627703658025712,0.031479936,0.2092,-0.022259807,0.020362865,51,0.6353247761726379,0.15970355,7.26,9.92323637008667,12750,2208,12750,5.194167
1.1497850903030484,0.029132787,0.1244,-0.014699814,0.009819746,52,0.65818852186203,0.1604989,7.19,10.061084032058716,13000,2243,13000,5.1887226
1.162931594187394,0.03250401,0.08,-0.014922989,0.006395153,53,0.61264768242836,0.16051166,7.26,10.197033643722534,13250,2269,13250,5.1867204
1.2077658080961555,0.025781576,0.22839999,-0.015976286,0.016639005,54,0.7019712924957275,0.16209577,7.5,10.332164287567139,13500,2245,13500,5.1848583
1.2191699048690499,0.023997778,0.0648,-0.011894638,0.0056416467,55,0.7154775261878967,0.16131662,7.55,10.46820330619812,13750,2300,13750,5.1817713
1.2433850284293293,0.0204747,0.1208,-0.013651924,0.008307556,56,0.7333747744560242,0.16207968,7.68,10.603168249130249,14000,2203,14000,5.1751146
1.252716478612274,0.018524121,0.12799999,-0.009251841,0.009005845,57,0.777996376156807,0.16209547,7.73,10.74198317527771,14250,2250,14250,5.1725745
1.2432848706655204,0.01769415,0.1732,-0.014560215,0.013528496,58,0.7915154248476028,0.1612775,7.68,10.87842869758606,14500,2195,14500,5.168
1.2452048090659082,0.010755445,0.1536,-0.0097184675,0.01101652,59,0.8684419542551041,0.16209812,7.69,11.017265796661377,14750,2343,14750,5.163564
1.248909473605454,0.014237696,0.07,-0.01279528,0.0055632433,60,0.8253935426473618,0.16208084,7.71,11.148784399032593,15000,2204,15000,5.162631
1.2545498240552844,0.012509385,0.1276,-0.01313824,0.008209339,61,0.8449820727109909,0.16210224,7.74,11.287757396697998,15250,2264,15250,5.163787
1.2582971831876784,0.010023435,0.1056,-0.010308281,0.00795429,62,0.8752547651529312,0.16209444,7.76,11.422890424728394,15500,2187,15500,5.1613393
1.2154084582068025,0.01417399,0.086399995,-0.012475038,0.00696198,63,0.8365864604711533,0.15971582,7.53,11.562182903289795,15750,2190,15750,5.1552896
1.219128140481189,0.0073923348,0.1652,-0.01366812,0.011124066,64,0.9125103875994682,0.16209409,7.55,11.70151424407959,16000,2160,16000,5.1531825
1.2135329727828503,0.005265258,0.0712,-0.006257815,0.006103728,65,0.9344282001256943,0.16210212,7.52,11.84232473373413,16250,2234,16250,5.150796
1.2284558338765055,0.012761312,0.1044,-0.016215147,0.009244863,66,0.8416736423969269,0.16050392,7.6,11.979376077651978,16500,2333,16500,5.1484594
1.2284601288475097,0.0038067498,0.21199998,-0.01316448,0.013307524,67,0.9536545239388943,0.16209628,7.6,12.11193585395813,16750,2311,16750,5.1464453
1.2303379526361824,0.002510741,0.13640001,-0.0041881762,0.008853007,68,0.967991515994072,0.16210306,7.61,12.244760036468506,17000,2324,17000,5.146441
1.2246878059301525,0.014072517,0.080800004,-0.020825477,0.010493489,69,0.809780091047287,0.16049506,7.58,12.376843452453613,17250,2191,17250,5.147706
1.2135199397057295,0.011028742,0.1188,-0.01715516,0.008592105,70,0.8579388558864594,0.16130887,7.52,12.515773057937622,17500,2301,17500,5.145943
1.2077477826643734,0.0073193163,0.13159999,-0.0124895815,0.008302595,71,0.9132924526929855,0.1612952,7.5,12.65001630783081,17750,2209,17750,5.1386085
1.2191058750543744,0.009381483,0.055200003,-0.012196669,0.0055978172,72,0.8824407681822777,0.16129126,7.55,12.78825855255127,18000,2191,18000,5.131966
1.2209488837048412,0.0070030554,0.20840001,-0.015511757,0.017413374,73,0.9163045287132263,0.16129959,7.56,12.92678427696228,18250,2227,18250,5.1280627
1.192809408083558,0.012905304,0.0864,-0.015850656,0.0070275636,74,0.8452528864145279,0.1597135,7.42,13.06397795677185,18500,2304,18500,5.1246367
1.162932647811249,0.008126436,0.1936,-0.010988956,0.014737141,75,0.9045312106609344,0.15970238,7.26,13.197038173675537,18750,2218,18750,5.11905
1.1779000306874514,0.0011805905,0.1688,-0.015208079,0.01206237,76,0.9832732491195202,0.16210552,7.34,13.334780931472778,19000,2287,19000,5.1149225
1.2097734707966448,0.00172318,0.1112,-0.008680197,0.0078249015,77,0.9782653469592333,0.16210149,7.5,13.469085454940796,19250,1824,19250,5.111436
1.25835367645137,0.0028521824,0.1284,-0.012017176,0.008850597,78,0.962135873734951,0.16209814,7.76,13.651548862457275,19500,1698,19500,5.1055517
1.2583779762033374,0.00054209,0.304,-0.0080838585,0.023520114,79,0.9935938278213143,0.16210736,7.76,13.824474096298218,19750,2208,19750,5.1023536
1.2583968504332006,0.0069356984,0.1188,-0.01554974,0.009758049,80,0.9113839492201805,0.16211005,7.76,13.962151765823364,20000,2270,20000,5.0982413
1.2584254091512412,0.0029614135,0.204,-0.013347347,0.014837223,81,0.9646567702293396,0.16210876,7.76,14.097103118896484,20250,2263,20250,5.0956063
1.2584100982919335,0.0023394548,0.0456,-0.016027672,0.004807832,82,0.968687891960144,0.16210307,7.76,14.232926845550537,20500,2291,20500,5.0952697
1.265866648023948,0.0049759513,0.17,-0.014316814,0.0143958805,83,0.9302465170621872,0.162099,7.8,14.366557598114014,20750,2279,20750,5.091109
1.2583710531610997,0.002324509,0.097600006,-0.017042626,0.008973695,84,0.9678038693964481,0.16210245,7.76,14.501123905181885,21000,2270,21000,5.0880795
1.2583838516194374,0.0055552814,0.106800005,-0.019126829,0.010315272,85,0.9346080124378204,0.16210784,7.76,14.636771202087402,21250,2271,21250,5.082716
1.2583798493538052,0.0039354046,0.0824,-0.010058969,0.0069125714,86,0.9515693485736847,0.16209775,7.76,14.771615743637085,21500,2343,21500,5.07825
1.2602255497407169,0.0018635629,0.081599995,-0.011287848,0.007984123,87,0.9743994846940041,0.1620908,7.77,14.903003454208374,21750,2298,21750,5.0743885
1.2676673760265111,0.0072535463,0.20279999,-0.014469216,0.014638801,88,0.9050315842032433,0.16209842,7.81,15.036506414413452,22000,2279,22000,5.068739
1.258328585876152,0.004514145,0.1068,-0.014969325,0.0104237925,89,0.9448169991374016,0.16209884,7.76,15.170959234237671,22250,2210,22250,5.061194
1.2583481034077704,0.001615954,0.098000005,-0.012688381,0.0072990903,90,0.9809085316956043,0.16209833,7.76,15.308531284332275,22500,2342,22500,5.055457
1.2677001485973596,0.0032328789,0.21,-0.01872447,0.0153217735,91,0.9590713009238243,0.16210379,7.81,15.440651655197144,22750,2267,22750,5.051493
1.2452926916535945,0.009408914,0.1708,-0.0109356595,0.017617267,92,0.8802690878510475,0.16130237,7.69,15.576032638549805,23000,1642,23000,5.051036
1.2434538538474589,0.0043383627,0.3004,-0.016919406,0.028441232,93,0.9500961452722549,0.1621164,7.68,15.753130674362183,23250,2288,23250,5.05285
1.2453226226754486,0.002264406,0.25599998,-0.013356471,0.019025728,94,0.9727533757686615,0.16210122,7.69,15.88716435432434,23500,2225,23500,5.0553675
1.2545976639352738,0.0016373511,0.16800001,-0.0111118825,0.01165736,95,0.9771828763186932,0.16209084,7.74,16.02427101135254,23750,2299,23750,5.0598736
1.263960615694523,0.0008247842,0.13399999,-0.00986206,0.009152247,96,0.9911526767536998,0.1621038,7.79,16.158367156982422,24000,2283,24000,5.061938
1.2583470110315829,0.001515574,0.27799997,-0.0108927805,0.02298868,97,0.9799122009426355,0.16210023,7.76,16.292744874954224,24250,2286,24250,5.0631
1.2434010088816285,0.0040104194,0.1852,-0.014225587,0.013996097,98,0.9509281031787395,0.16129962,7.68,16.427114725112915,24500,2209,24500,5.062968
