approxkl,policy_loss,clipfrac,fps,value_loss,time_elapsed,ep_reward_mean,serial_timesteps,n_updates,ep_len_mean,policy_entropy,explained_variance,total_timesteps,true_reward
309755.9,0.08465485,0.798592,7562,3500.2488,0.0012750625610351562,0.0,250,1,0.0,5.67524,-70747.6640625,25000,-0.011821157
2395.8325,0.4419252,0.888072,38513,612.5139,4.928576707839966,0.0,500,2,0.0,5.67157,-2295936.5,50000,-0.009549287
25352.197,0.31035772,0.871904,44942,118.37689,7.152977228164673,0.0,750,3,0.0,5.6696444,-985432.4375,75000,-0.009517734
