policy_entropy,n_updates,true_reward,approxkl,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean,clipfrac,policy_loss,time_elapsed,explained_variance,total_timesteps,fps
5.2681403,36,0.15962583,0.015248354,9000,0.10355751,6.13,0.95636757905595,0.20439999,-0.027602997,7.848791599273682,0.16905122995376587,9000,2160
5.2598004,37,0.14939958,0.0152413575,9250,0.10073711,5.73,0.8816232019197195,0.18320002,-0.0180335,7.991990804672241,0.19255280494689941,9250,2261
5.2517977,38,0.15729278,0.01333378,9500,0.098143384,5.83,0.9005337813962251,0.1668,-0.021430654,8.128068923950195,0.1503220796585083,9500,2311
5.2450156,39,0.15812792,0.012682738,9750,0.09459022,6.21,0.9717465222161263,0.1684,-0.019389655,8.261335372924805,0.2293109893798828,9750,2260
5.2393217,40,0.15962027,0.009966613,10000,0.09481559,6.79,1.0802097711246461,0.12240001,-0.016599745,8.397396326065063,0.25830984115600586,10000,2298
5.2328057,41,0.1589156,0.008155293,10250,0.09692233,6.72,1.0672604488395154,0.112,-0.021890854,8.531723260879517,0.2580867409706116,10250,2190
5.224881,42,0.16443335,0.011441519,10500,0.083416015,7.29,1.1740190967358648,0.1396,-0.023181636,8.674710035324097,0.3686601519584656,10500,2183
5.218135,43,0.16366562,0.013835872,10750,0.09032446,7.59,1.2324335266835988,0.1736,-0.016474746,8.813462018966675,0.28613656759262085,10750,2214
5.2089586,44,0.16522646,0.015446849,11000,0.08391752,8.19,1.344863506462425,0.2168,-0.016858902,8.952414512634277,0.3598148226737976,11000,2250
5.2026143,45,0.16364102,0.014876023,11250,0.08506282,8.1,1.3279453096073122,0.1604,-0.020359758,9.08808422088623,0.336564838886261,11250,2283
5.1957626,46,0.16282703,0.012791815,11500,0.07981593,8.21,1.3483881339617074,0.1792,-0.022106646,9.22307538986206,0.38968944549560547,11500,2094
5.1907554,47,0.16524334,0.013290527,11750,0.07000487,8.18,1.342889440190047,0.14840001,-0.013197355,9.368951559066772,0.45313650369644165,11750,2123
5.186187,48,0.1668106,0.010710991,12000,0.06719717,8.36,1.376624062852934,0.1396,-0.013932472,9.511950016021729,0.49772167205810547,12000,2244
5.1835833,49,0.16364734,0.010578857,12250,0.09596323,8.47,1.3972531114704907,0.1252,-0.01761297,9.648021697998047,0.3149310350418091,12250,2187
5.180251,50,0.16522199,0.014243886,12500,0.073184446,8.55,1.412253339793533,0.1688,-0.012648341,9.788043737411499,0.4597116708755493,12500,2210
5.1783514,51,0.16680512,0.014852496,12750,0.06727618,8.75,1.4496725484449415,0.1792,-0.015239688,9.926588773727417,0.49851763248443604,12750,2205
5.1748314,52,0.16678011,0.011365427,13000,0.06524015,8.74,1.447753606112674,0.1504,-0.022293154,10.065199375152588,0.5274523198604584,13000,2246
5.1668234,53,0.16599846,0.0068949116,13250,0.065248154,8.95,1.4870271413121372,0.092800006,-0.010878328,10.201005458831787,0.5409388542175293,13250,2288
