ep_len_mean,policy_entropy,time_elapsed,fps,value_loss,serial_timesteps,policy_loss,total_timesteps,approxkl,n_updates,true_reward,clipfrac,ep_reward_mean,explained_variance
0.99,5.636997,8.11607313156128,2195,0.061072707,8750,0.015314391,8750,0.0767361,35,-0.004774731,0.4324,-0.0047268064040690665,-63593.2265625
0.99,5.639533,8.26415729522705,2279,0.01936101,9000,-0.0007888159,9000,0.07257571,36,-0.0047749807,0.38519996,-0.004726809598505497,-733250.9375
0.99,5.6406336,8.408782243728638,2261,0.01699495,9250,0.0024536848,9250,0.1756993,37,-0.0047751614,0.45880002,-0.0047268082713708285,-1212723.375
0.99,5.6423826,8.55417275428772,2213,0.0026151966,9500,-0.0032598432,9500,0.20371215,38,-0.004774072,0.3748,-0.004726805496029556,-114971.1953125
0.99,5.6416736,8.70191216468811,2129,0.00037945845,9750,0.005225197,9750,0.043692745,39,-0.004775377,0.39240003,-0.0047268093284219504,-5366.78173828125
0.99,5.642056,8.85417652130127,2189,0.0016825596,10000,-0.011769869,10000,0.16871694,40,-0.0047749006,0.4048,-0.004726806380786002,-16504.4296875
0.99,5.644183,9.003140449523926,2157,0.011936901,10250,-0.018257447,10250,2.5601897,41,-0.0039751236,0.62000006,-0.004726807456463576,-183.30352783203125
0.99,5.6474733,9.153119087219238,2214,0.012938756,10500,-0.017433718,10500,2.3858476,42,-0.00477414,0.6516,-0.004724146048538387,-36583.96484375
0.99,5.651409,9.301239728927612,2176,0.020461444,10750,0.025419097,10750,0.09399803,43,-0.0047735614,0.538,-0.004724194929003715,-211295.65625
0.99,5.6551237,9.45085072517395,2174,0.012580191,11000,-0.005493763,11000,0.2023308,44,-0.0039738887,0.5104,-0.004726850031875074,-15.37263298034668
0.99,5.655693,9.600469589233398,2195,0.012899834,11250,-0.0015786983,11250,0.06897021,45,-0.0047732033,0.46800002,-0.0047268447047099475,-538010.9375
0.99,5.6536856,9.750699996948242,2159,0.0018181717,11500,-0.008642692,11500,0.055627454,46,-0.0039741807,0.4644,-0.004726814907044173,-6.069885730743408
0.99,5.649478,9.901724815368652,2201,0.0011308439,11750,-0.010619234,11750,0.105041645,47,-0.0039751204,0.39159998,-0.0047269039601087574,-4.707783222198486
0.99,5.6496434,10.050917863845825,2133,0.02065218,12000,-0.0023778784,12000,5.810234,48,-0.0023736644,0.5716,-0.004724272438324988,-17.858631134033203
0.99,5.648108,10.203470706939697,2104,0.0066551776,12250,-0.019516217,12250,0.3099238,49,-0.00477399,0.2828,-0.004724145820364356,-351308.625
0.99,5.6438646,10.357931137084961,2136,0.008744992,12500,-0.005770196,12500,0.10332382,50,-0.0039738924,0.40640002,-0.004724151222035289,-46.47667694091797
0.99,5.6418624,10.51137661933899,2136,0.004417669,12750,-0.024701681,12750,0.54303116,51,-0.0039740903,0.5236,-0.004724156139418483,-20.986120223999023
0.99,5.639495,10.66381549835205,2141,0.012426689,13000,-0.011573451,13000,0.11359594,52,-0.004774372,0.5,-0.004724147459492087,-81045.9140625
0.99,5.63798,10.81537127494812,2138,0.009490729,13250,-0.003013909,13250,0.076299034,53,-0.0047737015,0.47400004,-0.004726835028268397,-71966.6875
0.99,5.635983,10.967379093170166,2200,0.004451482,13500,-0.007372462,13500,0.030254051,54,-0.0047734766,0.3132,-0.0047241867566481235,-55216.93359375
0.99,5.6318884,11.115228414535522,2212,0.004767266,13750,-0.0032604565,13750,0.056060094,55,-0.003974095,0.3428,-0.004724153312854469,-7.0702362060546875
0.99,5.626274,11.262490510940552,2306,0.006222804,14000,-0.008774826,14000,0.053391945,56,-0.0047732927,0.37799996,-0.004726816131733358,-69526.8359375
0.99,5.624313,11.405031681060791,2259,0.02460522,14250,-0.010577119,14250,0.07197301,57,-0.003973237,0.47920004,-0.0047241650521755215,-1366.2093505859375
0.99,5.6219,11.550389766693115,2254,0.012702365,14500,-0.010104207,14500,0.022082096,58,-0.004775156,0.24440002,-0.0047268651286140086,-485606.125
0.99,5.618916,11.696475505828857,2163,0.009114267,14750,-0.013703598,14750,0.017721485,59,-0.0047758883,0.1916,-0.00472419451456517,-430527.90625
0.99,5.619642,11.847122430801392,2258,0.004403294,15000,-0.010270255,15000,0.095326684,60,-0.004774561,0.5568,-0.004727235184982419,-116415.5390625
0.99,5.620219,11.993236064910889,2207,0.0072299093,15250,-0.012805603,15250,0.052533317,61,-0.004775412,0.31879997,-0.004726917082443834,-561076.4375
0.99,5.62002,12.141711473464966,2258,0.052909106,15500,-0.0048598666,15500,0.15808061,62,-0.0047732927,0.6032001,-0.004724338962696493,-1329131.0
0.99,5.6207623,12.287440776824951,2188,0.054033447,15750,-0.0040052654,15750,0.074340075,63,-0.004776193,0.39319998,-0.004725095978938043,-377784.3125
0.99,5.618169,12.437318801879883,2226,0.0137693435,16000,0.00899346,16000,0.08536734,64,-0.0047746953,0.4824,-0.004726853328756988,-6757.994140625
0.99,5.6117105,12.585580110549927,2189,0.024703845,16250,-0.0070340345,16250,0.1644328,65,-0.0047751237,0.59040004,-0.004724243665114045,-337635.96875
0.99,5.6085143,12.735508680343628,2251,0.027097845,16500,-9.658048e-05,16500,0.028741468,66,-0.0047760336,0.30240002,-0.00472686025314033,-41389.65234375
