time_elapsed,total_timesteps,ep_len_mean,true_reward,serial_timesteps,approxkl,fps,policy_entropy,value_loss,ep_reward_mean,explained_variance,n_updates,policy_loss,clipfrac
33.575438022613525,900000,17.13,0.14731513,9000,5421626.5,53653,5.6758237,44166.21,3.3548472987115385,-3.40031099319458,36,0.33156708,0.83562803
34.468865394592285,925000,16.33,0.14748289,9250,17458412.0,53659,5.6758237,41908.32,3.198587972521782,-3.4235353469848633,37,0.33143753,0.84218407
35.3512806892395,950000,17.11,0.14747362,9500,7747731.0,53637,5.6758237,40300.89,3.3502954922616484,-3.7036590576171875,38,0.33115888,0.8374319
36.23056650161743,975000,16.26,0.14731395,9750,5168540.0,55118,5.6758237,38459.953,3.183817988336086,-3.8069305419921875,39,0.32702205,0.836036
37.091434478759766,1000000,15.56,0.14731745,10000,1509796.4,55369,5.6758237,35875.633,3.046793442964554,-3.845688819885254,40,0.35573447,0.82902
37.94615054130554,1025000,16.72,0.14748241,10250,17761814.0,53800,5.6758237,35601.46,3.2745424926280977,-3.6569466590881348,41,0.32024416,0.847752
38.82714605331421,1050000,14.32,0.1472357,10500,22713508.0,55240,5.6758237,35434.81,2.8030012422800064,-4.597283840179443,42,0.32761034,0.85045993
39.693361043930054,1075000,14.69,0.1471601,10750,6634854.5,52281,5.6758237,32075.287,2.8763092072308063,-4.414968013763428,43,0.33520174,0.842212
40.58850979804993,1100000,14.8,0.14748351,11000,13117296.0,55020,5.6758246,32913.438,2.8970130598545074,-4.5902485847473145,44,0.32901388,0.84533995
41.46254587173462,1125000,15.61,0.14748144,11250,55502470.0,53106,5.675826,31152.879,3.0565315203368666,-4.2785234451293945,45,0.3335235,0.85131204
42.347230195999146,1150000,15.93,0.14731279,11500,104316930.0,53766,5.6758265,29989.943,3.11915276825428,-4.0512471199035645,46,0.33132166,0.8482
43.22548270225525,1175000,14.73,0.14748605,11750,306693820.0,49108,5.6758265,30193.225,2.883105992078781,-4.672465801239014,47,0.32108492,0.85713595
44.174994230270386,1200000,15.15,0.14739697,12000,12013918.0,54702,5.6758265,28187.332,2.9658979377150536,-4.303471088409424,48,0.3182687,0.84401596
45.0575213432312,1225000,15.82,0.14748164,12250,3749484.8,53375,5.6758265,27370.193,3.0973212684690954,-4.584485054016113,49,0.3438471,0.83094406
45.94262218475342,1250000,15.07,0.14740181,12500,1055140030.0,53540,5.6758265,26233.488,2.949654220491648,-4.720580577850342,50,0.33120686,0.8526119
46.81800961494446,1275000,15.55,0.14748265,12750,45540460.0,55004,5.6758265,26105.512,3.044457793831825,-4.885413646697998,51,0.3170927,0.85331595
47.68472385406494,1300000,14.45,0.147483,13000,2437985000.0,54779,5.6758265,25164.15,2.828231121152639,-5.412755489349365,52,0.34602225,0.8615681
48.55830407142639,1325000,16.24,0.14739887,13250,66730710.0,55357,5.6758265,24291.215,3.1803176954388617,-5.024104595184326,53,0.31604347,0.86018
49.42229461669922,1350000,17.39,0.14731717,13500,722485440.0,54007,5.6758265,23086.035,3.4060159434378146,-4.278447151184082,54,0.32693282,0.8537081
50.32547736167908,1375000,16.14,0.14740065,13750,38235464.0,55985,5.675827,23402.863,3.160945918560028,-4.835577487945557,55,0.32126436,0.854496
51.187987089157104,1400000,16.85,0.14722717,14000,373448930.0,54453,5.675827,22188.244,3.300227659344673,-4.320785999298096,56,0.34305015,0.854764
52.06166434288025,1425000,17.7,0.14714484,14250,426986780.0,54497,5.675827,22127.373,3.467010124772787,-4.4811177253723145,57,0.32968792,0.854376
52.93219351768494,1450000,18.41,0.14714117,14500,47935240.0,54983,5.6758265,22885.15,3.60555334970355,-4.943331718444824,58,0.32798082,0.84834796
53.80955171585083,1475000,17.71,0.14714688,14750,23057470.0,49302,5.6758265,23684.855,3.4691676653921606,-5.57996129989624,59,0.3315156,0.843544
54.77457284927368,1500000,18.17,0.14714293,15000,1802246.4,47489,5.675827,24110.54,3.559231570959091,-5.14874267578125,60,0.35221663,0.82453996
55.706613302230835,1525000,17.07,0.14730848,15250,6885007.0,54527,5.675827,24219.545,3.3428175963461397,-6.569178581237793,61,0.33577156,0.84117204
56.58078646659851,1550000,18.56,0.14714311,15500,22148644.0,53487,5.675827,23434.09,3.63571031793952,-5.09883975982666,62,0.39323187,0.8385
57.457284450531006,1575000,17.01,0.14722788,15750,7672470.5,54089,5.675827,23931.957,3.3310524606704712,-6.416623115539551,63,0.3360725,0.840816
58.344780921936035,1600000,17.42,0.14747424,16000,19709932.0,53796,5.675828,23975.799,3.411568498015404,-6.828990936279297,64,0.32632202,0.8494881
59.218724727630615,1625000,17.33,0.14722876,16250,302450200000.0,55701,5.675831,23649.707,3.3938586588203905,-6.37020206451416,65,0.35862345,0.864756
60.09234809875488,1650000,18.02,0.14591025,16500,8230087700.0,52237,5.675827,23495.285,3.52974098905921,-4.241647720336914,66,0.32000953,0.86718404
60.973671674728394,1675000,16.6,0.14534013,16750,175348000.0,53782,5.675827,23122.12,3.25217809766531,-4.035187721252441,67,0.33025584,0.852204
61.852795124053955,1700000,18.08,0.14574575,17000,11934796.0,51752,5.67583,22599.582,3.5417057520151136,-4.067996978759766,68,0.319856,0.819856
62.75426173210144,1725000,19.99,0.14541605,17250,16180499.0,54928,5.675834,24497.418,3.9180873623490333,-2.9670305252075195,69,0.28954995,0.818472
63.65682816505432,1750000,18.55,0.14582975,17500,92326904.0,53430,5.675834,20856.684,3.6348665156960487,-3.490281105041504,70,0.35142395,0.8365601
64.54708075523376,1775000,18.58,0.14533876,17750,46518880.0,52127,5.675834,19846.291,3.6410693073272706,-2.8429956436157227,71,0.32498232,0.833656
65.4581732749939,1800000,20.71,0.14623107,18000,65767700.0,53979,5.675834,18760.494,4.057728004157543,-3.2461538314819336,72,0.37080282,0.8320359
66.33887815475464,1825000,19.47,0.14615422,18250,7101165.5,51829,5.675834,20635.434,3.8147045382857323,-3.1880288124084473,73,0.2733329,0.8096479
67.24751710891724,1850000,20.5,0.14623827,18500,3165774.5,54059,5.675834,19592.191,4.0174479019641876,-3.2263922691345215,74,0.28340298,0.8067039
68.13197827339172,1875000,18.25,0.1456684,18750,301762020.0,54372,5.675835,18144.387,3.576304642856121,-3.307638168334961,75,0.322515,0.838908
69.00399565696716,1900000,18.6,0.14575066,19000,18266902.0,55885,5.675835,18270.371,3.645143967419863,-2.9243686199188232,76,0.3191055,0.83166397
69.87764406204224,1925000,18.83,0.14591046,19250,41236020.0,55715,5.675835,18039.2,3.6895484852790834,-3.500601291656494,77,0.32908574,0.830056
70.75152587890625,1950000,19.34,0.14582819,19500,32584826.0,55358,5.675835,17796.557,3.789872918874025,-3.1747426986694336,78,0.33680117,0.825436
71.62033820152283,1975000,17.78,0.14550604,19750,9647105.0,55047,5.675835,19142.691,3.4838984656333922,-2.129878282546997,79,0.31003222,0.82027197
