time_elapsed,ep_len_mean,approxkl,ep_reward_mean,serial_timesteps,fps,clipfrac,true_reward,policy_entropy,total_timesteps,n_updates,value_loss,policy_loss,explained_variance
9.371947050094604,14.67,0.015603247,1.2954972939193248,9000,2272,0.2128,0.088354036,5.461726,9000,36,0.12006382,-0.023572797,0.2914286255836487
9.506783723831177,15.35,0.021336269,1.3560065472871066,9250,2219,0.23400001,0.08837978,5.4595065,9250,37,0.074243136,-0.027102506,0.5437396764755249
9.643110513687134,14.46,0.007202399,1.276605759859085,9500,2243,0.082,0.08812683,5.456737,9500,38,0.111691356,-0.021071827,0.2738800048828125
9.779133081436157,14.5,0.016891751,1.280260519757867,9750,2207,0.20279999,0.088440284,5.4520693,9750,39,0.08247079,-0.023923118,0.4782257080078125
9.915956020355225,14.51,0.016457248,1.2803237415850162,10000,2255,0.19680001,0.087938696,5.447601,10000,40,0.10416359,-0.0171838,0.37131446599960327
10.0508131980896,14.74,0.011505586,1.30073944427073,10250,2173,0.1532,0.08817636,5.4441214,10250,41,0.11357875,-0.023566538,0.34140628576278687
10.190131187438965,14.2,0.01055457,1.2526174083352088,10500,2258,0.1484,0.0882041,5.441255,10500,42,0.16832834,-0.022911493,0.07000541687011719
10.32518720626831,14.33,0.009356182,1.264120679795742,10750,2206,0.13040002,0.08826811,5.435065,10750,43,0.12036689,-0.015152613,0.2559298872947693
10.462135791778564,14.29,0.02436449,1.2603248415142299,11000,2232,0.2716,0.08822574,5.4250345,11000,44,0.115955375,-0.02987963,0.26132887601852417
10.598273277282715,14.41,0.017046273,1.2708680649474262,11250,2194,0.17240001,0.08823053,5.4164233,11250,45,0.12186968,-0.025139749,0.2573602795600891
10.73670768737793,13.94,0.016162837,1.229231943450868,11500,2244,0.2056,0.08795271,5.4106665,11500,46,0.1378025,-0.02621688,0.20838773250579834
10.871925354003906,14.44,0.033595134,1.2717867429181933,11750,2198,0.32639998,0.08754974,5.4075613,11750,47,0.11597671,-0.027008858,0.34800630807876587
11.009622812271118,15.2,0.011504064,1.337630134411156,12000,2250,0.1432,0.08766863,5.4051332,12000,48,0.111107446,-0.020326722,0.3602920174598694
11.14415717124939,15.4,0.013268812,1.3531689967215061,12250,2224,0.1652,0.08739633,5.4007654,12250,49,0.120086156,-0.023763236,0.37828075885772705
11.280194282531738,16.87,0.014074924,1.4821880231425166,12500,2240,0.14199999,0.0878745,5.398875,12500,50,0.116591595,-0.018014107,0.3842630386352539
11.416152000427246,15.81,0.018307637,1.3863201216608285,12750,2236,0.21039999,0.08749538,5.397325,12750,51,0.15318981,-0.022830259,0.2302190065383911
11.551931142807007,15.75,0.01263945,1.3798435894027352,13000,2270,0.174,0.0876636,5.3944335,13000,52,0.11452246,-0.025365904,0.3967718482017517
11.685384750366211,16.54,0.019726198,1.4492196747660637,13250,2289,0.22880001,0.0876038,5.3901,13250,53,0.13968626,-0.023444368,0.2630426287651062
11.818007469177246,15.75,0.01596433,1.3812930454686283,13500,2293,0.2052,0.08802665,5.385947,13500,54,0.13475195,-0.020861305,0.3071784973144531
11.950526714324951,16.83,0.010686593,1.4762577744573355,13750,2273,0.13720003,0.08781574,5.3831673,13750,55,0.08229878,-0.014144292,0.5726357400417328
12.083924293518066,16.86,0.013668725,1.4791558573767543,14000,2249,0.16080001,0.087648295,5.3821344,14000,56,0.120991126,-0.024337325,0.40597593784332275
12.219469547271729,17.07,0.011725107,1.4973135931417345,14250,2213,0.1568,0.0876336,5.3796606,14250,57,0.08623089,-0.02443323,0.5982444882392883
12.355450630187988,17.84,0.013579959,1.5667861518636346,14500,2201,0.1676,0.08826007,5.379659,14500,58,0.13425913,-0.016675394,0.40315181016921997
12.492859840393066,18.41,0.018627588,1.6164876482263209,14750,2199,0.2056,0.08756545,5.3793316,14750,59,0.15039237,-0.025572812,0.2901712656021118
12.630553960800171,19.53,0.020968754,1.7146734765544533,15000,2299,0.2604,0.087661386,5.376306,15000,60,0.07728639,-0.022697559,0.5932504534721375
12.762580633163452,20.0,0.013655143,1.7560502238571645,15250,2194,0.17519999,0.08780889,5.3707733,15250,61,0.12201127,-0.0232149,0.39008593559265137
12.900120258331299,20.48,0.014144664,1.7973224514722823,15500,2223,0.17840001,0.08759149,5.3665648,15500,62,0.091144785,-0.024841834,0.552935391664505
13.036492347717285,21.9,0.014666674,1.9210683627799154,15750,2229,0.1568,0.087511115,5.3645945,15750,63,0.06657776,-0.025785685,0.6756021678447723
13.17264723777771,21.91,0.016450567,1.9209073409810662,16000,2264,0.21399999,0.08731335,5.3643737,16000,64,0.10721797,-0.013679409,0.5659761130809784
13.3071608543396,21.26,0.011068729,1.8635026177763938,16250,2216,0.15,0.087416835,5.363329,16250,65,0.14845856,-0.022449398,0.3692675232887268
13.443856239318848,21.4,0.01914864,1.8735941796004771,16500,2259,0.2376,0.087252654,5.3607626,16500,66,0.077524915,-0.02873965,0.6483006477355957
13.578145027160645,22.43,0.012293384,1.9625811087340117,16750,2259,0.1388,0.08731592,5.3609376,16750,67,0.116445445,-0.021159705,0.4736102223396301
