approxkl,true_reward,time_elapsed,ep_len_mean,total_timesteps,fps,ep_reward_mean,value_loss,clipfrac,policy_entropy,n_updates,policy_loss,explained_variance,serial_timesteps
0.012770487,-0.6550169,57.74374341964722,1.11,875000,50812,0.16852779760956765,0.009355938,0.140344,5.553022,35,-0.0074688806,0.38937675952911377,8750
0.012398252,-0.63810766,59.117504596710205,1.01,900000,49102,0.1533479231595993,0.013191466,0.13992801,5.5467315,36,-0.009931695,0.470947265625,9000
0.014117705,-0.62883514,60.48929262161255,1.01,925000,50783,0.15332847118377685,0.0095222015,0.159008,5.5401664,37,-0.005989612,0.5110714137554169,9250
0.010876855,-0.62267154,61.811521768569946,1.1,950000,48937,0.16693536102771758,0.007656312,0.131144,5.53465,38,-0.0044688853,0.5292083024978638,9500
0.018108059,-0.6284159,63.163264751434326,1.18,975000,49123,0.17935117229819297,0.008536288,0.186216,5.5288744,39,0.00400846,0.5433521866798401,9750
0.013303439,-0.618366,64.50454902648926,1.18,1000000,49321,0.1785175982117653,0.00791358,0.15709999,5.5235853,40,-0.0022096995,0.5703303217887878,10000
0.019390713,-0.6194744,65.85082197189331,1.27,1025000,48908,0.1929129345715046,0.0075446805,0.21333201,5.5183926,41,0.007410242,0.5726867318153381,10250
0.01557824,-0.61357635,67.1619508266449,1.16,1050000,50872,0.17626414090394973,0.007170516,0.170616,5.512681,42,-0.0009172624,0.5979160666465759,10500
0.010441193,-0.614848,68.47418141365051,1.22,1075000,49147,0.18563498049974442,0.0061459825,0.12735601,5.5062423,43,-0.004241971,0.6055543720722198,10750
0.014350687,-0.6165996,69.79131412506104,1.19,1100000,48498,0.18040672063827515,0.0067542037,0.14804399,5.4983683,44,-0.0007418691,0.6206188201904297,11000
0.024111044,-0.6214913,71.11799573898315,1.16,1125000,50332,0.1763081143796444,0.006516069,0.22642401,5.4918756,45,0.007877248,0.5990354418754578,11250
0.010486086,-0.61653215,72.44240164756775,0.97,1150000,47427,0.14676259458065033,0.006457652,0.13262801,5.48584,46,-0.0012480508,0.6055251359939575,11500
0.02034044,-0.6282567,73.94044137001038,1.16,1175000,49560,0.17635653674602508,0.0062900945,0.20880802,5.480337,47,0.0056577,0.6235512793064117,11750
0.010545018,-0.6279492,75.27702450752258,1.01,1200000,49829,0.15334966242313386,0.00627019,0.12794,5.4758973,48,-0.0023247537,0.6290227174758911,12000
0.020656435,-0.63569057,76.59024477005005,1.33,1225000,49982,0.2018533605337143,0.006305457,0.17837201,5.469691,49,0.0033710436,0.6156602799892426,12250
0.020673746,-0.642489,77.89756727218628,1.02,1250000,50315,0.15476897954940796,0.008177449,0.217484,5.463458,50,0.005794024,0.5841289162635803,12500
0.013456106,-0.643212,79.1941728591919,0.96,1275000,49674,0.145587118268013,0.007498215,0.15962799,5.458615,51,-0.0011770347,0.6003071069717407,12750
0.023518275,-0.64791507,80.51854729652405,1.18,1300000,45509,0.1793064484000206,0.0066652982,0.20901601,5.453886,52,0.0046776542,0.5797464549541473,13000
0.0207318,-0.64352417,81.88786339759827,1.12,1325000,49473,0.17010353058576583,0.0065450845,0.20359603,5.4489756,53,0.0022803438,0.5896167755126953,13250
0.013898571,-0.64809865,83.20338940620422,1.12,1350000,49064,0.16984923422336579,0.0069197402,0.142388,5.443413,54,-0.0065757125,0.574144184589386,13500
0.027849605,-0.6496188,84.54221749305725,1.14,1375000,49995,0.17346328005194664,0.0073091476,0.20120001,5.436064,55,0.0010466514,0.5549179315567017,13750
0.021974124,-0.6405158,85.89749813079834,1.21,1400000,48911,0.18346073493361473,0.007320746,0.169488,5.429833,56,0.00079056696,0.5503908097743988,14000
0.01105509,-0.6361223,87.24094772338867,1.3,1425000,49802,0.1972646036744118,0.0080560865,0.14258,5.4231195,57,-0.0035574664,0.530434638261795,14250
0.0068740547,-0.62997085,88.5578351020813,1.19,1450000,49925,0.18025553047657014,0.011820345,0.089012004,5.4127226,58,-0.0035959955,0.4795432686805725,14500
0.0058747428,-0.6257274,89.87113189697266,1.25,1475000,48733,0.19037041634321214,0.01958229,0.071899995,5.4038057,59,-0.003481539,0.3842059373855591,14750
0.0059445286,-0.6239767,91.20334148406982,0.96,1500000,49241,0.145859032869339,0.016317982,0.071904,5.39781,60,-0.0014882267,0.28838300704956055,15000
0.005609538,-0.61854565,92.5182957649231,1.22,1525000,49322,0.18486997976899147,0.014563417,0.067716,5.3929467,61,-0.0011840547,0.5228073596954346,15250
0.0065384544,-0.6148669,93.82481050491333,1.29,1550000,50094,0.19595450401306153,0.02417406,0.078588,5.385425,62,-0.0006607437,0.5316576361656189,15500
